Date,LLY
2010-01-04,23.574190139770508
2010-01-05,23.159574508666992
2010-01-06,23.3306884765625
2010-01-07,23.212223052978516
2010-01-08,23.034534454345703
2010-01-11,23.350440979003906
2010-01-12,23.271453857421875
2010-01-13,23.59393882751465
2010-01-14,23.692659378051758
2010-01-15,23.574190139770508
2010-01-19,24.620620727539062
2010-01-20,24.548236846923828
2010-01-21,23.765060424804688
2010-01-22,23.376754760742188
2010-01-25,23.528121948242188
2010-01-26,23.79796028137207
2010-01-27,23.949329376220703
2010-01-28,23.528121948242188
2010-01-29,23.16615867614746
2010-02-01,23.034534454345703
2010-02-02,23.44256591796875
2010-02-03,23.23854637145996
2010-02-04,22.817350387573242
2010-02-05,22.718626022338867
2010-02-08,22.88974380493164
2010-02-09,23.16615867614746
2010-02-10,22.805747985839844
2010-02-11,22.805747985839844
2010-02-12,22.65891456604004
2010-02-16,22.74568748474121
2010-02-17,22.952577590942383
2010-02-18,22.96592140197754
2010-02-19,22.85246467590332
2010-02-22,23.005970001220703
2010-02-23,22.66559410095215
2010-02-24,22.7189884185791
2010-02-25,22.85246467590332
2010-02-26,22.919204711914062
2010-03-01,22.905860900878906
2010-03-02,23.059368133544922
2010-03-03,22.905860900878906
2010-03-04,23.05270004272461
2010-03-05,23.419780731201172
2010-03-08,23.31298828125
2010-03-09,23.39975357055664
2010-03-10,23.586626052856445
2010-03-11,23.906986236572266
2010-03-12,23.980409622192383
2010-03-15,24.033803939819336
2010-03-16,24.14727210998535
2010-03-17,24.173961639404297
2010-03-18,24.26740074157715
2010-03-19,24.14058494567871
2010-03-22,24.38753890991211
2010-03-23,24.440929412841797
2010-03-24,24.200660705566406
2010-03-25,24.01378631591797
2010-03-26,23.6400146484375
2010-03-29,23.673398971557617
2010-03-30,23.96038246154785
2010-03-31,24.173961639404297
2010-04-01,24.127248764038086
2010-04-05,24.394210815429688
2010-04-06,24.367507934570312
2010-04-07,24.374187469482422
2010-04-08,24.374187469482422
2010-04-09,24.587759017944336
2010-04-12,24.40755271911621
2010-04-13,24.641145706176758
2010-04-14,24.420909881591797
2010-04-15,24.507673263549805
2010-04-16,24.38753890991211
2010-04-19,24.414230346679688
2010-04-20,24.380855560302734
2010-04-21,24.033803939819336
2010-04-22,23.613325119018555
2010-04-23,23.666723251342773
2010-04-26,23.573287963867188
2010-04-27,23.2729434967041
2010-04-28,23.199520111083984
2010-04-29,23.386404037475586
2010-04-30,23.33968162536621
2010-05-03,23.486522674560547
2010-05-04,23.36637306213379
2010-05-05,23.41310691833496
2010-05-06,22.959257125854492
2010-05-07,23.106088638305664
2010-05-10,23.45981788635254
2010-05-11,23.546592712402344
2010-05-12,23.539817810058594
2010-05-13,23.35030746459961
2010-05-14,22.957754135131836
2010-05-17,23.018667221069336
2010-05-18,22.754701614379883
2010-05-19,22.917142868041992
2010-05-20,22.5651912689209
2010-05-21,22.41629981994629
2010-05-24,22.321542739868164
2010-05-25,22.16586685180664
2010-05-26,21.82745933532715
2010-05-27,22.213245391845703
2010-05-28,22.192949295043945
2010-06-01,22.0305118560791
2010-06-02,22.47721290588379
2010-06-03,22.58550262451172
2010-06-04,21.908674240112305
2010-06-07,22.05081558227539
2010-06-08,22.26739501953125
2010-06-09,22.301237106323242
2010-06-10,22.64641571044922
2010-06-11,22.788549423217773
2010-06-14,22.92391586303711
2010-06-15,23.275856018066406
2010-06-16,23.08635711669922
2010-06-17,23.275856018066406
2010-06-18,23.424762725830078
2010-06-21,23.45859718322754
2010-06-22,23.316469192504883
2010-06-23,23.39092254638672
2010-06-24,23.336774826049805
2010-06-25,22.97128677368164
2010-06-28,23.02544403076172
2010-06-29,22.84268569946289
2010-06-30,22.673498153686523
2010-07-01,22.41629981994629
2010-07-02,22.788549423217773
2010-07-06,22.950992584228516
2010-07-07,23.45859718322754
2010-07-08,23.810546875
2010-07-09,23.80377769470215
2010-07-12,23.776700973510742
2010-07-13,23.83085060119629
2010-07-14,23.553361892700195
2010-07-15,23.80377769470215
2010-07-16,23.445058822631836
2010-07-19,23.68195343017578
2010-07-20,23.864686965942383
2010-07-21,23.654874801635742
2010-07-22,23.790237426757812
2010-07-23,23.80377769470215
2010-07-26,23.98651885986328
2010-07-27,24.43321418762207
2010-07-28,24.14218521118164
2010-07-29,23.993288040161133
2010-07-30,24.09480857849121
2010-08-02,24.595651626586914
2010-08-03,24.758089065551758
2010-08-04,24.893463134765625
2010-08-05,24.940841674804688
2010-08-06,24.954370498657227
2010-08-09,25.015289306640625
2010-08-10,25.563512802124023
2010-08-11,25.17265510559082
2010-08-12,25.097219467163086
2010-08-13,24.48007583618164
2010-08-16,24.390941619873047
2010-08-17,23.82864761352539
2010-08-18,23.84922218322754
2010-08-19,23.506364822387695
2010-08-20,23.43092918395996
2010-08-23,23.52693748474121
2010-08-24,23.293792724609375
2010-08-25,23.52693748474121
2010-08-26,23.280075073242188
2010-08-27,23.45150375366211
2010-08-30,23.293792724609375
2010-08-31,23.033206939697266
2010-09-01,23.45150375366211
2010-09-02,23.52693748474121
2010-09-03,23.766931533813477
2010-09-07,23.68465232849121
2010-09-08,23.869796752929688
2010-09-09,24.116647720336914
2010-09-10,24.294933319091797
2010-09-13,24.363494873046875
2010-09-14,24.445791244506836
2010-09-15,24.48007583618164
2010-09-16,24.45950698852539
2010-09-17,24.54180145263672
2010-09-20,24.92580223083496
2010-09-21,24.912078857421875
2010-09-22,24.72007179260254
2010-09-23,24.58979606628418
2010-09-24,24.754356384277344
2010-09-27,24.6446475982666
2010-09-28,24.953222274780273
