Date,GPC
2010-01-04,24.125732421875
2010-01-05,24.100425720214844
2010-01-06,24.056135177612305
2010-01-07,24.189001083374023
2010-01-08,24.19534683227539
2010-01-11,24.467405319213867
2010-01-12,24.366167068481445
2010-01-13,24.48638916015625
2010-01-14,24.650903701782227
2010-01-15,24.543331146240234
2010-01-19,24.739484786987305
2010-01-20,24.29024314880371
2010-01-21,24.138391494750977
2010-01-22,24.113088607788086
2010-01-25,24.23330307006836
2010-01-26,24.21431541442871
2010-01-27,24.08144187927246
2010-01-28,24.01817512512207
2010-01-29,23.841012954711914
2010-02-01,24.087770462036133
2010-02-02,24.764785766601562
2010-02-03,24.555986404418945
2010-02-04,23.948575973510742
2010-02-05,23.853668212890625
2010-02-08,23.38545799255371
2010-02-09,23.771406173706055
2010-02-10,23.733455657958984
2010-02-11,23.986534118652344
2010-02-12,24.163698196411133
2010-02-16,25.78347396850586
2010-02-17,25.751829147338867
2010-02-18,25.70754051208496
2010-02-19,25.96063232421875
2010-02-22,25.739185333251953
2010-02-23,25.239330291748047
2010-02-24,25.54936981201172
2010-02-25,25.498750686645508
2010-02-26,25.53670883178711
2010-03-01,25.821435928344727
2010-03-02,25.903688430786133
2010-03-03,25.763084411621094
2010-03-04,25.699161529541016
2010-03-05,25.820606231689453
2010-03-08,25.87174415588379
2010-03-09,25.92286491394043
2010-03-10,25.93564224243164
2010-03-11,26.140174865722656
2010-03-12,26.050687789916992
2010-03-15,25.884511947631836
2010-03-16,26.178516387939453
2010-03-17,26.370250701904297
2010-03-18,26.472505569458008
2010-03-19,26.587556838989258
2010-03-22,27.39924430847168
2010-03-23,27.533449172973633
2010-03-24,27.086069107055664
2010-03-25,27.034936904907227
2010-03-26,26.766508102416992
2010-03-29,26.881555557250977
2010-03-30,27.20751953125
2010-03-31,26.99659538269043
2010-04-01,27.265024185180664
2010-04-05,27.514278411865234
2010-04-06,27.412029266357422
2010-04-07,27.450368881225586
2010-04-08,27.475934982299805
2010-04-09,27.642114639282227
2010-04-12,27.622920989990234
2010-04-13,27.629323959350586
2010-04-14,28.524099349975586
2010-04-15,29.02901268005371
2010-04-16,27.277812957763672
2010-04-19,27.43120002746582
2010-04-20,27.520679473876953
2010-04-21,27.54623794555664
2010-04-22,27.469554901123047
2010-04-23,27.65489387512207
2010-04-26,27.584585189819336
2010-04-27,26.93907928466797
2010-04-28,27.23945426940918
2010-04-29,27.63570785522461
2010-04-30,27.35450553894043
2010-05-03,27.82746124267578
2010-05-04,26.9582576751709
2010-05-05,26.683433532714844
2010-05-06,25.76947021484375
2010-05-07,25.36682891845703
2010-05-10,27.18833351135254
2010-05-11,27.1755313873291
2010-05-12,27.360891342163086
2010-05-13,26.84320068359375
2010-05-14,26.36385726928711
2010-05-17,26.402210235595703
2010-05-18,26.165725708007812
2010-05-19,26.063472747802734
2010-05-20,25.21343421936035
2010-05-21,25.14313507080078
2010-05-24,25.02808952331543
2010-05-25,25.411569595336914
2010-05-26,25.469091415405273
2010-05-27,26.165725708007812
2010-05-28,25.95482635498047
2010-06-01,25.526596069335938
2010-06-02,26.23602867126465
2010-06-03,25.8653507232666
2010-06-04,25.251781463623047
2010-06-07,24.913049697875977
2010-06-08,25.23900604248047
2010-06-09,25.316503524780273
2010-06-10,26.059207916259766
2010-06-11,26.336912155151367
2010-06-14,26.349836349487305
2010-06-15,26.827741622924805
2010-06-16,26.7373104095459
2010-06-17,26.84711456298828
2010-06-18,26.91814422607422
2010-06-21,26.89878273010254
2010-06-22,26.27879524230957
2010-06-23,26.349836349487305
2010-06-24,25.910655975341797
2010-06-25,26.065658569335938
2010-06-28,26.25295066833496
2010-06-29,25.762121200561523
2010-06-30,25.477956771850586
2010-07-01,25.742748260498047
2010-07-02,25.542539596557617
2010-07-06,25.471500396728516
2010-07-07,25.95587730407715
2010-07-08,26.401485443115234
2010-07-09,26.55649757385254
2010-07-12,26.349836349487305
2010-07-13,26.982730865478516
2010-07-14,27.053787231445312
2010-07-15,27.22170639038086
2010-07-16,27.919191360473633
2010-07-19,27.61564826965332
2010-07-20,27.95147705078125
2010-07-21,27.428359985351562
2010-07-22,27.544612884521484
2010-07-23,27.83523178100586
2010-07-26,28.151687622070312
2010-07-27,27.828777313232422
2010-07-28,27.738361358642578
2010-07-29,27.570444107055664
2010-07-30,27.660858154296875
2010-08-02,28.2614803314209
2010-08-03,28.293771743774414
2010-08-04,28.442310333251953
2010-08-05,28.493980407714844
2010-08-06,28.390647888183594
2010-08-09,28.726482391357422
2010-08-10,28.390647888183594
2010-08-11,27.731904983520508
2010-08-12,27.492958068847656
2010-08-13,27.13129234313965
2010-08-16,27.260440826416016
2010-08-17,27.81585693359375
2010-08-18,28.171064376831055
2010-08-19,27.686697006225586
2010-08-20,27.74481201171875
2010-08-23,27.583370208740234
2010-08-24,27.49940299987793
2010-08-25,27.583370208740234
2010-08-26,27.383146286010742
2010-08-27,27.725435256958008
2010-08-30,27.266904830932617
2010-08-31,27.079608917236328
2010-09-01,27.95793914794922
2010-09-02,28.248567581176758
2010-09-03,28.37772560119629
2010-09-07,27.596277236938477
2010-09-08,27.544111251831055
2010-09-09,27.791900634765625
2010-09-10,27.81798553466797
2010-09-13,28.326610565185547
2010-09-14,28.157073974609375
2010-09-15,28.365741729736328
2010-09-16,28.241846084594727
2010-09-17,28.352693557739258
2010-09-20,28.88741111755371
2010-09-21,28.933048248291016
2010-09-22,28.815675735473633
2010-09-23,28.646129608154297
2010-09-24,29.2656192779541
2010-09-27,29.089550018310547
2010-09-28,29.480815887451172
