Date,GE
2010-01-04,53.72963333129883
2010-01-05,54.00782775878906
2010-01-06,53.72963333129883
2010-01-07,56.51173782348633
2010-01-08,57.728919982910156
2010-01-11,58.285343170166016
2010-01-12,58.32011795043945
2010-01-13,58.528770446777344
2010-01-14,58.07668685913086
2010-01-15,57.172489166259766
2010-01-19,57.520240783691406
2010-01-20,57.381141662597656
2010-01-21,55.71188735961914
2010-01-22,56.02485275268555
2010-01-25,56.929054260253906
2010-01-26,56.859519958496094
2010-01-27,56.68564224243164
2010-01-28,56.198753356933594
2010-01-29,55.92054748535156
2010-02-01,56.51173782348633
2010-02-02,58.59834289550781
2010-02-03,58.007118225097656
2010-02-04,55.78144836425781
2010-02-05,54.91200256347656
2010-02-08,54.25127410888672
2010-02-09,54.25127410888672
2010-02-10,54.56427001953125
2010-02-11,54.84245681762695
2010-02-12,54.077392578125
2010-02-16,55.78144836425781
2010-02-17,56.16399002075195
2010-02-18,56.47697067260742
2010-02-19,56.23353576660156
2010-02-22,56.51173782348633
2010-02-23,55.46846389770508
2010-02-24,56.059627532958984
2010-02-25,55.70973205566406
2010-02-26,56.199623107910156
2010-03-01,55.63973617553711
2010-03-02,55.63973617553711
2010-03-03,56.09465026855469
2010-03-04,56.37456512451172
2010-03-05,57.21444320678711
2010-03-08,56.93447494506836
2010-03-09,57.704345703125
2010-03-10,57.77433776855469
2010-03-11,57.66937255859375
2010-03-12,59.62899398803711
2010-03-15,60.503807067871094
2010-03-16,63.233306884765625
2010-03-17,63.128334045410156
2010-03-18,63.65325164794922
2010-03-19,63.233306884765625
2010-03-22,63.233306884765625
2010-03-23,64.14315032958984
2010-03-24,64.56309509277344
2010-03-25,64.03816223144531
2010-03-26,64.17814636230469
2010-03-29,64.38813018798828
2010-03-30,64.03816223144531
2010-03-31,63.68824768066406
2010-04-01,64.14315032958984
2010-04-05,64.84303283691406
2010-04-06,65.08799743652344
2010-04-07,64.7380142211914
2010-04-08,64.94800567626953
2010-04-09,64.80804443359375
2010-04-12,65.4729232788086
2010-04-13,66.31273651123047
2010-04-14,67.71250915527344
2010-04-15,68.23741149902344
2010-04-16,66.38274383544922
