Date,PCAR
2010-01-04,14.287801742553711
2010-01-05,14.545377731323242
2010-01-06,14.736612319946289
2010-01-07,14.93173885345459
2010-01-08,14.951255798339844
2010-01-11,15.197126388549805
2010-01-12,15.154202461242676
2010-01-13,15.22054672241211
2010-01-14,15.193221092224121
2010-01-15,14.830269813537598
2010-01-19,14.99028205871582
2010-01-20,14.713196754455566
2010-01-21,14.475125312805176
2010-01-22,14.112178802490234
2010-01-25,14.092659950256348
2010-01-26,13.924847602844238
2010-01-27,14.014609336853027
2010-01-28,13.749223709106445
2010-01-29,14.061441421508789
2010-02-01,14.092659950256348
2010-02-02,14.096563339233398
2010-02-03,13.998994827270508
2010-02-04,13.4955472946167
2010-02-05,13.33163070678711
2010-02-08,13.257488250732422
2010-02-09,13.6399507522583
2010-02-10,13.61263370513916
2010-02-11,13.928749084472656
2010-02-12,13.874104499816895
2010-02-16,14.116080284118652
2010-02-17,14.108256340026855
2010-02-18,14.057389259338379
2010-02-19,14.065215110778809
2010-02-22,13.834382057189941
2010-02-23,13.65440845489502
2010-02-24,13.971321105957031
2010-02-25,13.9674072265625
2010-02-26,13.830472946166992
2010-03-01,14.096516609191895
2010-03-02,14.519062042236328
2010-03-03,14.965082168579102
2010-03-04,15.039411544799805
2010-03-05,15.340669631958008
2010-03-08,15.254592895507812
2010-03-09,15.497171401977539
2010-03-10,15.55585765838623
2010-03-11,15.57541561126709
2010-03-12,16.177932739257812
2010-03-15,16.19749641418457
2010-03-16,16.334428787231445
2010-03-17,16.59656524658203
2010-03-18,16.447891235351562
2010-03-19,16.53005599975586
2010-03-22,16.91347312927246
2010-03-23,16.917387008666992
2010-03-24,16.846961975097656
2010-03-25,16.995635986328125
2010-03-26,17.08562660217285
2010-03-29,17.163867950439453
2010-03-30,17.148218154907227
2010-03-31,16.956510543823242
2010-04-01,17.148218154907227
2010-04-05,17.51207160949707
2010-04-06,17.484683990478516
2010-04-07,17.382966995239258
2010-04-08,17.429914474487305
2010-04-09,17.778125762939453
2010-04-12,17.75855827331543
2010-04-13,17.9072265625
2010-04-14,18.16153907775879
2010-04-15,18.275005340576172
2010-04-16,17.954179763793945
2010-04-19,18.24761199951172
2010-04-20,17.727258682250977
2010-04-21,17.899412155151367
2010-04-22,18.16545295715332
2010-04-23,18.795352935791016
2010-04-26,18.795352935791016
2010-04-27,18.181108474731445
2010-04-28,18.169361114501953
2010-04-29,18.685808181762695
2010-04-30,18.200668334960938
2010-05-03,18.80318260192871
2010-05-04,18.03633689880371
2010-05-05,17.664670944213867
2010-05-06,16.764802932739258
2010-05-07,16.267921447753906
2010-05-10,17.515989303588867
2010-05-11,17.426002502441406
2010-05-12,17.731170654296875
2010-05-13,17.66075325012207
2010-05-14,17.25385284423828
2010-05-17,17.057830810546875
2010-05-18,16.826528549194336
2010-05-19,16.465850830078125
2010-05-20,15.356363296508789
2010-05-21,15.720963478088379
2010-05-24,15.477896690368652
2010-05-25,15.372038841247559
2010-05-26,15.646482467651367
2010-05-27,16.32471466064453
2010-05-28,16.07379722595215
2010-06-01,15.764090538024902
2010-06-02,16.238462448120117
2010-06-03,16.681472778320312
2010-06-04,15.626869201660156
2010-06-07,15.234824180603027
2010-06-08,15.430851936340332
2010-06-09,15.387728691101074
2010-06-10,16.501131057739258
2010-06-11,16.53249168395996
2010-06-14,16.473678588867188
2010-06-15,17.19896697998047
2010-06-16,17.038232803344727
2010-06-17,17.089187622070312
2010-06-18,17.112709045410156
2010-06-21,17.4381160736084
2010-06-22,16.865732192993164
2010-06-23,16.873571395874023
2010-06-24,16.704988479614258
2010-06-25,16.920616149902344
2010-06-28,16.66970443725586
2010-06-29,15.905223846435547
2010-06-30,15.63078784942627
2010-07-01,15.564144134521484
2010-07-02,15.42300796508789
2010-07-06,15.352441787719727
2010-07-07,15.99539852142334
2010-07-08,16.195331573486328
2010-07-09,16.403125762939453
2010-07-12,16.285497665405273
2010-07-13,17.132320404052734
2010-07-14,17.249937057495117
2010-07-15,17.23033332824707
2010-07-16,16.461923599243164
2010-07-19,16.61090087890625
2010-07-20,17.155847549438477
2010-07-21,17.300891876220703
2010-07-22,17.959531784057617
2010-07-23,18.100669860839844
2010-07-26,18.42605972290039
2010-07-27,17.885047912597656
2010-07-28,17.86151885986328
2010-07-29,17.873287200927734
2010-07-30,17.963455200195312
2010-08-02,18.292774200439453
2010-08-03,17.849754333496094
2010-08-04,17.93600845336914
2010-08-05,17.822317123413086
2010-08-06,17.822317123413086
2010-08-09,17.96738052368164
2010-08-10,17.696868896484375
2010-08-11,16.90885353088379
2010-08-12,16.61090087890625
2010-08-13,16.493289947509766
2010-08-16,16.6265869140625
2010-08-17,17.2001895904541
2010-08-18,17.12946319580078
2010-08-19,16.63443946838379
2010-08-20,16.571578979492188
2010-08-23,16.36335563659668
2010-08-24,16.01369285583496
2010-08-25,16.131561279296875
2010-08-26,16.033344268798828
2010-08-27,16.536226272583008
2010-08-30,16.080482482910156
2010-08-31,16.100135803222656
2010-09-01,17.06266975402832
2010-09-02,17.443767547607422
2010-09-03,17.797361373901367
2010-09-07,17.376981735229492
2010-09-08,17.577348709106445
2010-09-09,17.416271209716797
2010-09-10,17.651988983154297
2010-09-13,17.852365493774414
2010-09-14,17.852365493774414
2010-09-15,17.824861526489258
2010-09-16,17.797361373901367
2010-09-17,17.875930786132812
2010-09-20,18.461318969726562
2010-09-21,18.40632438659668
2010-09-22,18.35525131225586
2010-09-23,18.209882736206055
2010-09-24,18.73633575439453
2010-09-27,18.43383026123047
2010-09-28,18.649900436401367
