Date,RF
2010-01-04,3.600968599319458
2010-01-05,3.720557689666748
2010-01-06,3.7670645713806152
2010-01-07,4.099257469177246
2010-01-08,4.105899810791016
2010-01-11,4.198915481567383
2010-01-12,4.152406692504883
2010-01-13,4.22548770904541
2010-01-14,4.351726055145264
2010-01-15,4.331791400909424
2010-01-19,4.32514762878418
2010-01-20,4.471312522888184
2010-01-21,4.55768346786499
2010-01-22,4.384942054748535
2010-01-25,4.351726055145264
2010-01-26,4.039462566375732
2010-01-27,4.099257469177246
2010-01-28,4.271997451782227
2010-01-29,4.218845844268799
2010-02-01,4.411517143249512
2010-02-02,4.371654033660889
2010-02-03,4.245420932769775
2010-02-04,4.066035747528076
2010-02-05,4.105899810791016
2010-02-08,4.139122009277344
2010-02-09,4.178983211517334
2010-02-10,4.22548770904541
2010-02-11,4.238778114318848
2010-02-12,4.218845844268799
2010-02-16,4.398231029510498
2010-02-17,4.291928768157959
2010-02-18,4.265354156494141
2010-02-19,4.365012168884277
2010-02-22,4.524463653564453
2010-02-23,4.338436603546143
2010-02-24,4.411517143249512
2010-02-25,4.345080375671387
2010-02-26,4.48460054397583
2010-03-01,4.418163776397705
2010-03-02,4.391586780548096
2010-03-03,4.398231029510498
2010-03-04,4.431448936462402
2010-03-05,4.544394493103027
2010-03-08,4.63740873336792
2010-03-09,4.5909013748168945
2010-03-10,4.843369960784912
2010-03-11,4.903162956237793
2010-03-12,4.876586437225342
2010-03-15,4.803505897521973
2010-03-16,4.996443748474121
2010-03-17,5.1228508949279785
2010-03-18,4.989790439605713
2010-03-19,4.909955024719238
2010-03-22,5.0696258544921875
2010-03-23,5.142810821533203
2010-03-24,5.222647190093994
2010-03-25,5.116198539733887
2010-03-26,5.07628059387207
2010-03-29,5.082932949066162
2010-03-30,5.0696258544921875
2010-03-31,5.222647190093994
2010-04-01,5.169424057006836
2010-04-05,5.448850631713867
2010-04-06,5.688363075256348
2010-04-07,5.568606376647949
2010-04-08,5.721627235412598
2010-04-09,5.714973449707031
2010-04-12,5.814770698547363
2010-04-13,5.548647880554199
2010-04-14,5.867995738983154
2010-04-15,5.675055503845215
2010-04-16,5.522034645080566
2010-04-19,5.541995048522949
2010-04-20,5.854689121246338
2010-04-21,5.8480329513549805
2010-04-22,5.9145636558532715
2010-04-23,5.9544830322265625
2010-04-26,5.781502723693848
2010-04-27,5.608524322509766
2010-04-28,5.648443222045898
2010-04-29,5.754892349243164
2010-04-30,5.8812994956970215
2010-05-03,5.8812994956970215
2010-05-04,5.708321571350098
2010-05-05,5.768197059631348
2010-05-06,5.462157726287842
2010-05-07,5.315788745880127
2010-05-10,5.661748886108398
2010-05-11,5.768197059631348
2010-05-12,5.8613409996032715
2010-05-13,5.814770698547363
2010-05-14,5.49542236328125
2010-05-17,5.502075672149658
2010-05-18,5.269218921661377
2010-05-19,5.202689170837402
2010-05-20,4.823462963104248
2010-05-21,4.969830513000488
2010-05-24,4.790198802947998
2010-05-25,4.956524848937988
2010-05-26,4.9232611656188965
2010-05-27,5.242607116699219
2010-05-28,5.07628059387207
2010-06-01,4.909955024719238
2010-06-02,5.116198539733887
2010-06-03,5.082932949066162
2010-06-04,4.74362850189209
2010-06-07,4.597260475158691
2010-06-08,4.723669052124023
2010-06-09,4.517424583435059
2010-06-10,4.763587474822998
2010-06-11,4.697056293487549
2010-06-14,4.763587474822998
2010-06-15,4.890172481536865
2010-06-16,4.770249366760254
2010-06-17,4.763586521148682
2010-06-18,4.763586521148682
2010-06-21,4.77691125869751
2010-06-22,4.663650989532471
2010-06-23,4.710288047790527
2010-06-24,4.5370659828186035
2010-06-25,4.656989574432373
2010-06-28,4.716951847076416
2010-06-29,4.503755569458008
2010-06-30,4.3838324546813965
2010-07-01,4.257246494293213
2010-07-02,4.157311916351318
2010-07-06,4.270572662353516
2010-07-07,4.410482406616211
2010-07-08,4.550389766693115
2010-07-09,4.763586521148682
2010-07-12,4.823549270629883
2010-07-13,4.9168219566345215
2010-07-14,4.763586521148682
2010-07-15,4.676976203918457
2010-07-16,4.3638458251953125
2010-07-19,4.4504547119140625
2010-07-20,4.370507717132568
2010-07-21,4.130663871765137
2010-07-22,4.397156715393066
2010-07-23,4.4304704666137695
2010-07-26,4.7236127853393555
2010-07-27,4.803561210632324
2010-07-28,4.850196838378906
2010-07-29,4.923482894897461
2010-07-30,4.883510112762451
2010-08-02,5.130015850067139
2010-08-03,5.050066947937012
2010-08-04,5.063392162322998
2010-08-05,4.976781368255615
2010-08-06,4.930146217346191
2010-08-09,5.0567307472229
2010-08-10,5.11003303527832
2010-08-11,4.77691125869751
2010-08-12,4.756924152374268
2010-08-13,4.763586521148682
2010-08-16,4.783572673797607
2010-08-17,4.763586521148682
2010-08-18,4.803561210632324
2010-08-19,4.6236772537231445
2010-08-20,4.543728828430176
2010-08-23,4.557053565979004
2010-08-24,4.370507717132568
2010-08-25,4.3172078132629395
2010-08-26,4.230598449707031
2010-08-27,4.397156715393066
2010-08-30,4.263909339904785
2010-08-31,4.283897876739502
2010-09-01,4.563715934753418
2010-09-02,4.617015838623047
2010-09-03,4.590366363525391
2010-09-07,4.377170085906982
2010-09-08,4.583704948425293
2010-09-09,4.603689670562744
2010-09-10,4.590366363525391
2010-09-13,4.850196838378906
2010-09-14,4.756924152374268
2010-09-15,4.663522243499756
2010-09-16,4.6368327140808105
2010-09-17,4.5567731857299805
2010-09-20,4.710222244262695
2010-09-21,4.730237007141113
2010-09-22,4.6101460456848145
2010-09-23,4.510072231292725
2010-09-24,4.6368327140808105
