Date,RL
2010-01-04,63.26032638549805
2010-01-05,65.74238586425781
2010-01-06,65.24596405029297
2010-01-07,66.50247955322266
2010-01-08,66.99114227294922
2010-01-11,66.36286926269531
2010-01-12,65.01327514648438
2010-01-13,66.47146606445312
2010-01-14,66.0138168334961
2010-01-15,65.02101135253906
2010-01-19,65.75013732910156
2010-01-20,67.01439666748047
2010-01-21,65.52516174316406
2010-01-22,63.63264083862305
2010-01-25,64.19886016845703
2010-01-26,64.04373168945312
2010-01-27,64.385009765625
2010-01-28,63.539588928222656
2010-01-29,63.601627349853516
2010-02-01,64.48585510253906
2010-02-02,66.44819641113281
2010-02-03,60.894676208496094
2010-02-04,59.83206558227539
2010-02-05,59.452003479003906
2010-02-08,60.212120056152344
2010-02-09,60.95671081542969
2010-02-10,60.49135971069336
2010-02-11,61.29801940917969
2010-02-12,61.034305572509766
2010-02-16,61.83317184448242
2010-02-17,62.28306198120117
2010-02-18,62.492462158203125
2010-02-19,62.515750885009766
2010-02-22,63.066444396972656
2010-02-23,62.26756286621094
2010-02-24,62.16672897338867
2010-02-25,61.77114486694336
2010-02-26,61.996070861816406
2010-03-01,62.63985061645508
2010-03-02,62.53900909423828
2010-03-03,62.32184600830078
2010-03-04,62.81822967529297
2010-03-05,64.09027862548828
2010-03-08,64.20662689208984
2010-03-09,64.32295989990234
2010-03-10,63.87308883666992
2010-03-11,64.12129211425781
2010-03-12,63.725711822509766
2010-03-15,62.91908264160156
2010-03-16,63.112979888916016
2010-03-17,63.59385299682617
2010-03-18,64.62545776367188
2010-03-19,64.2686767578125
2010-03-22,65.04429626464844
2010-03-23,65.85098266601562
2010-03-24,65.71134948730469
2010-03-25,65.65705108642578
2010-03-26,66.75843811035156
2010-03-29,66.46369934082031
2010-03-30,66.60348510742188
2010-03-31,66.0365982055664
2010-04-01,67.1936264038086
2010-04-05,68.44388580322266
2010-04-06,68.405029296875
2010-04-07,69.00298309326172
2010-04-08,68.98744201660156
2010-04-09,69.67855072021484
2010-04-12,69.47665405273438
2010-04-13,70.1910400390625
2010-04-14,70.80453491210938
2010-04-15,70.36968994140625
2010-04-16,69.89600372314453
2010-04-19,70.4783935546875
2010-04-20,70.9443130493164
2010-04-21,72.14019012451172
2010-04-22,73.72431182861328
2010-04-23,73.77091217041016
2010-04-26,73.37486267089844
2010-04-27,71.45684051513672
2010-04-28,71.71306610107422
2010-04-29,72.87789154052734
2010-04-30,69.81057739257812
2010-05-03,71.72860717773438
2010-05-04,70.3929672241211
2010-05-05,69.43006134033203
2010-05-06,66.22296142578125
2010-05-07,64.2505874633789
2010-05-10,69.56983947753906
2010-05-11,69.135009765625
2010-05-12,71.37916564941406
2010-05-13,70.0279769897461
2010-05-14,69.36018371582031
2010-05-17,67.54309844970703
2010-05-18,66.61125946044922
2010-05-19,68.41279602050781
2010-05-20,66.01331329345703
2010-05-21,65.43865966796875
2010-05-24,65.94342041015625
2010-05-25,66.47146606445312
2010-05-26,66.18414306640625
2010-05-27,68.55255889892578
2010-05-28,67.44989776611328
2010-06-01,65.65611267089844
2010-06-02,66.6578369140625
2010-06-03,67.04606628417969
2010-06-04,63.50510787963867
2010-06-07,61.03572082519531
2010-06-08,61.66469955444336
2010-06-09,62.33253479003906
2010-06-10,64.6077651977539
2010-06-11,64.80191802978516
2010-06-14,65.36102294921875
2010-06-15,64.01761627197266
2010-06-16,62.21604919433594
2010-06-17,62.78290939331055
2010-06-18,62.47230911254883
2010-06-21,62.02967834472656
2010-06-22,60.709564208984375
2010-06-23,61.214317321777344
2010-06-24,59.42051696777344
2010-06-25,60.00292205810547
2010-06-28,59.82430648803711
2010-06-29,56.99771499633789
2010-06-30,56.73334884643555
2010-07-01,57.50316619873047
2010-07-02,56.85778045654297
2010-07-06,55.93241882324219
2010-07-07,58.288543701171875
2010-07-08,60.045902252197266
2010-07-09,59.99925231933594
2010-07-12,59.1905517578125
2010-07-13,60.40359878540039
2010-07-14,60.022579193115234
2010-07-15,60.01481246948242
2010-07-16,57.464290618896484
2010-07-19,56.68669509887695
2010-07-20,57.845306396484375
2010-07-21,57.005496978759766
2010-07-22,59.46269226074219
2010-07-23,61.60107421875
2010-07-26,63.73947525024414
2010-07-27,62.30093002319336
2010-07-28,61.06454849243164
2010-07-29,60.88568115234375
2010-07-30,61.43779373168945
2010-08-02,63.48287582397461
2010-08-03,61.67106628417969
2010-08-04,66.46109008789062
2010-08-05,65.54347229003906
2010-08-06,66.70988464355469
2010-08-09,67.30083465576172
2010-08-10,65.95561218261719
2010-08-11,63.58395767211914
2010-08-12,63.27292251586914
2010-08-13,62.48758316040039
2010-08-16,62.03654861450195
2010-08-17,64.12052154541016
2010-08-18,64.64929962158203
2010-08-19,64.32264709472656
2010-08-20,64.57151794433594
2010-08-23,64.47042846679688
2010-08-24,62.63528823852539
2010-08-25,63.25735855102539
2010-08-26,59.98368835449219
2010-08-27,60.823486328125
2010-08-30,58.67733383178711
2010-08-31,58.895057678222656
2010-09-01,61.305625915527344
2010-09-02,62.13764953613281
2010-09-03,63.05519485473633
2010-09-07,62.355350494384766
2010-09-08,63.28068923950195
2010-09-09,63.3429069519043
2010-09-10,63.405094146728516
2010-09-13,64.79700469970703
2010-09-14,66.17332458496094
2010-09-15,66.74101257324219
2010-09-16,67.17646026611328
2010-09-17,68.17176055908203
2010-09-20,69.84359741210938
2010-09-21,69.35372924804688
2010-09-22,68.29619598388672
2010-09-23,66.9042739868164
2010-09-24,69.40814208984375
2010-09-27,69.20597076416016
2010-09-28,70.83113861083984
