Date,HBAN
2010-01-04,2.2085671424865723
2010-01-05,2.256580114364624
2010-01-06,2.3165953159332275
2010-01-07,2.5746610164642334
2010-01-08,2.5326502323150635
2010-01-11,2.598667860031128
2010-01-12,2.5266497135162354
2010-01-13,2.5866641998291016
2010-01-14,2.6466798782348633
2010-01-15,2.568660259246826
2010-01-19,2.5806634426116943
2010-01-20,2.5746610164642334
2010-01-21,2.718698263168335
2010-01-22,2.8147225379943848
2010-01-25,2.880739688873291
2010-01-26,2.7607076168060303
2010-01-27,2.9287521839141846
2010-01-28,2.9947683811187744
2010-01-29,2.874738931655884
2010-02-01,2.940756320953369
2010-02-02,2.9587597846984863
2010-02-03,2.8267269134521484
2010-02-04,2.7247002124786377
2010-02-05,2.778714179992676
2010-02-08,2.748706579208374
2010-02-09,2.7907168865203857
2010-02-10,2.8267269134521484
2010-02-11,2.874738931655884
2010-02-12,2.8087217807769775
2010-02-16,2.8927431106567383
2010-02-17,2.85673451423645
2010-02-18,2.8327274322509766
2010-02-19,2.9107468128204346
2010-02-22,2.9587597846984863
2010-02-23,2.8867406845092773
2010-02-24,2.9347541332244873
2010-02-25,2.880739688873291
2010-02-26,2.8867406845092773
2010-03-01,2.880739688873291
2010-03-02,2.898745059967041
2010-03-03,2.8867406845092773
2010-03-04,2.8867406845092773
2010-03-05,2.9767656326293945
2010-03-08,2.9767656326293945
2010-03-09,3.018775463104248
2010-03-10,3.1508097648620605
2010-03-11,3.2408323287963867
2010-03-12,3.2828428745269775
2010-03-15,3.2468342781066895
2010-03-16,3.3249998092651367
2010-03-17,3.463290214538574
2010-03-18,3.306959867477417
2010-03-19,3.1987338066101074
2010-03-22,3.288922071456909
2010-03-23,3.2949352264404297
2010-03-24,3.2949352264404297
2010-03-25,3.306959867477417
2010-03-26,3.288922071456909
2010-03-29,3.276897430419922
2010-03-30,3.2528467178344727
2010-03-31,3.2408218383789062
2010-04-01,3.2408218383789062
2010-04-05,3.3249998092651367
2010-04-06,3.5174028873443604
2010-04-07,3.541454553604126
2010-04-08,3.5474672317504883
2010-04-09,3.523416042327881
2010-04-12,3.625631093978882
2010-04-13,3.421200752258301
2010-04-14,3.5354416370391846
2010-04-15,3.4572784900665283
2010-04-16,3.3430356979370117
2010-04-19,3.3009471893310547
2010-04-20,3.5053789615631104
2010-04-21,3.962338447570801
2010-04-22,4.142719268798828
2010-04-23,4.311074733734131
2010-04-26,4.1246819496154785
2010-04-27,4.01645565032959
2010-04-28,4.046518802642822
2010-04-29,4.130694389343262
2010-04-30,4.06455659866333
2010-05-03,4.136709213256836
2010-05-04,4.010440349578857
2010-05-05,3.938290596008301
2010-05-06,3.745884895324707
2010-05-07,3.6136057376861572
2010-05-10,3.9022135734558105
2010-05-11,3.8961997032165527
2010-05-12,4.070567607879639
2010-05-13,4.06455659866333
2010-05-14,3.926264524459839
2010-05-17,3.9082250595092773
2010-05-18,3.70379638671875
2010-05-19,3.6977837085723877
2010-05-20,3.5174028873443604
2010-05-21,3.751897096633911
2010-05-24,3.6075925827026367
2010-05-25,3.583543062210083
2010-05-26,3.6136057376861572
2010-05-27,3.751897096633911
2010-05-28,3.70379638671875
2010-06-01,3.565504550933838
2010-06-02,3.709808588027954
2010-06-03,3.6737325191497803
2010-06-04,3.5053789615631104
2010-06-07,3.349048137664795
2010-06-08,3.439239025115967
2010-06-09,3.433227062225342
2010-06-10,3.553480625152588
2010-06-11,3.6737325191497803
2010-06-14,3.655694007873535
2010-06-15,3.788191318511963
2010-06-16,3.6978516578674316
2010-06-17,3.6316041946411133
2010-06-18,3.6436500549316406
2010-06-21,3.6436500549316406
2010-06-22,3.589447021484375
2010-06-23,3.5231974124908447
2010-06-24,3.4569501876831055
2010-06-25,3.6135358810424805
2010-06-28,3.571378707885742
2010-06-29,3.390702247619629
2010-06-30,3.336498737335205
2010-07-01,3.2702503204345703
2010-07-02,3.216048002243042
2010-07-06,3.2040035724639893
2010-07-07,3.4689955711364746
2010-07-08,3.4147918224334717
2010-07-09,3.5593347549438477
2010-07-12,3.571378707885742
2010-07-13,3.7098982334136963
2010-07-14,3.637627124786377
2010-07-15,3.6918294429779053
2010-07-16,3.450927257537842
2010-07-19,3.475017547607422
2010-07-20,3.5051302909851074
2010-07-21,3.4147918224334717
2010-07-22,3.5231974124908447
2010-07-23,3.649672508239746
2010-07-26,3.8002359867095947
2010-07-27,3.8303494453430176
2010-07-28,3.7279655933380127
2010-07-29,3.649672508239746
2010-07-30,3.649672508239746
2010-08-02,3.788191318511963
2010-08-03,3.7821686267852783
2010-08-04,3.7821686267852783
2010-08-05,3.7821686267852783
2010-08-06,3.7640998363494873
2010-08-09,3.8122804164886475
2010-08-10,3.685807466506958
2010-08-11,3.4569501876831055
2010-08-12,3.402747869491577
2010-08-13,3.408768653869629
2010-08-16,3.3425216674804688
2010-08-17,3.3184309005737305
2010-08-18,3.312408208847046
2010-08-19,3.2461607456207275
2010-08-20,3.2461607456207275
2010-08-23,3.234116315841675
2010-08-24,3.13173246383667
2010-08-25,3.1257095336914062
2010-08-26,3.1196868419647217
2010-08-27,3.276273012161255
2010-08-30,3.1558210849761963
2010-08-31,3.191957712173462
2010-09-01,3.2943403720855713
2010-09-02,3.4208157062530518
2010-09-03,3.4449052810668945
2010-09-07,3.300363302230835
2010-09-08,3.475017547607422
2010-09-09,3.5292210578918457
2010-09-10,3.5231974124908447
2010-09-13,3.6617162227630615
2010-09-14,3.655694007873535
2010-09-15,3.6617276668548584
2010-09-16,3.553143262863159
2010-09-17,3.4988491535186768
