Date,MET
2010-01-04,20.197002410888672
2010-01-05,20.664369583129883
2010-01-06,20.875802993774414
2010-01-07,21.17068862915039
2010-01-08,21.28196907043457
2010-01-11,21.42106819152832
2010-01-12,21.42662239074707
2010-01-13,21.098360061645508
2010-01-14,21.29865264892578
2010-01-15,21.05940818786621
2010-01-19,21.89398956298828
2010-01-20,21.532346725463867
2010-01-21,20.781213760375977
2010-01-22,20.09685707092285
2010-01-25,20.258203506469727
2010-01-26,19.879863739013672
2010-01-27,20.252635955810547
2010-01-28,19.82421875
2010-01-29,19.6517391204834
2010-02-01,19.996702194213867
2010-02-02,20.23594856262207
2010-02-03,19.36241912841797
2010-02-04,19.323467254638672
2010-02-05,19.295650482177734
2010-02-08,18.716997146606445
2010-02-09,19.557157516479492
2010-02-10,19.43474769592285
2010-02-11,19.217756271362305
2010-02-12,19.273395538330078
2010-02-16,19.507080078125
2010-02-17,19.4013614654541
2010-02-18,19.390235900878906
2010-02-19,19.490386962890625
2010-02-22,19.623926162719727
2010-02-23,19.384675979614258
2010-02-24,19.80196762084961
2010-02-25,19.941062927246094
2010-02-26,20.247072219848633
2010-03-01,20.330537796020508
2010-03-02,20.469633102416992
2010-03-03,20.447385787963867
2010-03-04,21.204078674316406
2010-03-05,21.654754638671875
2010-03-08,22.75640296936035
2010-03-09,22.706323623657227
2010-03-10,23.246021270751953
2010-03-11,23.546480178833008
2010-03-12,23.42963409423828
2010-03-15,23.507532119750977
2010-03-16,23.75234031677246
2010-03-17,23.94151496887207
2010-03-18,23.61880874633789
2010-03-19,23.273845672607422
2010-03-22,23.2126407623291
2010-03-23,23.4630126953125
2010-03-24,23.32391929626465
2010-03-25,23.42963409423828
2010-03-26,23.513092041015625
2010-03-29,23.924816131591797
2010-03-30,23.852495193481445
2010-03-31,24.114002227783203
2010-04-01,24.486778259277344
2010-04-05,25.009788513183594
2010-04-06,24.948585510253906
2010-04-07,24.525733947753906
2010-04-08,25.3158016204834
2010-04-09,25.187837600708008
2010-04-12,25.388126373291016
2010-04-13,25.293546676635742
2010-04-14,25.833250045776367
2010-04-15,25.744220733642578
2010-04-16,25.24346923828125
2010-04-19,25.582870483398438
2010-04-20,26.122570037841797
2010-04-21,25.75535774230957
2010-04-22,25.972347259521484
2010-04-23,26.206026077270508
2010-04-26,26.061370849609375
2010-04-27,24.64813804626465
2010-04-28,24.431137084960938
2010-04-29,25.382566452026367
2010-04-30,25.360309600830078
2010-05-03,25.46047019958496
2010-05-04,24.74828338623047
2010-05-05,24.420011520385742
2010-05-06,23.451894760131836
2010-05-07,22.650686264038086
2010-05-10,24.542417526245117
2010-05-11,24.05279541015625
2010-05-12,24.39219093322754
2010-05-13,23.963768005371094
2010-05-14,22.99008560180664
2010-05-17,23.257158279418945
2010-05-18,22.76197052001953
2010-05-19,22.544973373413086
2010-05-20,21.07610321044922
2010-05-21,21.96632194519043
2010-05-24,21.482263565063477
2010-05-25,21.81610679626465
2010-05-26,21.838354110717773
2010-05-27,23.034595489501953
2010-05-28,22.52828025817871
2010-06-01,22.1666316986084
2010-06-02,23.134748458862305
2010-06-03,23.017911911010742
2010-06-04,21.40993309020996
2010-06-07,21.07053565979004
2010-06-08,21.643617630004883
2010-06-09,21.62693214416504
2010-06-10,22.634002685546875
2010-06-11,22.8676815032959
2010-06-14,22.839862823486328
2010-06-15,23.190387725830078
2010-06-16,22.812049865722656
2010-06-17,22.828733444213867
2010-06-18,22.806474685668945
2010-06-21,22.934452056884766
2010-06-22,22.567230224609375
2010-06-23,22.339115142822266
2010-06-24,21.92181396484375
2010-06-25,22.817604064941406
2010-06-28,22.277908325195312
2010-06-29,21.24302101135254
2010-06-30,21.00933265686035
2010-07-01,20.79790687561035
2010-07-02,20.697755813598633
2010-07-06,20.775651931762695
2010-07-07,21.476701736450195
2010-07-08,21.944068908691406
2010-07-09,22.311296463012695
2010-07-12,22.01640510559082
2010-07-13,22.773096084594727
2010-07-14,22.244516372680664
2010-07-15,21.749343872070312
2010-07-16,21.031591415405273
2010-07-19,20.82016372680664
2010-07-20,21.037155151367188
2010-07-21,20.5252742767334
2010-07-22,21.860628128051758
2010-07-23,21.999717712402344
2010-07-26,22.1666316986084
2010-07-27,22.049785614013672
2010-07-28,21.866182327270508
2010-07-29,22.36693000793457
2010-07-30,23.401811599731445
2010-08-02,23.77460479736328
2010-08-03,23.190387725830078
2010-08-04,23.190387725830078
2010-08-05,23.284969329833984
2010-08-06,23.045732498168945
2010-08-09,23.546480178833008
2010-08-10,23.60211753845215
2010-08-11,22.617305755615234
2010-08-12,22.17775535583496
2010-08-13,22.010841369628906
2010-08-16,21.60466957092285
2010-08-17,21.832792282104492
2010-08-18,21.955198287963867
2010-08-19,21.115049362182617
2010-08-20,20.742263793945312
2010-08-23,20.664369583129883
2010-08-24,20.302715301513672
2010-08-25,20.55865478515625
2010-08-26,20.319406509399414
2010-08-27,21.042724609375
2010-08-30,20.62542724609375
2010-08-31,20.948131561279297
2010-09-01,21.999717712402344
2010-09-02,22.327983856201172
2010-09-03,23.067991256713867
2010-09-07,22.31686019897461
2010-09-08,22.600614547729492
2010-09-09,22.734146118164062
2010-09-10,22.52828025817871
2010-09-13,22.978954315185547
2010-09-14,22.789785385131836
2010-09-15,22.634002685546875
2010-09-16,22.47264289855957
2010-09-17,22.34467124938965
2010-09-20,23.079111099243164
2010-09-21,22.8676815032959
2010-09-22,21.916255950927734
2010-09-23,21.06497573852539
2010-09-24,21.782716751098633
2010-09-27,21.576847076416016
2010-09-28,21.866182327270508
