Date,LUV
2010-01-04,9.738526344299316
2010-01-05,10.25245475769043
2010-01-06,9.947583198547363
2010-01-07,10.095663070678711
2010-01-08,9.869185447692871
2010-01-11,9.982421875
2010-01-12,9.869185447692871
2010-01-13,10.043397903442383
2010-01-14,9.982421875
2010-01-15,9.825631141662598
2010-01-19,9.843050956726074
2010-01-20,9.869185447692871
2010-01-21,10.174056053161621
2010-01-22,10.174056053161621
2010-01-25,9.860472679138184
2010-01-26,10.113082885742188
2010-01-27,9.9214506149292
2010-01-28,9.973715782165527
2010-01-29,9.869185447692871
2010-02-01,10.078242301940918
2010-02-02,10.060818672180176
2010-02-03,9.991134643554688
2010-02-04,9.607866287231445
2010-02-05,9.834342956542969
2010-02-08,9.799497604370117
2010-02-09,10.14792537689209
2010-02-10,10.052107810974121
2010-02-11,10.348271369934082
2010-02-12,10.487640380859375
2010-02-16,10.844779968261719
2010-02-17,10.705409049987793
2010-02-18,10.83607006072998
2010-02-19,10.827359199523926
2010-02-22,10.88833236694336
2010-02-23,10.801226615905762
2010-02-24,10.83607006072998
2010-02-25,10.827359199523926
2010-02-26,10.95801830291748
2010-03-01,11.071257591247559
2010-03-02,11.005902290344238
2010-03-03,10.936184883117676
2010-03-04,10.979755401611328
2010-03-05,11.049470901489258
2010-03-08,10.936184883117676
2010-03-09,11.049470901489258
2010-03-10,11.171469688415527
2010-03-11,11.188898086547852
2010-03-12,11.328322410583496
2010-03-15,11.328322410583496
2010-03-16,11.485177040100098
2010-03-17,11.354469299316406
2010-03-18,11.380606651306152
2010-03-19,11.162757873535156
2010-03-22,11.267325401306152
2010-03-23,11.354469299316406
2010-03-24,11.328322410583496
2010-03-25,11.389321327209473
2010-03-26,11.371891975402832
2010-03-29,11.485177040100098
2010-03-30,11.406752586364746
2010-03-31,11.520031929016113
2010-04-01,11.511319160461426
2010-04-05,11.467745780944824
2010-04-06,11.720453262329102
2010-04-07,11.589747428894043
2010-04-08,11.676886558532715
2010-04-09,11.589747428894043
2010-04-12,11.633316040039062
2010-04-13,11.624603271484375
2010-04-14,11.764025688171387
2010-04-15,11.798882484436035
2010-04-16,11.659460067749023
2010-04-19,11.981880187988281
2010-04-20,11.973166465759277
2010-04-21,11.833741188049316
2010-04-22,11.711745262145996
2010-04-23,12.164872169494629
2010-04-26,11.825024604797363
2010-04-27,11.485177040100098
2010-04-28,11.528748512268066
2010-04-29,11.694317817687988
2010-04-30,11.485177040100098
2010-05-03,11.676886558532715
2010-05-04,11.337037086486816
2010-05-05,11.354469299316406
2010-05-06,10.962331771850586
2010-05-07,10.796762466430664
2010-05-10,11.293465614318848
2010-05-11,11.20632553100586
2010-05-12,11.45032024383545
2010-05-13,11.232470512390137
2010-05-14,11.136612892150879
2010-05-17,11.232470512390137
2010-05-18,11.014616966247559
2010-05-19,10.700907707214355
2010-05-20,10.169347763061523
2010-05-21,10.378486633300781
2010-05-24,10.326202392578125
2010-05-25,10.596338272094727
2010-05-26,10.718335151672363
2010-05-27,11.014616966247559
2010-05-28,10.840333938598633
2010-06-01,10.631192207336426
2010-06-02,10.997188568115234
2010-06-03,10.988475799560547
2010-06-04,10.474342346191406
2010-06-07,10.164864540100098
2010-06-08,10.365372657775879
2010-06-09,10.321783065795898
2010-06-10,10.504854202270508
2010-06-11,10.522289276123047
2010-06-14,10.496134757995605
2010-06-15,10.766389846801758
2010-06-16,10.539725303649902
2010-06-17,10.783821105957031
2010-06-18,10.687925338745117
2010-06-21,10.635615348815918
2010-06-22,10.347936630249023
2010-06-23,10.321783065795898
2010-06-24,10.182294845581055
2010-06-25,10.14742660522461
2010-06-28,10.1212739944458
2010-06-29,9.685388565063477
2010-06-30,9.685388565063477
2010-07-01,9.580778121948242
2010-07-02,9.371550559997559
2010-07-06,9.26693344116211
2010-07-07,9.842307090759277
2010-07-08,9.964354515075684
2010-07-09,10.103841781616211
2010-07-12,10.339219093322754
2010-07-13,10.548442840576172
2010-07-14,10.51357364654541
2010-07-15,10.487415313720703
2010-07-16,10.252039909362793
2010-07-19,10.025381088256836
2010-07-20,9.999226570129395
2010-07-21,9.91204833984375
2010-07-22,10.191014289855957
2010-07-23,10.304346084594727
2010-07-26,10.522289276123047
2010-07-27,10.461263656616211
2010-07-28,10.46998405456543
2010-07-29,10.46998405456543
2010-07-30,10.504854202270508
2010-08-02,10.731515884399414
2010-08-03,10.522289276123047
2010-08-04,10.592032432556152
2010-08-05,10.51357364654541
2010-08-06,10.417678833007812
2010-08-09,10.5833158493042
2010-08-10,10.374088287353516
2010-08-11,9.964354515075684
2010-08-12,9.964354515075684
2010-08-13,9.938203811645508
2010-08-16,9.885897636413574
2010-08-17,10.025381088256836
2010-08-18,10.060249328613281
2010-08-19,9.763848304748535
2010-08-20,9.824870109558105
2010-08-23,9.63308334350586
2010-08-24,9.602558135986328
2010-08-25,9.541502952575684
2010-08-26,9.436844825744629
2010-08-27,9.707218170166016
2010-08-30,9.585115432739258
2010-08-31,9.637444496154785
2010-09-01,10.029919624328613
2010-09-02,10.056082725524902
2010-09-03,10.090970039367676
2010-09-07,9.97758674621582
2010-09-08,10.038639068603516
2010-09-09,10.012471199035645
2010-09-10,10.047362327575684
2010-09-13,10.012471199035645
2010-09-14,10.029919624328613
2010-09-15,10.291569709777832
2010-09-16,10.422394752502441
2010-09-17,10.317729949951172
2010-09-20,10.614270210266113
2010-09-21,10.605548858642578
2010-09-22,10.535774230957031
2010-09-23,10.352621078491211
2010-09-24,10.710206985473633
2010-09-27,11.643427848815918
2010-09-28,11.54748821258545
