Date,MSI
2010-01-04,25.3276424407959
2010-01-05,24.978086471557617
2010-01-06,25.3276424407959
2010-01-07,25.836105346679688
2010-01-08,24.660293579101562
2010-01-11,24.406063079833984
2010-01-12,23.516260147094727
2010-01-13,24.151836395263672
2010-01-14,24.501405715942383
2010-01-15,24.088274002075195
2010-01-19,24.278945922851562
2010-01-20,23.770483016967773
2010-01-21,23.420921325683594
2010-01-22,22.91246795654297
2010-01-25,22.81713104248047
2010-01-26,22.848901748657227
2010-01-27,23.516260147094727
2010-01-28,20.592618942260742
2010-01-29,19.543920516967773
2010-02-01,20.11593246459961
2010-02-02,20.815065383911133
2010-02-03,21.25997543334961
2010-02-04,20.08415412902832
2010-02-05,20.338382720947266
2010-02-08,20.878625869750977
2010-02-09,20.783288955688477
2010-02-10,21.06929588317871
2010-02-11,21.132856369018555
2010-02-12,22.721797943115234
2010-02-16,23.07135772705078
2010-02-17,22.59467887878418
2010-02-18,22.27688217163086
2010-02-19,22.27688217163086
2010-02-22,21.831979751586914
2010-02-23,21.545982360839844
2010-02-24,21.57775115966797
2010-02-25,21.7684326171875
2010-02-26,21.482418060302734
2010-03-01,21.418869018554688
2010-03-02,21.64131736755371
2010-03-03,21.831979751586914
2010-03-04,21.60953712463379
2010-03-05,22.086210250854492
2010-03-08,21.95909309387207
2010-03-09,22.149778366088867
2010-03-10,22.59467887878418
2010-03-11,22.34044647216797
2010-03-12,22.27688217163086
2010-03-15,22.34044647216797
2010-03-16,23.452701568603516
2010-03-17,23.103139877319336
2010-03-18,23.357364654541016
2010-03-19,22.81713104248047
2010-03-22,23.07135772705078
2010-03-23,23.357364654541016
2010-03-24,23.03957748413086
2010-03-25,23.007802963256836
2010-03-26,22.785350799560547
2010-03-29,22.97602081298828
2010-03-30,22.880680084228516
2010-03-31,22.308664321899414
2010-04-01,22.435789108276367
2010-04-05,22.75356674194336
2010-04-06,23.13491439819336
2010-04-07,22.97602081298828
2010-04-08,23.611602783203125
2010-04-09,23.484481811523438
2010-04-12,23.57982063293457
2010-04-13,23.548038482666016
2010-04-14,24.374282836914062
2010-04-15,24.120059967041016
2010-04-16,23.23025894165039
2010-04-19,23.484481811523438
2010-04-20,23.57982063293457
2010-04-21,23.325592041015625
2010-04-22,22.499340057373047
2010-04-23,22.5311222076416
2010-04-26,22.75356674194336
2010-04-27,21.95909309387207
2010-04-28,21.990880966186523
2010-04-29,22.75356674194336
2010-04-30,22.467559814453125
2010-05-03,22.56289291381836
2010-05-04,22.117998123168945
2010-05-05,21.831979751586914
2010-05-06,21.228193283081055
2010-05-07,20.97396469116211
2010-05-10,22.054439544677734
2010-05-11,22.21333122253418
2010-05-12,22.18155288696289
2010-05-13,21.736648559570312
2010-05-14,21.57775115966797
2010-05-17,21.7684326171875
2010-05-18,21.545982360839844
2010-05-19,21.64131736755371
2010-05-20,21.291748046875
2010-05-21,21.736648559570312
2010-05-24,21.387088775634766
2010-05-25,21.45064353942871
2010-05-26,21.482418060302734
2010-05-27,21.990880966186523
2010-05-28,21.7684326171875
2010-06-01,21.291748046875
2010-06-02,21.7684326171875
2010-06-03,21.831979751586914
2010-06-04,21.291748046875
2010-06-07,20.878625869750977
2010-06-08,21.16463279724121
2010-06-09,21.228193283081055
2010-06-10,21.736648559570312
2010-06-11,22.59467887878418
2010-06-14,22.117998123168945
2010-06-15,22.435789108276367
2010-06-16,22.59467887878418
2010-06-17,22.848901748657227
2010-06-18,23.07135772705078
2010-06-21,22.785350799560547
2010-06-22,22.880680084228516
2010-06-23,23.198474884033203
2010-06-24,22.21333122253418
2010-06-25,22.467559814453125
2010-06-28,22.467559814453125
2010-06-29,21.60953712463379
2010-06-30,20.7197322845459
2010-07-01,20.7197322845459
2010-07-02,20.592618942260742
2010-07-06,20.783288955688477
2010-07-07,21.57775115966797
2010-07-08,21.7684326171875
2010-07-09,21.482418060302734
2010-07-12,22.21333122253418
2010-07-13,22.91246795654297
2010-07-14,23.706933975219727
2010-07-15,24.533180236816406
2010-07-16,23.834054946899414
2010-07-19,25.168760299682617
2010-07-20,25.422985076904297
2010-07-21,25.136974334716797
2010-07-22,24.75562858581543
2010-07-23,24.628507614135742
2010-07-26,24.978086471557617
2010-07-27,24.596731185913086
2010-07-28,24.406063079833984
2010-07-29,24.183618545532227
2010-07-30,23.80226707458496
2010-08-02,24.215394973754883
2010-08-03,24.215394973754883
2010-08-04,25.6136531829834
2010-08-05,25.486543655395508
2010-08-06,25.422985076904297
2010-08-09,25.35943031311035
2010-08-10,25.55010223388672
2010-08-11,24.469621658325195
2010-08-12,25.486543655395508
2010-08-13,24.278945922851562
2010-08-16,24.819189071655273
2010-08-17,24.787410736083984
2010-08-18,24.75562858581543
2010-08-19,23.961162567138672
2010-08-20,23.770483016967773
2010-08-23,23.64337730407715
2010-08-24,23.706933975219727
2010-08-25,23.834054946899414
2010-08-26,23.834054946899414
2010-08-27,24.406063079833984
2010-08-30,23.897605895996094
2010-08-31,23.897605895996094
2010-09-01,24.56496238708496
2010-09-02,24.978086471557617
2010-09-03,25.232311248779297
2010-09-07,24.882741928100586
2010-09-08,25.35943031311035
2010-09-09,25.35943031311035
2010-09-10,25.168760299682617
2010-09-13,26.312793731689453
2010-09-14,26.217451095581055
2010-09-15,26.567014694213867
2010-09-16,26.72591209411621
2010-09-17,26.630578994750977
2010-09-20,26.85303497314453
2010-09-21,26.471677780151367
2010-09-22,26.344575881958008
2010-09-23,26.630578994750977
2010-09-24,27.58393669128418
2010-09-27,27.266151428222656
2010-09-28,27.266151428222656
