Date,UDR
2010-01-04,9.24878215789795
2010-01-05,9.23736572265625
2010-01-06,9.174605369567871
2010-01-07,9.243075370788574
2010-01-08,9.060495376586914
2010-01-11,9.12325668334961
2010-01-12,8.900739669799805
2010-01-13,9.16048812866211
2010-01-14,9.085450172424316
2010-01-15,8.975777626037598
2010-01-19,9.195125579833984
2010-01-20,9.102765083312988
2010-01-21,8.866109848022461
2010-01-22,8.640986442565918
2010-01-25,8.825700759887695
2010-01-26,8.767975807189941
2010-01-27,8.889193534851074
2010-01-28,8.91228199005127
2010-01-29,8.981548309326172
2010-02-01,9.091221809387207
2010-02-02,9.264388084411621
2010-02-03,9.068132400512695
2010-02-04,8.848790168762207
2010-02-05,9.125858306884766
2010-02-08,8.958459854125977
2010-02-09,8.71025562286377
2010-02-10,8.485140800476074
2010-02-11,8.687164306640625
2010-02-12,8.744889259338379
2010-02-16,9.09699535369873
2010-02-17,9.223980903625488
2010-02-18,9.379831314086914
2010-02-19,9.414467811584473
2010-02-22,9.512593269348145
2010-02-23,9.524136543273926
2010-02-24,9.645349502563477
2010-02-25,9.622265815734863
2010-02-26,9.69730281829834
2010-03-01,9.685760498046875
2010-03-02,9.662667274475098
2010-03-03,9.558769226074219
2010-03-04,9.53568172454834
2010-03-05,9.778112411499023
2010-03-08,9.882013320922852
2010-03-09,9.847381591796875
2010-03-10,9.812744140625
2010-03-11,9.962824821472168
2010-03-12,9.991686820983887
2010-03-15,9.93973445892334
2010-03-16,10.274523735046387
2010-03-17,10.29761028289795
2010-03-18,10.257208824157715
2010-03-19,10.257208824157715
2010-03-22,10.262980461120605
2010-03-23,10.234116554260254
2010-03-24,10.268750190734863
2010-03-25,10.372649192810059
2010-03-26,10.418827056884766
2010-03-29,10.349564552307129
2010-03-30,10.349564552307129
2010-03-31,10.182170867919922
2010-04-01,10.239889144897461
2010-04-05,10.522729873657227
2010-04-06,10.845973014831543
2010-04-07,10.591999053955078
2010-04-08,10.691096305847168
2010-04-09,11.05251693725586
2010-04-12,11.046682357788086
2010-04-13,11.460572242736816
2010-04-14,11.542184829711914
2010-04-15,11.250714302062988
2010-04-16,11.122468948364258
2010-04-19,11.279862403869629
2010-04-20,11.501379013061523
2010-04-21,11.856965065002441
2010-04-22,12.107634544372559
2010-04-23,12.276687622070312
2010-04-26,12.177586555480957
2010-04-27,11.903605461120605
2010-04-28,11.868633270263672
2010-04-29,12.387442588806152
2010-04-30,11.839483261108398
2010-05-03,12.311662673950195
2010-05-04,12.480711936950684
2010-05-05,12.294175148010254
2010-05-06,11.763699531555176
2010-05-07,11.542184829711914
2010-05-10,12.288344383239746
2010-05-11,12.364121437072754
2010-05-12,12.626447677612305
2010-05-13,12.416592597961426
2010-05-14,12.148443222045898
2010-05-17,12.171758651733398
2010-05-18,11.897780418395996
2010-05-19,11.821996688842773
2010-05-20,11.19242000579834
2010-05-21,11.518864631652832
2010-05-24,11.128297805786133
2010-05-25,11.209907531738281
2010-05-26,11.285688400268555
2010-05-27,11.961901664733887
2010-05-28,11.851142883300781
2010-06-01,11.553844451904297
2010-06-02,11.821996688842773
2010-06-03,11.536355972290039
2010-06-04,10.667776107788086
2010-06-07,10.650289535522461
2010-06-08,10.79602336883545
2010-06-09,11.023369789123535
2010-06-10,11.472232818603516
2010-06-11,11.612133979797363
2010-06-14,11.792848587036133
2010-06-15,12.031853675842285
2010-06-16,12.020195960998535
2010-06-17,12.090149879455566
2010-06-18,12.136784553527832
2010-06-21,11.90943717956543
2010-06-22,11.338155746459961
2010-06-23,11.378965377807617
2010-06-24,11.0700044631958
2010-06-25,11.460572242736816
2010-06-28,11.513036727905273
2010-06-29,11.151615142822266
2010-06-30,11.151615142822266
2010-07-01,11.169103622436523
2010-07-02,10.766878128051758
2010-07-06,10.580336570739746
2010-07-07,11.227396011352539
2010-07-08,11.533390045166016
2010-07-09,11.768762588500977
2010-07-12,11.72757625579834
2010-07-13,11.998250007629395
2010-07-14,11.845254898071289
2010-07-15,11.880566596984863
2010-07-16,11.29212760925293
2010-07-19,11.498080253601074
2010-07-20,11.75699520111084
2010-07-21,11.45100212097168
2010-07-22,11.992372512817383
2010-07-23,12.133591651916504
2010-07-26,12.563151359558105
2010-07-27,12.498421669006348
2010-07-28,12.586688995361328
2010-07-29,12.398388862609863
2010-07-30,12.421921730041504
2010-08-02,12.739680290222168
2010-08-03,12.54549789428711
2010-08-04,12.451347351074219
2010-08-05,12.345430374145508
2010-08-06,12.268930435180664
2010-08-09,12.457231521606445
2010-08-10,12.339544296264648
2010-08-11,12.004135131835938
2010-08-12,11.839373588562012
2010-08-13,11.857028007507324
2010-08-16,11.79818344116211
2010-08-17,12.004135131835938
2010-08-18,12.068862915039062
2010-08-19,11.70991325378418
2010-08-20,11.70991325378418
2010-08-23,11.809948921203613
2010-08-24,11.768762588500977
2010-08-25,11.992372512817383
2010-08-26,11.833489418029785
2010-08-27,12.03355884552002
2010-08-30,11.939406394958496
2010-08-31,12.110058784484863
2010-09-01,12.586688995361328
2010-09-02,12.621994018554688
2010-09-03,12.88679313659668
2010-09-07,12.66318416595459
2010-09-08,12.204206466674805
2010-09-09,12.174782752990723
2010-09-10,12.263051986694336
2010-09-13,12.433699607849121
2010-09-14,12.439579010009766
2010-09-15,12.521958351135254
2010-09-16,12.533729553222656
2010-09-17,12.698493003845215
2010-09-20,13.016249656677246
2010-09-21,12.698493003845215
2010-09-22,12.457231521606445
2010-09-23,12.068862915039062
2010-09-24,12.421921730041504
2010-09-27,12.274816513061523
2010-09-28,12.433699607849121
