Date,KMB
2010-01-04,36.07341384887695
2010-01-05,36.10149383544922
2010-01-06,35.65806579589844
2010-01-07,35.42231369018555
2010-01-08,35.19781494140625
2010-01-11,35.15290832519531
2010-01-12,35.3718147277832
2010-01-13,35.70858383178711
2010-01-14,35.3718147277832
2010-01-15,34.922794342041016
2010-01-19,35.24834060668945
2010-01-20,34.84982681274414
2010-01-21,34.29978561401367
2010-01-22,33.805843353271484
2010-01-25,33.92933654785156
2010-01-26,33.73849105834961
2010-01-27,33.396121978759766
2010-01-28,33.177223205566406
2010-01-29,33.33436965942383
2010-02-01,33.40171813964844
2010-02-02,34.05842971801758
2010-02-03,33.89564895629883
2010-02-04,33.24457550048828
2010-02-05,33.09300994873047
2010-02-08,33.08740997314453
2010-02-09,33.46347427368164
2010-02-10,33.07618713378906
2010-02-11,33.22212600708008
2010-02-12,33.03689193725586
2010-02-16,33.261417388916016
2010-02-17,33.31193161010742
2010-02-18,33.901268005371094
2010-02-19,33.817081451416016
2010-02-22,33.62062072753906
2010-02-23,33.890037536621094
2010-02-24,33.845130920410156
2010-02-25,33.901268005371094
2010-02-26,34.09210205078125
2010-03-01,34.09770584106445
2010-03-02,33.86759567260742
2010-03-03,34.06052780151367
2010-03-04,34.07188034057617
2010-03-05,34.11161422729492
2010-03-08,34.11727523803711
2010-03-09,34.05485153198242
2010-03-10,33.754085540771484
2010-03-11,33.88462448120117
2010-03-12,34.09458923339844
2010-03-15,34.2478141784668
2010-03-16,34.34994125366211
2010-03-17,34.57695007324219
2010-03-18,34.781253814697266
2010-03-19,34.860694885253906
2010-03-22,35.75163269042969
2010-03-23,36.04105758666992
2010-03-24,35.689231872558594
2010-03-25,35.77434539794922
2010-03-26,35.64382553100586
2010-03-29,35.87649154663086
2010-03-30,35.83109664916992
2010-03-31,35.68355178833008
2010-04-01,35.4678955078125
2010-04-05,35.33171463012695
2010-04-06,35.29766845703125
2010-04-07,34.92311477661133
2010-04-08,34.80393981933594
2010-04-09,35.0025634765625
2010-04-12,34.837989807128906
2010-04-13,34.650718688964844
2010-04-14,34.752872467041016
2010-04-15,34.95148849487305
2010-04-16,35.08200454711914
2010-04-19,35.2692756652832
2010-04-20,35.484920501708984
2010-04-21,35.7232666015625
2010-04-22,35.252262115478516
2010-04-23,34.57695007324219
2010-04-26,34.582637786865234
2010-04-27,34.457763671875
2010-04-28,34.628028869628906
2010-04-29,34.775569915771484
2010-04-30,34.76423263549805
2010-05-03,34.7017936706543
2010-05-04,34.724491119384766
2010-05-05,34.91177749633789
2010-05-06,34.667747497558594
2010-05-07,34.616668701171875
2010-05-10,35.7119140625
2010-05-11,35.63247299194336
2010-05-12,35.63814926147461
2010-05-13,35.286312103271484
2010-05-14,34.96284103393555
2010-05-17,35.34872817993164
2010-05-18,35.184165954589844
2010-05-19,35.184165954589844
2010-05-20,34.747196197509766
2010-05-21,34.96852111816406
2010-05-24,34.605316162109375
2010-05-25,34.361305236816406
2010-05-26,34.1910514831543
2010-05-27,34.71881103515625
2010-05-28,34.44643020629883
2010-06-01,34.684776306152344
2010-06-02,35.05192184448242
2010-06-03,35.15519332885742
2010-06-04,34.52414321899414
2010-06-07,34.92571258544922
2010-06-08,35.37318420410156
2010-06-09,35.436302185058594
2010-06-10,35.69446563720703
2010-06-11,35.654293060302734
2010-06-14,35.82640838623047
2010-06-15,36.15912628173828
2010-06-16,36.04439163208008
2010-06-17,36.21649932861328
2010-06-18,36.01571273803711
2010-06-21,35.96407699584961
2010-06-22,35.780494689941406
2010-06-23,35.75754928588867
2010-06-24,35.50513458251953
2010-06-25,35.264183044433594
2010-06-28,35.43056106567383
2010-06-29,34.97734451293945
2010-06-30,34.78230667114258
2010-07-01,34.78802490234375
2010-07-02,34.701988220214844
2010-07-06,34.52988052368164
2010-07-07,35.160919189453125
2010-07-08,35.5166130065918
2010-07-09,35.3961296081543
2010-07-12,35.528079986572266
2010-07-13,35.780494689941406
2010-07-14,35.75754928588867
2010-07-15,35.872291564941406
2010-07-16,35.602664947509766
2010-07-19,35.92393112182617
2010-07-20,36.400089263916016
2010-07-21,35.77476501464844
2010-07-22,36.11897277832031
2010-07-23,36.509071350097656
2010-07-26,36.79018020629883
2010-07-27,37.23763656616211
2010-07-28,36.9508171081543
2010-07-29,36.681182861328125
2010-07-30,36.78443908691406
2010-08-02,37.363868713378906
2010-08-03,37.174560546875
2010-08-04,37.48433303833008
2010-08-05,37.467132568359375
2010-08-06,37.45564651489258
2010-08-09,37.78838348388672
2010-08-10,37.87445068359375
2010-08-11,37.358131408691406
2010-08-12,37.42123031616211
2010-08-13,37.18028259277344
2010-08-16,37.352386474609375
2010-08-17,37.24339294433594
2010-08-18,37.44990921020508
2010-08-19,37.16880798339844
2010-08-20,37.12290954589844
2010-08-23,37.266334533691406
2010-08-24,37.12865447998047
2010-08-25,36.990962982177734
2010-08-26,36.76722717285156
2010-08-27,36.9794921875
2010-08-30,36.80738830566406
2010-08-31,36.94507598876953
2010-09-01,37.51301956176758
2010-09-02,37.79985809326172
2010-09-03,37.966224670410156
2010-09-07,38.063758850097656
2010-09-08,38.28974914550781
2010-09-09,38.31290817260742
2010-09-10,38.394039154052734
2010-09-13,38.527313232421875
2010-09-14,38.509925842285156
2010-09-15,38.59686279296875
2010-09-16,38.585262298583984
2010-09-17,38.45777893066406
2010-09-20,38.77067184448242
2010-09-21,38.53889846801758
2010-09-22,38.68376541137695
2010-09-23,38.521522521972656
2010-09-24,38.2723503112793
2010-09-27,37.849361419677734
2010-09-28,37.5016975402832
