Date,COP
2010-01-04,23.373117446899414
2010-01-05,23.395339965820312
2010-01-06,23.56425666809082
2010-01-07,23.470911026000977
2010-01-08,23.675382614135742
2010-01-11,23.813194274902344
2010-01-12,23.30644416809082
2010-01-13,23.4531192779541
2010-01-14,23.550918579101562
2010-01-15,23.568700790405273
2010-01-19,23.87542724609375
2010-01-20,23.586488723754883
2010-01-21,23.22197723388672
2010-01-22,22.49295997619629
2010-01-25,22.559642791748047
2010-01-26,22.417377471923828
2010-01-27,22.14178466796875
2010-01-28,21.492769241333008
2010-01-29,21.337188720703125
2010-02-01,21.812837600708008
2010-02-02,22.292919158935547
2010-02-03,22.221786499023438
2010-02-04,21.40831184387207
2010-02-05,21.32830047607422
2010-02-08,21.057138442993164
2010-02-09,21.555002212524414
2010-02-10,21.4527645111084
2010-02-11,21.73726463317871
2010-02-12,21.635028839111328
2010-02-16,22.190671920776367
2010-02-17,21.915075302124023
2010-02-18,21.946500778198242
2010-02-19,21.959985733032227
2010-02-22,21.870166778564453
2010-02-23,21.488452911376953
2010-02-24,21.712980270385742
2010-02-25,21.69053077697754
2010-02-26,21.55580711364746
2010-03-01,21.964475631713867
2010-03-02,22.323734283447266
2010-03-03,22.175533294677734
2010-03-04,22.15757179260254
2010-03-05,22.63808822631836
2010-03-08,22.78179359436035
2010-03-09,22.8356876373291
2010-03-10,23.114107131958008
2010-03-11,23.03777313232422
2010-03-12,23.208417892456055
2010-03-15,23.19495391845703
2010-03-16,23.428464889526367
2010-03-17,23.792217254638672
2010-03-18,23.670969009399414
2010-03-19,23.518281936645508
2010-03-22,23.397031784057617
2010-03-23,23.581159591674805
2010-03-24,23.59014320373535
2010-03-25,23.141056060791016
2010-03-26,22.91202735900879
2010-03-29,22.97041130065918
2010-03-30,23.019804000854492
2010-03-31,22.979387283325195
2010-04-01,23.36111068725586
2010-04-05,23.926937103271484
2010-04-06,23.935932159423828
2010-04-07,23.760778427124023
2010-04-08,24.22333335876465
2010-04-09,24.843069076538086
2010-04-12,25.13047981262207
2010-04-13,25.0002498626709
2010-04-14,25.548128128051758
2010-04-15,25.62446403503418
2010-04-16,25.17091178894043
2010-04-19,25.435848236083984
2010-04-20,25.777156829833984
2010-04-21,25.696317672729492
2010-04-22,25.588542938232422
2010-04-23,26.087011337280273
2010-04-26,26.181324005126953
2010-04-27,25.84002113342285
2010-04-28,26.293582916259766
2010-04-29,26.540590286254883
2010-04-30,26.581008911132812
2010-05-03,26.810041427612305
2010-05-04,26.05109214782715
2010-05-05,25.489736557006836
2010-05-06,24.739784240722656
2010-05-07,24.55565643310547
2010-05-10,25.449325561523438
2010-05-11,25.7232608795166
2010-05-12,25.902894973754883
2010-05-13,25.57057762145996
2010-05-14,25.07659339904785
2010-05-17,24.784685134887695
2010-05-18,24.551166534423828
2010-05-19,24.209861755371094
2010-05-20,23.10735511779785
2010-05-21,23.352357864379883
2010-05-24,22.735321044921875
2010-05-25,22.64911460876465
2010-05-26,22.490312576293945
2010-05-27,23.688100814819336
2010-05-28,23.529298782348633
2010-06-01,22.83513069152832
2010-06-02,23.815139770507812
2010-06-03,23.58374786376953
2010-06-04,22.712635040283203
2010-06-07,22.499391555786133
2010-06-08,23.066524505615234
2010-06-09,23.012073516845703
2010-06-10,24.214401245117188
2010-06-11,24.273393630981445
2010-06-14,23.955785751342773
2010-06-15,24.6363525390625
2010-06-16,24.713483810424805
2010-06-17,25.035612106323242
2010-06-18,25.412189483642578
2010-06-21,25.31690788269043
2010-06-22,24.708946228027344
2010-06-23,24.277921676635742
2010-06-24,23.824220657348633
2010-06-25,23.556533813476562
2010-06-28,23.225322723388672
2010-06-29,22.61281967163086
2010-06-30,22.272537231445312
2010-07-01,22.172725677490234
2010-07-02,22.150028228759766
2010-07-06,22.322437286376953
2010-07-07,23.211708068847656
2010-07-08,23.388652801513672
2010-07-09,23.728931427001953
2010-07-12,23.638193130493164
2010-07-13,24.14634895324707
2010-07-14,23.955785751342773
2010-07-15,23.983009338378906
2010-07-16,23.524763107299805
2010-07-19,23.52022933959961
2010-07-20,23.892269134521484
2010-07-21,23.647274017333984
2010-07-22,24.169034957885742
2010-07-23,24.40494728088379
2010-07-26,24.695337295532227
2010-07-27,24.699872970581055
2010-07-28,24.699872970581055
2010-07-29,25.006967544555664
2010-07-30,25.309463500976562
2010-08-02,26.36821937561035
2010-08-03,26.38197135925293
2010-08-04,26.317798614501953
2010-08-05,26.446134567260742
2010-08-06,26.093212127685547
2010-08-09,26.267383575439453
2010-08-10,26.065725326538086
2010-08-11,25.442371368408203
2010-08-12,25.369047164916992
2010-08-13,25.21778678894043
2010-08-16,25.176546096801758
2010-08-17,25.607379913330078
2010-08-18,25.401134490966797
2010-08-19,25.075716018676758
2010-08-20,24.699871063232422
2010-08-23,24.617372512817383
2010-08-24,24.48904037475586
2010-08-25,24.502788543701172
2010-08-26,24.021530151367188
2010-08-27,24.48444366455078
2010-08-30,24.140701293945312
2010-08-31,24.030698776245117
2010-09-01,24.777788162231445
2010-09-02,24.947372436523438
2010-09-03,25.23154640197754
2010-09-07,24.594463348388672
2010-09-08,24.896957397460938
2010-09-09,25.084877014160156
2010-09-10,25.094038009643555
2010-09-13,25.38279914855957
2010-09-14,25.378217697143555
2010-09-15,25.46529197692871
2010-09-16,25.37363052368164
2010-09-17,25.332378387451172
2010-09-20,26.04739761352539
2010-09-21,25.905298233032227
2010-09-22,25.694475173950195
2010-09-23,25.309463500976562
2010-09-24,25.831966400146484
2010-09-27,25.7861328125
2010-09-28,26.16655921936035
