Date,AMP
2010-01-04,28.590208053588867
2010-01-05,29.256946563720703
2010-01-06,29.665573120117188
2010-01-07,29.887805938720703
2010-01-08,29.995349884033203
2010-01-11,30.382482528686523
2010-01-12,29.89497184753418
2010-01-13,30.260597229003906
2010-01-14,30.1243896484375
2010-01-15,29.837615966796875
2010-01-19,30.15306282043457
2010-01-20,30.038360595703125
2010-01-21,29.213916778564453
2010-01-22,28.504179000854492
2010-01-25,28.98451805114746
2010-01-26,28.747926712036133
2010-01-27,29.32862091064453
2010-01-28,28.654743194580078
2010-01-29,27.41448211669922
2010-02-01,28.504179000854492
2010-02-02,28.661903381347656
2010-02-03,28.09554672241211
2010-02-04,26.970001220703125
2010-02-05,27.19224739074707
2010-02-08,26.69040870666504
2010-02-09,27.19224739074707
2010-02-10,27.753944396972656
2010-02-11,27.408281326293945
2010-02-12,27.55231475830078
2010-02-16,28.272441864013672
2010-02-17,28.67572021484375
2010-02-18,28.646915435791016
2010-02-19,28.906152725219727
2010-02-22,29.151004791259766
2010-02-23,28.639707565307617
2010-02-24,29.2734317779541
2010-02-25,28.927762985229492
2010-02-26,28.826946258544922
2010-03-01,29.014184951782227
2010-03-02,29.165407180786133
2010-03-03,29.28063201904297
2010-03-04,29.712709426879883
2010-03-05,30.893733978271484
2010-03-08,30.994544982910156
2010-03-09,30.821712493896484
2010-03-10,30.857725143432617
2010-03-11,30.857725143432617
2010-03-12,31.20339012145996
2010-03-15,31.289791107177734
2010-03-16,31.664270401000977
2010-03-17,32.31959533691406
2010-03-18,32.276390075683594
2010-03-19,31.815500259399414
2010-03-22,31.96672821044922
2010-03-23,32.182762145996094
2010-03-24,32.175575256347656
2010-03-25,32.189971923828125
2010-03-26,31.657079696655273
2010-03-29,32.04594421386719
2010-03-30,32.60043716430664
2010-03-31,32.665245056152344
2010-04-01,33.248565673828125
2010-04-05,33.298973083496094
2010-04-06,33.11894989013672
2010-04-07,32.614864349365234
2010-04-08,33.13335037231445
2010-04-09,33.241363525390625
2010-04-12,33.64464569091797
2010-04-13,34.271141052246094
2010-04-14,34.80405807495117
2010-04-15,34.72484588623047
2010-04-16,33.93268585205078
2010-04-19,34.32876968383789
2010-04-20,34.89045715332031
2010-04-21,34.83285903930664
2010-04-22,34.98408889770508
2010-04-23,35.32255554199219
2010-04-26,34.93367385864258
2010-04-27,32.35560607910156
2010-04-28,33.464595794677734
2010-04-29,34.63842010498047
2010-04-30,33.38539505004883
2010-05-03,34.20634841918945
2010-05-04,33.06852340698242
2010-05-05,32.90224838256836
2010-05-06,31.5792179107666
2010-05-07,30.755037307739258
2010-05-10,33.00347137451172
2010-05-11,33.38665008544922
2010-05-12,33.48784637451172
2010-05-13,32.714263916015625
2010-05-14,31.36956787109375
2010-05-17,31.217737197875977
2010-05-18,29.93807029724121
2010-05-19,29.8151798248291
2010-05-20,27.84147071838379
2010-05-21,29.215110778808594
2010-05-24,28.202945709228516
2010-05-25,27.798107147216797
2010-05-26,27.993295669555664
2010-05-27,29.598281860351562
2010-05-28,28.766876220703125
2010-06-01,28.043907165527344
2010-06-02,29.13559341430664
2010-06-03,29.092208862304688
2010-06-04,27.76917839050293
2010-06-07,27.132966995239258
2010-06-08,27.559520721435547
2010-06-09,27.393226623535156
2010-06-10,28.2463321685791
2010-06-11,28.5355167388916
2010-06-14,28.542757034301758
2010-06-15,29.31633758544922
2010-06-16,29.453704833984375
2010-06-17,28.86809539794922
2010-06-18,28.74518585205078
2010-06-21,28.73795509338379
2010-06-22,28.275257110595703
2010-06-23,27.94269371032715
2010-06-24,27.299253463745117
2010-06-25,27.82701301574707
2010-06-28,27.5089168548584
2010-06-29,26.019603729248047
2010-06-30,26.120813369750977
2010-07-01,25.903928756713867
2010-07-02,26.156967163085938
2010-07-06,26.366619110107422
2010-07-07,27.573976516723633
2010-07-08,27.63182258605957
2010-07-09,28.19572639465332
2010-07-12,27.91377830505371
2010-07-13,28.61505126953125
2010-07-14,28.499370574951172
2010-07-15,28.340328216552734
2010-07-16,27.14743423461914
2010-07-19,27.255874633789062
2010-07-20,27.747488021850586
2010-07-21,26.973913192749023
2010-07-22,28.07282257080078
2010-07-23,27.94269371032715
2010-07-26,27.83425521850586
2010-07-27,28.007762908935547
2010-07-28,27.675186157226562
2010-07-29,31.073148727416992
2010-07-30,30.646595001220703
2010-08-02,31.528608322143555
2010-08-03,30.957475662231445
2010-08-04,31.385812759399414
2010-08-05,31.50923728942871
2010-08-06,31.182525634765625
2010-08-09,31.88677406311035
2010-08-10,32.104576110839844
2010-08-11,31.255138397216797
2010-08-12,31.051851272583008
2010-08-13,30.638011932373047
2010-08-16,30.884862899780273
2010-08-17,32.32238006591797
2010-08-18,32.467594146728516
2010-08-19,31.545536041259766
2010-08-20,31.313213348388672
2010-08-23,31.371294021606445
2010-08-24,30.63075828552246
2010-08-25,30.899377822875977
2010-08-26,30.63075828552246
2010-08-27,31.734302520751953
2010-08-30,31.385812759399414
2010-08-31,31.63992691040039
2010-09-01,33.21538162231445
2010-09-02,33.52031707763672
2010-09-03,34.28262710571289
2010-09-07,33.716346740722656
2010-09-08,34.11564636230469
2010-09-09,34.28989028930664
2010-09-10,34.27537536621094
2010-09-13,34.99412536621094
2010-09-14,34.696468353271484
2010-09-15,34.42056655883789
2010-09-16,34.38429260253906
2010-09-17,34.57304382324219
2010-09-20,35.12481689453125
2010-09-21,34.7981071472168
2010-09-22,33.774410247802734
2010-09-23,33.28798294067383
2010-09-24,34.297157287597656
2010-09-27,34.17374801635742
2010-09-28,34.62385177612305
