Date,COF
2010-01-04,30.827363967895508
2010-01-05,32.0430793762207
2010-01-06,32.216773986816406
2010-01-07,33.81140899658203
2010-01-08,33.51932144165039
2010-01-11,32.91935348510742
2010-01-12,33.0456657409668
2010-01-13,33.250938415527344
2010-01-14,32.895668029785156
2010-01-15,32.469383239746094
2010-01-19,33.95351028442383
2010-01-20,33.96141815185547
2010-01-21,33.70877456665039
2010-01-22,29.627422332763672
2010-01-25,28.506433486938477
2010-01-26,27.79593276977539
2010-01-27,28.8537654876709
2010-01-28,29.00377655029297
2010-01-29,29.098506927490234
2010-02-01,29.03534698486328
2010-02-02,29.54846954345703
2010-02-03,28.8537654876709
2010-02-04,27.59068489074707
2010-02-05,27.914352416992188
2010-02-08,27.338064193725586
2010-02-09,27.890670776367188
2010-02-10,28.112030029296875
2010-02-11,28.175277709960938
2010-02-12,27.779985427856445
2010-02-16,29.044872283935547
2010-02-17,29.131834030151367
2010-02-18,29.511306762695312
2010-02-19,29.87495994567871
2010-02-22,30.262325286865234
2010-02-23,29.274137496948242
2010-02-24,29.756364822387695
2010-02-25,29.542917251586914
2010-02-26,29.84332847595215
2010-03-01,29.550830841064453
2010-03-02,30.0251522064209
2010-03-03,29.851226806640625
2010-03-04,29.123920440673828
2010-03-05,29.993532180786133
2010-03-08,29.922382354736328
2010-03-09,30.56273651123047
2010-03-10,30.902673721313477
2010-03-11,31.471893310546875
2010-03-12,31.535104751586914
2010-03-15,31.606266021728516
2010-03-16,31.930402755737305
2010-03-17,31.81971549987793
2010-03-18,32.28614807128906
2010-03-19,31.440250396728516
2010-03-22,32.104312896728516
2010-03-23,32.341468811035156
2010-03-24,32.61817169189453
2010-03-25,33.242706298828125
2010-03-26,33.139930725097656
2010-03-29,33.71703338623047
2010-03-30,33.139930725097656
2010-03-31,32.73676300048828
2010-04-01,32.863243103027344
2010-04-05,34.112308502197266
2010-04-06,34.199275970458984
2010-04-07,34.112308502197266
2010-04-08,34.7763786315918
2010-04-09,34.67359924316406
2010-04-12,35.717140197753906
2010-04-13,35.53529739379883
2010-04-14,36.41280746459961
2010-04-15,35.69341278076172
2010-04-16,34.38111114501953
2010-04-19,34.63408660888672
2010-04-20,35.242801666259766
2010-04-21,35.369293212890625
2010-04-22,36.0096321105957
2010-04-23,36.942481994628906
2010-04-26,35.76455307006836
2010-04-27,34.22300338745117
2010-04-28,34.6815071105957
2010-04-29,35.472049713134766
2010-04-30,34.31785583496094
2010-05-03,36.46815490722656
2010-05-04,35.48786926269531
2010-05-05,34.97401809692383
2010-05-06,34.088600158691406
2010-05-07,33.35254669189453
2010-05-10,34.982948303222656
2010-05-11,35.442012786865234
2010-05-12,36.890403747558594
2010-05-13,35.544898986816406
2010-05-14,33.843231201171875
2010-05-17,33.724517822265625
2010-05-18,32.90139389038086
2010-05-19,33.54248809814453
2010-05-20,32.71144104003906
2010-05-21,33.091346740722656
2010-05-24,32.386932373046875
2010-05-25,32.17325210571289
2010-05-26,31.904125213623047
2010-05-27,33.40793991088867
2010-05-28,32.68770217895508
2010-06-01,32.03868865966797
2010-06-02,33.043861389160156
2010-06-03,32.600643157958984
2010-06-04,31.112674713134766
2010-06-07,30.471572875976562
2010-06-08,30.87521743774414
2010-06-09,30.091672897338867
2010-06-10,31.714191436767578
2010-06-11,31.86455726623535
2010-06-14,32.02286148071289
2010-06-15,33.66120147705078
2010-06-16,33.6374626159668
2010-06-17,33.53457260131836
2010-06-18,33.74827575683594
2010-06-21,34.29438400268555
2010-06-22,34.54764938354492
2010-06-23,34.22314453125
2010-06-24,33.85115051269531
2010-06-25,34.381439208984375
2010-06-28,33.97780990600586
2010-06-29,32.30779266357422
2010-06-30,31.89621925354004
2010-07-01,31.32636070251465
2010-07-02,31.2076473236084
2010-07-06,31.318449020385742
2010-07-07,33.312950134277344
2010-07-08,33.85905838012695
2010-07-09,34.57139205932617
2010-07-12,34.57139205932617
2010-07-13,35.616127014160156
2010-07-14,35.244140625
2010-07-15,34.238975524902344
2010-07-16,32.814327239990234
2010-07-19,32.44233703613281
2010-07-20,32.814327239990234
2010-07-21,31.73002815246582
2010-07-22,33.305049896240234
2010-07-23,32.32362365722656
2010-07-26,32.80642318725586
2010-07-27,32.885562896728516
2010-07-28,33.059696197509766
2010-07-29,33.57414245605469
2010-07-30,33.50291061401367
2010-08-02,33.85905838012695
2010-08-03,33.18632507324219
2010-08-04,32.95679473876953
2010-08-05,32.58479690551758
2010-08-06,32.386932373046875
2010-08-09,32.703914642333984
2010-08-10,32.87031173706055
2010-08-11,31.586585998535156
2010-08-12,30.59602165222168
2010-08-13,30.762439727783203
2010-08-16,30.84961700439453
2010-08-17,31.00016212463379
2010-08-18,30.952613830566406
2010-08-19,29.803592681884766
2010-08-20,29.93829917907715
2010-08-23,30.01754379272461
2010-08-24,29.581708908081055
2010-08-25,29.415292739868164
2010-08-26,29.486610412597656
2010-08-27,30.279064178466797
2010-08-30,29.827363967895508
2010-08-31,30.009611129760742
2010-09-01,30.928848266601562
2010-09-02,31.317140579223633
2010-09-03,32.244293212890625
2010-09-07,30.786203384399414
2010-09-08,30.968477249145508
2010-09-09,31.22205924987793
2010-09-10,30.817903518676758
2010-09-13,31.261667251586914
2010-09-14,30.588109970092773
2010-09-15,30.97640609741211
2010-09-16,31.30922508239746
2010-09-17,30.643558502197266
2010-09-20,31.166584014892578
2010-09-21,30.3741397857666
2010-09-22,30.025468826293945
2010-09-23,29.85114097595215
2010-09-24,31.182430267333984
2010-09-27,30.722810745239258
2010-09-28,31.023944854736328
