Date,COR
2010-01-04,18.31730079650879
2010-01-05,18.186609268188477
2010-01-06,18.014636993408203
2010-01-07,17.725749969482422
2010-01-08,17.918352127075195
2010-01-11,18.117820739746094
2010-01-12,18.241636276245117
2010-01-13,18.59930992126465
2010-01-14,18.716249465942383
2010-01-15,18.516773223876953
2010-01-19,18.82630157470703
2010-01-20,18.668092727661133
2010-01-21,18.282907485961914
2010-01-22,18.337926864624023
2010-01-25,18.647464752197266
2010-01-26,18.874448776245117
2010-01-27,18.750638961791992
2010-01-28,18.764394760131836
2010-01-29,18.750638961791992
2010-02-01,19.087682723999023
2010-02-02,19.637958526611328
2010-02-03,19.479759216308594
2010-02-04,18.860694885253906
2010-02-05,18.578683853149414
2010-02-08,18.537410736083984
2010-02-09,18.681854248046875
2010-02-10,18.757740020751953
2010-02-11,18.98539924621582
2010-02-12,18.868127822875977
2010-02-16,19.0198917388916
2010-02-17,19.033687591552734
2010-02-18,19.21996307373047
2010-02-19,19.41312599182129
2010-02-22,19.24064826965332
2010-02-23,19.14406967163086
2010-02-24,19.24064826965332
2010-02-25,19.37172508239746
2010-02-26,19.34414291381836
2010-03-01,19.364826202392578
2010-03-02,19.63388442993164
2010-03-03,19.316545486450195
2010-03-04,19.309642791748047
2010-03-05,19.599388122558594
2010-03-08,19.364826202392578
2010-03-09,19.309642791748047
2010-03-10,19.35103988647461
2010-03-11,19.37172508239746
2010-03-12,19.26824951171875
2010-03-15,19.14406967163086
2010-03-16,19.564905166625977
2010-03-17,19.45452308654785
2010-03-18,19.709774017333984
2010-03-19,19.78565788269043
2010-03-22,20.206483840942383
2010-03-23,20.15129280090332
2010-03-24,19.813251495361328
2010-03-25,19.730459213256836
2010-03-26,19.723567962646484
2010-03-29,19.896039962768555
2010-03-30,20.1995849609375
2010-03-31,19.95122718811035
2010-04-01,19.723567962646484
2010-04-05,19.95122718811035
2010-04-06,20.02710723876953
2010-04-07,20.03401756286621
2010-04-08,20.130592346191406
2010-04-09,20.330657958984375
2010-04-12,20.24097442626953
2010-04-13,20.32377052307129
2010-04-14,20.144393920898438
2010-04-15,20.344457626342773
2010-04-16,20.61351203918457
2010-04-19,20.572118759155273
2010-04-20,20.958446502685547
2010-04-21,20.944644927978516
2010-04-22,21.66901969909668
2010-04-23,21.47585678100586
2010-04-26,21.54483985900879
2010-04-27,21.289588928222656
2010-04-28,21.241300582885742
2010-04-29,21.6345272064209
2010-04-30,21.282695770263672
2010-05-03,21.5793399810791
2010-05-04,21.3654727935791
2010-05-05,21.406869888305664
2010-05-06,21.213699340820312
2010-05-07,20.634204864501953
2010-05-10,21.427560806274414
2010-05-11,21.537939071655273
2010-05-12,21.931171417236328
2010-05-13,21.800092697143555
2010-05-14,21.600034713745117
2010-05-17,21.6621150970459
2010-05-18,21.586233139038086
2010-05-19,21.675922393798828
2010-05-20,21.21943473815918
2010-05-21,21.323184967041016
2010-05-24,21.233272552490234
2010-05-25,20.935867309570312
2010-05-26,21.05344009399414
2010-05-27,21.835002899169922
2010-05-28,21.634428024291992
2010-06-01,21.309349060058594
2010-06-02,21.945659637451172
2010-06-03,22.187732696533203
2010-06-04,21.281681060791016
2010-06-07,21.281681060791016
2010-06-08,21.177946090698242
2010-06-09,21.399259567260742
2010-06-10,21.917999267578125
2010-06-11,22.077068328857422
2010-06-14,22.27764129638672
2010-06-15,22.45055389404297
2010-06-16,22.65804672241211
2010-06-17,22.741039276123047
2010-06-18,22.519716262817383
2010-06-21,22.422889709472656
2010-06-22,22.104724884033203
2010-06-23,22.0424861907959
2010-06-24,21.848825454711914
2010-06-25,22.0424861907959
2010-06-28,22.498966217041016
2010-06-29,21.938735961914062
2010-06-30,21.959487915039062
2010-07-01,21.392345428466797
2010-07-02,21.38542938232422
2010-07-06,21.675918579101562
2010-07-07,21.980234146118164
2010-07-08,22.077068328857422
2010-07-09,22.021732330322266
2010-07-12,21.959487915039062
2010-07-13,22.360639572143555
2010-07-14,22.678794860839844
2010-07-15,22.63729476928711
2010-07-16,22.229223251342773
2010-07-19,22.125478744506836
2010-07-20,22.31222152709961
2010-07-21,22.13930892944336
2010-07-22,20.493213653564453
2010-07-23,21.115694046020508
2010-07-26,21.094945907592773
2010-07-27,20.15431785583496
2010-07-28,20.009077072143555
2010-07-29,20.04365348815918
2010-07-30,20.728370666503906
2010-08-02,21.1502685546875
2010-08-03,20.73529052734375
2010-08-04,20.998111724853516
2010-08-05,20.984283447265625
2010-08-06,20.915115356445312
2010-08-09,20.78371238708496
2010-08-10,20.728370666503906
2010-08-11,20.140480041503906
2010-08-12,20.161224365234375
2010-08-13,20.08515167236328
2010-08-16,19.856908798217773
2010-08-17,20.396392822265625
2010-08-18,20.375646591186523
2010-08-19,20.175071716308594
2010-08-20,20.057165145874023
2010-08-23,19.79361915588379
2010-08-24,19.328948974609375
2010-08-25,19.36361312866211
2010-08-26,19.16942596435547
2010-08-27,19.231847763061523
2010-08-30,19.155563354492188
2010-08-31,18.919757843017578
2010-09-01,19.398303985595703
2010-09-02,19.474592208862305
2010-09-03,19.474592208862305
2010-09-07,19.439918518066406
2010-09-08,19.45378303527832
2010-09-09,19.592491149902344
2010-09-10,19.74506187438965
2010-09-13,19.7658748626709
2010-09-14,20.175064086914062
2010-09-15,20.979570388793945
2010-09-16,20.896347045898438
2010-09-17,20.931018829345703
2010-09-20,21.250051498413086
2010-09-21,21.354084014892578
2010-09-22,21.097469329833984
2010-09-23,21.0419864654541
2010-09-24,21.742464065551758
2010-09-27,21.46505355834961
2010-09-28,21.617630004882812
