Date,DVN
2010-01-04,49.69589614868164
2010-01-05,49.74781036376953
2010-01-06,49.598548889160156
2010-01-07,49.306480407714844
2010-01-08,49.40382385253906
2010-01-11,48.728851318359375
2010-01-12,48.15121841430664
2010-01-13,48.72236251831055
2010-01-14,48.008419036865234
2010-01-15,47.39834213256836
2010-01-19,47.748817443847656
2010-01-20,46.75581359863281
2010-01-21,46.35988235473633
2010-01-22,44.97747802734375
2010-01-25,46.061336517333984
2010-01-26,45.276023864746094
2010-01-27,45.00991439819336
2010-01-28,44.47122573852539
2010-01-29,43.426300048828125
2010-02-01,45.276023864746094
2010-02-02,46.28849411010742
2010-02-03,45.749820709228516
2010-02-04,43.39384460449219
2010-02-05,43.30948257446289
2010-02-08,42.92654037475586
2010-02-09,43.67941665649414
2010-02-10,43.101802825927734
2010-02-11,43.55609130859375
2010-02-12,43.53663635253906
2010-02-16,44.84767532348633
2010-02-17,45.29550552368164
2010-02-18,45.56809616088867
2010-02-19,46.35342025756836
2010-02-22,45.444766998291016
2010-02-23,44.15970993041992
2010-02-24,44.38685989379883
2010-02-25,44.65945053100586
2010-02-26,44.69190979003906
2010-03-01,45.02939224243164
2010-03-02,45.53563690185547
2010-03-03,45.71736145019531
2010-03-04,45.13972473144531
2010-03-05,45.39932632446289
2010-03-08,45.230587005615234
2010-03-09,45.983482360839844
2010-03-10,46.632484436035156
2010-03-11,46.860172271728516
2010-03-12,45.8779296875
2010-03-15,44.70709991455078
2010-03-16,44.095645904541016
2010-03-17,43.69234085083008
2010-03-18,42.53450393676758
2010-03-19,41.83198928833008
2010-03-22,41.630340576171875
2010-03-23,42.267799377441406
2010-03-24,42.358882904052734
2010-03-25,40.934326171875
2010-03-26,41.10997772216797
2010-03-29,42.00111770629883
2010-03-30,41.897037506103516
2010-03-31,41.91004180908203
2010-04-01,42.820716857910156
2010-04-05,43.7183723449707
2010-04-06,43.25002670288086
2010-04-07,42.820716857910156
2010-04-08,42.879249572753906
2010-04-09,43.75088882446289
2010-04-12,43.789913177490234
2010-04-13,43.22398376464844
2010-04-14,43.66633987426758
2010-04-15,43.3150634765625
2010-04-16,42.4044189453125
2010-04-19,42.4044189453125
2010-04-20,43.84196853637695
2010-04-21,43.96553039550781
2010-04-22,44.05010986328125
2010-04-23,45.55919647216797
2010-04-26,44.58350372314453
2010-04-27,43.308563232421875
2010-04-28,43.87445831298828
2010-04-29,43.80943298339844
2010-04-30,43.79643249511719
2010-05-03,44.31679916381836
2010-05-04,43.15896224975586
2010-05-05,43.91350173950195
2010-05-06,42.99633026123047
2010-05-07,42.007606506347656
2010-05-10,44.11516189575195
2010-05-11,44.147701263427734
2010-05-12,45.25347900390625
2010-05-13,43.98506546020508
2010-05-14,42.9703254699707
2010-05-17,42.521488189697266
2010-05-18,42.11820983886719
2010-05-19,42.007606506347656
2010-05-20,40.00417709350586
2010-05-21,41.02539825439453
2010-05-24,39.67241668701172
2010-05-25,39.5943489074707
2010-05-26,39.21708679199219
2010-05-27,41.227054595947266
2010-05-28,41.532772064208984
2010-06-01,40.08871841430664
2010-06-02,42.3133430480957
2010-06-03,43.18497848510742
2010-06-04,42.352359771728516
2010-06-07,40.98637390136719
2010-06-08,42.241790771484375
2010-06-09,41.988101959228516
2010-06-10,44.12166213989258
2010-06-11,44.44114685058594
2010-06-14,44.14775848388672
2010-06-15,45.725608825683594
2010-06-16,45.19096755981445
2010-06-17,45.30833053588867
2010-06-18,45.588680267333984
2010-06-21,44.995357513427734
2010-06-22,43.795658111572266
2010-06-23,43.006717681884766
2010-06-24,41.70270919799805
2010-06-25,41.500572204589844
2010-06-28,41.01808547973633
2010-06-29,39.792301177978516
2010-06-30,39.7205696105957
2010-07-01,39.56410217285156
2010-07-02,39.583648681640625
2010-07-06,39.85750961303711
2010-07-07,40.71815490722656
2010-07-08,41.23978805541992
2010-07-09,41.30495834350586
2010-07-12,41.40278244018555
2010-07-13,41.39625549316406
2010-07-14,41.52012252807617
2010-07-15,41.30495834350586
2010-07-16,39.87705612182617
2010-07-19,39.84446334838867
2010-07-20,40.992008209228516
2010-07-21,40.861595153808594
2010-07-22,41.585330963134766
2010-07-23,41.689659118652344
2010-07-26,41.943931579589844
2010-07-27,41.363643646240234
2010-07-28,40.848567962646484
2010-07-29,40.75075149536133
2010-07-30,40.7442512512207
2010-08-02,41.98957443237305
2010-08-03,41.9504508972168
2010-08-04,42.82415008544922
2010-08-05,42.82415008544922
2010-08-06,42.21779251098633
2010-08-09,42.530765533447266
2010-08-10,42.75244140625
2010-08-11,41.71573257446289
2010-08-12,41.41580581665039
2010-08-13,41.53317642211914
2010-08-16,41.389713287353516
2010-08-17,41.5983772277832
2010-08-18,41.024600982666016
2010-08-19,41.076759338378906
2010-08-20,40.516029357910156
2010-08-23,40.60080337524414
2010-08-24,39.74665832519531
2010-08-25,39.40761947631836
2010-08-26,38.98381423950195
2010-08-27,39.89011764526367
2010-08-30,39.427181243896484
2010-08-31,39.30329513549805
2010-09-01,40.6203498840332
2010-09-02,41.037635803222656
2010-09-03,41.41580581665039
2010-09-07,40.94636535644531
2010-09-08,41.122406005859375
2010-09-09,40.98548126220703
2010-09-10,40.770301818847656
2010-09-13,40.35195541381836
2010-09-14,40.515380859375
2010-09-15,40.60689926147461
2010-09-16,40.60036087036133
2010-09-17,40.50883483886719
2010-09-20,41.13637161254883
2010-09-21,40.972957611083984
2010-09-22,40.8945198059082
2010-09-23,40.68532943725586
2010-09-24,41.875038146972656
2010-09-27,41.82929611206055
2010-09-28,42.06461715698242
