Date,PSA
2010-01-04,45.43617630004883
2010-01-05,45.81040954589844
2010-01-06,45.53258514404297
2010-01-07,45.4702033996582
2010-01-08,44.642333984375
2010-01-11,44.94856262207031
2010-01-12,44.21706771850586
2010-01-13,45.090309143066406
2010-01-14,44.86347198486328
2010-01-15,44.7784309387207
2010-01-19,45.725364685058594
2010-01-20,45.2207145690918
2010-01-21,44.64801025390625
2010-01-22,44.04130172729492
2010-01-25,44.65935516357422
2010-01-26,44.41554641723633
2010-01-27,45.33979034423828
2010-01-28,44.540279388427734
2010-01-29,44.897499084472656
2010-02-01,45.62898635864258
2010-02-02,46.0088996887207
2010-02-03,45.254730224609375
2010-02-04,43.47993087768555
2010-02-05,44.018611907958984
2010-02-08,43.10569381713867
2010-02-09,42.98661422729492
2010-02-10,43.12270736694336
2010-02-11,43.51393508911133
2010-02-12,43.406219482421875
2010-02-16,44.27377700805664
2010-02-17,44.6536750793457
2010-02-18,45.33412170410156
2010-02-19,46.3264274597168
2010-02-22,46.122291564941406
2010-02-23,45.54959487915039
2010-02-24,46.230018615722656
2010-02-25,46.445499420166016
2010-02-26,46.60428237915039
2010-03-01,47.982154846191406
2010-03-02,48.27699279785156
2010-03-03,48.07854461669922
2010-03-04,48.67392349243164
2010-03-05,49.5698356628418
2010-03-08,49.660587310791016
2010-03-09,49.722957611083984
2010-03-10,49.79099655151367
2010-03-11,50.35653305053711
2010-03-12,50.836368560791016
2010-03-15,50.78499221801758
2010-03-16,51.841800689697266
2010-03-17,52.4073486328125
2010-03-18,52.453060150146484
2010-03-19,51.9332160949707
2010-03-22,52.4359245300293
2010-03-23,52.63014221191406
2010-03-24,53.08713912963867
2010-03-25,52.61302947998047
2010-03-26,52.63584899902344
2010-03-29,52.921478271484375
2010-03-30,53.21853256225586
2010-03-31,52.55016326904297
2010-04-01,52.784393310546875
2010-04-05,53.572715759277344
2010-04-06,54.09828567504883
2010-04-07,53.229984283447266
2010-04-08,53.15568923950195
2010-04-09,54.05828857421875
2010-04-12,53.65841293334961
2010-04-13,54.37248229980469
2010-04-14,54.36676788330078
2010-04-15,53.2813835144043
2010-04-16,52.47589874267578
2010-04-19,52.81865692138672
2010-04-20,53.544166564941406
2010-04-21,53.91547393798828
2010-04-22,54.78950119018555
2010-04-23,54.92087173461914
2010-04-26,55.53213882446289
2010-04-27,54.18967819213867
2010-04-28,54.33820343017578
2010-04-29,56.68037033081055
2010-04-30,55.36075973510742
2010-05-03,57.18878936767578
2010-05-04,56.13766860961914
2010-05-05,55.400753021240234
2010-05-06,53.84120178222656
2010-05-07,53.10429382324219
2010-05-10,56.21763610839844
2010-05-11,55.9034538269043
2010-05-12,56.32619094848633
2010-05-13,55.70352554321289
2010-05-14,53.606990814208984
2010-05-17,53.744102478027344
2010-05-18,52.08744812011719
2010-05-19,51.870361328125
2010-05-20,49.71672058105469
2010-05-21,51.68185043334961
2010-05-24,50.78499221801758
2010-05-25,51.367637634277344
2010-05-26,51.97319030761719
2010-05-27,53.766937255859375
2010-05-28,52.95004653930664
2010-06-01,52.09315490722656
2010-06-02,53.0528678894043
2010-06-03,52.4930305480957
2010-06-04,50.11090850830078
2010-06-07,49.47105407714844
2010-06-08,50.390804290771484
2010-06-09,50.18515396118164
2010-06-10,51.984622955322266
2010-06-11,52.60127258300781
2010-06-14,52.73960494995117
2010-06-15,53.96139907836914
2010-06-16,54.00175476074219
2010-06-17,54.082435607910156
2010-06-18,54.070919036865234
2010-06-21,53.50034713745117
2010-06-22,52.92979431152344
2010-06-23,53.702083587646484
2010-06-24,52.543670654296875
2010-06-25,53.759700775146484
2010-06-28,52.8548583984375
2010-06-29,51.56389236450195
2010-06-30,50.66483688354492
2010-07-01,50.77431869506836
2010-07-02,49.9559440612793
2010-07-06,49.437255859375
2010-07-07,51.86935043334961
2010-07-08,52.60704803466797
2010-07-09,53.24100112915039
2010-07-12,53.540706634521484
2010-07-13,55.0218505859375
2010-07-14,55.03916549682617
2010-07-15,54.58383560180664
2010-07-16,52.66468048095703
2010-07-19,53.17759323120117
2010-07-20,54.43977355957031
2010-07-21,53.55797576904297
2010-07-22,55.373409271240234
2010-07-23,55.70768356323242
2010-07-26,56.87187194824219
2010-07-27,56.92950439453125
2010-07-28,56.86610794067383
2010-07-29,56.87187194824219
2010-07-30,56.54909896850586
2010-08-02,58.623897552490234
2010-08-03,58.42220687866211
2010-08-04,58.773746490478516
2010-08-05,58.24928283691406
2010-08-06,57.25222396850586
2010-08-09,58.32997131347656
2010-08-10,57.94382858276367
2010-08-11,56.73933410644531
2010-08-12,56.382015228271484
