Date,AMAT
2010-01-04,11.08042049407959
2010-01-05,10.995186805725098
2010-01-06,10.971940994262695
2010-01-07,10.855714797973633
2010-01-08,11.27413558959961
2010-01-11,11.52209186553955
2010-01-12,11.002939224243164
2010-01-13,11.057177543640137
2010-01-14,11.119169235229492
2010-01-15,10.638758659362793
2010-01-19,10.824721336364746
2010-01-20,10.6929931640625
2010-01-21,10.522528648376465
2010-01-22,9.786415100097656
2010-01-25,9.794163703918457
2010-01-26,9.80191421508789
2010-01-27,10.104104995727539
2010-01-28,9.770914077758789
2010-01-29,9.437732696533203
2010-02-01,9.701180458068848
2010-02-02,9.693432807922363
2010-02-03,9.515215873718262
2010-02-04,9.143288612365723
2010-02-05,9.47647476196289
2010-02-08,9.352499008178711
2010-02-09,9.414488792419434
2010-02-10,9.47647476196289
2010-02-11,9.662439346313477
2010-02-12,9.662439346313477
2010-02-16,10.034366607666016
2010-02-17,10.065361022949219
2010-02-18,9.82515811920166
2010-02-19,9.68568229675293
2010-02-22,9.69346809387207
2010-02-23,9.3508882522583
2010-02-24,9.553321838378906
2010-02-25,9.514395713806152
2010-02-26,9.529963493347168
2010-03-01,9.732399940490723
2010-03-02,9.670109748840332
2010-03-03,9.64675521850586
2010-03-04,9.545536041259766
2010-03-05,9.568896293640137
2010-03-08,9.623394966125488
2010-03-09,9.568896293640137
2010-03-10,9.755758285522461
2010-03-11,9.662325859069824
2010-03-12,9.623394966125488
2010-03-15,9.522180557250977
2010-03-16,9.69346809387207
2010-03-17,9.856972694396973
2010-03-18,9.833619117736816
2010-03-19,9.72461223602295
2010-03-22,9.950407028198242
2010-03-23,10.308554649353027
2010-03-24,10.121692657470703
2010-03-25,10.246273040771484
2010-03-26,10.285199165344238
2010-03-29,10.363055229187012
2010-03-30,10.472062110900879
2010-03-31,10.487634658813477
2010-04-01,10.394200325012207
2010-04-05,10.526562690734863
2010-04-06,10.4954195022583
2010-04-07,10.573278427124023
2010-04-08,10.386417388916016
2010-04-09,10.487634658813477
2010-04-12,10.61220932006836
2010-04-13,10.744569778442383
2010-04-14,11.219512939453125
2010-04-15,11.16500473022461
2010-04-16,11.180581092834473
2010-04-19,11.13386344909668
2010-04-20,11.258437156677246
2010-04-21,11.235081672668457
2010-04-22,11.188366889953613
2010-04-23,11.266228675842285
2010-04-26,11.180581092834473
2010-04-27,10.845789909362793
2010-04-28,10.939221382141113
2010-04-29,11.10272216796875
2010-04-30,10.728998184204102
2010-05-03,10.900284767150879
2010-05-04,10.425342559814453
2010-05-05,10.292984962463379
2010-05-06,9.895905494689941
2010-05-07,9.732399940490723
2010-05-10,10.26962661743164
2010-05-11,10.401988983154297
2010-05-12,10.721214294433594
2010-05-13,10.300774574279785
2010-05-14,10.082764625549316
2010-05-17,10.26184368133545
2010-05-18,10.074981689453125
2010-05-19,10.13726806640625
2010-05-20,9.880329132080078
2010-05-21,9.903690338134766
2010-05-24,9.778426170349121
2010-05-25,9.919343948364258
2010-05-26,9.80191421508789
2010-05-27,10.23250675201416
2010-05-28,10.115073204040527
2010-06-01,9.85671329498291
2010-06-02,10.06026840209961
2010-06-03,10.201189041137695
2010-06-04,9.841057777404785
2010-06-07,9.535725593566895
2010-06-08,9.660990715026855
2010-06-09,9.54355525970459
2010-06-10,9.809739112854004
2010-06-11,9.935004234313965
2010-06-14,9.935004234313965
2010-06-15,10.381258964538574
2010-06-16,10.483036041259766
2010-06-17,10.490864753723145
2010-06-18,10.443891525268555
2010-06-21,10.381258964538574
2010-06-22,10.224676132202148
2010-06-23,10.271648406982422
2010-06-24,9.989809036254883
2010-06-25,10.138556480407715
2010-06-28,10.044609069824219
2010-06-29,9.645330429077148
2010-06-30,9.410463333129883
2010-07-01,9.394803047180176
2010-07-02,9.394803047180176
2010-07-06,9.222565650939941
2010-07-07,9.54355525970459
2010-07-08,9.480924606323242
2010-07-09,9.629674911499023
2010-07-12,9.637503623962402
2010-07-13,9.80191421508789
2010-07-14,9.809739112854004
2010-07-15,9.754937171936035
2010-07-16,9.54355525970459
2010-07-19,9.692307472229004
2010-07-20,9.660990715026855
2010-07-21,9.551382064819336
2010-07-22,9.747106552124023
2010-07-23,9.794081687927246
2010-07-26,9.833233833312988
2010-07-27,9.872374534606934
2010-07-28,9.66882038116455
2010-07-29,9.347830772399902
2010-07-30,9.238222122192383
2010-08-02,9.402637481689453
2010-08-03,9.253884315490723
2010-08-04,9.293028831481934
2010-08-05,9.246054649353027
2010-08-06,9.26954174041748
2010-08-09,9.293028831481934
2010-08-10,9.026844024658203
2010-08-11,8.77631664276123
2010-08-12,8.737170219421387
2010-08-13,8.744996070861816
2010-08-16,8.77631664276123
2010-08-17,8.917238235473633
2010-08-18,8.909403800964355
2010-08-19,8.893747329711914
2010-08-20,8.682365417480469
2010-08-23,8.658727645874023
2010-08-24,8.343582153320312
2010-08-25,8.438124656677246
2010-08-26,8.29630184173584
2010-08-27,8.422369003295898
2010-08-30,8.249032974243164
2010-08-31,8.170248985290527
2010-09-01,8.438124656677246
2010-09-02,8.501152992248535
2010-09-03,8.650851249694824
2010-09-07,8.524789810180664
2010-09-08,8.335697174072266
2010-09-09,8.493273735046387
2010-09-10,8.4144868850708
2010-09-13,8.493273735046387
2010-09-14,8.75327205657959
2010-09-15,8.6981201171875
2010-09-16,8.729637145996094
2010-09-17,8.682365417480469
2010-09-20,8.7926664352417
2010-09-21,8.863574981689453
2010-09-22,8.7926664352417
2010-09-23,8.895092964172363
2010-09-24,9.162970542907715
2010-09-27,9.092060089111328
2010-09-28,9.241756439208984
