Date,STT
2010-01-04,30.883495330810547
2010-01-05,30.946025848388672
2010-01-06,30.431987762451172
2010-01-07,30.98073959350586
2010-01-08,31.61287498474121
2010-01-11,30.81403350830078
2010-01-12,30.7028865814209
2010-01-13,30.987695693969727
2010-01-14,30.418094635009766
2010-01-15,29.640106201171875
2010-01-19,30.008268356323242
2010-01-20,32.147727966308594
2010-01-21,31.585079193115234
2010-01-22,30.119400024414062
2010-01-25,30.522279739379883
2010-01-26,29.92490005493164
2010-01-27,30.918235778808594
2010-01-28,30.445890426635742
2010-01-29,29.785980224609375
2010-02-01,30.675107955932617
2010-02-02,30.95992088317871
2010-02-03,30.841827392578125
2010-02-04,29.91794776916504
2010-02-05,30.112445831298828
2010-02-08,29.869338989257812
2010-02-09,30.71678924560547
2010-02-10,31.008543014526367
2010-02-11,31.2933406829834
2010-02-12,30.99462890625
2010-02-16,31.585079193115234
2010-02-17,31.1474666595459
2010-02-18,31.41836166381836
2010-02-19,32.39780807495117
2010-02-22,32.495059967041016
2010-02-23,31.85597801208496
2010-02-24,31.5225830078125
2010-02-25,31.251644134521484
2010-02-26,31.196094512939453
2010-03-01,31.237760543823242
2010-03-02,31.279447555541992
2010-03-03,31.203033447265625
2010-03-04,31.32806968688965
2010-03-05,31.70315933227539
2010-03-08,31.598970413208008
2010-03-09,31.8004207611084
2010-03-10,31.47393798828125
2010-03-11,31.279447555541992
2010-03-12,31.015491485595703
2010-03-15,30.9321231842041
2010-03-16,31.321115493774414
2010-03-17,32.14080047607422
2010-03-18,32.11994934082031
2010-03-19,31.918508529663086
2010-03-22,31.7379093170166
2010-03-23,32.06437683105469
2010-03-24,31.515621185302734
2010-03-25,31.994924545288086
2010-03-26,32.06437683105469
2010-03-29,32.14080047607422
2010-03-30,31.807294845581055
2010-03-31,31.36261558532715
2010-04-01,31.939315795898438
2010-04-05,32.20332717895508
2010-04-06,32.38396072387695
2010-04-07,32.2450065612793
2010-04-08,32.224159240722656
2010-04-09,32.62712860107422
2010-04-12,33.39836120605469
2010-04-13,33.24549865722656
2010-04-14,33.24549865722656
2010-04-15,33.314979553222656
2010-04-16,32.30753707885742
2010-04-19,32.8286247253418
2010-04-20,31.459911346435547
2010-04-21,30.341293334960938
2010-04-22,30.84153938293457
2010-04-23,30.904075622558594
2010-04-26,30.396881103515625
2010-04-27,29.722936630249023
2010-04-28,30.250965118408203
2010-04-29,30.792903900146484
2010-04-30,30.22317886352539
2010-05-03,30.424663543701172
2010-05-04,29.60483169555664
2010-05-05,30.160646438598633
2010-05-06,29.26436996459961
2010-05-07,28.722450256347656
2010-05-10,30.070327758789062
2010-05-11,29.7437686920166
2010-05-12,29.736839294433594
2010-05-13,29.11847496032715
2010-05-14,28.923933029174805
2010-05-17,28.86140251159668
2010-05-18,28.19440460205078
2010-05-19,28.20830726623535
2010-05-20,27.103593826293945
2010-05-21,27.54825782775879
2010-05-24,26.811786651611328
2010-05-25,27.013273239135742
2010-05-26,26.603355407714844
2010-05-27,27.193906784057617
2010-05-28,26.519960403442383
2010-06-01,25.720964431762695
2010-06-02,26.66586685180664
2010-06-03,27.034107208251953
2010-06-04,25.345783233642578
2010-06-07,25.20682716369629
2010-06-08,25.609806060791016
2010-06-09,25.35968589782715
2010-06-10,26.089210510253906
2010-06-11,26.179523468017578
2010-06-14,25.727920532226562
2010-06-15,26.742298126220703
2010-06-16,26.506084442138672
2010-06-17,26.10309600830078
2010-06-18,25.846031188964844
2010-06-21,25.82518768310547
2010-06-22,25.297142028808594
2010-06-23,24.880279541015625
2010-06-24,24.220233917236328
2010-06-25,24.89417266845703
2010-06-28,24.532886505126953
2010-06-29,23.59465789794922
2010-06-30,23.504314422607422
2010-07-01,23.1290225982666
2010-07-02,22.80238151550293
2010-07-06,23.17072105407715
2010-07-07,25.457218170166016
2010-07-08,25.283456802368164
2010-07-09,25.86029052734375
2010-07-12,25.797752380371094
2010-07-13,26.645631790161133
2010-07-14,26.117450714111328
2010-07-15,26.298158645629883
2010-07-16,25.651813507080078
2010-07-19,25.957590103149414
2010-07-20,27.472654342651367
2010-07-21,26.3259334564209
2010-07-22,27.14602279663086
2010-07-23,27.65336036682129
2010-07-26,27.59081268310547
2010-07-27,27.10432243347168
2010-07-28,27.013967514038086
2010-07-29,27.118223190307617
2010-07-30,27.048721313476562
2010-08-02,27.875747680664062
2010-08-03,27.702007293701172
2010-08-04,27.778457641601562
2010-08-05,27.76455307006836
2010-08-06,27.15992546081543
2010-08-09,27.514366149902344
2010-08-10,27.208566665649414
2010-08-11,25.957590103149414
2010-08-12,25.922853469848633
2010-08-13,25.9089412689209
2010-08-16,25.79080581665039
2010-08-17,26.61088752746582
2010-08-18,26.694271087646484
2010-08-19,25.721298217773438
2010-08-20,25.637910842895508
2010-08-23,25.31821060180664
2010-08-24,24.54677963256836
2010-08-25,24.609338760375977
2010-08-26,24.23404312133789
2010-08-27,24.915124893188477
2010-08-30,24.247941970825195
2010-08-31,24.37999153137207
2010-09-01,25.366865158081055
2010-09-02,25.31821060180664
2010-09-03,26.353731155395508
2010-09-07,25.505868911743164
2010-09-08,25.922853469848633
2010-09-09,26.590028762817383
2010-09-10,26.36068344116211
2010-09-13,26.97922706604004
2010-09-14,26.56917381286621
2010-09-15,27.00007438659668
2010-09-16,26.8541202545166
2010-09-17,26.55528450012207
2010-09-20,27.46570587158203
2010-09-21,26.8541202545166
2010-09-22,26.235595703125
2010-09-23,25.839448928833008
2010-09-24,26.631736755371094
2010-09-27,26.534439086914062
2010-09-28,26.388486862182617
