Date,HPQ
2010-01-04,15.533065795898438
2010-01-05,15.598211288452148
2010-01-06,15.45310115814209
2010-01-07,15.459024429321289
2010-01-08,15.574522018432617
2010-01-11,15.527138710021973
2010-01-12,15.390909194946289
2010-01-13,15.464943885803223
2010-01-14,15.550833702087402
2010-01-15,15.538991928100586
2010-01-19,15.621904373168945
2010-01-20,15.461986541748047
2010-01-21,15.189532279968262
2010-01-22,14.597230911254883
2010-01-25,14.825263977050781
2010-01-26,14.73049259185791
2010-01-27,14.644612312316895
2010-01-28,14.153000831604004
2010-01-29,13.939774513244629
2010-02-01,14.164854049682617
2010-02-02,14.389923095703125
2010-02-03,14.431386947631836
2010-02-04,13.927931785583496
2010-02-05,14.013806343078613
2010-02-08,14.093774795532227
2010-02-09,14.250737190246582
2010-02-10,14.221120834350586
2010-02-11,14.398810386657715
2010-02-12,14.35142993927002
2010-02-16,14.641653060913086
2010-02-17,14.843033790588379
2010-02-18,15.047372817993164
2010-02-19,15.041458129882812
2010-02-22,14.97333812713623
2010-02-23,14.843033790588379
2010-02-24,15.041458129882812
2010-02-25,15.07995319366455
2010-02-26,15.041458129882812
2010-03-01,15.26356315612793
2010-03-02,15.139179229736328
2010-03-03,15.133260726928711
2010-03-04,15.254679679870605
2010-03-05,15.408683776855469
2010-03-08,15.319840431213379
2010-03-09,15.364255905151367
2010-03-10,15.334641456604004
2010-03-11,15.405714988708496
2010-03-12,15.506414413452148
2010-03-15,15.547930717468262
2010-03-16,15.527172088623047
2010-03-17,15.4915771484375
2010-03-18,15.639885902404785
2010-03-19,15.56870174407959
2010-03-22,15.705133438110352
2010-03-23,15.76445484161377
2010-03-24,15.737760543823242
2010-03-25,15.868268966674805
2010-03-26,15.844539642333984
2010-03-29,15.711065292358398
2010-03-30,15.797082901000977
2010-03-31,15.76445484161377
2010-04-01,15.791150093078613
2010-04-05,15.978014945983887
2010-04-06,15.97504711151123
2010-04-07,15.80597972869873
2010-04-08,15.90682601928711
2010-04-09,15.978014945983887
2010-04-12,15.980973243713379
2010-04-13,15.951308250427246
2010-04-14,16.170801162719727
2010-04-15,16.08477783203125
2010-04-16,15.942418098449707
2010-04-19,15.909795761108398
2010-04-20,15.886062622070312
2010-04-21,15.927582740783691
2010-04-22,15.81191635131836
2010-04-23,15.986902236938477
2010-04-26,16.09368324279785
2010-04-27,15.794114112854004
2010-04-28,15.803011894226074
2010-04-29,15.684374809265137
2010-04-30,15.414458274841309
