Date,GEN
2010-01-04,6.669053554534912
2010-01-05,6.632809162139893
2010-01-06,6.65455436706543
2010-01-07,6.64005708694458
2010-01-08,6.658179759979248
2010-01-11,6.65455436706543
2010-01-12,6.694425106048584
2010-01-13,6.774162292480469
2010-01-14,6.806783676147461
2010-01-15,6.832154273986816
2010-01-19,6.937264442443848
2010-01-20,6.781412124633789
2010-01-21,6.75241756439209
2010-01-22,6.629185676574707
2010-01-25,6.694425106048584
2010-01-26,6.690800189971924
2010-01-27,6.745169162750244
2010-01-28,6.310230255126953
2010-01-29,6.143502235412598
2010-02-01,6.28123140335083
2010-02-02,6.28123140335083
2010-02-03,6.255863189697266
2010-02-04,6.136253833770752
2010-02-05,6.212368011474609
2010-02-08,6.165247440338135
2010-02-09,6.183372974395752
2010-02-10,6.194244384765625
2010-02-11,6.244990825653076
2010-02-12,6.100008964538574
2010-02-16,6.194244384765625
2010-02-17,6.139878749847412
2010-02-18,6.2051191329956055
2010-02-19,6.22324275970459
2010-02-22,6.118130207061768
2010-02-23,6.031144142150879
2010-02-24,5.987649440765381
2010-02-25,5.994898796081543
2010-02-26,5.998522758483887
2010-03-01,6.04564094543457
2010-03-02,6.005774021148682
2010-03-03,6.038393497467041
2010-03-04,6.06376314163208
2010-03-05,6.150753021240234
2010-03-08,6.125382900238037
2010-03-09,6.234114646911621
2010-03-10,6.324728965759277
2010-03-11,6.299358367919922
2010-03-12,6.33197546005249
2010-03-15,6.299358367919922
2010-03-16,6.263111114501953
2010-03-17,6.2051191329956055
2010-03-18,6.328351020812988
2010-03-19,6.230492115020752
2010-03-22,6.22324275970459
2010-03-23,6.179748058319092
2010-03-24,6.150753021240234
2010-03-25,6.172496318817139
2010-03-26,6.103635311126709
2010-03-29,6.143502235412598
2010-03-30,6.179748058319092
2010-03-31,6.136253833770752
2010-04-01,6.078262805938721
2010-04-05,6.100008964538574
2010-04-06,6.06376314163208
2010-04-07,6.049267292022705
2010-04-08,6.04564094543457
2010-04-09,6.190623760223389
2010-04-12,6.219616413116455
2010-04-13,6.056516170501709
2010-04-14,6.194244384765625
2010-04-15,6.1543779373168945
2010-04-16,6.04564094543457
2010-04-19,6.092761039733887
2010-04-20,6.186995983123779
2010-04-21,6.201497554779053
2010-04-22,6.241364002227783
2010-04-23,6.310230255126953
2010-04-26,6.190623760223389
2010-04-27,6.143502235412598
2010-04-28,6.292105674743652
2010-04-29,6.212368011474609
2010-04-30,6.078262805938721
2010-05-03,6.031144142150879
2010-05-04,5.878915309906006
2010-05-05,5.889791011810303
2010-05-06,5.991275787353516
2010-05-07,5.661445617675781
2010-05-10,5.875290393829346
2010-05-11,5.904287815093994
2010-05-12,6.009397983551025
2010-05-13,5.933283805847168
2010-05-14,5.842669486999512
2010-05-17,5.900662422180176
2010-05-18,5.7810540199279785
2010-05-19,5.665071487426758
2010-05-20,5.349740028381348
2010-05-21,5.331618309020996
2010-05-24,5.230132579803467
2010-05-25,5.193889617919922
2010-05-26,5.125021934509277
2010-05-27,5.298998832702637
2010-05-28,5.135896682739258
2010-06-01,5.0162882804870605
2010-06-02,5.175764560699463
2010-06-03,5.291748046875
2010-06-04,5.045284271240234
2010-06-07,5.0380353927612305
2010-06-08,5.09240198135376
2010-06-09,5.045284271240234
2010-06-10,5.230132579803467
2010-06-11,5.317120552062988
2010-06-14,5.230132579803467
2010-06-15,5.44035530090332
2010-06-16,5.462098598480225
2010-06-17,5.451225757598877
2010-06-18,5.494719982147217
2010-06-21,5.422230243682861
2010-06-22,5.320744514465332
2010-06-23,5.346116065979004
2010-06-24,5.226509094238281
2010-06-25,5.226509094238281
2010-06-28,5.2228827476501465
2010-06-29,5.0489091873168945
2010-06-30,5.03078556060791
2010-07-01,5.027162551879883
2010-07-02,5.06702995300293
2010-07-06,5.085155010223389
2010-07-07,5.241006851196289
2010-07-08,5.255505084991455
2010-07-09,5.2192583084106445
2010-07-12,5.335244178771973
2010-07-13,5.429479122161865
2010-07-14,5.422230243682861
2010-07-15,5.40773344039917
2010-07-16,5.288124084472656
2010-07-19,5.40048360824585
2010-07-20,5.443976402282715
2010-07-21,5.288124084472656
2010-07-22,5.5055928230285645
2010-07-23,5.5055928230285645
2010-07-26,5.469347953796387
2010-07-27,5.433102130889893
2010-07-28,5.317120552062988
2010-07-29,4.722704887390137
2010-07-30,4.700957298278809
2010-08-02,4.7734456062316895
2010-08-03,4.697334289550781
2010-08-04,4.740828037261963
2010-08-05,4.744452476501465
2010-08-06,4.726329803466797
2010-08-09,4.726329803466797
2010-08-10,4.675587177276611
2010-08-11,4.548729419708252
2010-08-12,4.497984886169434
2010-08-13,4.472616672515869
2010-08-16,4.490737438201904
2010-08-17,4.6139678955078125
2010-08-18,4.563228130340576
2010-08-19,4.845938682556152
2010-08-20,5.001791477203369
2010-08-23,4.903927803039551
2010-08-24,4.951045036315918
2010-08-25,5.009037971496582
2010-08-26,4.951045036315918
2010-08-27,5.063406944274902
2010-08-30,4.961920738220215
2010-08-31,4.940173625946045
2010-09-01,5.103273391723633
2010-09-02,5.063406944274902
2010-09-03,5.06702995300293
2010-09-07,5.063406944274902
2010-09-08,5.2845001220703125
2010-09-09,5.298998832702637
2010-09-10,5.385987281799316
2010-09-13,5.44035530090332
2010-09-14,5.4367289543151855
2010-09-15,5.433102130889893
2010-09-16,5.414981842041016
2010-09-17,5.429479122161865
2010-09-20,5.469347953796387
2010-09-21,5.4584760665893555
2010-09-22,5.404107093811035
2010-09-23,5.404107093811035
2010-09-24,5.487471103668213
2010-09-27,5.588956832885742
