Date,CAH
2010-01-04,21.75043296813965
2010-01-05,21.556528091430664
2010-01-06,21.20216178894043
2010-01-07,21.195480346679688
2010-01-08,21.12860870361328
2010-01-11,21.409439086914062
2010-01-12,21.28239631652832
2010-01-13,21.40274429321289
2010-01-14,21.810604095458984
2010-01-15,21.62339210510254
2010-01-19,22.11817169189453
2010-01-20,21.9443359375
2010-01-21,21.41612434387207
2010-01-22,21.375999450683594
2010-01-25,21.536474227905273
2010-01-26,21.656822204589844
2010-01-27,20.934711456298828
2010-01-28,22.0045108795166
2010-01-29,22.111488342285156
2010-02-01,22.505983352661133
2010-02-02,22.900461196899414
2010-02-03,22.53940773010254
2010-02-04,21.797239303588867
2010-02-05,21.710315704345703
2010-02-08,21.569904327392578
2010-02-09,21.823984146118164
2010-02-10,21.50304412841797
2010-02-11,22.231843948364258
2010-02-12,22.31877326965332
2010-02-16,22.425750732421875
2010-02-17,22.566160202026367
2010-02-18,22.579530715942383
2010-02-19,22.619646072387695
2010-02-22,22.512676239013672
2010-02-23,22.05800437927246
2010-02-24,22.238534927368164
2010-02-25,22.47255516052246
2010-02-26,22.713266372680664
2010-03-01,23.448745727539062
2010-03-02,23.76968765258789
2010-03-03,23.508922576904297
2010-03-04,23.562416076660156
2010-03-05,23.736251831054688
2010-03-08,23.602529525756836
2010-03-09,23.53567123413086
2010-03-10,23.415311813354492
2010-03-11,23.395259857177734
2010-03-12,23.341766357421875
2010-03-15,23.68944549560547
2010-03-16,23.615909576416016
2010-03-17,23.729576110839844
2010-03-18,23.76968765258789
2010-03-19,23.97027015686035
2010-03-22,24.197608947753906
2010-03-23,24.24441146850586
2010-03-24,23.930158615112305
2010-03-25,23.903411865234375
2010-03-26,23.682762145996094
2010-03-29,24.117372512817383
2010-03-30,24.490264892578125
2010-03-31,24.20807647705078
2010-04-01,24.376052856445312
2010-04-05,24.40964698791504
2010-04-06,24.25510025024414
2010-04-07,23.972919464111328
2010-04-08,24.134170532226562
2010-04-09,24.490264892578125
2010-04-12,24.161054611206055
2010-04-13,24.140888214111328
2010-04-14,23.899011611938477
2010-04-15,23.972919464111328
2010-04-16,23.563068389892578
2010-04-19,23.610105514526367
2010-04-20,24.1005802154541
