Date,SWKS
2010-01-04,12.085762023925781
2010-01-05,12.27332878112793
2010-01-06,12.159162521362305
2010-01-07,12.020524024963379
2010-01-08,12.232550621032715
2010-01-11,12.240707397460938
2010-01-12,11.99605655670166
2010-01-13,12.27332878112793
2010-01-14,12.50167179107666
2010-01-15,12.053142547607422
2010-01-19,12.11838436126709
2010-01-20,11.99605655670166
2010-01-21,11.824801445007324
2010-01-22,11.262104034423828
2010-01-25,11.376275062561035
2010-01-26,10.903284072875977
2010-01-27,11.058228492736816
2010-01-28,10.79726791381836
2010-01-29,10.348739624023438
2010-02-01,10.79726791381836
2010-02-02,11.156086921691895
2010-02-03,11.229485511779785
2010-02-04,10.919594764709473
2010-02-05,10.992986679077148
2010-02-08,11.017452239990234
2010-02-09,11.221331596374512
2010-02-10,11.213170051574707
2010-02-11,11.32734489440918
2010-02-12,11.311036109924316
2010-02-16,11.514910697937012
2010-02-17,11.678009986877441
2010-02-18,11.930819511413574
2010-02-19,11.890045166015625
2010-02-22,12.469048500061035
2010-02-23,12.02867603302002
2010-02-24,12.395651817321777
2010-02-25,12.208088874816895
2010-02-26,12.452742576599121
2010-03-01,12.778943061828613
2010-03-02,12.852338790893555
2010-03-03,12.672926902770996
2010-03-04,12.656614303588867
2010-03-05,12.860491752624512
2010-03-08,12.982816696166992
2010-03-09,12.88495922088623
2010-03-10,12.844181060791016
2010-03-11,12.746321678161621
2010-03-12,12.526132583618164
2010-03-15,12.526132583618164
2010-03-16,12.778943061828613
2010-03-17,13.121454238891602
2010-03-18,12.901264190673828
2010-03-19,12.493514060974121
2010-03-22,12.795248031616211
2010-03-23,13.38241195678711
2010-03-24,13.088833808898926
2010-03-25,13.309016227722168
2010-03-26,13.015438079833984
2010-03-29,12.868647575378418
2010-03-30,13.072522163391113
2010-03-31,12.721856117248535
2010-04-01,12.632150650024414
2010-04-05,13.031750679016113
2010-04-06,12.96650505065918
2010-04-07,12.836027145385742
2010-04-08,12.713702201843262
2010-04-09,12.844181060791016
2010-04-12,12.88495922088623
2010-04-13,12.974661827087402
2010-04-14,13.276399612426758
2010-04-15,13.390569686889648
2010-04-16,13.178534507751465
2010-04-19,12.893113136291504
2010-04-20,13.048056602478027
2010-04-21,12.990970611572266
2010-04-22,12.76263427734375
2010-04-23,12.681081771850586
2010-04-26,12.844181060791016
2010-04-27,12.575067520141602
2010-04-28,12.819717407226562
2010-04-29,13.24377727508545
2010-04-30,13.724925994873047
2010-05-03,14.222378730773926
2010-05-04,13.700458526611328
2010-05-05,13.398726463317871
2010-05-06,12.66476821899414
2010-05-07,12.240707397460938
2010-05-10,12.868647575378418
2010-05-11,12.78709602355957
2010-05-12,13.072522163391113
2010-05-13,12.852338790893555
2010-05-14,12.713702201843262
2010-05-17,12.493514060974121
2010-05-18,11.84111213684082
2010-05-19,11.979745864868164
2010-05-20,11.6046142578125
2010-05-21,11.890045166015625
2010-05-24,12.151004791259766
2010-05-25,12.159162521362305
2010-05-26,12.248863220214844
2010-05-27,13.145920753479004
2010-05-28,12.990970611572266
2010-06-01,12.811561584472656
2010-06-02,13.545511245727539
2010-06-03,13.6841459274292
2010-06-04,13.105140686035156
2010-06-07,12.607686042785645
2010-06-08,12.62399673461914
2010-06-09,12.469048500061035
2010-06-10,12.876801490783691
2010-06-11,13.300859451293945
2010-06-14,13.398726463317871
2010-06-15,14.059279441833496
2010-06-16,14.002199172973633
2010-06-17,14.434414863586426
2010-06-18,14.581208229064941
2010-06-21,14.263155937194824
2010-06-22,14.157139778137207
2010-06-23,14.369170188903809
2010-06-24,13.9369535446167
2010-06-25,14.344708442687988
2010-06-28,14.605668067932129
2010-06-29,13.871716499328613
2010-06-30,13.692306518554688
2010-07-01,13.610756874084473
2010-07-02,13.569977760314941
2010-07-06,13.317173957824707
2010-07-07,14.100051879882812
2010-07-08,13.98588752746582
2010-07-09,14.067439079284668
2010-07-12,14.026664733886719
2010-07-13,14.303935050964355
2010-07-14,14.377327919006348
2010-07-15,14.320240020751953
2010-07-16,13.888022422790527
2010-07-19,14.13267707824707
2010-07-20,13.9369535446167
2010-07-21,14.034819602966309
2010-07-22,14.719841957092285
2010-07-23,15.290695190429688
2010-07-26,15.600586891174316
2010-07-27,15.396703720092773
2010-07-28,15.266226768493652
2010-07-29,14.76061725616455
2010-07-30,14.295782089233398
2010-08-02,14.752458572387695
2010-08-03,14.57304859161377
2010-08-04,14.817700386047363
2010-08-05,14.581208229064941
2010-08-06,14.923707962036133
2010-08-09,14.9481782913208
2010-08-10,14.621977806091309
2010-08-11,14.100051879882812
2010-08-12,14.140827178955078
2010-08-13,13.904337882995605
2010-08-16,13.969574928283691
2010-08-17,14.263155937194824
2010-08-18,14.499651908874512
2010-08-19,14.320240020751953
2010-08-20,14.418105125427246
2010-08-23,14.067439079284668
2010-08-24,14.091900825500488
2010-08-25,14.002199172973633
2010-08-26,14.12452220916748
2010-08-27,14.997109413146973
2010-08-30,14.507808685302734
2010-08-31,14.53227424621582
2010-09-01,14.899252891540527
2010-09-02,15.046040534973145
2010-09-03,15.396703720092773
2010-09-07,15.11943531036377
2010-09-08,15.298840522766113
2010-09-09,15.331465721130371
2010-09-10,14.956332206726074
2010-09-13,15.323312759399414
2010-09-14,15.633199691772461
2010-09-15,15.706597328186035
2010-09-16,15.845234870910645
2010-09-17,16.065420150756836
2010-09-20,16.138818740844727
2010-09-21,16.106199264526367
2010-09-22,16.236671447753906
2010-09-23,16.285606384277344
2010-09-24,17.003252029418945
2010-09-27,17.027711868286133
2010-09-28,17.1989688873291
