Date,CB
2010-01-04,35.6444091796875
2010-01-05,34.84138488769531
2010-01-06,34.36391067504883
2010-01-07,34.559242248535156
2010-01-08,34.36391067504883
2010-01-11,34.73286056518555
2010-01-12,34.80522155761719
2010-01-13,34.92096710205078
2010-01-14,35.253753662109375
2010-01-15,34.87757110595703
2010-01-19,35.3188591003418
2010-01-20,35.26097869873047
2010-01-21,35.022239685058594
2010-01-22,34.64604949951172
2010-01-25,35.04395294189453
2010-01-26,35.12352752685547
2010-01-27,35.4201545715332
2010-01-28,35.32610321044922
2010-01-29,35.6444091796875
2010-02-01,35.46355056762695
2010-02-02,35.854225158691406
2010-02-03,35.926570892333984
2010-02-04,34.81967544555664
2010-02-05,34.964378356933594
2010-02-08,34.94990539550781
2010-02-09,35.2320442199707
2010-02-10,35.29716110229492
2010-02-11,35.28992462158203
2010-02-12,35.3116340637207
2010-02-16,35.803585052490234
2010-02-17,35.99166488647461
2010-02-18,36.40404510498047
2010-02-19,36.45468521118164
2010-02-22,36.678955078125
2010-02-23,36.382328033447266
2010-02-24,36.41128921508789
2010-02-25,36.44021224975586
2010-02-26,36.165306091308594
2010-03-01,36.483619689941406
2010-03-02,36.42574691772461
2010-03-03,36.5704460144043
2010-03-04,36.787471771240234
2010-03-05,37.25048065185547
2010-03-08,37.489219665527344
2010-03-09,36.483619689941406
2010-03-10,36.12913131713867
2010-03-11,36.3461799621582
2010-03-12,36.317230224609375
2010-03-15,36.75852966308594
2010-03-16,37.0840950012207
2010-03-17,37.257713317871094
2010-03-18,37.27218246459961
2010-03-19,38.1258544921875
2010-03-22,37.9305419921875
2010-03-23,38.190948486328125
2010-03-24,38.256072998046875
2010-03-25,38.10415267944336
2010-03-26,38.16926193237305
2010-03-29,38.34390640258789
2010-03-30,38.28569412231445
2010-03-31,38.06010055541992
2010-04-01,38.438533782958984
2010-04-05,38.24930953979492
2010-04-06,38.373023986816406
2010-04-07,38.977046966552734
2010-04-08,38.78783416748047
2010-04-09,38.88969802856445
2010-04-12,38.60589599609375
2010-04-13,38.860599517822266
2010-04-14,39.217185974121094
2010-04-15,38.824214935302734
2010-04-16,38.29295349121094
2010-04-19,38.147422790527344
2010-04-20,38.358463287353516
2010-04-21,38.16926574707031
2010-04-22,37.987335205078125
2010-04-23,38.664127349853516
2010-04-26,38.31479263305664
2010-04-27,38.13287353515625
2010-04-28,39.04253387451172
2010-04-29,38.671382904052734
2010-04-30,38.70777130126953
2010-05-03,38.47490310668945
2010-05-04,37.899993896484375
2010-05-05,38.03097915649414
2010-05-06,36.83753204345703
2010-05-07,36.77931213378906
2010-05-10,37.507015228271484
2010-05-11,37.572532653808594
2010-05-12,39.144405364990234
2010-05-13,39.093467712402344
2010-05-14,38.59133529663086
2010-05-17,38.79511260986328
2010-05-18,38.3875846862793
2010-05-19,38.44580078125
2010-05-20,36.35723114013672
2010-05-21,36.34267807006836
2010-05-24,35.767757415771484
2010-05-25,35.44757080078125
2010-05-26,35.243804931640625
2010-05-27,36.248069763183594
2010-05-28,35.77505111694336
2010-06-01,35.33840560913086
2010-06-02,35.89875411987305
2010-06-03,36.45182418823242
2010-06-04,35.251075744628906
2010-06-07,35.287452697753906
2010-06-08,35.92787551879883
2010-06-09,35.97153091430664
2010-06-10,36.84478759765625
2010-06-11,37.303279876708984
2010-06-14,37.39787673950195
2010-06-15,38.07464599609375
2010-06-16,37.92182159423828
2010-06-17,38.242027282714844
2010-06-18,38.62773132324219
2010-06-21,38.83148956298828
2010-06-22,38.93337631225586
2010-06-23,38.48218536376953
2010-06-24,38.41668701171875
2010-06-25,38.715057373046875
2010-06-28,38.84604263305664
2010-06-29,37.67440414428711
2010-06-30,37.4633674621582
2010-07-01,37.259605407714844
2010-07-02,36.990333557128906
2010-07-06,37.012176513671875
2010-07-07,37.76173782348633
2010-07-08,38.00187301635742
2010-07-09,39.79936218261719
2010-07-12,40.039512634277344
2010-07-13,40.665367126464844
2010-07-14,40.17050552368164
2010-07-15,40.024959564208984
2010-07-16,39.078922271728516
2010-07-19,38.80237579345703
2010-07-20,38.93337631225586
2010-07-21,38.18381881713867
2010-07-22,38.504024505615234
2010-07-23,38.628517150878906
2010-07-26,38.679771423339844
2010-07-27,39.155765533447266
2010-07-28,38.789608001708984
2010-07-29,38.789608001708984
2010-07-30,38.87016677856445
2010-08-02,39.00196075439453
2010-08-03,39.045921325683594
2010-08-04,39.72694396972656
2010-08-05,39.35348892211914
2010-08-06,39.22166442871094
2010-08-09,39.6903190612793
2010-08-10,39.66103744506836
2010-08-11,38.39417266845703
2010-08-12,38.789608001708984
2010-08-13,39.119140625
2010-08-16,39.19236373901367
2010-08-17,39.9466438293457
2010-08-18,39.836795806884766
2010-08-19,39.045921325683594
2010-08-20,39.1850471496582
2010-08-23,39.163089752197266
2010-08-24,38.72370529174805
2010-08-25,39.09717559814453
2010-08-26,39.1337890625
2010-08-27,39.7928581237793
2010-08-30,39.12647247314453
2010-08-31,39.155765533447266
2010-09-01,39.99789810180664
2010-09-02,39.93198776245117
2010-09-03,40.45191955566406
2010-09-07,39.6903190612793
2010-09-08,40.29813766479492
2010-09-09,40.737518310546875
2010-09-10,40.67892074584961
2010-09-13,41.50642395019531
2010-09-14,42.00437545776367
2010-09-15,42.260684967041016
2010-09-16,42.31926345825195
2010-09-17,42.39982986450195
2010-09-20,43.058876037597656
2010-09-21,42.99297332763672
2010-09-22,42.20209503173828
2010-09-23,41.63090515136719
2010-09-24,42.50967025756836
2010-09-27,42.15817642211914
2010-09-28,42.780609130859375
