Date,TER
2010-01-04,10.106274604797363
2010-01-05,10.143162727355957
2010-01-06,10.050949096679688
2010-01-07,10.106274604797363
2010-01-08,10.21692943572998
2010-01-11,10.622655868530273
2010-01-12,10.198484420776367
2010-01-13,10.060171127319336
2010-01-14,9.95873737335205
2010-01-15,9.525347709655762
2010-01-19,9.737432479858398
2010-01-20,9.589896202087402
2010-01-21,9.617561340332031
2010-01-22,8.999748229980469
2010-01-25,9.138065338134766
2010-01-26,9.331706047058105
2010-01-27,9.460803031921387
2010-01-28,8.750778198242188
2010-01-29,8.61246109008789
2010-02-01,8.889097213745117
2010-02-02,9.036633491516113
2010-02-03,8.87065601348877
2010-02-04,8.363497734069824
2010-02-05,8.575582504272461
2010-02-08,8.529475212097168
2010-02-09,8.594018936157227
2010-02-10,8.630908012390137
2010-02-11,8.96286392211914
2010-02-12,9.045855522155762
2010-02-16,9.331706047058105
2010-02-17,9.221054077148438
2010-02-18,9.193390846252441
2010-02-19,9.285597801208496
2010-02-22,9.25793743133545
2010-02-23,8.889097213745117
2010-02-24,9.20261001586914
2010-02-25,9.2487154006958
2010-02-26,9.211836814880371
2010-03-01,9.580673217773438
2010-03-02,9.765098571777344
2010-03-03,9.700549125671387
2010-03-04,9.737432479858398
2010-03-05,9.866523742675781
2010-03-08,9.801979064941406
2010-03-09,9.967958450317383
2010-03-10,10.041726112365723
2010-03-11,9.829645156860352
2010-03-12,9.672884941101074
2010-03-15,9.396256446838379
2010-03-16,9.79275894165039
2010-03-17,10.069393157958984
2010-03-18,9.967958450317383
2010-03-19,9.829645156860352
2010-03-22,10.244592666625977
2010-03-23,10.585769653320312
2010-03-24,10.22614574432373
2010-03-25,10.318358421325684
2010-03-26,10.253809928894043
2010-03-29,10.253809928894043
2010-03-30,10.364466667175293
2010-03-31,10.299918174743652
2010-04-01,10.364466667175293
2010-04-05,10.576547622680664
2010-04-06,10.56733226776123
2010-04-07,10.714862823486328
2010-04-08,10.290695190429688
2010-04-09,10.21692943572998
2010-04-12,10.502782821655273
2010-04-13,10.539665222167969
2010-04-14,11.341899871826172
2010-04-15,11.240467071533203
2010-04-16,11.111371994018555
2010-04-19,11.000718116760254
2010-04-20,11.194356918334961
2010-04-21,11.231245040893555
2010-04-22,12.042695999145508
2010-04-23,11.913599967956543
2010-04-26,12.079581260681152
2010-04-27,11.61852741241455
2010-04-28,11.581644058227539
2010-04-29,11.710739135742188
2010-04-30,11.277348518371582
2010-05-03,11.968927383422852
2010-05-04,11.166696548461914
2010-05-05,10.954612731933594
2010-05-06,10.419791221618652
2010-05-07,10.152379035949707
2010-05-10,10.945390701293945
2010-05-11,10.75174617767334
2010-05-12,11.240467071533203
2010-05-13,10.81629467010498
2010-05-14,10.318358421325684
2010-05-17,10.438234329223633
2010-05-18,9.995621681213379
2010-05-19,10.050949096679688
2010-05-20,9.718990325927734
2010-05-21,10.01406478881836
2010-05-24,9.875750541687012
2010-05-25,9.884969711303711
2010-05-26,9.884969711303711
2010-05-27,10.438234329223633
2010-05-28,10.124717712402344
2010-06-01,9.709766387939453
2010-06-02,10.050949096679688
2010-06-03,10.346020698547363
2010-06-04,9.691327095031738
2010-06-07,9.25793743133545
2010-06-08,9.165727615356445
2010-06-09,9.110404014587402
2010-06-10,9.479238510131836
2010-06-11,9.718990325927734
2010-06-14,9.82042121887207
2010-06-15,10.853181838989258
2010-06-16,10.83474063873291
2010-06-17,10.843962669372559
2010-06-18,10.880841255187988
2010-06-21,10.696425437927246
2010-06-22,10.4474515914917
2010-06-23,10.401347160339355
2010-06-24,9.921853065490723
2010-06-25,9.811201095581055
2010-06-28,9.940298080444336
2010-06-29,9.174949645996094
2010-06-30,8.99052906036377
2010-07-01,8.806105613708496
2010-07-02,8.741559982299805
2010-07-06,8.750778198242188
2010-07-07,9.156501770019531
2010-07-08,9.20261001586914
2010-07-09,9.433136940002441
2010-07-12,9.460803031921387
2010-07-13,9.857308387756348
2010-07-14,9.562232971191406
2010-07-15,9.451581001281738
2010-07-16,9.156501770019531
2010-07-19,9.25793743133545
2010-07-20,9.387032508850098
2010-07-21,9.008970260620117
2010-07-22,9.35014820098877
2010-07-23,9.359366416931152
2010-07-26,9.811201095581055
2010-07-27,9.682108879089355
2010-07-28,9.41469669342041
2010-07-29,10.207707405090332
2010-07-30,9.921853065490723
2010-08-02,10.373688697814941
2010-08-03,10.189263343811035
2010-08-04,10.244592666625977
2010-08-05,10.281476974487305
2010-08-06,9.995621681213379
2010-08-09,10.041726112365723
2010-08-10,9.63599967956543
2010-08-11,9.110404014587402
2010-08-12,8.815325736999512
2010-08-13,8.861434936523438
2010-08-16,8.760003089904785
2010-08-17,8.944418907165527
2010-08-18,9.091955184936523
2010-08-19,8.925979614257812
2010-08-20,8.750778198242188
2010-08-23,8.732340812683105
2010-08-24,8.446489334106445
2010-08-25,8.594018936157227
2010-08-26,8.354275703430176
2010-08-27,8.594018936157227
2010-08-30,8.594018936157227
2010-08-31,8.280506134033203
2010-09-01,8.538694381713867
2010-09-02,9.027413368225098
2010-09-03,9.20261001586914
2010-09-07,8.889097213745117
2010-09-08,8.575582504272461
2010-09-09,8.55713939666748
2010-09-10,8.796884536743164
2010-09-13,9.267156600952148
2010-09-14,9.165727615356445
2010-09-15,9.340929985046387
2010-09-16,9.580673217773438
2010-09-17,9.497686386108398
2010-09-20,9.617561340332031
2010-09-21,9.62678050994873
2010-09-22,9.599117279052734
2010-09-23,9.60833740234375
2010-09-24,10.189263343811035
2010-09-27,10.281476974487305
2010-09-28,10.512001037597656
