Date,MLM
2010-01-04,77.12283325195312
2010-01-05,76.07962036132812
2010-01-06,77.97254180908203
2010-01-07,77.27425384521484
2010-01-08,75.99549865722656
2010-01-11,74.8176498413086
2010-01-12,74.56521606445312
2010-01-13,74.6241455078125
2010-01-14,74.30445098876953
2010-01-15,72.73119354248047
2010-01-19,74.16986846923828
2010-01-20,73.47997283935547
2010-01-21,71.22525024414062
2010-01-22,69.04630279541016
2010-01-25,68.94529724121094
2010-01-26,68.48258209228516
2010-01-27,67.96941375732422
2010-01-28,67.11966705322266
2010-01-29,66.61483764648438
2010-02-01,68.1124038696289
2010-02-02,69.07147216796875
2010-02-03,68.12084197998047
2010-02-04,66.04280090332031
2010-02-05,66.14379119873047
2010-02-08,66.97669219970703
2010-02-09,63.897457122802734
2010-02-10,65.12577056884766
2010-02-11,65.6642074584961
2010-02-12,65.83246612548828
2010-02-16,66.9429931640625
2010-02-17,67.02710723876953
2010-02-18,67.8684310913086
2010-02-19,68.5750961303711
2010-02-22,68.97897338867188
2010-02-23,68.55831146240234
2010-02-24,68.8780288696289
2010-02-25,68.44681549072266
2010-02-26,66.97577667236328
2010-03-01,66.08807373046875
2010-03-02,65.63153839111328
2010-03-03,67.11103820800781
2010-03-04,68.08328247070312
2010-03-05,69.4444580078125
2010-03-08,69.7741928100586
2010-03-09,69.22465515136719
2010-03-10,69.32608795166016
2010-03-11,69.64733123779297
2010-03-12,69.37680053710938
2010-03-15,68.75965881347656
2010-03-16,70.01087188720703
2010-03-17,75.41325378417969
2010-03-18,73.93372344970703
2010-03-19,73.89994049072266
2010-03-22,75.22724914550781
2010-03-23,75.1934814453125
2010-03-24,74.31419372558594
2010-03-25,71.2452163696289
2010-03-26,70.4843521118164
2010-03-29,71.77787017822266
2010-03-30,71.2452163696289
2010-03-31,70.63650512695312
2010-04-01,73.13056182861328
2010-04-05,73.48566436767578
2010-04-06,72.3865966796875
2010-04-07,72.36123657226562
2010-04-08,73.76463317871094
2010-04-09,73.9844741821289
2010-04-12,73.6209487915039
2010-04-13,73.13056182861328
2010-04-14,73.79847717285156
2010-04-15,75.15962219238281
2010-04-16,76.79132843017578
2010-04-19,75.91206359863281
2010-04-20,78.0172119140625
2010-04-21,78.97260284423828
2010-04-22,81.11151123046875
2010-04-23,81.63566589355469
2010-04-26,82.0330810546875
2010-04-27,79.24310302734375
2010-04-28,78.98947143554688
2010-04-29,81.4835205078125
2010-04-30,81.060791015625
2010-05-03,84.38336181640625
2010-05-04,78.12711334228516
2010-05-05,75.86981201171875
2010-05-06,74.28038024902344
2010-05-07,74.51708984375
2010-05-10,79.18389129638672
2010-05-11,77.1294937133789
2010-05-12,79.32765197753906
2010-05-13,78.82041931152344
2010-05-14,77.80583190917969
2010-05-17,79.09091186523438
2010-05-18,78.49066162109375
2010-05-19,78.51600646972656
2010-05-20,75.24417114257812
2010-05-21,76.11497497558594
2010-05-24,76.74058532714844
2010-05-25,77.84813690185547
2010-05-26,79.45447540283203
2010-05-27,80.54508972167969
2010-05-28,78.82041931152344
2010-06-01,77.63676452636719
2010-06-02,79.3952865600586
2010-06-03,80.30835723876953
2010-06-04,75.71515655517578
2010-06-07,74.55200958251953
2010-06-08,74.94255828857422
2010-06-09,74.69636535644531
2010-06-10,77.5999984741211
2010-06-11,78.0924301147461
2010-06-14,78.04147338867188
2010-06-15,78.97538757324219
2010-06-16,78.83954620361328
2010-06-17,78.15187072753906
2010-06-18,78.25373077392578
2010-06-21,78.62732696533203
2010-06-22,75.85100555419922
2010-06-23,76.53023529052734
2010-06-24,74.7133560180664
2010-06-25,75.23971557617188
2010-06-28,74.67089080810547
2010-06-29,72.50589752197266
2010-06-30,72.00495910644531
2010-07-01,72.41252899169922
2010-07-02,72.930419921875
2010-07-06,73.96623992919922
2010-07-07,72.80306243896484
2010-07-08,72.24269104003906
2010-07-09,73.55864715576172
2010-07-12,71.792724609375
2010-07-13,73.67752075195312
2010-07-14,73.2105941772461
2010-07-15,72.8539810180664
2010-07-16,69.92489624023438
2010-07-19,69.865478515625
2010-07-20,71.80120849609375
2010-07-21,71.25785064697266
2010-07-22,72.76062774658203
2010-07-23,73.95770263671875
2010-07-26,75.05294799804688
2010-07-27,73.3039779663086
2010-07-28,72.5313949584961
2010-07-29,71.66537475585938
2010-07-30,72.50589752197266
2010-08-02,74.18693542480469
2010-08-03,69.96735382080078
2010-08-04,69.27117156982422
2010-08-05,69.78057098388672
2010-08-06,70.13717651367188
2010-08-09,70.34941101074219
2010-08-10,69.47491455078125
2010-08-11,67.09768676757812
2010-08-12,66.28260803222656
2010-08-13,66.03638458251953
2010-08-16,65.04305267333984
2010-08-17,66.76654815673828
2010-08-18,66.99580383300781
2010-08-19,65.33170318603516
2010-08-20,66.01941680908203
2010-08-23,65.20435333251953
2010-08-24,61.647003173828125
2010-08-25,62.02056884765625
2010-08-26,62.08000183105469
2010-08-27,63.81199264526367
2010-08-30,62.41215133666992
2010-08-31,62.48045349121094
2010-09-01,64.5716552734375
2010-09-02,65.85200500488281
2010-09-03,65.96297454833984
2010-09-07,67.25183868408203
2010-09-08,65.73249053955078
2010-09-09,65.87760925292969
2010-09-10,66.02272033691406
2010-09-13,67.0470199584961
2010-09-14,66.27880859375
2010-09-15,65.61299896240234
2010-09-16,65.18622589111328
2010-09-17,64.27289581298828
2010-09-20,64.38387298583984
2010-09-21,65.16914367675781
2010-09-22,64.43506622314453
2010-09-23,63.4534912109375
2010-09-24,65.24598693847656
2010-09-27,64.81065368652344
2010-09-28,64.97285461425781
