Date,DPZ
2010-01-04,6.982126712799072
2010-01-05,7.046477794647217
2010-01-06,7.247576713562012
2010-01-07,7.53715705871582
2010-01-08,7.53715705871582
2010-01-11,7.593465805053711
2010-01-12,7.97957706451416
2010-01-13,8.26915454864502
2010-01-14,9.097681045532227
2010-01-15,9.113768577575684
2010-01-19,9.186161994934082
2010-01-20,8.977021217346191
2010-01-21,8.872448921203613
2010-01-22,8.904626846313477
2010-01-25,9.025284767150879
2010-01-26,8.848318099975586
2010-01-27,8.985066413879395
2010-01-28,8.944846153259277
2010-01-29,9.089637756347656
2010-02-01,9.137896537780762
2010-02-02,8.944846153259277
2010-02-03,8.912670135498047
2010-02-04,8.607003211975098
2010-02-05,8.542649269104004
2010-02-08,8.566781997680664
2010-02-09,8.960930824279785
2010-02-10,8.977021217346191
2010-02-11,9.226381301879883
2010-02-12,9.27464485168457
2010-02-16,9.515963554382324
2010-02-17,9.885988235473633
2010-02-18,9.853808403015137
2010-02-19,9.877941131591797
2010-02-22,9.910115242004395
2010-02-23,9.765327453613281
2010-02-24,9.998600959777832
2010-02-25,9.998600959777832
2010-02-26,10.046863555908203
2010-03-01,10.247960090637207
2010-03-02,10.770818710327148
2010-03-03,11.309760093688965
2010-03-04,11.020181655883789
2010-03-05,11.173012733459473
2010-03-08,11.092573165893555
2010-03-09,11.414331436157227
2010-03-10,10.915607452392578
2010-03-11,11.052358627319336
2010-03-12,11.181056022644043
2010-03-15,11.076488494873047
2010-03-16,11.325846672058105
2010-03-17,11.414331436157227
2010-03-18,10.907564163208008
2010-03-19,10.738639831542969
2010-03-22,11.1971435546875
2010-03-23,11.181056022644043
2010-03-24,11.124750137329102
2010-03-25,11.237361907958984
2010-03-26,11.092573165893555
2010-03-29,11.084529876708984
2010-03-30,11.148882865905762
2010-03-31,10.971915245056152
2010-04-01,11.084529876708984
2010-04-05,11.261492729187012
2010-04-06,11.213231086730957
2010-04-07,11.269540786743164
2010-04-08,11.832613945007324
2010-04-09,11.631519317626953
2010-04-12,11.599340438842773
2010-04-13,12.194591522216797
2010-04-14,12.347426414489746
2010-04-15,12.130237579345703
2010-04-16,11.921098709106445
2010-04-19,11.95327377319336
2010-04-20,12.363516807556152
2010-04-21,12.484171867370605
2010-04-22,12.210680961608887
2010-04-23,12.218722343444824
2010-04-26,12.998984336853027
2010-04-27,12.628963470458984
2010-04-28,12.347426414489746
2010-04-29,12.693315505981445
2010-04-30,12.395691871643066
2010-05-03,12.91854476928711
2010-05-04,11.277585983276367
2010-05-05,11.486723899841309
2010-05-06,10.746686935424805
2010-05-07,10.111215591430664
2010-05-10,10.82712459564209
2010-05-11,11.173012733459473
2010-05-12,11.438462257385254
2010-05-13,11.205188751220703
2010-05-14,10.899518013000488
2010-05-17,11.028223991394043
2010-05-18,10.939739227294922
2010-05-19,10.682332992553711
2010-05-20,10.25600814819336
2010-05-21,10.441017150878906
2010-05-24,10.42492961883545
2010-05-25,10.432973861694336
2010-05-26,10.47319221496582
2010-05-27,10.738639831542969
2010-05-28,10.457104682922363
2010-06-01,10.28013801574707
2010-06-02,10.513412475585938
2010-06-03,10.690375328063965
2010-06-04,10.20773983001709
2010-06-07,9.717059135437012
2010-06-08,9.741193771362305
2010-06-09,9.86185359954834
2010-06-10,10.087081909179688
2010-06-11,10.191658020019531
2010-06-14,10.28013801574707
2010-06-15,10.457104682922363
2010-06-16,10.42492961883545
2010-06-17,10.304266929626465
2010-06-18,10.336446762084961
2010-06-21,9.942293167114258
2010-06-22,9.781412124633789
2010-06-23,9.668797492980957
2010-06-24,9.403350830078125
2010-06-25,9.48378849029541
2010-06-28,9.258560180664062
2010-06-29,8.8402738571167
2010-06-30,9.089637756347656
2010-07-01,9.097681045532227
2010-07-02,9.250516891479492
2010-07-06,8.977021217346191
2010-07-07,9.145944595336914
2010-07-08,9.548142433166504
2010-07-09,9.821636199951172
2010-07-12,9.709020614624023
2010-07-13,10.119258880615234
2010-07-14,10.247960090637207
2010-07-15,10.272093772888184
2010-07-16,9.781412124633789
2010-07-19,9.717059135437012
2010-07-20,9.910115242004395
2010-07-21,9.676840782165527
2010-07-22,10.35253620147705
2010-07-23,10.617982864379883
2010-07-26,10.931695938110352
2010-07-27,10.62602424621582
2010-07-28,10.561673164367676
2010-07-29,10.408842086791992
2010-07-30,10.28818130493164
2010-08-02,10.191658020019531
2010-08-03,10.038818359375
2010-08-04,10.3123140335083
2010-08-05,10.320356369018555
2010-08-06,10.457104682922363
2010-08-09,10.811037063598633
2010-08-10,10.666245460510254
2010-08-11,10.360578536987305
2010-08-12,10.47319221496582
2010-08-13,10.593852996826172
2010-08-16,10.674291610717773
2010-08-17,10.698421478271484
2010-08-18,10.698421478271484
2010-08-19,10.545586585998535
2010-08-20,10.521452903747559
2010-08-23,10.577763557434082
2010-08-24,10.35253620147705
2010-08-25,10.400796890258789
2010-08-26,10.135347366333008
2010-08-27,10.344490051269531
2010-08-30,10.28818130493164
2010-08-31,10.3123140335083
2010-09-01,10.601892471313477
2010-09-02,10.89147663116455
2010-09-03,11.124750137329102
2010-09-07,10.770818710327148
2010-09-08,11.100618362426758
2010-09-09,11.317802429199219
2010-09-10,11.148882865905762
2010-09-13,11.245407104492188
2010-09-14,11.269540786743164
2010-09-15,11.277585983276367
2010-09-16,11.221278190612793
2010-09-17,11.237361907958984
2010-09-20,11.366065979003906
2010-09-21,11.181056022644043
2010-09-22,10.87539005279541
2010-09-23,10.617982864379883
2010-09-24,10.738639831542969
2010-09-27,10.60993766784668
2010-09-28,10.658201217651367
