Date,MU
2010-01-04,10.597222328186035
2010-01-05,10.909765243530273
2010-01-06,10.958600044250488
2010-01-07,10.58745288848877
2010-01-08,10.841395378112793
2010-01-11,10.6460542678833
2010-01-12,10.020967483520508
2010-01-13,10.21630859375
2010-01-14,10.480013847351074
2010-01-15,9.89399528503418
2010-01-19,10.040497779846191
2010-01-20,9.747488021850586
2010-01-21,9.57168197631836
2010-01-22,8.917291641235352
2010-01-25,9.112630844116211
2010-01-26,9.22006893157959
2010-01-27,9.493544578552246
2010-01-28,9.181000709533691
2010-01-29,8.51684284210205
2010-02-01,8.956360816955566
2010-02-02,9.132165908813477
2010-02-03,8.809854507446289
2010-02-04,8.409407615661621
2010-02-05,8.497309684753418
2010-02-08,8.70241641998291
2010-02-09,8.868457794189453
2010-02-10,8.341038703918457
2010-02-11,8.331268310546875
2010-02-12,8.243366241455078
2010-02-16,8.428940773010254
2010-02-17,8.526609420776367
2010-02-18,8.555912017822266
2010-02-19,8.692649841308594
2010-02-22,8.73171615600586
2010-02-23,8.409407615661621
2010-02-24,8.878225326538086
2010-02-25,8.85869026184082
2010-02-26,8.848923683166504
2010-03-01,9.542383193969727
2010-03-02,9.347041130065918
2010-03-03,9.229838371276855
2010-03-04,9.19076919555664
2010-03-05,9.239603042602539
2010-03-08,9.366578102111816
2010-03-09,9.19076919555664
2010-03-10,9.64005184173584
2010-03-11,9.57168197631836
2010-03-12,9.737723350524902
2010-03-15,9.503312110900879
2010-03-16,9.972128868103027
2010-03-17,10.157703399658203
2010-03-18,9.923295021057129
2010-03-19,9.718189239501953
2010-03-22,10.089333534240723
2010-03-23,10.294441223144531
2010-03-24,10.187005996704102
2010-03-25,10.138169288635254
2010-03-26,10.245607376098633
2010-03-29,10.382346153259277
2010-03-30,10.538619041442871
2010-03-31,10.12840461730957
2010-04-01,9.933061599731445
2010-04-05,10.353045463562012
2010-04-06,9.991662979125977
2010-04-07,10.313976287841797
2010-04-08,10.333508491516113
2010-04-09,10.480013847351074
2010-04-12,10.567917823791504
2010-04-13,10.509315490722656
2010-04-14,11.036737442016602
2010-04-15,10.91953182220459
2010-04-16,10.665589332580566
2010-04-19,10.538619041442871
2010-04-20,10.499550819396973
2010-04-21,10.48978328704834
2010-04-22,10.6753568649292
2010-04-23,10.74372673034668
2010-04-26,10.714424133300781
2010-04-27,10.099101066589355
2010-04-28,10.001431465148926
2010-04-29,9.972128868103027
2010-04-30,9.132165908813477
2010-05-03,9.659585952758789
2010-05-04,9.298208236694336
2010-05-05,9.044262886047363
2010-05-06,8.54614543914795
2010-05-07,8.370339393615723
2010-05-10,8.878225326538086
2010-05-11,8.614514350891113
2010-05-12,9.112630844116211
2010-05-13,8.927057266235352
2010-05-14,8.73171615600586
2010-05-17,8.956360816955566
2010-05-18,8.868457794189453
2010-05-19,8.751252174377441
2010-05-20,8.536375045776367
2010-05-21,8.72195053100586
2010-05-24,8.585213661193848
2010-05-25,8.594979286193848
2010-05-26,8.487542152404785
2010-05-27,9.22006893157959
2010-05-28,8.878225326538086
2010-06-01,8.45824146270752
2010-06-02,8.966127395629883
2010-06-03,9.024728775024414
2010-06-04,8.653581619262695
2010-06-07,8.184764862060547
2010-06-08,8.341038703918457
2010-06-09,8.331268310546875
2010-06-10,8.565681457519531
2010-06-11,8.72195053100586
2010-06-14,8.70241641998291
2010-06-15,9.454477310180664
2010-06-16,9.679120063781738
2010-06-17,9.688887596130371
2010-06-18,9.767024040222168
2010-06-21,9.688887596130371
2010-06-22,9.415410995483398
2010-06-23,9.591217041015625
2010-06-24,9.39587688446045
2010-06-25,9.239603042602539
2010-06-28,9.786559104919434
2010-06-29,8.468008995056152
2010-06-30,8.292203903198242
2010-07-01,8.184764862060547
2010-07-02,8.02849292755127
2010-07-06,8.155465126037598
2010-07-07,8.68288516998291
2010-07-08,8.487542152404785
2010-07-09,8.370339393615723
2010-07-12,8.35080623626709
2010-07-13,8.526609420776367
2010-07-14,8.54614543914795
2010-07-15,8.45824146270752
2010-07-16,8.0773286819458
2010-07-19,8.233600616455078
2010-07-20,8.253134727478027
2010-07-21,7.979657173156738
2010-07-22,8.341038703918457
2010-07-23,8.282435417175293
2010-07-26,8.311735153198242
2010-07-27,8.233600616455078
2010-07-28,8.048026084899902
2010-07-29,7.5987443923950195
2010-07-30,7.1103925704956055
2010-08-02,7.471771717071533
2010-08-03,7.295966148376465
2010-08-04,7.462005615234375
2010-08-05,7.5206074714660645
2010-08-06,7.403402805328369
2010-08-09,7.364335536956787
2010-08-10,7.100626468658447
2010-08-11,6.983421325683594
2010-08-12,7.198296070098877
2010-08-13,7.1103925704956055
2010-08-16,7.012721538543701
2010-08-17,7.1396942138671875
2010-08-18,7.276432037353516
2010-08-19,7.012721538543701
2010-08-20,6.954121112823486
2010-08-23,7.208062648773193
2010-08-24,6.895518779754639
2010-08-25,6.934586048126221
2010-08-26,6.622041702270508
2010-08-27,6.670876979827881
2010-08-30,6.387633323669434
2010-08-31,6.309496879577637
2010-09-01,6.573206901550293
2010-09-02,6.670876979827881
2010-09-03,6.885751724243164
2010-09-07,6.592740058898926
2010-09-08,6.446235179901123
2010-09-09,6.641575336456299
2010-09-10,6.358332633972168
2010-09-13,6.885751724243164
2010-09-14,7.100626468658447
2010-09-15,6.778314590454102
2010-09-16,6.934586048126221
2010-09-17,6.602507591247559
2010-09-20,6.778314590454102
2010-09-21,6.719711780548096
2010-09-22,6.563439846038818
2010-09-23,6.514604568481445
2010-09-24,7.032256603240967
2010-09-27,6.866218090057373
2010-09-28,6.983421325683594
