Date,UHS
2010-01-04,28.948740005493164
2010-01-05,28.71640396118164
2010-01-06,28.577003479003906
2010-01-07,29.00449562072754
2010-01-08,30.314855575561523
2010-01-11,29.998882293701172
2010-01-12,29.097436904907227
2010-01-13,30.444957733154297
2010-01-14,31.00257110595703
2010-01-15,30.07322883605957
2010-01-19,29.89665412902832
2010-01-20,28.177392959594727
2010-01-21,27.16441535949707
2010-01-22,26.718339920043945
2010-01-25,27.452510833740234
2010-01-26,28.669940948486328
2010-01-27,28.09375
2010-01-28,27.313112258911133
2010-01-29,27.099361419677734
2010-02-01,27.285228729248047
2010-02-02,28.19597625732422
2010-02-03,27.768482208251953
2010-02-04,27.108665466308594
2010-02-05,26.792682647705078
2010-02-08,26.8949031829834
2010-02-09,28.103050231933594
2010-02-10,28.68852424621582
2010-02-11,29.16248893737793
2010-02-12,29.757261276245117
2010-02-16,29.74796485900879
2010-02-17,29.589975357055664
2010-02-18,29.655031204223633
2010-02-19,29.998882293701172
2010-02-22,29.2275390625
2010-02-23,28.400428771972656
2010-02-24,28.25173568725586
2010-02-25,28.866111755371094
2010-02-26,28.875417709350586
2010-03-01,29.49909210205078
2010-03-02,29.824899673461914
2010-03-03,29.46186065673828
2010-03-04,30.7464599609375
2010-03-05,30.81161117553711
2010-03-08,30.77437400817871
2010-03-09,30.29032325744629
2010-03-10,31.193265914916992
2010-03-11,31.332895278930664
2010-03-12,30.7464599609375
2010-03-15,31.51905632019043
2010-03-16,31.789026260375977
2010-03-17,32.23582458496094
2010-03-18,31.807645797729492
2010-03-19,32.07759094238281
2010-03-22,34.060333251953125
2010-03-23,33.46458053588867
2010-03-24,32.738502502441406
2010-03-25,32.7478141784668
2010-03-26,33.166709899902344
2010-03-29,33.57630157470703
2010-03-30,33.3249626159668
2010-03-31,32.664031982421875
2010-04-01,34.17204284667969
2010-04-05,34.097572326660156
2010-04-06,34.153419494628906
2010-04-07,34.2371826171875
2010-04-08,34.43267822265625
2010-04-09,33.808998107910156
2010-04-12,33.9765510559082
2010-04-13,33.566978454589844
2010-04-14,32.99913787841797
2010-04-15,32.93399429321289
2010-04-16,32.44994354248047
2010-04-19,33.2877082824707
2010-04-20,34.44197463989258
2010-04-21,33.50181579589844
2010-04-22,33.39011764526367
2010-04-23,33.98585510253906
2010-04-26,33.48318862915039
2010-04-27,34.33958435058594
2010-04-28,34.20925521850586
2010-04-29,35.54038619995117
2010-04-30,34.553688049316406
2010-05-03,35.23322677612305
2010-05-04,33.93931198120117
2010-05-05,33.52041244506836
2010-05-06,32.608184814453125
2010-05-07,33.01774978637695
2010-05-10,34.1161994934082
2010-05-11,34.88880157470703
2010-05-12,35.31699752807617
2010-05-13,35.093589782714844
2010-05-14,36.340938568115234
2010-05-17,39.22663116455078
2010-05-18,38.86359405517578
2010-05-19,39.18940734863281
2010-05-20,38.91944122314453
2010-05-21,39.087005615234375
2010-05-24,38.612266540527344
2010-05-25,38.94736862182617
2010-05-26,39.41279220581055
2010-05-27,40.13041687011719
2010-05-28,39.496673583984375
2010-06-01,39.049339294433594
2010-06-02,40.16769790649414
2010-06-03,40.41000747680664
2010-06-04,38.74178695678711
2010-06-07,38.434242248535156
2010-06-08,37.57682418823242
2010-06-09,38.098724365234375
2010-06-10,39.049339294433594
2010-06-11,39.273006439208984
2010-06-14,39.403480529785156
2010-06-15,40.28886413574219
2010-06-16,39.850826263427734
2010-06-17,39.57122039794922
2010-06-18,38.51810836791992
2010-06-21,37.52090835571289
2010-06-22,36.560997009277344
2010-06-23,37.07357406616211
2010-06-24,37.51158905029297
2010-06-25,37.34382629394531
2010-06-28,36.79399871826172
2010-06-29,36.039085388183594
2010-06-30,35.55446243286133
2010-07-01,34.6318244934082
2010-07-02,34.10061264038086
2010-07-06,33.95147705078125
2010-07-07,34.24039840698242
2010-07-08,34.24039840698242
2010-07-09,34.00739288330078
2010-07-12,33.92352294921875
2010-07-13,34.36155700683594
2010-07-14,35.032562255859375
2010-07-15,35.08847427368164
2010-07-16,34.30562973022461
2010-07-19,34.14719772338867
2010-07-20,33.73713302612305
2010-07-21,32.57217788696289
2010-07-22,32.52558135986328
2010-07-23,32.637420654296875
2010-07-26,33.83965301513672
2010-07-27,33.019527435302734
2010-07-28,32.20872116088867
2010-07-29,31.947751998901367
2010-07-30,33.52278518676758
2010-08-02,32.544219970703125
2010-08-03,33.73713302612305
2010-08-04,35.16303634643555
2010-08-05,35.41468048095703
2010-08-06,35.26554870605469
2010-08-09,35.41468048095703
2010-08-10,35.153724670410156
2010-08-11,33.7184944152832
2010-08-12,33.55073165893555
2010-08-13,33.83965301513672
2010-08-16,33.55073165893555
2010-08-17,33.46686935424805
2010-08-18,33.438899993896484
2010-08-19,32.74925231933594
2010-08-20,32.48830795288086
2010-08-23,31.882522583007812
2010-08-24,30.34477996826172
2010-08-25,30.568450927734375
2010-08-26,29.273019790649414
2010-08-27,29.478046417236328
2010-08-30,28.992673873901367
2010-08-31,29.31003761291504
2010-09-01,29.92610740661621
2010-09-02,30.747528076171875
2010-09-03,31.176923751831055
2010-09-07,31.064897537231445
2010-09-08,30.924890518188477
2010-09-09,31.76498031616211
2010-09-10,31.73697280883789
2010-09-13,31.78365707397461
2010-09-14,32.10102081298828
2010-09-15,32.95045852661133
2010-09-16,33.193138122558594
2010-09-17,33.3891716003418
2010-09-20,34.443939208984375
2010-09-21,34.2852668762207
2010-09-22,35.078697204589844
2010-09-23,34.7239990234375
2010-09-24,35.526756286621094
2010-09-27,36.16147994995117
2010-09-28,36.23616409301758
