Date,CINF
2010-01-04,15.736328125
2010-01-05,15.74225902557373
2010-01-06,15.7778902053833
2010-01-07,15.837276458740234
2010-01-08,15.783835411071777
2010-01-11,15.902602195739746
2010-01-12,15.872901916503906
2010-01-13,16.015422821044922
2010-01-14,16.051050186157227
2010-01-15,15.950100898742676
2010-01-19,16.241071701049805
2010-01-20,16.05699920654297
2010-01-21,15.938226699829102
2010-01-22,15.611618995666504
2010-01-25,15.718506813049316
2010-01-26,15.575996398925781
2010-01-27,15.706634521484375
2010-01-28,15.575996398925781
2010-01-29,15.671004295349121
2010-02-01,15.623498916625977
2010-02-02,15.819465637207031
2010-02-03,15.813522338867188
2010-02-04,15.593805313110352
2010-02-05,15.623498916625977
2010-02-08,15.237505912780762
2010-02-09,15.3087739944458
2010-02-10,15.350340843200684
2010-02-11,15.362217903137207
2010-02-12,15.427536964416504
2010-02-16,15.635368347167969
2010-02-17,15.74225902557373
2010-02-18,15.83133602142334
2010-02-19,15.861028671264648
2010-02-22,15.938226699829102
2010-02-23,15.795711517333984
2010-02-24,15.985727310180664
2010-02-25,16.009489059448242
2010-02-26,15.967917442321777
2010-03-01,16.258888244628906
2010-03-02,16.46672821044922
2010-03-03,16.437034606933594
2010-03-04,16.520170211791992
2010-03-05,16.66268539428711
2010-03-08,16.823026657104492
2010-03-09,16.876466751098633
2010-03-10,16.85272216796875
2010-03-11,16.91803550720215
2010-03-12,16.92397689819336
2010-03-15,17.03679847717285
2010-03-16,17.07242202758789
2010-03-17,17.286205291748047
2010-03-18,17.387161254882812
2010-03-19,17.452472686767578
2010-03-22,17.262876510620117
2010-03-23,17.425392150878906
2010-03-24,17.329078674316406
2010-03-25,17.3712158203125
2010-03-26,17.45548439025879
2010-03-29,17.642074584960938
2010-03-30,17.56382942199707
2010-03-31,17.40130615234375
2010-04-01,17.503639221191406
2010-04-05,17.61800193786621
2010-04-06,17.678190231323242
2010-04-07,17.593923568725586
2010-04-08,17.654115676879883
