Date,RSG
2010-01-04,20.491413116455078
2010-01-05,20.519990921020508
2010-01-06,20.677188873291016
2010-01-07,20.641460418701172
2010-01-08,20.670032501220703
2010-01-11,20.66289520263672
2010-01-12,20.634315490722656
2010-01-13,20.920106887817383
2010-01-14,20.87723731994629
2010-01-15,20.27706527709961
2010-01-19,20.42711067199707
2010-01-20,20.227060317993164
2010-01-21,20.14845848083496
2010-01-22,19.705480575561523
2010-01-25,19.59831428527832
2010-01-26,19.255359649658203
2010-01-27,19.319656372070312
2010-01-28,19.219636917114258
2010-01-29,19.14104461669922
2010-02-01,19.291086196899414
2010-02-02,19.30536651611328
2010-02-03,19.112457275390625
2010-02-04,18.519441604614258
2010-02-05,18.34795570373535
2010-02-08,18.305095672607422
2010-02-09,18.48370933532715
2010-02-10,18.498004913330078
2010-02-11,18.733779907226562
2010-02-12,18.598031997680664
2010-02-16,19.30536651611328
2010-02-17,19.591163635253906
2010-02-18,19.741209030151367
2010-02-19,20.062719345092773
2010-02-22,20.005573272705078
2010-02-23,19.762638092041016
2010-02-24,20.048429489135742
2010-02-25,20.105594635009766
2010-02-26,20.105594635009766
2010-03-01,20.641460418701172
2010-03-02,20.941543579101562
2010-03-03,20.884384155273438
2010-03-04,20.77005958557129
2010-03-05,21.084436416625977
2010-03-08,20.891523361206055
2010-03-09,20.720054626464844
2010-03-10,20.519990921020508
2010-03-11,20.5771541595459
2010-03-12,20.512847900390625
2010-03-15,20.748620986938477
2010-03-16,20.605730056762695
2010-03-17,20.605730056762695
2010-03-18,20.61287498474121
2010-03-19,20.398529052734375
2010-03-22,20.398529052734375
2010-03-23,20.634315490722656
2010-03-24,20.605730056762695
2010-03-25,20.548572540283203
2010-03-26,20.698619842529297
2010-03-29,20.87723731994629
2010-03-30,20.949155807495117
2010-03-31,20.87004280090332
2010-04-01,20.985111236572266
2010-04-05,21.136140823364258
2010-04-06,21.395034790039062
2010-04-07,21.344696044921875
2010-04-08,21.423797607421875
2010-04-09,21.538864135742188
2010-04-12,21.567638397216797
2010-04-13,21.531673431396484
2010-04-14,21.661123275756836
2010-04-15,22.071044921875
2010-04-16,21.848102569580078
2010-04-19,21.78337287902832
2010-04-20,21.92721176147461
2010-04-21,21.891254425048828
2010-04-22,21.77618980407715
2010-04-23,21.768993377685547
2010-04-26,21.99912452697754
2010-04-27,21.301542282104492
2010-04-28,21.430988311767578
2010-04-29,21.69707679748535
2010-04-30,22.31555938720703
2010-05-03,22.711095809936523
2010-05-04,21.675500869750977
2010-05-05,21.538864135742188
2010-05-06,20.91319465637207
2010-05-07,20.819705963134766
2010-05-10,21.57482147216797
2010-05-11,21.567638397216797
2010-05-12,21.833715438842773
2010-05-13,21.64673614501953
2010-05-14,21.272775650024414
2010-05-17,21.423797607421875
2010-05-18,21.395034790039062
2010-05-19,21.1505184173584
2010-05-20,20.316293716430664
2010-05-21,20.60395622253418
2010-05-24,20.330678939819336
2010-05-25,20.467313766479492
2010-05-26,20.36663055419922
2010-05-27,21.03545570373535
2010-05-28,20.94196319580078
2010-06-01,20.891616821289062
2010-06-02,21.344696044921875
2010-06-03,21.546052932739258
2010-06-04,20.503271102905273
2010-06-07,20.18684196472168
2010-06-08,20.812519073486328
2010-06-09,21.287160873413086
2010-06-10,22.042282104492188
2010-06-11,22.056659698486328
2010-06-14,22.17892074584961
2010-06-15,22.50254249572754
2010-06-16,22.509729385375977
2010-06-17,22.68232536315918
2010-06-18,22.667940139770508
2010-06-21,22.50254249572754
2010-06-22,22.00632095336914
2010-06-23,22.027889251708984
2010-06-24,21.8193416595459
2010-06-25,22.272409439086914
2010-06-28,22.214874267578125
2010-06-29,21.389949798583984
2010-06-30,21.51296615600586
2010-07-01,21.368249893188477
2010-07-02,21.17287826538086
2010-07-06,21.303129196166992
2010-07-07,21.795177459716797
2010-07-08,22.09185791015625
2010-07-09,22.14251136779785
2010-07-12,22.13528060913086
2010-07-13,22.352357864379883
2010-07-14,22.026737213134766
2010-07-15,22.243820190429688
2010-07-16,21.693870544433594
2010-07-19,21.795177459716797
2010-07-20,22.03396987915039
2010-07-21,22.50432777404785
2010-07-22,22.974672317504883
2010-07-23,23.198989868164062
2010-07-26,23.625919342041016
2010-07-27,23.336477279663086
2010-07-28,23.24240493774414
2010-07-29,23.14109992980957
2010-07-30,23.054262161254883
2010-08-02,23.49567222595215
2010-08-03,23.379894256591797
2010-08-04,23.43777847290039
2010-08-05,23.039793014526367
2010-08-06,22.895071029663086
2010-08-09,22.9891414642334
2010-08-10,22.63456916809082
2010-08-11,21.66493034362793
2010-08-12,21.295888900756836
2010-08-13,21.27417755126953
2010-08-16,21.46232032775879
2010-08-17,21.824129104614258
2010-08-18,21.70834732055664
2010-08-19,21.78794288635254
2010-08-20,22.077392578125
2010-08-23,21.75176239013672
2010-08-24,21.672168731689453
2010-08-25,21.541919708251953
2010-08-26,21.447843551635742
2010-08-27,21.88924789428711
2010-08-30,21.578100204467773
2010-08-31,21.295888900756836
2010-09-01,21.903728485107422
2010-09-02,22.272764205932617
2010-09-03,22.533266067504883
2010-09-07,22.00503158569336
2010-09-08,21.773479461669922
2010-09-09,22.019498825073242
2010-09-10,22.14251136779785
2010-09-13,22.22211265563965
2010-09-14,22.28000259399414
2010-09-15,22.316184997558594
2010-09-16,22.395782470703125
2010-09-17,22.58391571044922
2010-09-20,22.866130828857422
2010-09-21,22.909542083740234
2010-09-22,22.591154098510742
2010-09-23,21.96884536743164
2010-09-24,22.09185791015625
2010-09-27,21.628747940063477
2010-09-28,21.824129104614258
