Date,CL
2010-01-04,28.59804344177246
2010-01-05,28.82931137084961
2010-01-06,28.76373863220215
2010-01-07,28.649826049804688
2010-01-08,28.135507583618164
2010-01-11,28.01125144958496
2010-01-12,27.84902000427246
2010-01-13,27.98017692565918
2010-01-14,27.759260177612305
2010-01-15,27.614282608032227
2010-01-19,27.817955017089844
2010-01-20,27.341590881347656
2010-01-21,27.44573402404785
2010-01-22,28.01498794555664
2010-01-25,27.931686401367188
2010-01-26,27.900440216064453
2010-01-27,27.903911590576172
2010-01-28,27.765066146850586
2010-01-29,27.778955459594727
2010-02-01,27.747724533081055
2010-02-02,28.132993698120117
2010-02-03,28.05316734313965
2010-02-04,27.65399742126465
2010-02-05,27.511690139770508
2010-02-08,27.452682495117188
2010-02-09,27.827547073364258
2010-02-10,27.706073760986328
2010-02-11,27.883075714111328
2010-02-12,27.650522232055664
2010-02-16,27.983749389648438
2010-02-17,28.185070037841797
2010-02-18,28.61547088623047
2010-02-19,28.37598419189453
2010-02-22,28.490528106689453
2010-02-23,28.424575805664062
2010-02-24,28.795976638793945
2010-02-25,28.84804344177246
2010-02-26,28.78903579711914
2010-03-01,29.084081649780273
2010-03-02,29.108388900756836
2010-03-03,29.108388900756836
2010-03-04,29.212491989135742
2010-03-05,29.22986602783203
2010-03-08,29.13960838317871
2010-03-09,29.33051300048828
2010-03-10,29.01119041442871
2010-03-11,29.184738159179688
2010-03-12,29.20904541015625
2010-03-15,29.285398483276367
2010-03-16,29.37218475341797
2010-03-17,29.37564468383789
2010-03-18,29.42424774169922
2010-03-19,29.448530197143555
2010-03-22,29.486732482910156
2010-03-23,29.622100830078125
2010-03-24,29.27499008178711
2010-03-25,28.95218276977539
2010-03-26,29.309696197509766
2010-03-29,29.49714469909668
2010-03-30,29.663753509521484
2010-03-31,29.594337463378906
2010-04-01,29.78523826599121
2010-04-05,29.719282150268555
2010-04-06,29.479774475097656
2010-04-07,29.542261123657227
2010-04-08,29.351354598999023
2010-04-09,29.250686645507812
2010-04-12,29.431184768676758
2010-04-13,29.347875595092773
2010-04-14,29.379112243652344
2010-04-15,29.243741989135742
2010-04-16,29.243741989135742
2010-04-19,29.20904541015625
2010-04-20,29.34441566467285
2010-04-21,29.399938583374023
2010-04-22,29.333585739135742
2010-04-23,29.0855712890625
2010-04-26,29.410415649414062
2010-04-27,29.19734764099121
2010-04-28,29.689855575561523
2010-04-29,29.619991302490234
2010-04-30,29.3754940032959
2010-05-03,29.434864044189453
2010-05-04,28.94586753845215
2010-05-05,28.89345932006836
2010-05-06,28.5616512298584
2010-05-07,28.01675033569336
2010-05-10,29.054147720336914
2010-05-11,28.9318904876709
2010-05-12,29.183382034301758
2010-05-13,29.036684036254883
2010-05-14,28.90743637084961
2010-05-17,29.274206161499023
2010-05-18,29.043670654296875
2010-05-19,28.694374084472656
2010-05-20,28.048173904418945
2010-05-21,27.8001708984375
2010-05-24,27.499792098999023
2010-05-25,27.360076904296875
2010-05-26,27.237825393676758
2010-05-27,27.51375961303711
2010-05-28,27.276256561279297
2010-06-01,26.871070861816406
2010-06-02,27.321653366088867
2010-06-03,27.552175521850586
2010-06-04,26.979345321655273
2010-06-07,27.119050979614258
2010-06-08,27.510272979736328
2010-06-09,27.496299743652344
2010-06-10,27.75827407836914
2010-06-11,27.646495819091797
2010-06-14,27.705873489379883
2010-06-15,28.226318359375
2010-06-16,28.16345977783203
2010-06-17,28.257755279541016
2010-06-18,28.14948272705078
2010-06-21,28.348569869995117
2010-06-22,28.271732330322266
2010-06-23,28.058650970458984
2010-06-24,28.055164337158203
2010-06-25,27.604585647583008
2010-06-28,27.677927017211914
2010-06-29,27.24481773376465
2010-06-30,27.510272979736328
2010-07-01,27.538211822509766
2010-07-02,27.496299743652344
2010-07-06,27.51375961303711
2010-07-07,28.285696029663086
2010-07-08,28.628013610839844
2010-07-09,28.694374084472656
2010-07-12,28.935388565063477
2010-07-13,29.043670654296875
2010-07-14,29.099550247192383
2010-07-15,29.022705078125
2010-07-16,28.9318904876709
2010-07-19,29.02968978881836
2010-07-20,29.330074310302734
2010-07-21,29.001750946044922
2010-07-22,29.026348114013672
2010-07-23,29.342742919921875
2010-07-26,29.437652587890625
2010-07-27,29.736459732055664
2010-07-28,29.479843139648438
2010-07-29,27.462017059326172
2010-07-30,27.764339447021484
2010-08-02,27.507715225219727
2010-08-03,27.469045639038086
2010-08-04,27.44092559814453
2010-08-05,27.11400604248047
2010-08-06,26.892539978027344
2010-08-09,26.811677932739258
2010-08-10,27.409290313720703
2010-08-11,26.881982803344727
2010-08-12,27.0753231048584
2010-08-13,26.853858947753906
2010-08-16,26.776525497436523
2010-08-17,26.874956130981445
2010-08-18,26.997997283935547
2010-08-19,26.980417251586914
2010-08-20,26.72730827331543
2010-08-23,26.548025131225586
2010-08-24,26.530452728271484
2010-08-25,26.46365737915039
2010-08-26,26.010177612304688
2010-08-27,26.101572036743164
2010-08-30,25.964473724365234
2010-08-31,25.957441329956055
2010-09-01,26.337106704711914
2010-09-02,26.305465698242188
2010-09-03,26.31249237060547
2010-09-07,26.280864715576172
2010-09-08,26.22109031677246
2010-09-09,26.210546493530273
2010-09-10,26.428503036499023
2010-09-13,26.38279914855957
2010-09-14,26.51639175415039
2010-09-15,26.811677932739258
2010-09-16,26.920652389526367
2010-09-17,27.1983642578125
2010-09-20,27.507715225219727
2010-09-21,27.61318016052246
2010-09-22,27.578033447265625
2010-09-23,27.44092559814453
2010-09-24,27.602643966674805
2010-09-27,27.746761322021484
2010-09-28,27.704580307006836
