Date,LDOS
2010-01-04,23.906858444213867
2010-01-05,23.806785583496094
2010-01-06,23.869333267211914
2010-01-07,23.881855010986328
2010-01-08,23.844318389892578
2010-01-11,23.78175926208496
2010-01-12,23.806785583496094
2010-01-13,23.706701278686523
2010-01-14,23.76925277709961
2010-01-15,23.644163131713867
2010-01-19,23.906858444213867
2010-01-20,23.63164520263672
2010-01-21,23.39394760131836
2010-01-22,23.03115463256836
2010-01-25,23.293869018554688
2010-01-26,22.95608901977539
2010-01-27,22.85601234436035
2010-01-28,22.881032943725586
2010-01-29,22.931074142456055
2010-02-01,23.268850326538086
2010-02-02,23.318885803222656
2010-02-03,23.1812801361084
2010-02-04,23.118732452392578
2010-02-05,23.368934631347656
2010-02-08,22.95608901977539
2010-02-09,23.1562557220459
2010-02-10,23.218814849853516
2010-02-11,23.34391212463379
2010-02-12,23.456504821777344
2010-02-16,23.76925277709961
2010-02-17,23.981924057006836
2010-02-18,23.844318389892578
2010-02-19,23.906858444213867
2010-02-22,23.78175926208496
2010-02-23,23.856826782226562
2010-02-24,24.369739532470703
2010-02-25,24.257144927978516
2010-02-26,24.644969940185547
2010-03-01,24.407276153564453
2010-03-02,24.28217315673828
2010-03-03,24.04448127746582
2010-03-04,24.019454956054688
2010-03-05,24.15707015991211
2010-03-08,24.182085037231445
2010-03-09,24.38224983215332
2010-03-10,24.35723876953125
2010-03-11,24.257144927978516
2010-03-12,24.144559860229492
2010-03-15,24.207117080688477
2010-03-16,24.169574737548828
2010-03-17,24.10702133178711
2010-03-18,23.944400787353516
2010-03-19,23.944400787353516
2010-03-22,24.30718421936035
2010-03-23,24.06950569152832
2010-03-24,23.831802368164062
2010-03-25,23.89434814453125
2010-03-26,24.094518661499023
2010-03-29,23.65665626525879
2010-03-30,23.74422836303711
2010-03-31,22.142934799194336
2010-04-01,21.792644500732422
2010-04-05,21.792644500732422
2010-04-06,21.642528533935547
2010-04-07,21.51742935180664
2010-04-08,21.51742935180664
2010-04-09,21.905242919921875
2010-04-12,21.76763343811035
2010-04-13,21.892736434936523
2010-04-14,22.167957305908203
2010-04-15,22.51824378967285
2010-04-16,22.480714797973633
2010-04-19,22.755939483642578
2010-04-20,22.881032943725586
2010-04-21,22.843502044677734
2010-04-22,22.96859359741211
2010-04-23,23.093698501586914
2010-04-26,22.793466567993164
2010-04-27,22.530742645263672
2010-04-28,22.180469512939453
2010-04-29,22.180469512939453
2010-04-30,21.780147552490234
2010-05-03,21.81767463684082
2010-05-04,21.842695236206055
2010-05-05,21.805164337158203
2010-05-06,21.630022048950195
2010-05-07,21.942773818969727
2010-05-10,21.805164337158203
2010-05-11,21.454885482788086
2010-05-12,21.579980850219727
2010-05-13,21.529945373535156
2010-05-14,21.542457580566406
2010-05-17,21.992816925048828
2010-05-18,21.930273056030273
2010-05-19,21.69257354736328
2010-05-20,21.142126083374023
2010-05-21,21.46738624572754
2010-05-24,21.429866790771484
2010-05-25,21.4173526763916
2010-05-26,21.30475425720215
2010-05-27,21.579980850219727
2010-05-28,21.50491714477539
2010-06-01,21.35479164123535
2010-06-02,21.81767463684082
2010-06-03,22.042856216430664
2010-06-04,21.992816925048828
2010-06-07,21.88022232055664
2010-06-08,21.7551212310791
2010-06-09,21.76763343811035
2010-06-10,22.130422592163086
2010-06-11,21.917753219604492
2010-06-14,21.930273056030273
2010-06-15,22.167957305908203
2010-06-16,22.4556941986084
2010-06-17,22.63083267211914
2010-06-18,22.5057315826416
2010-06-21,22.23050880432129
2010-06-22,21.867712020874023
2010-06-23,21.60500144958496
2010-06-24,21.46738624572754
2010-06-25,21.47989845275879
2010-06-28,21.379817962646484
2010-06-29,21.04203987121582
2010-06-30,20.941965103149414
2010-07-01,20.704265594482422
2010-07-02,20.554141998291016
2010-07-06,20.641721725463867
2010-07-07,20.86690330505371
2010-07-08,21.05455780029297
2010-07-09,21.07957649230957
2010-07-12,21.129610061645508
2010-07-13,21.167156219482422
2010-07-14,21.329771041870117
2010-07-15,21.142126083374023
2010-07-16,20.591686248779297
2010-07-19,20.691762924194336
2010-07-20,20.879419326782227
2010-07-21,20.60419464111328
2010-07-22,21.05455780029297
2010-07-23,21.242202758789062
2010-07-26,21.217185974121094
2010-07-27,21.19217300415039
2010-07-28,21.117103576660156
2010-07-29,20.916942596435547
2010-07-30,20.80435562133789
2010-08-02,21.217185974121094
2010-08-03,21.292253494262695
2010-08-04,21.292253494262695
2010-08-05,21.46738624572754
2010-08-06,21.254714965820312
2010-08-09,21.204675674438477
2010-08-10,20.754316329956055
2010-08-11,19.92864418029785
2010-08-12,19.853586196899414
2010-08-13,19.740985870361328
2010-08-16,19.440744400024414
2010-08-17,19.728485107421875
2010-08-18,19.453256607055664
2010-08-19,19.415729522705078
2010-08-20,19.453256607055664
2010-08-23,19.128000259399414
2010-08-24,19.01540184020996
2010-08-25,18.99038314819336
2010-08-26,18.96536636352539
2010-08-27,19.153017044067383
2010-08-30,18.927833557128906
2010-08-31,18.615081787109375
2010-09-01,19.228076934814453
2010-09-02,18.99038314819336
2010-09-03,19.403215408325195
2010-09-07,19.190542221069336
2010-09-08,19.077951431274414
2010-09-09,18.977872848510742
2010-09-10,18.96536636352539
2010-09-13,19.140501022338867
2010-09-14,19.128000259399414
2010-09-15,19.01540184020996
2010-09-16,19.62840461730957
2010-09-17,19.540830612182617
2010-09-20,19.80354881286621
2010-09-21,19.816051483154297
2010-09-22,19.94115447998047
2010-09-23,19.703460693359375
2010-09-24,20.141313552856445
2010-09-27,19.715970993041992
2010-09-28,19.9161319732666
