Date,RJF
2010-01-04,12.88684368133545
2010-01-05,13.093926429748535
2010-01-06,13.279763221740723
2010-01-07,13.200118064880371
2010-01-08,13.056755065917969
2010-01-11,13.024895668029785
2010-01-12,12.770029067993164
2010-01-13,13.247906684875488
2010-01-14,13.332865715026855
2010-01-15,13.16826057434082
2010-01-19,13.301005363464355
2010-01-20,13.343484878540039
2010-01-21,14.187739372253418
2010-01-22,14.0443754196167
2010-01-25,13.954105377197266
2010-01-26,13.837296485900879
2010-01-27,13.943490982055664
2010-01-28,13.640833854675293
2010-01-29,13.439058303833008
2010-02-01,13.582426071166992
2010-02-02,13.996589660644531
2010-02-03,14.193049430847168
2010-02-04,13.571802139282227
2010-02-05,13.364725112915039
2010-02-08,13.412515640258789
2010-02-09,13.561180114746094
2010-02-10,13.67269229888916
2010-02-11,13.619597434997559
2010-02-12,13.757646560668945
2010-02-16,13.959420204162598
2010-02-17,14.033756256103516
2010-02-18,13.99128246307373
2010-02-19,14.171806335449219
2010-02-22,14.235530853271484
2010-02-23,13.885079383850098
2010-02-24,13.736411094665527
2010-02-25,13.582426071166992
2010-02-26,13.731098175048828
2010-03-01,13.99128246307373
2010-03-02,14.15588092803955
2010-03-03,14.256770133972168
2010-03-04,14.352346420288086
2010-03-05,14.543496131896973
2010-03-08,14.745268821716309
2010-03-09,14.660313606262207
2010-03-10,14.734644889831543
2010-03-11,14.665620803833008
2010-03-12,14.601902961730957
2010-03-15,14.787749290466309
2010-03-16,14.739956855773926
2010-03-17,14.856775283813477
2010-03-18,14.856775283813477
2010-03-19,14.793061256408691
2010-03-22,14.931117057800293
2010-03-23,14.899252891540527
2010-03-24,14.750580787658691
2010-03-25,14.729337692260742
2010-03-26,14.421372413635254
2010-03-29,14.532879829406738
2010-03-30,14.623506546020508
2010-03-31,14.255650520324707
2010-04-01,14.447577476501465
2010-04-05,14.719470024108887
2010-04-06,14.986031532287598
2010-04-07,15.10331916809082
2010-04-08,15.295241355895996
2010-04-09,15.412527084350586
2010-04-12,15.476500511169434
2010-04-13,15.705741882324219
2010-04-14,16.09491539001465
2010-04-15,16.132240295410156
2010-04-16,15.679093360900879
2010-04-19,15.865675926208496
2010-04-20,15.966970443725586
2010-04-21,16.009626388549805
2010-04-22,16.249526977539062
2010-04-23,16.590717315673828
2010-04-26,16.3828067779541
2010-04-27,16.036272048950195
2010-04-28,16.121578216552734
2010-04-29,16.350818634033203
2010-04-30,16.334823608398438
2010-05-03,16.505422592163086
2010-05-04,15.839015007019043
2010-05-05,15.72706413269043
2010-05-06,15.097980499267578
2010-05-07,15.060663223266602
2010-05-10,15.812363624572754
2010-05-11,15.775053977966309
2010-05-12,16.046934127807617
2010-05-13,15.97763442993164
2010-05-14,15.321895599365234
2010-05-17,15.145963668823242
2010-05-18,14.724796295166016
2010-05-19,14.73546028137207
2010-05-20,14.015751838684082
2010-05-21,14.650165557861328
2010-05-24,14.532876014709473
2010-05-25,14.527544975280762
2010-05-26,14.612839698791504
2010-05-27,15.231261253356934
2010-05-28,15.071325302124023
2010-06-01,14.623506546020508
2010-06-02,15.220599174499512
2010-06-03,15.156628608703613
2010-06-04,14.719470024108887
2010-06-07,14.527544975280762
2010-06-08,14.687481880187988
2010-06-09,14.506217956542969
2010-06-10,14.954047203063965
2010-06-11,15.087320327758789
2010-06-14,15.007349967956543
2010-06-15,15.279245376586914
2010-06-16,15.257918357849121
2010-06-17,14.948710441589355
2010-06-18,14.655494689941406
2010-06-21,14.548868179321289
2010-06-22,14.490221977233887
2010-06-23,14.346283912658691
2010-06-24,14.19700813293457
2010-06-25,14.165020942687988
2010-06-28,14.23966121673584
2010-06-29,13.415258407592773
2010-06-30,13.217184066772461
2010-07-01,12.954878807067871
2010-07-02,13.04052448272705
2010-07-06,13.334959983825684
2010-07-07,13.73110294342041
2010-07-08,13.693625450134277
2010-07-09,13.891701698303223
2010-07-12,14.014819145202637
2010-07-13,14.38418960571289
2010-07-14,14.186126708984375
2010-07-15,14.05229663848877
2010-07-16,13.265366554260254
2010-07-19,13.431323051452637
2010-07-20,13.458086013793945
2010-07-21,13.522319793701172
2010-07-22,13.784626960754395
2010-07-23,14.073710441589355
2010-07-26,14.609029769897461
2010-07-27,14.58762264251709
2010-07-28,14.410962104797363
2010-07-29,14.319951057434082
2010-07-30,14.282486915588379
2010-08-02,14.64114761352539
2010-08-03,14.421667098999023
2010-08-04,14.69468879699707
2010-08-05,14.662565231323242
2010-08-06,14.635797500610352
2010-08-09,14.544795989990234
2010-08-10,14.266424179077148
2010-08-11,13.661505699157715
2010-08-12,13.57050609588623
2010-08-13,13.399198532104492
2010-08-16,13.334959983825684
2010-08-17,13.538384437561035
2010-08-18,13.597265243530273
2010-08-19,13.163654327392578
2010-08-20,13.334959983825684
2010-08-23,13.061946868896484
2010-08-24,12.719339370727539
2010-08-25,12.767515182495117
2010-08-26,12.521261215209961
2010-08-27,12.863869667053223
2010-08-30,12.451669692993164
2010-08-31,12.355315208435059
2010-09-01,12.917401313781738
2010-09-02,13.067293167114258
2010-09-03,13.35637092590332
2010-09-07,13.008410453796387
2010-09-08,13.019118309020996
2010-09-09,13.152947425842285
2010-09-10,13.083352088928223
2010-09-13,13.490204811096191
2010-09-14,13.420612335205078
2010-09-15,13.57585620880127
2010-09-16,13.597265243530273
2010-09-17,13.666860580444336
2010-09-20,13.624035835266113
2010-09-21,13.495559692382812
2010-09-22,13.110121726989746
2010-09-23,12.97629165649414
2010-09-24,13.361725807189941
2010-09-27,13.361725807189941
2010-09-28,13.591915130615234
