Date,HIG
2010-01-04,17.556978225708008
2010-01-05,18.90355110168457
2010-01-06,19.219947814941406
2010-01-07,19.514291763305664
2010-01-08,19.293548583984375
2010-01-11,19.25674819946289
2010-01-12,19.955787658691406
2010-01-13,20.485591888427734
2010-01-14,20.05881118774414
2010-01-15,19.705610275268555
2010-01-19,20.220691680908203
2010-01-20,19.845426559448242
2010-01-21,18.80789566040039
2010-01-22,18.10885238647461
2010-01-25,18.14564323425293
2010-01-26,17.961685180664062
2010-01-27,18.36639404296875
2010-01-28,17.821876525878906
2010-01-29,17.652629852294922
2010-02-01,17.94696617126465
2010-02-02,18.68280029296875
2010-02-03,18.086776733398438
2010-02-04,17.06397247314453
2010-02-05,17.31415367126465
2010-02-08,17.26264190673828
2010-02-09,16.438512802124023
2010-02-10,16.975671768188477
2010-02-11,16.953594207763672
2010-02-12,17.255281448364258
2010-02-16,17.62320327758789
2010-02-17,17.71885871887207
2010-02-18,17.76300811767578
2010-02-19,17.91018295288086
2010-02-22,18.256025314331055
2010-02-23,17.549612045288086
2010-02-24,17.902814865112305
2010-02-25,17.947065353393555
2010-02-26,17.969179153442383
2010-03-01,18.293617248535156
2010-03-02,18.964601516723633
2010-03-03,18.699155807495117
2010-03-04,19.42913246154785
2010-03-05,19.805173873901367
2010-03-08,19.856788635253906
2010-03-09,19.59872055053711
2010-03-10,20.100116729736328
2010-03-11,20.122238159179688
2010-03-12,19.72406768798828
2010-03-15,19.77568244934082
2010-03-16,20.100116729736328
2010-03-17,21.073415756225586
2010-03-18,20.52777671813965
2010-03-19,20.100116729736328
2010-03-22,20.372936248779297
2010-03-23,20.542524337768555
2010-03-24,20.74897575378418
2010-03-25,20.53514862060547
2010-03-26,20.623634338378906
2010-03-29,20.778484344482422
2010-03-30,20.675241470336914
2010-03-31,20.955442428588867
2010-04-01,21.29462432861328
2010-04-05,21.633798599243164
2010-04-06,21.405221939086914
2010-04-07,21.014427185058594
2010-04-08,21.051294326782227
2010-04-09,20.645750045776367
2010-04-12,20.56464195251465
2010-04-13,20.616260528564453
2010-04-14,20.75636100769043
2010-04-15,20.47616195678711
2010-04-16,19.92314910888672
2010-04-19,20.350811004638672
2010-04-20,21.213512420654297
2010-04-21,21.198766708374023
2010-04-22,21.279874801635742
2010-04-23,21.796022415161133
2010-04-26,21.840255737304688
2010-04-27,20.977563858032227
2010-04-28,21.32411003112793
2010-04-29,21.855005264282227
2010-04-30,21.066036224365234
2010-05-03,21.375720977783203
2010-05-04,20.395061492919922
2010-05-05,20.1148624420166
2010-05-06,19.21529769897461
2010-05-07,18.654909133911133
2010-05-10,19.92314910888672
2010-05-11,19.716697692871094
2010-05-12,20.151729583740234
2010-05-13,19.753564834594727
2010-05-14,19.32589340209961
2010-05-17,19.14156723022461
2010-05-18,18.610671997070312
2010-05-19,18.74339485168457
2010-05-20,17.4309139251709
2010-05-21,17.9249324798584
2010-05-24,17.644746780395508
2010-05-25,17.836456298828125
2010-05-26,17.57839012145996
2010-05-27,18.856678009033203
2010-05-28,18.524173736572266
2010-06-01,18.051279067993164
2010-06-02,18.83451271057129
2010-06-03,18.575899124145508
2010-06-04,17.415830612182617
2010-06-07,16.47003746032715
2010-06-08,16.809926986694336
2010-06-09,16.80254364013672
2010-06-10,17.659658432006836
2010-06-11,17.740936279296875
2010-06-14,18.38377571105957
2010-06-15,18.856678009033203
2010-06-16,18.479841232299805
2010-06-17,18.428115844726562
2010-06-18,18.56112289428711
2010-06-21,18.309898376464844
2010-06-22,18.102996826171875
2010-06-23,18.19905662536621
2010-06-24,17.519262313842773
2010-06-25,17.7852783203125
2010-06-28,17.45277214050293
2010-06-29,16.37398338317871
2010-06-30,16.351816177368164
2010-07-01,16.144916534423828
2010-07-02,16.041475296020508
2010-07-06,15.989750862121582
2010-07-07,16.558704376220703
2010-07-08,16.750810623168945
2010-07-09,17.386272430419922
2010-07-12,17.105484008789062
2010-07-13,17.68921661376953
2010-07-14,17.1719913482666
2010-07-15,16.83209991455078
2010-07-16,16.0858097076416
2010-07-19,16.16708755493164
2010-07-20,16.37398338317871
2010-07-21,16.07103157043457
2010-07-22,17.024208068847656
2010-07-23,17.312379837036133
2010-07-26,17.29021453857422
2010-07-27,17.20893096923828
2010-07-28,16.854259490966797
2010-07-29,17.216323852539062
2010-07-30,17.29759979248047
2010-08-02,17.822221755981445
2010-08-03,17.31976890563965
2010-08-04,17.615331649780273
2010-08-05,16.75820541381836
2010-08-06,16.632593154907227
2010-08-09,16.883821487426758
2010-08-10,16.669532775878906
2010-08-11,15.41341495513916
2010-08-12,15.27302074432373
2010-08-13,15.428187370300293
2010-08-16,15.029192924499512
2010-08-17,15.531633377075195
2010-08-18,15.664643287658691
2010-08-19,15.043963432312012
2010-08-20,14.874009132385254
2010-08-23,14.837076187133789
2010-08-24,14.25334644317627
2010-08-25,14.415898323059082
2010-08-26,14.10556411743164
2010-08-27,15.014405250549316
2010-08-30,14.510720252990723
2010-08-31,14.940335273742676
2010-09-01,15.881051063537598
2010-09-02,16.12548828125
2010-09-03,16.67361831665039
2010-09-07,16.01437759399414
2010-09-08,16.443998336791992
2010-09-09,16.54029655456543
2010-09-10,16.999536514282227
2010-09-13,17.377304077148438
2010-09-14,17.110645294189453
2010-09-15,17.01435089111328
2010-09-16,16.821765899658203
2010-09-17,16.666213989257812
2010-09-20,16.984724044799805
2010-09-21,17.15509033203125
2010-09-22,16.532886505126953
2010-09-23,16.184757232666016
2010-09-24,16.806949615478516
2010-09-27,16.666213989257812
2010-09-28,17.36249351501465
