Date,NSC
2010-01-04,36.58140563964844
2010-01-05,37.14482879638672
2010-01-06,37.04050827026367
2010-01-07,36.5535774230957
2010-01-08,37.812618255615234
2010-01-11,37.722171783447266
2010-01-12,37.57612609863281
2010-01-13,37.562198638916016
2010-01-14,36.970943450927734
2010-01-15,36.713565826416016
2010-01-19,36.9013786315918
2010-01-20,35.99709701538086
2010-01-21,35.058048248291016
2010-01-22,34.536354064941406
2010-01-25,34.68937301635742
2010-01-26,34.60591125488281
2010-01-27,35.07892608642578
2010-01-28,33.45121383666992
2010-01-29,32.734764099121094
2010-02-01,33.444271087646484
2010-02-02,34.08421325683594
2010-02-03,33.937103271484375
2010-02-04,32.802391052246094
2010-02-05,32.99150466918945
2010-02-08,32.438140869140625
2010-02-09,33.019527435302734
2010-02-10,32.914451599121094
2010-02-11,34.0281867980957
2010-02-12,33.95813751220703
2010-02-16,34.945762634277344
2010-02-17,34.504493713378906
2010-02-18,35.19793701171875
2010-02-19,35.730281829833984
2010-02-22,35.82135009765625
2010-02-23,35.49913024902344
2010-02-24,35.80033874511719
2010-02-25,36.17857360839844
2010-02-26,36.02448654174805
2010-03-01,36.87202453613281
2010-03-02,36.92104721069336
2010-03-03,36.57783889770508
2010-03-04,36.752960205078125
2010-03-05,37.103187561035156
2010-03-08,37.103187561035156
2010-03-09,37.64253616333008
2010-03-10,37.733604431152344
2010-03-11,38.076820373535156
2010-03-12,38.139869689941406
2010-03-15,38.21690368652344
2010-03-16,38.61616134643555
2010-03-17,38.72123336791992
2010-03-18,39.00141143798828
2010-03-19,38.756256103515625
2010-03-22,38.80527877807617
2010-03-23,38.69322967529297
2010-03-24,38.286949157714844
2010-03-25,38.31498718261719
2010-03-26,38.406028747558594
2010-03-29,39.09248352050781
2010-03-30,39.36565399169922
2010-03-31,39.14850616455078
2010-04-01,39.91901779174805
2010-04-05,40.31827163696289
2010-04-06,40.33927536010742
2010-04-07,40.40231704711914
2010-04-08,40.94868469238281
2010-04-09,40.56344223022461
2010-04-12,40.899654388427734
2010-04-13,41.44601058959961
2010-04-14,42.11845016479492
2010-04-15,42.45466613769531
2010-04-16,41.65615463256836
2010-04-19,41.600101470947266
2010-04-20,42.16046905517578
2010-04-21,42.16046905517578
2010-04-22,42.405643463134766
2010-04-23,42.643775939941406
2010-04-26,42.7908935546875
2010-04-27,41.7822265625
2010-04-28,41.44601058959961
2010-04-29,42.384620666503906
2010-04-30,41.55808639526367
2010-05-03,42.83291244506836
2010-05-04,41.7822265625
2010-05-05,41.098899841308594
2010-05-06,39.7181282043457
2010-05-07,38.90093994140625
2010-05-10,41.415924072265625
2010-05-11,41.669517517089844
2010-05-12,42.78257751464844
2010-05-13,42.12038040161133
2010-05-14,41.06367874145508
2010-05-17,40.950950622558594
2010-05-18,40.23239517211914
2010-05-19,39.436336517333984
2010-05-20,37.62584686279297
2010-05-21,38.61211395263672
2010-05-24,38.30214309692383
2010-05-25,38.25988006591797
2010-05-26,38.73891067504883
2010-05-27,39.9576416015625
2010-05-28,39.77449035644531
2010-06-01,38.7671012878418
2010-06-02,39.936519622802734
2010-06-03,40.013999938964844
2010-06-04,37.61879348754883
2010-06-07,36.76638412475586
2010-06-08,37.5765266418457
2010-06-09,37.75970458984375
2010-06-10,39.56313705444336
2010-06-11,40.013999938964844
2010-06-14,39.57722854614258
2010-06-15,41.18342208862305
2010-06-16,41.06367874145508
2010-06-17,41.324337005615234
2010-06-18,41.627254486083984
2010-06-21,42.247188568115234
2010-06-22,40.48600387573242
2010-06-23,40.48600387573242
2010-06-24,39.61245346069336
2010-06-25,39.929481506347656
2010-06-28,39.87310791015625
2010-06-29,37.64697265625
2010-06-30,37.37223434448242
2010-07-01,37.12568283081055
2010-07-02,35.864662170410156
2010-07-06,35.575843811035156
2010-07-07,36.463462829589844
2010-07-08,36.6043701171875
2010-07-09,37.90763473510742
2010-07-12,38.175331115722656
2010-07-13,38.950252532958984
2010-07-14,38.74594497680664
2010-07-15,38.7671012878418
2010-07-16,37.590633392333984
2010-07-19,37.29474639892578
2010-07-20,38.03443908691406
2010-07-21,37.442691802978516
2010-07-22,38.548709869384766
2010-07-23,39.77449035644531
2010-07-26,40.26761245727539
2010-07-27,39.81675338745117
2010-07-28,39.471561431884766
2010-07-29,39.40113067626953
2010-07-30,39.64064025878906
2010-08-02,40.507137298583984
2010-08-03,40.457828521728516
2010-08-04,40.84064483642578
2010-08-05,41.060401916503906
2010-08-06,40.45073318481445
2010-08-09,41.060401916503906
2010-08-10,40.91862487792969
2010-08-11,39.174678802490234
2010-08-12,38.92657470703125
2010-08-13,38.76351547241211
2010-08-16,38.67137145996094
2010-08-17,39.33066177368164
2010-08-18,39.763092041015625
2010-08-19,38.67844772338867
2010-08-20,38.5933723449707
2010-08-23,37.89863204956055
2010-08-24,37.35276412963867
2010-08-25,37.59379577636719
2010-08-26,37.60798263549805
2010-08-27,38.67137145996094
2010-08-30,37.96244430541992
2010-08-31,38.05458450317383
2010-09-01,39.71345520019531
2010-09-02,40.500362396240234
2010-09-03,41.05331802368164
2010-09-07,40.87609100341797
2010-09-08,41.386505126953125
2010-09-09,41.060401916503906
2010-09-10,41.719696044921875
2010-09-13,41.96072769165039
2010-09-14,41.66298294067383
2010-09-15,41.81894302368164
2010-09-16,41.42194747924805
2010-09-17,41.43613052368164
2010-09-20,41.77640914916992
2010-09-21,42.08123779296875
2010-09-22,41.77640914916992
2010-09-23,41.11002731323242
2010-09-24,42.44987487792969
2010-09-27,42.23012924194336
2010-09-28,42.27975082397461
