Date,ODFL
2010-01-04,4.1879096031188965
2010-01-05,4.277987003326416
2010-01-06,4.356624126434326
2010-01-07,4.146443843841553
2010-01-08,4.203636646270752
2010-01-11,4.179329872131348
2010-01-12,4.157882213592529
2010-01-13,4.180759906768799
2010-01-14,4.17075252532959
2010-01-15,4.063515663146973
2010-01-19,3.986306667327881
2010-01-20,3.9362637996673584
2010-01-21,3.840465784072876
2010-01-22,3.794713020324707
2010-01-25,3.8161590099334717
2010-01-26,3.860483169555664
2010-01-27,3.894798994064331
2010-01-28,3.949131965637207
2010-01-29,3.931974172592163
2010-02-01,4.019190788269043
2010-02-02,4.007754325866699
2010-02-03,4.05636739730835
2010-02-04,3.9762983322143555
2010-02-05,3.946272611618042
2010-02-08,3.9448418617248535
2010-02-09,4.043498992919922
2010-02-10,4.026340961456299
2010-02-11,4.060657501220703
2010-02-12,4.077813148498535
2010-02-16,4.04921817779541
2010-02-17,4.136438369750977
2010-02-18,4.1221394538879395
2010-02-19,4.16789436340332
2010-02-22,4.262257099151611
2010-02-23,4.230803489685059
2010-02-24,4.3022942543029785
2010-02-25,4.358057498931885
2010-02-26,4.395230770111084
2010-03-01,4.353766441345215
2010-03-02,4.336609363555908
2010-03-03,4.382364273071289
2010-03-04,4.383792400360107
2010-03-05,4.4524245262146
2010-03-08,4.581108570098877
2010-03-09,4.764122009277344
2010-03-10,4.765552520751953
2010-03-11,4.7984395027160645
2010-03-12,4.792717933654785
2010-03-15,4.789860248565674
2010-03-16,4.928550720214844
2010-03-17,4.8613481521606445
2010-03-18,4.812736988067627
2010-03-19,4.765552520751953
2010-03-22,4.792717933654785
2010-03-23,4.802727699279785
2010-03-24,4.745534896850586
2010-03-25,4.7383856773376465
2010-03-26,4.731237888336182
2010-03-29,4.721227169036865
2010-03-30,4.7769904136657715
2010-03-31,4.7741312980651855
2010-04-01,4.732667446136475
2010-04-05,4.82560396194458
2010-04-06,4.9156813621521
2010-04-07,4.95571756362915
2010-04-08,4.991460800170898
2010-04-09,4.971445560455322
2010-04-12,4.964296340942383
2010-04-13,4.939988613128662
2010-04-14,5.137302875518799
2010-04-15,5.33032751083374
2010-04-16,5.307450771331787
2010-04-19,5.244539260864258
2010-04-20,5.188775062561035
2010-04-21,5.228810787200928
2010-04-22,5.263127326965332
2010-04-23,5.341765403747559
2010-04-26,5.430412769317627
2010-04-27,5.361781120300293
2010-04-28,5.097266674041748
2010-04-29,5.291723251342773
2010-04-30,5.130153656005859
2010-05-03,5.260266304016113
2010-05-04,5.177337169647217
2010-05-05,5.187345027923584
2010-05-06,5.04579496383667
2010-05-07,4.877077579498291
2010-05-10,5.221660614013672
2010-05-11,5.391809463500977
2010-05-12,5.431842803955078
2010-05-13,5.304589748382568
2010-05-14,5.3060197830200195
2010-05-17,5.380370140075684
2010-05-18,5.316028118133545
2010-05-19,5.328896522521973
2010-05-20,4.941418647766113
2010-05-21,5.0357866287231445
2010-05-24,4.944277763366699
2010-05-25,4.938559532165527
2010-05-26,4.962865829467773
2010-05-27,5.175909042358398
2010-05-28,5.095837593078613
2010-06-01,4.985743045806885
2010-06-02,5.124433517456055
2010-06-03,5.258835792541504
2010-06-04,4.941418647766113
2010-06-07,4.6983513832092285
2010-06-08,4.661177635192871
2010-06-09,4.84848165512085
2010-06-10,5.04579496383667
2010-06-11,5.15017032623291
2010-06-14,5.243109703063965
2010-06-15,5.307450771331787
2010-06-16,5.253116607666016
2010-06-17,5.208792209625244
2010-06-18,5.308879852294922
2010-06-21,5.265985488891602
2010-06-22,4.928550720214844
2010-06-23,5.00290060043335
2010-06-24,4.95571756362915
2010-06-25,4.970015048980713
2010-06-28,5.068672180175781
2010-06-29,5.032927989959717
2010-06-30,5.024348735809326
2010-07-01,4.978594779968262
2010-07-02,4.994321346282959
2010-07-06,4.831323623657227
2010-07-07,5.025777816772461
2010-07-08,5.0872602462768555
2010-07-09,5.131584167480469
2010-07-12,5.112996578216553
2010-07-13,5.247397422790527
2010-07-14,5.2874321937561035
2010-07-15,5.160179615020752
2010-07-16,5.124433517456055
2010-07-19,5.195924282073975
2010-07-20,5.2345290184021
2010-07-21,5.051514625549316
2010-07-22,5.224519729614258
2010-07-23,5.4132561683654785
2010-07-26,5.516202449798584
2010-07-27,5.436133861541748
2010-07-28,5.750690460205078
2010-07-29,5.647743225097656
2010-07-30,5.637735366821289
2010-08-02,5.569103717803955
2010-08-03,5.417544364929199
2010-08-04,5.540508270263672
2010-08-05,5.35463285446167
2010-08-06,5.3646416664123535
2010-08-09,5.434702396392822
2010-08-10,5.2688446044921875
2010-08-11,5.112996578216553
2010-08-12,5.185915946960449
2010-08-13,5.088691234588623
2010-08-16,5.15017032623291
2010-08-17,5.317460060119629
2010-08-18,5.463298797607422
2010-08-19,5.2874321937561035
2010-08-20,5.324606895446777
2010-08-23,5.263127326965332
2010-08-24,5.095837593078613
2010-08-25,5.185915946960449
2010-08-26,5.164468288421631
2010-08-27,5.374651908874512
2010-08-30,5.17304801940918
2010-08-31,4.984313011169434
2010-09-01,5.359638214111328
2010-09-02,5.374651908874512
2010-09-03,5.368216037750244
2010-09-07,5.331756114959717
2010-09-08,5.462584495544434
2010-09-09,5.368216037750244
2010-09-10,5.331756114959717
2010-09-13,5.432558536529541
2010-09-14,5.415401458740234
2010-09-15,5.428267955780029
2010-09-16,5.535504341125488
2010-09-17,5.576253890991211
2010-09-20,5.554807186126709
2010-09-21,5.554807186126709
2010-09-22,5.499045372009277
2010-09-23,5.342479228973389
2010-09-24,5.529071807861328
