Date,WY
2010-01-04,9.568549156188965
2010-01-05,9.771677017211914
2010-01-06,9.6636323928833
2010-01-07,9.620412826538086
2010-01-08,9.531810760498047
2010-01-11,9.594480514526367
2010-01-12,9.482111930847168
2010-01-13,9.568549156188965
2010-01-14,9.477787971496582
2010-01-15,9.419443130493164
2010-01-19,9.6636323928833
2010-01-20,9.5037202835083
2010-01-21,9.069374084472656
2010-01-22,8.915953636169434
2010-01-25,8.957009315490723
2010-01-26,8.980779647827148
2010-01-27,8.92452621459961
2010-01-28,8.757938385009766
2010-01-29,8.632452011108398
2010-02-01,8.870438575744629
2010-02-02,9.186314582824707
2010-02-03,9.03486442565918
2010-02-04,8.7384614944458
2010-02-05,8.535094261169434
2010-02-08,8.491822242736816
2010-02-09,8.608654022216797
2010-02-10,8.491822242736816
2010-02-11,8.571874618530273
2010-02-12,8.554566383361816
2010-02-16,8.757938385009766
2010-02-17,8.723320007324219
2010-02-18,8.783895492553711
2010-02-19,8.933183670043945
2010-02-22,8.935345649719238
2010-02-23,8.874771118164062
2010-02-24,9.095442771911621
2010-02-25,8.920195579528809
2010-02-26,8.74062728881836
2010-03-01,9.026212692260742
2010-03-02,9.177654266357422
2010-03-03,9.25338363647461
2010-03-04,9.201457977294922
2010-03-05,9.385359764099121
2010-03-08,9.43078899383545
2010-03-09,9.422138214111328
2010-03-10,9.303145408630371
2010-03-11,9.4740629196167
2010-03-12,9.450263023376465
2010-03-15,9.383191108703613
2010-03-16,9.657959938049316
2010-03-17,9.805081367492676
2010-03-18,9.69690227508545
2010-03-19,9.599549293518066
2010-03-22,9.727194786071777
2010-03-23,9.805081367492676
2010-03-24,9.735848426818848
2010-03-25,9.554110527038574
2010-03-26,9.58440113067627
2010-03-29,9.709888458251953
2010-03-30,9.789937973022461
2010-03-31,9.79426097869873
2010-04-01,9.8656587600708
2010-04-05,9.978157997131348
2010-04-06,10.02143383026123
2010-04-07,9.945709228515625
2010-04-08,9.915423393249512
2010-04-09,10.209660530090332
2010-04-12,9.982489585876465
2010-04-13,9.908926963806152
2010-04-14,10.185859680175781
2010-04-15,10.144750595092773
2010-04-16,10.354618072509766
2010-04-19,10.449809074401855
2010-04-20,10.774336814880371
2010-04-21,11.033963203430176
2010-04-22,11.21353530883789
2010-04-23,11.531571388244629
2010-04-26,11.289252281188965
2010-04-27,10.843574523925781
2010-04-28,10.676813125610352
2010-04-29,10.98433780670166
2010-04-30,10.724457740783691
2010-05-03,10.993005752563477
2010-05-04,10.542542457580566
2010-05-05,10.360623359680176
2010-05-06,9.83436393737793
2010-05-07,9.674100875854492
2010-05-10,10.271830558776855
2010-05-11,10.21119213104248
2010-05-12,10.475403785705566
2010-05-13,10.19169807434082
2010-05-14,9.9816312789917
2010-05-17,9.903663635253906
2010-05-18,9.626457214355469
2010-05-19,9.50734806060791
2010-05-20,9.082868576049805
2010-05-21,9.308098793029785
2010-05-24,9.024398803710938
2010-05-25,8.994077682495117
2010-05-26,9.002740859985352
2010-05-27,9.342751502990723
2010-05-28,9.221474647521973
2010-06-01,8.95726490020752
2010-06-02,9.193323135375977
2010-06-03,9.08936882019043
2010-06-04,8.688714981079102
2010-06-07,8.441825866699219
2010-06-08,8.558777809143066
2010-06-09,8.435335159301758
2010-06-10,8.706043243408203
2010-06-11,8.881461143493652
2010-06-14,8.758017539978027
2010-06-15,8.825157165527344
2010-06-16,8.651900291442871
2010-06-17,8.539287567138672
2010-06-18,8.500303268432617
2010-06-21,8.543619155883789
2010-06-22,8.242587089538574
2010-06-23,8.405014038085938
2010-06-24,8.077995300292969
2010-06-25,8.077995300292969
2010-06-28,7.974043369293213
2010-06-29,7.6665167808532715
2010-06-30,7.6232008934021
2010-07-01,7.610206604003906
2010-07-02,7.4694366455078125
2010-07-06,7.430457592010498
2010-07-07,7.668679237365723
2010-07-08,7.718493461608887
2010-07-09,7.761805057525635
2010-07-12,8.415842056274414
2010-07-13,8.710376739501953
2010-07-14,8.634574890136719
2010-07-15,8.801328659057617
2010-07-16,8.771013259887695
2010-07-19,9.059046745300293
2010-07-20,9.370617866516113
2010-07-21,9.111954689025879
2010-07-22,9.470555305480957
2010-07-23,9.776246070861816
2010-07-26,10.023153305053711
2010-07-27,9.970242500305176
2010-07-28,9.752731323242188
2010-07-29,9.693947792053223
2010-07-30,9.535222053527832
2010-08-02,9.940851211547852
2010-08-03,9.982002258300781
2010-08-04,10.28769302368164
2010-08-05,10.134845733642578
2010-08-06,10.093696594238281
2010-08-09,10.234786987304688
2010-08-10,10.134845733642578
2010-08-11,9.617524147033691
2010-08-12,9.676310539245605
2010-08-13,9.617524147033691
2010-08-16,9.552858352661133
2010-08-17,9.94672679901123
2010-08-18,9.846789360046387
2010-08-19,9.505826950073242
2010-08-20,9.494068145751953
2010-08-23,9.288318634033203
2010-08-24,9.100201606750488
2010-08-25,9.206012725830078
2010-08-26,9.100201606750488
2010-08-27,9.276558876037598
2010-08-30,9.141351699829102
2010-08-31,9.22952938079834
2010-09-01,9.617524147033691
2010-09-02,9.635157585144043
2010-09-03,9.635157585144043
2010-09-07,9.329463958740234
2010-09-08,9.40001106262207
2010-09-09,9.511703491210938
2010-09-10,9.570491790771484
2010-09-13,9.611645698547363
2010-09-14,9.458799362182617
2010-09-15,9.364738464355469
2010-09-16,9.311830520629883
2010-09-17,9.388253211975098
2010-09-20,9.170744895935059
2010-09-21,9.053166389465332
2010-09-22,9.28243637084961
2010-09-23,9.288318634033203
2010-09-24,9.599888801574707
2010-09-27,9.629277229309082
2010-09-28,9.629277229309082
