Date,ES
2010-01-04,15.19570541381836
2010-01-05,15.142641067504883
2010-01-06,15.337236404418945
2010-01-07,15.313636779785156
2010-01-08,15.354917526245117
2010-01-11,15.455162048339844
2010-01-12,15.419779777526855
2010-01-13,15.56130599975586
2010-01-14,15.56130599975586
2010-01-15,15.301848411560059
2010-01-19,15.57309627532959
2010-01-20,15.496442794799805
2010-01-21,15.30773639678955
2010-01-22,15.012913703918457
2010-01-25,15.060087203979492
2010-01-26,15.012913703918457
2010-01-27,15.071877479553223
2010-01-28,15.012913703918457
2010-01-29,14.930360794067383
2010-02-01,15.113155364990234
2010-02-02,15.325434684753418
2010-02-03,15.29595947265625
2010-02-04,14.87138843536377
2010-02-05,14.824216842651367
2010-02-08,14.611942291259766
2010-02-09,14.765253067016602
2010-02-10,14.735769271850586
2010-02-11,14.87138843536377
2010-02-12,14.818325996398926
2010-02-16,15.207499504089355
2010-02-17,15.242886543273926
2010-02-18,15.413885116577148
2010-02-19,15.726414680480957
2010-02-22,15.73231029510498
2010-02-23,15.525921821594238
2010-02-24,15.48464298248291
2010-02-25,15.22620964050293
2010-02-26,15.244071006774902
2010-03-01,15.547773361206055
2010-03-02,15.619220733642578
2010-03-03,15.57753849029541
2010-03-04,15.6370849609375
2010-03-05,15.785956382751465
2010-03-08,15.827634811401367
2010-03-09,15.774049758911133
2010-03-10,15.91695785522461
2010-03-11,15.88122844696045
2010-03-12,15.964599609375
2010-03-15,16.077735900878906
2010-03-16,16.226604461669922
2010-03-17,16.173011779785156
2010-03-18,16.17896842956543
2010-03-19,16.173011779785156
2010-03-22,16.131328582763672
2010-03-23,16.220645904541016
2010-03-24,16.047958374023438
2010-03-25,16.131328582763672
2010-03-26,16.08964729309082
2010-03-29,16.3992919921875
2010-03-30,16.57198143005371
2010-03-31,16.458833694458008
2010-04-01,16.655345916748047
2010-04-05,16.697031021118164
2010-04-06,16.792306900024414
2010-04-07,16.625568389892578
2010-04-08,16.494565963745117
2010-04-09,16.560062408447266
2010-04-12,16.554115295410156
2010-04-13,16.518388748168945
2010-04-14,16.595792770385742
2010-04-15,16.607707977294922
2010-04-16,16.304014205932617
2010-04-19,16.351652145385742
2010-04-20,16.42311668395996
2010-04-21,16.46479606628418
2010-04-22,16.536251068115234
2010-04-23,16.53030014038086
2010-04-26,16.46479606628418
2010-04-27,16.08964729309082
2010-04-28,16.274246215820312
2010-04-29,16.417156219482422
2010-04-30,16.548158645629883
2010-05-03,16.52433967590332
2010-05-04,16.304014205932617
2010-05-05,16.131328582763672
2010-05-06,15.482269287109375
2010-05-07,15.202394485473633
2010-05-10,15.678770065307617
2010-05-11,15.785956382751465
2010-05-12,16.036052703857422
2010-05-13,15.857409477233887
2010-05-14,15.83954906463623
2010-05-17,15.827634811401367
2010-05-18,15.774049758911133
2010-05-19,15.845498085021973
2010-05-20,15.470352172851562
2010-05-21,15.547773361206055
2010-05-24,15.363165855407715
2010-05-25,15.196438789367676
2010-05-26,15.33339786529541
2010-05-27,15.529467582702637
2010-05-28,15.607656478881836
2010-06-01,15.21671199798584
2010-06-02,15.565556526184082
2010-06-03,15.842228889465332
2010-06-04,15.252805709838867
2010-06-07,15.21671199798584
2010-06-08,15.349038124084473
2010-06-09,15.204689025878906
2010-06-10,15.64375114440918
2010-06-11,15.64375114440918
2010-06-14,15.685851097106934
2010-06-15,15.926427841186523
2010-06-16,16.028675079345703
2010-06-17,16.233163833618164
2010-06-18,16.160993576049805
2010-06-21,16.028675079345703
2010-06-22,15.673820495605469
2010-06-23,15.433237075805664
2010-06-24,15.469328880310059
2010-06-25,15.511430740356445
2010-06-28,15.637736320495605
2010-06-29,15.355050086975098
2010-06-30,15.324966430664062
2010-07-01,15.355050086975098
2010-07-02,15.427218437194824
2010-07-06,15.649762153625488
2010-07-07,16.094825744628906
2010-07-08,16.26925277709961
2010-07-09,16.167009353637695
2010-07-12,16.233163833618164
2010-07-13,16.43164825439453
2010-07-14,16.413610458374023
2010-07-15,16.60606575012207
2010-07-16,16.22113609313965
2010-07-19,16.39555549621582
2010-07-20,16.594039916992188
2010-07-21,16.40157127380371
2010-07-22,16.714324951171875
2010-07-23,16.810562133789062
2010-07-26,16.92483139038086
2010-07-27,17.255634307861328
2010-07-28,17.075197219848633
2010-07-29,16.870704650878906
2010-07-30,16.744400024414062
2010-08-02,17.1413631439209
2010-08-03,17.021072387695312
2010-08-04,17.30375099182129
2010-08-05,17.52629280090332
2010-08-06,17.424041748046875
2010-08-09,17.460128784179688
2010-08-10,17.562381744384766
2010-08-11,17.387948989868164
2010-08-12,17.21954917907715
2010-08-13,17.291725158691406
2010-08-16,17.35186767578125
2010-08-17,17.586429595947266
2010-08-18,17.43606948852539
2010-08-19,17.201509475708008
2010-08-20,17.165422439575195
2010-08-23,17.231576919555664
2010-08-24,17.309770584106445
2010-08-25,17.381942749023438
2010-08-26,17.18947410583496
2010-08-27,17.574399948120117
2010-08-30,17.383874893188477
2010-08-31,17.578046798706055
2010-09-01,17.98457908630371
2010-09-02,17.72367286682129
2010-09-03,17.887493133544922
2010-09-07,17.73580551147461
2010-09-08,17.675125122070312
2010-09-09,17.887493133544922
2010-09-10,17.851091384887695
2010-09-13,18.105934143066406
2010-09-14,18.15447235107422
2010-09-15,17.966373443603516
2010-09-16,17.75400733947754
2010-09-17,17.669063568115234
2010-09-20,17.887493133544922
2010-09-21,17.73580551147461
2010-09-22,17.741872787475586
2010-09-23,17.584108352661133
2010-09-24,17.960308074951172
2010-09-27,18.020984649658203
2010-09-28,18.08772850036621
