Date,BDX
2010-01-04,59.01667404174805
2010-01-05,58.46855545043945
2010-01-06,58.31088638305664
2010-01-07,58.295875549316406
2010-01-08,58.49858093261719
2010-01-11,58.874000549316406
2010-01-12,58.003028869628906
2010-01-13,58.190731048583984
2010-01-14,57.8453369140625
2010-01-15,57.282203674316406
2010-01-19,58.033058166503906
2010-01-20,57.65764617919922
2010-01-21,57.1771240234375
2010-01-22,56.373687744140625
2010-01-25,56.89926528930664
2010-01-26,56.74159240722656
2010-01-27,57.06446838378906
2010-01-28,57.424861907958984
2010-01-29,56.591453552246094
2010-02-01,56.84673309326172
2010-02-02,57.83031463623047
2010-02-03,57.54499435424805
2010-02-04,56.09587478637695
2010-02-05,56.231040954589844
2010-02-08,56.07335662841797
2010-02-09,56.50881576538086
2010-02-10,56.04331588745117
2010-02-11,56.47880172729492
2010-02-12,56.9443244934082
2010-02-16,57.74773406982422
2010-02-17,58.08561325073242
2010-02-18,58.536136627197266
2010-02-19,58.22077941894531
2010-02-22,58.190731048583984
2010-02-23,58.46855545043945
2010-02-24,59.181846618652344
2010-02-25,58.956600189208984
2010-02-26,58.46855545043945
2010-03-01,59.3320198059082
2010-03-02,59.42212677001953
2010-03-03,59.076744079589844
2010-03-04,58.94158935546875
2010-03-05,59.01667404174805
2010-03-08,58.805416107177734
2010-03-09,59.19773864746094
2010-03-10,59.53721618652344
2010-03-11,59.190189361572266
2010-03-12,59.122283935546875
2010-03-15,59.59757614135742
2010-03-16,59.62017822265625
2010-03-17,59.77864074707031
2010-03-18,59.89176559448242
2010-03-19,59.67300796508789
2010-03-22,60.457584381103516
2010-03-23,60.133182525634766
2010-03-24,59.6051025390625
2010-03-25,59.49947738647461
2010-03-26,59.2278938293457
2010-03-29,59.59757614135742
2010-03-30,59.63528060913086
2010-03-31,59.39386749267578
2010-04-01,59.5673942565918
2010-04-05,59.2278938293457
2010-04-06,59.16755294799805
2010-04-07,59.22035598754883
2010-04-08,59.31843948364258
2010-04-09,59.529685974121094
2010-04-12,59.59757614135742
2010-04-13,59.38630676269531
2010-04-14,59.212825775146484
2010-04-15,58.88087844848633
2010-04-16,58.647029876708984
2010-04-19,59.190189361572266
2010-04-20,60.095481872558594
2010-04-21,59.26564025878906
2010-04-22,58.292476654052734
2010-04-23,58.50368881225586
2010-04-26,57.636131286621094
2010-04-27,57.364540100097656
2010-04-28,57.86244201660156
2010-04-29,57.786983489990234
2010-04-30,57.61350631713867
2010-05-03,57.500328063964844
2010-05-04,56.911888122558594
2010-05-05,57.040157318115234
2010-05-06,56.48944091796875
2010-05-07,55.56907272338867
2010-05-10,57.00996398925781
2010-05-11,56.391361236572266
2010-05-12,56.65540313720703
2010-05-13,56.18012619018555
2010-05-14,55.26729202270508
2010-05-17,55.65958786010742
2010-05-18,56.05189514160156
2010-05-19,55.62188720703125
2010-05-20,54.052711486816406
2010-05-21,53.93202590942383
2010-05-24,53.811309814453125
2010-05-25,53.89430618286133
2010-05-26,53.30586624145508
2010-05-27,54.47517776489258
2010-05-28,53.78867721557617
2010-06-01,53.343589782714844
2010-06-02,54.618526458740234
2010-06-03,54.6109733581543
2010-06-04,52.86832809448242
2010-06-07,52.5497932434082
2010-06-08,52.26918029785156
2010-06-09,52.05682373046875
2010-06-10,52.9062385559082
2010-06-11,52.85314178466797
2010-06-14,53.232337951660156
2010-06-15,53.93008041381836
2010-06-16,54.642982482910156
2010-06-17,54.54439926147461
2010-06-18,54.08934783935547
2010-06-21,54.210693359375
2010-06-22,53.9680061340332
2010-06-23,53.126163482666016
2010-06-24,52.648399353027344
2010-06-25,52.36776351928711
2010-06-28,52.45118713378906
2010-06-29,51.154319763183594
2010-06-30,51.28325653076172
2010-07-01,51.032981872558594
2010-07-02,51.548702239990234
2010-07-06,51.70796203613281
2010-07-07,53.30061721801758
2010-07-08,53.057926177978516
2010-07-09,52.678714752197266
2010-07-12,52.39052963256836
2010-07-13,52.72419357299805
2010-07-14,52.77730178833008
2010-07-15,52.602867126464844
2010-07-16,51.38184356689453
2010-07-19,51.616947174072266
2010-07-20,51.670040130615234
2010-07-21,50.75236892700195
2010-07-22,51.11640930175781
2010-07-23,50.7296142578125
2010-07-26,51.98858642578125
2010-07-27,51.77622604370117
2010-07-28,51.82172393798828
2010-07-29,51.22258377075195
2010-07-30,52.178165435791016
2010-08-02,53.39160919189453
2010-08-03,53.43711471557617
2010-08-04,53.990745544433594
2010-08-05,54.30929946899414
2010-08-06,54.36237335205078
2010-08-09,54.51405715942383
2010-08-10,54.90083312988281
2010-08-11,53.92249298095703
2010-08-12,53.89215850830078
2010-08-13,53.816314697265625
2010-08-16,53.56605529785156
2010-08-17,54.58988952636719
2010-08-18,54.8553352355957
2010-08-19,54.081756591796875
2010-08-20,53.710140228271484
2010-08-23,53.85423278808594
2010-08-24,52.557376861572266
2010-08-25,52.9062385559082
2010-08-26,52.2009162902832
2010-08-27,52.87588882446289
2010-08-30,52.527034759521484
2010-08-31,51.715545654296875
2010-09-01,52.72419357299805
2010-09-02,53.293025970458984
2010-09-03,53.558475494384766
2010-09-07,53.23825454711914
2010-09-08,53.14676284790039
2010-09-09,54.00065231323242
2010-09-10,54.33610916137695
2010-09-13,54.27511215209961
2010-09-14,54.580078125
2010-09-15,55.311988830566406
2010-09-16,55.46445846557617
2010-09-17,56.02101516723633
2010-09-20,56.09724044799805
2010-09-21,56.196372985839844
2010-09-22,56.02101516723633
2010-09-23,55.738922119140625
2010-09-24,56.63093185424805
2010-09-27,56.58518600463867
2010-09-28,57.0426139831543
