Date,CAG
2010-01-04,10.608831405639648
2010-01-05,10.654736518859863
2010-01-06,10.61800765991211
2010-01-07,10.650146484375
2010-01-08,10.567514419555664
2010-01-11,10.746546745300293
2010-01-12,10.861310958862305
2010-01-13,10.930169105529785
2010-01-14,10.847538948059082
2010-01-15,10.677684783935547
2010-01-19,10.801631927490234
2010-01-20,10.801631927490234
2010-01-21,10.728180885314941
2010-01-22,10.622602462768555
2010-01-25,10.627189636230469
2010-01-26,10.595060348510742
2010-01-27,10.627472877502441
2010-01-28,10.595061302185059
2010-01-29,10.530234336853027
2010-02-01,10.622841835021973
2010-02-02,10.692302703857422
2010-02-03,10.627472877502441
2010-02-04,10.321846008300781
2010-02-05,10.571904182434082
2010-02-08,10.497811317443848
2010-02-09,10.627472877502441
2010-02-10,10.692302703857422
2010-02-11,10.784916877746582
2010-02-12,10.835856437683105
2010-02-16,11.076651573181152
2010-02-17,11.12758731842041
2010-02-18,11.234090805053711
2010-02-19,11.410059928894043
2010-02-22,11.391532897949219
2010-02-23,11.285032272338867
2010-02-24,11.359126091003418
2010-02-25,11.349864959716797
2010-02-26,11.326704025268555
2010-03-01,11.433212280273438
2010-03-02,11.5304594039917
2010-03-03,11.525829315185547
2010-03-04,11.5304594039917
2010-03-05,11.71106243133545
2010-03-08,11.687907218933105
2010-03-09,11.687907218933105
2010-03-10,11.678646087646484
2010-03-11,11.748106002807617
2010-03-12,11.748106002807617
2010-03-15,11.808306694030762
2010-03-16,11.854610443115234
2010-03-17,11.92870044708252
2010-03-18,11.975010871887207
2010-03-19,11.965746879577637
2010-03-22,12.095407485961914
2010-03-23,12.169501304626465
2010-03-24,12.08614444732666
2010-03-25,11.548983573913574
2010-03-26,11.410059928894043
2010-03-29,11.590662002563477
2010-03-30,11.558242797851562
2010-03-31,11.609183311462402
2010-04-01,11.683271408081055
2010-04-05,11.678646087646484
2010-04-06,11.586031913757324
2010-04-07,11.664750099182129
2010-04-08,11.64159870147705
2010-04-09,11.683271408081055
2010-04-12,11.576766967773438
2010-04-13,11.604552268981934
2010-04-14,11.692536354064941
2010-04-15,11.590662002563477
2010-04-16,11.521200180053711
2010-04-19,11.507305145263672
2010-04-20,11.544351577758789
2010-04-21,11.599921226501465
2010-04-22,11.572138786315918
2010-04-23,11.535090446472168
2010-04-26,11.493413925170898
2010-04-27,11.317448616027832
2010-04-28,11.443511962890625
2010-04-29,11.518209457397461
2010-04-30,11.424834251403809
2010-05-03,11.550893783569336
2010-05-04,11.424834251403809
2010-05-05,11.43883991241455
2010-05-06,11.116683959960938
2010-05-07,11.009300231933594
2010-05-10,11.373470306396484
2010-05-11,11.373470306396484
2010-05-12,11.550893783569336
2010-05-13,11.546223640441895
2010-05-14,11.378141403198242
2010-05-17,11.429503440856934
2010-05-18,11.429503440856934
2010-05-19,11.592912673950195
2010-05-20,11.39215087890625
2010-05-21,11.560233116149902
2010-05-24,11.410828590393066
2010-05-25,11.252077102661133
2010-05-26,11.140027046203613
2010-05-27,11.340792655944824
2010-05-28,11.289435386657715
2010-06-01,11.214731216430664
2010-06-02,11.466852188110352
2010-06-03,11.555561065673828
2010-06-04,11.303437232971191
2010-06-07,11.205391883850098
2010-06-08,11.410828590393066
2010-06-09,11.429503440856934
2010-06-10,11.653608322143555
2010-06-11,11.61625862121582
2010-06-14,11.630263328552246
2010-06-15,11.714303016662598
2010-06-16,11.723644256591797
2010-06-17,11.779666900634766
2010-06-18,11.658280372619629
2010-06-21,11.64427375793457
2010-06-22,11.527548789978027
2010-06-23,11.527548789978027
2010-06-24,11.303437232971191
2010-06-25,11.16804313659668
2010-06-28,11.205391883850098
2010-06-29,11.023306846618652
2010-06-30,10.887907028198242
2010-07-01,10.864556312561035
2010-07-02,10.813201904296875
2010-07-06,10.859892845153809
2010-07-07,11.041984558105469
2010-07-08,11.22407054901123
2010-07-09,11.163376808166504
2010-07-12,11.154034614562988
2010-07-13,11.210063934326172
2010-07-14,11.252077102661133
2010-07-15,11.252077102661133
2010-07-16,11.046649932861328
2010-07-19,11.098006248474121
2010-07-20,11.15870475769043
2010-07-21,11.046649932861328
2010-07-22,11.107348442077637
2010-07-23,11.172714233398438
2010-07-26,11.23340892791748
2010-07-27,11.266092300415039
2010-07-28,11.19546890258789
2010-07-29,10.983614921569824
2010-07-30,11.054231643676758
2010-08-02,11.068355560302734
2010-08-03,10.76234245300293
2010-08-04,10.748213768005371
2010-08-05,10.696429252624512
2010-08-06,10.456320762634277
2010-08-09,10.380996704101562
2010-08-10,10.432785987854004
2010-08-11,10.169139862060547
2010-08-12,10.12677001953125
2010-08-13,10.178558349609375
2010-08-16,10.169139862060547
2010-08-17,10.268007278442383
2010-08-18,10.413952827453613
2010-08-19,10.235050201416016
2010-08-20,10.098518371582031
2010-08-23,10.117354393005371
2010-08-24,10.056150436401367
2010-08-25,10.169139862060547
2010-08-26,10.117354393005371
2010-08-27,10.235050201416016
2010-08-30,10.103230476379395
2010-08-31,10.164429664611816
2010-09-01,10.362164497375488
2010-09-02,10.338624954223633
2010-09-03,10.352749824523926
2010-09-07,10.305667877197266
2010-09-08,10.319796562194824
2010-09-09,10.277421951293945
2010-09-10,10.333916664123535
2010-09-13,10.286839485168457
2010-09-14,10.338624954223633
2010-09-15,10.503403663635254
2010-09-16,10.385704040527344
2010-09-17,10.399827003479004
2010-09-20,10.53165340423584
2010-09-21,10.15501880645752
2010-09-22,10.084400177001953
2010-09-23,10.150309562683105
2010-09-24,10.253885269165039
2010-09-27,10.253885269165039
2010-09-28,10.348040580749512
