Date,WFC
2010-01-04,18.227235794067383
2010-01-05,18.727609634399414
2010-01-06,18.75429916381836
2010-01-07,19.434818267822266
2010-01-08,19.25467872619629
2010-01-11,19.21464729309082
2010-01-12,18.73427963256836
2010-01-13,19.06787109375
2010-01-14,19.34140968322754
2010-01-15,18.73427963256836
2010-01-19,18.867721557617188
2010-01-20,18.56081771850586
2010-01-21,18.680912017822266
2010-01-22,18.187196731567383
2010-01-25,18.454065322875977
2010-01-26,18.00706672668457
2010-01-27,18.814348220825195
2010-01-28,18.98114013671875
2010-01-29,18.967790603637695
2010-02-01,19.30138397216797
2010-02-02,19.20797348022461
2010-02-03,18.806964874267578
2010-02-04,18.08517074584961
2010-02-05,18.32577896118164
2010-02-08,17.664125442504883
2010-02-09,17.851255416870117
2010-02-10,18.165367126464844
2010-02-11,18.09854507446289
2010-02-12,17.96487045288086
2010-02-16,18.30571937561035
2010-02-17,18.2656192779541
2010-02-18,18.27230453491211
2010-02-19,18.292356491088867
2010-02-22,18.7200870513916
2010-02-23,18.23888397216797
2010-02-24,18.486169815063477
2010-02-25,18.339143753051758
2010-02-26,18.27230453491211
2010-03-01,18.278993606567383
2010-03-02,18.626522064208984
2010-03-03,18.847074508666992
2010-03-04,19.000791549682617
2010-03-05,19.481992721557617
2010-03-08,19.308223724365234
2010-03-09,19.368375778198242
2010-03-10,19.7626895904541
2010-03-11,19.889680862426758
2010-03-12,19.80278968811035
2010-03-15,19.976560592651367
2010-03-16,20.237213134765625
2010-03-17,20.417661666870117
2010-03-18,20.243892669677734
2010-03-19,20.304048538208008
2010-03-22,20.324100494384766
2010-03-23,20.771879196166992
2010-03-24,20.624849319458008
2010-03-25,20.758514404296875
2010-03-26,20.865449905395508
2010-03-29,20.785240173339844
2010-03-30,20.611482620239258
2010-03-31,20.798612594604492
2010-04-01,20.965696334838867
2010-04-05,21.059267044067383
2010-04-06,21.57388687133789
2010-04-07,21.38007164001465
2010-04-08,21.54046058654785
2010-04-09,21.587247848510742
2010-04-12,21.66745376586914
2010-04-13,21.48699188232422
2010-04-14,22.24222183227539
2010-04-15,22.395938873291016
2010-04-16,21.76102066040039
2010-04-19,22.068456649780273
2010-04-20,22.51624298095703
2010-04-21,22.061763763427734
2010-04-22,22.442720413208008
2010-04-23,22.37588882446289
2010-04-26,21.867942810058594
2010-04-27,21.199615478515625
2010-04-28,21.6875
2010-04-29,22.208805084228516
2010-04-30,22.128612518310547
2010-05-03,22.643220901489258
2010-05-04,22.014986038208008
2010-05-05,21.861032485961914
2010-05-06,20.870391845703125
2010-05-07,20.629430770874023
2010-05-10,22.068532943725586
2010-05-11,22.028377532958984
2010-05-12,22.530384063720703
2010-05-13,22.142162322998047
2010-05-14,21.446033477783203
2010-05-17,21.39918327331543
2010-05-18,20.475481033325195
2010-05-19,20.13410758972168
2010-05-20,19.20371437072754
2010-05-21,20.154191970825195
2010-05-24,19.217090606689453
2010-05-25,19.344268798828125
2010-05-26,18.768627166748047
2010-05-27,19.68564224243164
2010-05-28,19.20371437072754
2010-06-01,18.895803451538086
2010-06-02,19.531688690185547
2010-06-03,19.3174991607666
2010-06-04,18.594600677490234
2010-06-07,18.26661491394043
2010-06-08,18.581212997436523
2010-06-09,18.092586517333984
2010-06-10,18.828866958618164
2010-06-11,18.634756088256836
2010-06-14,18.340246200561523
2010-06-15,18.68161392211914
2010-06-16,18.822179794311523
2010-06-17,18.694990158081055
2010-06-18,18.788705825805664
2010-06-21,18.701690673828125
2010-06-22,18.380399703979492
2010-06-23,18.286697387695312
2010-06-24,17.978797912597656
2010-06-25,18.10597038269043
2010-06-28,18.092586517333984
2010-06-29,17.35629653930664
2010-06-30,17.135414123535156
2010-07-01,16.85428810119629
2010-07-02,16.653478622436523
2010-07-06,16.834199905395508
2010-07-07,17.84493064880371
2010-07-08,17.831541061401367
2010-07-09,18.072500228881836
2010-07-12,18.112659454345703
2010-07-13,18.701690673828125
2010-07-14,18.514278411865234
2010-07-15,18.61467933654785
2010-07-16,17.563791275024414
2010-07-19,17.416536331176758
2010-07-20,17.34290885925293
2010-07-21,17.443317413330078
2010-07-22,18.33354377746582
2010-07-23,18.3536319732666
2010-07-26,18.68161392211914
2010-07-27,19.002906799316406
2010-07-28,18.788705825805664
2010-07-29,18.534351348876953
2010-07-30,18.56113052368164
2010-08-02,19.123384475708008
2010-08-03,18.822179794311523
2010-08-04,18.728290557861328
2010-08-05,18.69477653503418
2010-08-06,18.607603073120117
2010-08-09,18.929462432861328
2010-08-10,18.621009826660156
2010-08-11,17.63531494140625
2010-08-12,17.434152603149414
2010-08-13,17.32686424255371
2010-08-16,17.219581604003906
2010-08-17,16.991592407226562
2010-08-18,17.018417358398438
2010-08-19,16.381397247314453
2010-08-20,16.495384216308594
2010-08-23,16.247289657592773
2010-08-24,15.851669311523438
2010-08-25,15.824841499328613
2010-08-26,15.751082420349121
2010-08-27,16.093059539794922
2010-08-30,15.590153694152832
2010-08-31,15.791321754455566
2010-09-01,16.535621643066406
2010-09-02,16.830657958984375
2010-09-03,17.32686424255371
2010-09-07,16.709957122802734
2010-09-08,16.9111328125
2010-09-09,17.226280212402344
2010-09-10,17.266515731811523
2010-09-13,17.769428253173828
2010-09-14,17.474388122558594
2010-09-15,17.66213607788086
2010-09-16,17.474388122558594
2010-09-17,17.44085121154785
2010-09-20,17.809659957885742
2010-09-21,17.68895721435547
2010-09-22,17.30674934387207
2010-09-23,16.790430068969727
2010-09-24,17.159223556518555
2010-09-27,17.118989944458008
2010-09-28,16.998302459716797
