Date,MO
2010-01-04,7.661497116088867
2010-01-05,7.665365695953369
2010-01-06,7.77763557434082
2010-01-07,7.766022205352783
2010-01-08,7.785381317138672
2010-01-11,7.843451023101807
2010-01-12,7.8008646965026855
2010-01-13,7.8357086181640625
2010-01-14,7.889906883239746
2010-01-15,7.905392169952393
2010-01-19,7.889906883239746
2010-01-20,7.870552062988281
2010-01-21,7.700210094451904
2010-01-22,7.630528450012207
2010-01-25,7.707952976226807
2010-01-26,7.727310657501221
2010-01-27,7.738923072814941
2010-01-28,7.74666690826416
2010-01-29,7.688595771789551
2010-02-01,7.696338653564453
2010-02-02,7.715694427490234
2010-02-03,7.657623291015625
2010-02-04,7.518251419067383
2010-02-05,7.5027666091918945
2010-02-08,7.498898029327393
2010-02-09,7.5337395668029785
2010-02-10,7.5027666091918945
2010-02-11,7.5918097496032715
2010-02-12,7.599552631378174
2010-02-16,7.638268947601318
2010-02-17,7.657623291015625
2010-02-18,7.742793560028076
2010-02-19,7.804736614227295
2010-02-22,7.847325325012207
2010-02-23,7.731177806854248
2010-02-24,7.843451023101807
2010-02-25,7.901521682739258
2010-02-26,7.78925085067749
2010-03-01,7.847325325012207
2010-03-02,7.870552062988281
2010-03-03,7.878292560577393
2010-03-04,7.905392169952393
2010-03-05,8.01766300201416
2010-03-08,8.029275894165039
2010-03-09,8.040892601013184
2010-03-10,8.060247421264648
2010-03-11,8.020872116088867
2010-03-12,7.9539337158203125
2010-03-15,8.020872116088867
2010-03-16,8.016936302185059
2010-03-17,8.005123138427734
2010-03-18,8.056309700012207
2010-03-19,8.009057998657227
2010-03-22,8.048436164855957
2010-03-23,8.079936981201172
2010-03-24,8.060249328613281
2010-03-25,8.079936981201172
2010-03-26,8.04056167602539
2010-03-29,8.131128311157227
2010-03-30,8.131128311157227
2010-03-31,8.079936981201172
2010-04-01,8.202000617980957
2010-04-05,8.237438201904297
2010-04-06,8.261063575744629
2010-04-07,8.186251640319824
2010-04-08,8.142936706542969
2010-04-09,8.241378784179688
2010-04-12,8.30831527709961
2010-04-13,8.30831527709961
2010-04-14,8.33194351196289
2010-04-15,8.30831527709961
2010-04-16,8.217753410339355
2010-04-19,8.241378784179688
2010-04-20,8.335882186889648
2010-04-21,8.450069427490234
2010-04-22,8.379195213317871
2010-04-23,8.41069507598877
2010-04-26,8.36738109588623
2010-04-27,8.237438201904297
2010-04-28,8.276816368103027
2010-04-29,8.339818954467773
2010-04-30,8.343754768371582
2010-05-03,8.426445007324219
2010-05-04,8.371318817138672
2010-05-05,8.355568885803223
2010-05-06,8.170499801635742
2010-05-07,8.174439430236816
2010-05-10,8.497322082519531
2010-05-11,8.501258850097656
2010-05-12,8.532758712768555
2010-05-13,8.517008781433105
2010-05-14,8.509134292602539
2010-05-17,8.544572830200195
2010-05-18,8.414632797241211
2010-05-19,8.391005516052246
2010-05-20,8.139001846313477
2010-05-21,8.27287769317627
2010-05-24,8.209877967834473
2010-05-25,8.032685279846191
2010-05-26,7.9381818771362305
2010-05-27,8.087811470031738
2010-05-28,7.989372253417969
2010-06-01,7.922435283660889
2010-06-02,8.024808883666992
2010-06-03,8.107499122619629
2010-06-04,7.883056163787842
2010-06-07,7.804304599761963
2010-06-08,7.9539337158203125
2010-06-09,7.894871711730957
2010-06-10,8.001184463500977
2010-06-11,8.045255661010742
2010-06-14,7.8409223556518555
2010-06-15,7.977142333984375
2010-06-16,7.94509220123291
2010-06-17,8.009198188781738
2010-06-18,8.02121639251709
2010-06-21,8.037243843078613
2010-06-22,7.953107833862305
2010-06-23,7.921051025390625
2010-06-24,7.860955715179443
2010-06-25,7.893006801605225
2010-06-28,8.149428367614746
2010-06-29,7.997181415557861
2010-06-30,8.029230117797852
2010-07-01,8.109363555908203
2010-07-02,8.137409210205078
2010-07-06,8.229561805725098
2010-07-07,8.369791030883789
2010-07-08,8.542078018188477
2010-07-09,8.534061431884766
2010-07-12,8.534061431884766
2010-07-13,8.550087928771973
2010-07-14,8.554099082946777
2010-07-15,8.598166465759277
2010-07-16,8.518035888671875
2010-07-19,8.566113471984863
2010-07-20,8.622210502624512
2010-07-21,8.578132629394531
2010-07-22,8.754425048828125
2010-07-23,8.8626070022583
2010-07-26,8.810519218444824
2010-07-27,8.834558486938477
2010-07-28,8.842570304870605
2010-07-29,8.822540283203125
2010-07-30,8.87863540649414
2010-08-02,8.914690017700195
2010-08-03,8.8626070022583
2010-08-04,8.954753875732422
2010-08-05,8.950748443603516
2010-08-06,9.0308837890625
2010-08-09,9.050914764404297
2010-08-10,9.066940307617188
2010-08-11,8.990815162658691
2010-08-12,8.994823455810547
2010-08-13,8.954753875732422
2010-08-16,9.054922103881836
2010-08-17,9.183131217956543
2010-08-18,9.187140464782715
2010-08-19,9.119026184082031
2010-08-20,9.098991394042969
2010-08-23,9.107007026672363
2010-08-24,9.131046295166016
2010-08-25,9.155088424682617
2010-08-26,9.058931350708008
2010-08-27,9.0308837890625
2010-08-30,9.022866249084473
2010-08-31,8.942733764648438
2010-09-01,9.078962326049805
2010-09-02,9.131046295166016
2010-09-03,9.179123878479004
2010-09-07,9.259260177612305
2010-09-08,9.395480155944824
2010-09-09,9.46760082244873
2010-09-10,9.551739692687988
2010-09-13,9.555811882019043
2010-09-14,9.572096824645996
2010-09-15,9.641311645507812
2010-09-16,9.555811882019043
2010-09-17,9.568024635314941
2010-09-20,9.65352725982666
2010-09-21,9.714595794677734
2010-09-22,9.718669891357422
2010-09-23,9.608739852905273
2010-09-24,9.771598815917969
2010-09-27,9.775675773620605
