Date,A
2010-01-04,19.931623458862305
2010-01-05,19.715103149414062
2010-01-06,19.645057678222656
2010-01-07,19.619596481323242
2010-01-08,19.61322593688965
2010-01-11,19.625959396362305
2010-01-12,19.390344619750977
2010-01-13,19.543176651000977
2010-01-14,19.836109161376953
2010-01-15,19.377609252929688
2010-01-19,19.61322593688965
2010-01-20,19.504972457885742
2010-01-21,19.43491554260254
2010-01-22,18.575252532958984
2010-01-25,18.753549575805664
2010-01-26,18.65167236328125
2010-01-27,18.575252532958984
2010-01-28,18.269582748413086
2010-01-29,17.849306106567383
2010-02-01,18.549781799316406
2010-02-02,18.7853946685791
2010-02-03,18.81086540222168
2010-02-04,18.511571884155273
2010-02-05,18.575252532958984
2010-02-08,18.5943546295166
2010-02-09,18.728073120117188
2010-02-10,18.626188278198242
2010-02-11,18.696243286132812
2010-02-12,19.09105682373047
2010-02-16,19.262981414794922
2010-02-17,19.504972457885742
2010-02-18,19.72784423828125
2010-02-19,19.867948532104492
2010-02-22,19.836109161376953
2010-02-23,19.645057678222656
2010-02-24,19.887046813964844
2010-02-25,19.797887802124023
2010-02-26,20.033510208129883
2010-03-01,20.434690475463867
2010-03-02,20.60662078857422
2010-03-03,20.657562255859375
2010-03-04,20.542938232421875
2010-03-05,21.11605453491211
2010-03-08,21.014162063598633
2010-03-09,21.186098098754883
2010-03-10,21.434452056884766
2010-03-11,21.383512496948242
2010-03-12,21.281612396240234
2010-03-15,21.211572647094727
2010-03-16,21.281612396240234
2010-03-17,21.256153106689453
2010-03-18,21.30708885192871
2010-03-19,21.281612396240234
2010-03-22,21.47265625
2010-03-23,21.721006393432617
2010-03-24,21.587282180786133
2010-03-25,22.00119972229004
2010-03-26,21.848363876342773
2010-03-29,21.905683517456055
2010-03-30,22.045772552490234
2010-03-31,21.899309158325195
2010-04-01,22.00119972229004
2010-04-05,22.173131942749023
2010-04-06,22.007564544677734
2010-04-07,21.835628509521484
2010-04-08,21.644594192504883
2010-04-09,21.797422409057617
2010-04-12,21.78468894958496
2010-04-13,21.587282180786133
2010-04-14,21.91204071044922
2010-04-15,22.688932418823242
2010-04-16,22.45969009399414
2010-04-19,22.3896484375
2010-04-20,23.109214782714844
2010-04-21,23.00733757019043
2010-04-22,23.204734802246094
2010-04-23,23.332096099853516
2010-04-26,23.446720123291016
2010-04-27,23.06464195251465
2010-04-28,23.332096099853516
2010-04-29,23.707792282104492
2010-04-30,23.090118408203125
2010-05-03,23.41488265991211
2010-05-04,22.517004013061523
2010-05-05,22.134925842285156
2010-05-06,21.192474365234375
2010-05-07,20.294588088989258
2010-05-10,21.771953582763672
2010-05-11,21.695526123046875
2010-05-12,22.16675567626953
2010-05-13,22.147661209106445
2010-05-14,21.561811447143555
2010-05-17,21.771953582763672
2010-05-18,20.421945571899414
2010-05-19,20.753084182739258
2010-05-20,19.76605987548828
2010-05-21,19.957096099853516
2010-05-24,19.99529457092285
2010-05-25,19.89341163635254
2010-05-26,20.052614212036133
2010-05-27,20.854965209960938
2010-05-28,20.60662078857422
2010-06-01,20.046234130859375
2010-06-02,20.51747703552246
2010-06-03,20.63210105895996
2010-06-04,19.3203067779541
2010-06-07,19.167470932006836
2010-06-08,19.001895904541016
2010-06-09,18.798124313354492
2010-06-10,19.390344619750977
2010-06-11,19.568653106689453
2010-06-14,20.033510208129883
2010-06-15,20.50473403930664
2010-06-16,20.778553009033203
2010-06-17,20.67667007446289
2010-06-18,20.76581573486328
2010-06-21,20.651199340820312
2010-06-22,20.39011001586914
2010-06-23,20.35826873779297
2010-06-24,19.587753295898438
2010-06-25,19.543176651000977
2010-06-28,19.473127365112305
2010-06-29,18.600725173950195
2010-06-30,18.104026794433594
2010-07-01,18.008502960205078
2010-07-02,17.69647789001465
2010-07-06,17.671005249023438
2010-07-07,18.193174362182617
2010-07-08,18.346010208129883
2010-07-09,18.244117736816406
2010-07-12,17.957565307617188
2010-07-13,18.307804107666016
2010-07-14,18.269582748413086
2010-07-15,18.08492088317871
2010-07-16,17.2125186920166
2010-07-19,17.53728485107422
2010-07-20,17.524539947509766
2010-07-21,17.562744140625
2010-07-22,18.2886905670166
2010-07-23,18.658035278320312
2010-07-26,18.874549865722656
2010-07-27,18.384212493896484
2010-07-28,18.326894760131836
2010-07-29,17.925724029541016
2010-07-30,17.785627365112305
2010-08-02,18.35236930847168
2010-08-03,17.728317260742188
2010-08-04,18.01487159729004
2010-08-05,18.12312889099121
2010-08-06,18.29506492614746
2010-08-09,18.989164352416992
2010-08-10,18.75992774963379
2010-08-11,17.970294952392578
2010-08-12,17.53091049194336
2010-08-13,17.41628646850586
2010-08-16,17.295297622680664
