Date,CSCO
2010-01-04,16.158170700073242
2010-01-05,16.086177825927734
2010-01-06,15.981466293334961
2010-01-07,16.053455352783203
2010-01-08,16.138534545898438
2010-01-11,16.092721939086914
2010-01-12,15.837491035461426
2010-01-13,16.12544059753418
2010-01-14,16.328327178955078
2010-01-15,15.968378067016602
2010-01-19,16.26288414001465
2010-01-20,15.974923133850098
2010-01-21,15.693511962890625
2010-01-22,15.032532691955566
2010-01-25,15.045616149902344
2010-01-26,14.986714363098145
2010-01-27,15.150327682495117
2010-01-28,14.738028526306152
2010-01-29,14.70530891418457
2010-02-01,14.875463485717773
2010-02-02,15.065248489379883
2010-02-03,15.097970008850098
2010-02-04,15.156865119934082
2010-02-05,15.510272979736328
2010-02-08,15.379383087158203
2010-02-09,15.634614944458008
2010-02-10,15.549531936645508
2010-02-11,15.660795211791992
2010-02-12,15.549531936645508
2010-02-16,15.706603050231934
2010-02-17,15.752418518066406
2010-02-18,15.88984489440918
2010-02-19,15.942193031311035
2010-02-22,15.902933120727539
2010-02-23,15.739320755004883
2010-02-24,15.92911434173584
2010-02-25,15.922569274902344
2010-02-26,15.922569274902344
2010-03-01,16.09926986694336
2010-03-02,16.105815887451172
2010-03-03,16.256330490112305
2010-03-04,16.328327178955078
2010-03-05,16.498470306396484
2010-03-08,17.10056495666504
2010-03-09,17.10056495666504
2010-03-10,16.930410385131836
2010-03-11,16.995853424072266
2010-03-12,16.93695068359375
2010-03-15,17.067838668823242
2010-03-16,17.113651275634766
2010-03-17,17.185638427734375
2010-03-18,17.237998962402344
2010-03-19,17.113651275634766
2010-03-22,17.1987247467041
2010-03-23,17.4343318939209
2010-03-24,17.309986114501953
2010-03-25,17.296897888183594
2010-03-26,17.323074340820312
2010-03-29,17.34925079345703
2010-03-30,17.440868377685547
2010-03-31,17.03511619567871
2010-04-01,16.90423011779785
2010-04-05,17.12674331665039
2010-04-06,17.159465789794922
2010-04-07,17.237998962402344
2010-04-08,17.1987247467041
2010-04-09,17.408151626586914
2010-04-12,17.36233901977539
2010-04-13,17.303443908691406
2010-04-14,17.59139633178711
2010-04-15,17.80735969543457
2010-04-16,17.656843185424805
2010-04-19,17.715734481811523
2010-04-20,17.787729263305664
2010-04-21,17.826995849609375
2010-04-22,17.879352569580078
2010-04-23,17.97751235961914
2010-04-26,18.042959213256836
2010-04-27,17.676475524902344
2010-04-28,17.696104049682617
2010-04-29,18.01677894592285
2010-04-30,17.62411117553711
2010-05-03,18.023332595825195
2010-05-04,17.381980895996094
2010-05-05,17.37542724609375
2010-05-06,16.681720733642578
2010-05-07,16.1712589263916
2010-05-10,17.10056495666504
2010-05-11,16.98930549621582
2010-05-12,17.49976921081543
2010-05-13,16.707897186279297
2010-05-14,16.321779251098633
2010-05-17,16.275978088378906
2010-05-18,15.942193031311035
2010-05-19,15.876758575439453
2010-05-20,15.255032539367676
2010-05-21,15.35319709777832
2010-05-24,15.294310569763184
2010-05-25,15.255032539367676
2010-05-26,14.980175018310547
2010-05-27,15.490647315979004
2010-05-28,15.156865119934082
2010-06-01,15.052160263061523
2010-06-02,15.281213760375977
2010-06-03,15.523355484008789
2010-06-04,15.025979042053223
2010-06-07,14.895092010498047
2010-06-08,15.025979042053223
2010-06-09,14.908185958862305
2010-06-10,14.901639938354492
2010-06-11,14.993256568908691
2010-06-14,14.895092010498047
2010-06-15,15.268129348754883
2010-06-16,15.241950988769531
2010-06-17,15.163414001464844
2010-06-18,15.372838020324707
2010-06-21,15.274672508239746
2010-06-22,15.032532691955566
2010-06-23,14.960537910461426
2010-06-24,14.77075481414795
2010-06-25,14.515521049499512
2010-06-28,14.672587394714355
2010-06-29,14.149026870727539
2010-06-30,13.946155548095703
2010-07-01,13.913426399230957
2010-07-02,13.828350067138672
2010-07-06,13.965787887573242
2010-07-07,14.711846351623535
2010-07-08,14.757661819458008
2010-07-09,14.855823516845703
2010-07-12,14.960537910461426
2010-07-13,15.111062049865723
2010-07-14,15.536450386047363
2010-07-15,15.654250144958496
2010-07-16,14.888550758361816
2010-07-19,14.875463485717773
2010-07-20,15.084883689880371
2010-07-21,14.764206886291504
2010-07-22,15.228863716125488
2010-07-23,15.281213760375977
2010-07-26,15.451374053955078
2010-07-27,15.248496055603027
2010-07-28,15.30739688873291
2010-07-29,15.189591407775879
2010-07-30,15.097970008850098
2010-08-02,15.575713157653809
2010-08-03,15.588805198669434
2010-08-04,15.798225402832031
2010-08-05,15.81785774230957
2010-08-06,15.752418518066406
2010-08-09,16.210525512695312
2010-08-10,15.909478187561035
2010-08-11,15.529909133911133
2010-08-12,13.97887897491455
2010-08-13,13.97887897491455
2010-08-16,14.338818550109863
2010-08-17,14.430442810058594
2010-08-18,14.666041374206543
2010-08-19,14.541692733764648
2010-08-20,14.54824161529541
2010-08-23,14.188298225402832
2010-08-24,13.828350067138672
2010-08-25,13.88071060180664
2010-08-26,13.546943664550781
2010-08-27,13.618927955627441
2010-08-30,13.298260688781738
2010-08-31,13.082286834716797
2010-09-01,13.258992195129395
2010-09-02,13.429144859313965
2010-09-03,13.769455909729004
2010-09-07,13.468415260314941
2010-09-08,13.507678031921387
2010-09-09,13.488048553466797
2010-09-10,13.494587898254395
2010-09-13,13.913426399230957
2010-09-14,14.037773132324219
2010-09-15,14.12939739227295
2010-09-16,14.351909637451172
2010-09-17,14.306095123291016
2010-09-20,14.234112739562988
2010-09-21,14.16212272644043
2010-09-22,14.181750297546387
2010-09-23,14.090126991271973
2010-09-24,14.456618309020996
2010-09-27,14.469704627990723
2010-09-28,14.306095123291016
