Date,BEN
2010-01-04,20.403610229492188
2010-01-05,20.56230354309082
2010-01-06,20.57741355895996
2010-01-07,20.392276763916016
2010-01-08,20.413055419921875
2010-01-11,20.85891342163086
2010-01-12,20.95148468017578
2010-01-13,21.087514877319336
2010-01-14,20.97981834411621
2010-01-15,20.462181091308594
2010-01-19,20.92125701904297
2010-01-20,20.583078384399414
2010-01-21,19.7839412689209
2010-01-22,19.130273818969727
2010-01-25,19.5534610748291
2010-01-26,18.98102378845215
2010-01-27,19.625247955322266
2010-01-28,18.954574584960938
2010-01-29,18.708972930908203
2010-02-01,19.16616439819336
2010-02-02,19.23040008544922
2010-02-03,19.23794937133789
2010-02-04,18.567285537719727
2010-02-05,18.514385223388672
2010-02-08,18.193218231201172
2010-02-09,18.367029190063477
2010-02-10,18.382144927978516
2010-02-11,18.51249885559082
2010-02-12,18.487937927246094
2010-02-16,18.888452529907227
2010-02-17,19.0622615814209
2010-02-18,19.158611297607422
2010-02-19,19.196393966674805
2010-02-22,19.1491641998291
2010-02-23,18.89789581298828
2010-02-24,19.203947067260742
2010-02-25,18.924346923828125
2010-02-26,19.217172622680664
2010-03-01,19.428773880004883
2010-03-02,19.67247772216797
2010-03-03,19.632810592651367
2010-03-04,19.96909523010254
2010-03-05,20.647314071655273
2010-03-08,20.464069366455078
2010-03-09,20.433835983276367
2010-03-10,20.295927047729492
2010-03-11,20.39794158935547
2010-03-12,20.46784210205078
2010-03-15,20.465951919555664
2010-03-16,20.581199645996094
2010-03-17,21.059179306030273
2010-03-18,21.081850051879883
2010-03-19,20.85135841369629
2010-03-22,21.049724578857422
2010-03-23,21.289653778076172
2010-03-24,20.900476455688477
2010-03-25,21.202754974365234
2010-03-26,20.962818145751953
2010-03-29,21.057470321655273
2010-03-30,21.144548416137695
2010-03-31,20.993106842041016
2010-04-01,21.509885787963867
2010-04-05,21.668901443481445
2010-04-06,21.57993507385254
2010-04-07,21.358448028564453
2010-04-08,21.492860794067383
2010-04-09,21.73515510559082
2010-04-12,21.780580520629883
2010-04-13,22.49423599243164
2010-04-14,22.963699340820312
2010-04-15,22.954227447509766
2010-04-16,22.422304153442383
2010-04-19,22.568056106567383
2010-04-20,22.60024642944336
2010-04-21,22.325756072998047
2010-04-22,22.189476013183594
2010-04-23,22.647567749023438
2010-04-26,22.07399559020996
2010-04-27,21.38494873046875
2010-04-28,21.61779022216797
2010-04-29,22.40147590637207
2010-04-30,21.89037322998047
2010-05-03,22.197038650512695
2010-05-04,21.453109741210938
2010-05-05,21.282733917236328
2010-05-06,20.29081916809082
2010-05-07,19.78538703918457
2010-05-10,21.00824737548828
2010-05-11,20.7262020111084
2010-05-12,21.066930770874023
2010-05-13,20.735666275024414
2010-05-14,20.08258819580078
2010-05-17,20.17913055419922
2010-05-18,19.647207260131836
2010-05-19,19.645309448242188
2010-05-20,18.749935150146484
2010-05-21,19.44654655456543
2010-05-24,18.428125381469727
2010-05-25,18.435693740844727
2010-05-26,18.182035446166992
2010-05-27,18.890003204345703
2010-05-28,18.56820297241211
2010-06-01,18.07602882385254
2010-06-02,18.528453826904297
2010-06-03,18.14796257019043
2010-06-04,17.299909591674805
2010-06-07,16.78123664855957
2010-06-08,17.065183639526367
2010-06-09,16.76230812072754
2010-06-10,17.326412200927734
2010-06-11,17.69933319091797
2010-06-14,17.390771865844727
2010-06-15,17.788297653198242
2010-06-16,17.811016082763672
2010-06-17,17.623607635498047
2010-06-18,17.661468505859375
2010-06-21,17.714473724365234
2010-06-22,17.540319442749023
2010-06-23,17.345338821411133
2010-06-24,16.87778091430664
2010-06-25,17.226085662841797
2010-06-28,17.0723819732666
2010-06-29,16.264019012451172
2010-06-30,16.355106353759766
2010-07-01,16.264019012451172
2010-07-02,16.12360191345215
2010-07-06,16.294376373291016
2010-07-07,16.93954086303711
2010-07-08,17.212800979614258
2010-07-09,17.503128051757812
2010-07-12,17.391172409057617
2010-07-13,17.950952529907227
2010-07-14,17.77068328857422
2010-07-15,17.789661407470703
2010-07-16,17.10464096069336
2010-07-19,17.28301239013672
2010-07-20,17.493640899658203
2010-07-21,17.218494415283203
2010-07-22,18.023059844970703
2010-07-23,18.125534057617188
2010-07-26,18.66634178161621
2010-07-27,18.681516647338867
2010-07-28,18.262155532836914
2010-07-29,18.94148063659668
2010-07-30,19.085691452026367
2010-08-02,19.656858444213867
2010-08-03,19.457616806030273
2010-08-04,19.569576263427734
2010-08-05,19.5069522857666
2010-08-06,19.487979888916016
2010-08-09,19.78020477294922
2010-08-10,20.007911682128906
2010-08-11,19.10846710205078
2010-08-12,19.000308990478516
2010-08-13,18.886449813842773
2010-08-16,18.799161911010742
2010-08-17,19.260272979736328
2010-08-18,19.231809616088867
2010-08-19,18.675825119018555
2010-08-20,18.770700454711914
2010-08-23,18.68531036376953
2010-08-24,18.161582946777344
2010-08-25,18.341854095458984
2010-08-26,18.218515396118164
2010-08-27,18.65685272216797
2010-08-30,18.283035278320312
2010-08-31,18.313390731811523
2010-09-01,19.043954849243164
2010-09-02,19.17677879333496
2010-09-03,19.476594924926758
2010-09-07,19.184370040893555
2010-09-08,19.493669509887695
2010-09-09,19.92252540588379
2010-09-10,19.736560821533203
2010-09-13,20.152128219604492
2010-09-14,20.12746238708496
2010-09-15,20.30392837524414
2010-09-16,20.2071590423584
2010-09-17,20.068632125854492
2010-09-20,20.53922462463379
2010-09-21,20.188182830810547
2010-09-22,19.92062759399414
2010-09-23,19.556285858154297
2010-09-24,20.298236846923828
2010-09-27,20.383630752563477
2010-09-28,20.53384017944336
