Date,PARA
2010-01-04,10.866111755371094
2010-01-05,10.812732696533203
2010-01-06,10.469590187072754
2010-01-07,10.67547607421875
2010-01-08,10.78985595703125
2010-01-11,10.74410343170166
2010-01-12,10.339961051940918
2010-01-13,10.667851448059082
2010-01-14,10.507719039916992
2010-01-15,10.111199378967285
2010-01-19,10.24083137512207
2010-01-20,10.339961051940918
2010-01-21,10.065445899963379
2010-01-22,10.141700744628906
2010-01-25,10.156953811645508
2010-01-26,10.13408088684082
2010-01-27,10.141700744628906
2010-01-28,10.042573928833008
2010-01-29,9.859562873840332
2010-02-01,10.13408088684082
2010-02-02,10.027321815490723
2010-02-03,10.48483943939209
2010-02-04,9.951066970825195
2010-02-05,9.8748140335083
2010-02-08,9.699433326721191
2010-02-09,9.93581771850586
2010-02-10,9.661304473876953
2010-02-11,9.729935646057129
2010-02-12,9.844314575195312
2010-02-16,10.118825912475586
2010-02-17,10.309459686279297
2010-02-18,10.454344749450684
2010-02-19,10.545845031738281
2010-02-22,10.187456130981445
2010-02-23,9.92818832397461
2010-02-24,10.065445899963379
2010-02-25,10.019699096679688
2010-02-26,9.905320167541504
2010-03-01,10.24083137512207
2010-03-02,10.294212341308594
2010-03-03,10.58397102355957
2010-03-04,10.843233108520508
2010-03-05,11.171120643615723
2010-03-08,11.216874122619629
2010-03-09,11.048544883728027
2010-03-10,11.285737991333008
2010-03-11,11.323994636535645
2010-03-12,11.170968055725098
2010-03-15,11.048544883728027
2010-03-16,11.308690071105957
2010-03-17,11.09445571899414
2010-03-18,10.994987487792969
2010-03-19,10.696581840515137
2010-03-22,10.765443801879883
2010-03-23,10.910820960998535
2010-03-24,10.895519256591797
2010-03-25,10.612417221069336
2010-03-26,10.658326148986816
2010-03-29,10.81900691986084
2010-03-30,10.82665729522705
2010-03-31,10.665976524353027
2010-04-01,10.841958999633789
2010-04-05,11.20157241821289
2010-04-06,11.163314819335938
2010-04-07,11.071497917175293
2010-04-08,11.477022171020508
2010-04-09,11.614745140075684
2010-04-12,11.630045890808105
2010-04-13,11.859587669372559
2010-04-14,11.928451538085938
2010-04-15,12.173293113708496
2010-04-16,11.867243766784668
2010-04-19,11.859587669372559
2010-04-20,12.203898429870605
2010-04-21,12.318673133850098
2010-04-22,12.571161270141602
2010-04-23,12.609415054321289
2010-04-26,12.486998558044434
2010-04-27,12.127381324768066
2010-04-28,12.303365707397461
2010-04-29,12.594120025634766
2010-04-30,12.402835845947266
2010-05-03,12.785401344299316
2010-05-04,12.395181655883789
2010-05-05,11.920801162719727
2010-05-06,11.446415901184082
2010-05-07,10.872564315795898
2010-05-10,11.737166404724121
2010-05-11,11.545883178710938
2010-05-12,11.806028366088867
2010-05-13,11.477022171020508
2010-05-14,11.224523544311523
2010-05-17,11.668305397033691
2010-05-18,11.408157348632812
2010-05-19,11.408157348632812
2010-05-20,10.620067596435547
2010-05-21,10.9567289352417
2010-05-24,10.681283950805664
2010-05-25,10.627721786499023
2010-05-26,10.834304809570312
2010-05-27,11.362248420715332
2010-05-28,11.140363693237305
2010-06-01,10.773096084594727
2010-06-02,11.19392204284668
2010-06-03,11.293390274047852
2010-06-04,10.658326148986816
2010-06-07,10.260457038879395
2010-06-08,10.222058296203613
2010-06-09,10.483174324035645
2010-06-10,11.059173583984375
2010-06-11,11.066854476928711
2010-06-14,11.23581600189209
2010-06-15,11.804134368896484
2010-06-16,11.642855644226074
2010-06-17,11.61213207244873
2010-06-18,11.466215133666992
2010-06-21,11.35101318359375
2010-06-22,11.036136627197266
2010-06-23,11.112932205200195
2010-06-24,10.575333595275879
2010-06-25,10.85181713104248
2010-06-28,10.997734069824219
2010-06-29,10.175975799560547
2010-06-30,9.930216789245605
2010-07-01,9.868779182434082
2010-07-02,9.845734596252441
2010-07-06,9.922537803649902
2010-07-07,10.23741340637207
2010-07-08,10.71357536315918
2010-07-09,10.782696723937988
2010-07-12,10.82109546661377
2010-07-13,11.212775230407715
2010-07-14,10.997734069824219
2010-07-15,11.051497459411621
2010-07-16,10.391016006469727
2010-07-19,10.64445686340332
2010-07-20,10.65213394165039
2010-07-21,10.552295684814453
2010-07-22,10.905574798583984
2010-07-23,11.228133201599121
2010-07-26,11.519974708557129
2010-07-27,11.427816390991211
2010-07-28,11.228133201599121
2010-07-29,11.274213790893555
2010-07-30,11.35101318359375
2010-08-02,11.75037670135498
2010-08-03,11.527657508850098
2010-08-04,12.011493682861328
2010-08-05,11.927014350891113
2010-08-06,11.796453475952148
2010-08-09,11.94237232208252
2010-08-10,11.842533111572266
2010-08-11,11.112932205200195
2010-08-12,10.882534980773926
2010-08-13,10.71357536315918
2010-08-16,10.85181713104248
2010-08-17,10.8594970703125
2010-08-18,10.905574798583984
2010-08-19,10.567656517028809
2010-08-20,10.4524564743042
2010-08-23,10.306537628173828
2010-08-24,10.175975799560547
2010-08-25,10.421737670898438
2010-08-26,10.314215660095215
2010-08-27,10.690533638000488
2010-08-30,10.506216049194336
2010-08-31,10.613734245300293
2010-09-01,11.205094337463379
2010-09-02,11.481573104858398
2010-09-03,11.696612358093262
2010-09-07,11.320298194885254
2010-09-08,11.48983097076416
2010-09-09,11.597716331481934
2010-09-10,11.944490432739258
2010-09-13,12.12172794342041
2010-09-14,12.114028930664062
2010-09-15,12.013846397399902
2010-09-16,11.744132041931152
2010-09-17,11.651658058166504
2010-09-20,12.106321334838867
2010-09-21,12.02925968170166
2010-09-22,11.751836776733398
2010-09-23,11.875137329101562
2010-09-24,12.460801124572754
2010-09-27,12.25273609161377
2010-09-28,12.352913856506348
