Date,IBM
2010-01-04,73.77880096435547
2010-01-05,72.8875732421875
2010-01-06,72.41409301757812
2010-01-07,72.16343688964844
2010-01-08,72.8875732421875
2010-01-11,72.1244125366211
2010-01-12,72.69817352294922
2010-01-13,72.5422134399414
2010-01-14,73.70082092285156
2010-01-15,73.40562438964844
2010-01-19,74.72021484375
2010-01-20,72.55332946777344
2010-01-21,71.85707092285156
2010-01-22,69.90745544433594
2010-01-25,70.25279235839844
2010-01-26,70.04672241210938
2010-01-27,70.36978912353516
2010-01-28,68.93262481689453
2010-01-29,68.17506408691406
2010-02-01,69.44508361816406
2010-02-02,69.92413330078125
2010-02-03,69.99657440185547
2010-02-04,68.51485443115234
2010-02-05,68.80455017089844
2010-02-08,68.19463348388672
2010-02-09,68.93879699707031
2010-02-10,68.71497344970703
2010-02-11,69.2297592163086
2010-02-12,69.38082122802734
2010-02-16,70.06903839111328
2010-02-17,70.68451690673828
2010-02-18,71.51261901855469
2010-02-19,71.16570281982422
2010-02-22,70.97547149658203
2010-02-23,70.75725555419922
2010-02-24,71.3895034790039
2010-02-25,71.09856414794922
2010-02-26,71.14889526367188
2010-03-01,71.93785858154297
2010-03-02,71.29440307617188
2010-03-03,70.99223327636719
2010-03-04,70.9026870727539
2010-03-05,71.19927978515625
2010-03-08,70.72927856445312
2010-03-09,70.24807739257812
2010-03-10,70.28723907470703
2010-03-11,71.39510345458984
2010-03-12,71.58536529541016
2010-03-15,71.52381134033203
2010-03-16,71.9937973022461
2010-03-17,71.48463439941406
2010-03-18,71.83150482177734
2010-03-19,71.4566650390625
2010-03-22,71.60770416259766
2010-03-23,72.38548278808594
2010-03-24,71.91548919677734
2010-03-25,72.3127212524414
2010-03-26,72.32392883300781
2010-03-29,71.94902801513672
2010-03-30,72.04975891113281
2010-03-31,71.7588119506836
2010-04-01,71.7588119506836
2010-04-05,72.37429809570312
2010-04-06,72.13925170898438
2010-04-07,71.88748931884766
2010-04-08,71.40066528320312
2010-04-09,72.0441665649414
2010-04-12,71.82034301757812
2010-04-13,72.19524383544922
2010-04-14,73.43736267089844
2010-04-15,73.2359390258789
2010-04-16,73.0904541015625
2010-04-19,73.9856948852539
2010-04-20,72.56449890136719
2010-04-21,72.1728286743164
2010-04-22,72.25116729736328
2010-04-23,72.73238372802734
2010-04-26,73.14640045166016
2010-04-27,72.07774353027344
2010-04-28,72.79393768310547
2010-04-29,72.99530792236328
2010-04-30,72.17845916748047
2010-05-03,72.51416015625
2010-05-04,71.68607330322266
2010-05-05,71.31678009033203
2010-05-06,69.69143676757812
2010-05-07,68.66789245605469
2010-05-10,71.0130844116211
2010-05-11,71.36176300048828
2010-05-12,74.61802673339844
2010-05-13,73.94315338134766
2010-05-14,73.780029296875
2010-05-17,73.35826873779297
2010-05-18,73.08267974853516
2010-05-19,72.46966552734375
2010-05-20,69.62397003173828
2010-05-21,70.53504943847656
2010-05-24,69.98955535888672
2010-05-25,70.0289077758789
2010-05-26,69.30341339111328
2010-05-27,71.08059692382812
2010-05-28,70.44505310058594
2010-06-01,69.92768859863281
2010-06-02,71.65422821044922
2010-06-03,71.96353912353516
2010-06-04,70.456298828125
2010-06-07,69.80958557128906
2010-06-08,69.57898712158203
2010-06-09,69.68023681640625
2010-06-10,71.8060531616211
2010-06-11,72.23907470703125
2010-06-14,72.26721954345703
2010-06-15,72.99270629882812
2010-06-16,73.30766296386719
2010-06-17,73.66194152832031
2010-06-18,73.19514465332031
2010-06-21,73.47635650634766
2010-06-22,72.71714782714844
2010-06-23,73.17267608642578
2010-06-24,72.09290313720703
2010-06-25,71.49110412597656
2010-06-28,72.53717803955078
2010-06-29,70.3494644165039
2010-06-30,69.44400024414062
2010-07-01,68.93224334716797
2010-07-02,68.532958984375
2010-07-06,69.4327621459961
2010-07-07,71.42362976074219
2010-07-08,71.9691390991211
2010-07-09,71.96353912353516
2010-07-12,72.3628158569336
2010-07-13,73.38075256347656
2010-07-14,73.51573181152344
2010-07-15,73.51573181152344
2010-07-16,72.00289154052734
2010-07-19,72.99270629882812
2010-07-20,71.1705551147461
2010-07-21,70.4507064819336
2010-07-22,71.68795013427734
2010-07-23,72.19972229003906
2010-07-26,72.21660614013672
2010-07-27,72.34032440185547
2010-07-28,72.22785949707031
2010-07-29,71.99726867675781
2010-07-30,72.21095275878906
2010-08-02,73.53820037841797
2010-08-03,73.31890869140625
2010-08-04,73.82504272460938
2010-08-05,74.1399917602539
2010-08-06,73.55220794677734
2010-08-09,74.60342407226562
2010-08-10,74.51301574707031
2010-08-11,73.37701416015625
2010-08-12,72.51225280761719
2010-08-13,72.26925659179688
2010-08-16,72.21269226074219
2010-08-17,72.59703826904297
2010-08-18,73.12831115722656
2010-08-19,72.85137176513672
2010-08-20,72.06011962890625
2010-08-23,71.47799682617188
2010-08-24,70.59066009521484
2010-08-25,70.79978942871094
2010-08-26,69.39251708984375
2010-08-27,70.49458312988281
2010-08-30,69.74288177490234
2010-08-31,69.59030151367188
2010-09-01,71.08238220214844
2010-09-02,70.6697769165039
2010-09-03,72.1053237915039
2010-09-07,71.18412017822266
2010-09-08,71.2575912475586
2010-09-09,71.41583251953125
2010-09-10,72.3370361328125
2010-09-13,73.252685546875
2010-09-14,72.82311248779297
2010-09-15,73.15093994140625
2010-09-16,73.28656768798828
2010-09-17,73.5804672241211
2010-09-20,74.48471069335938
2010-09-21,74.59211730957031
2010-09-22,74.92558288574219
2010-09-23,74.41690063476562
2010-09-24,75.79594421386719
2010-09-27,76.10115051269531
2010-09-28,76.2367935180664
