Date,SWK
2010-01-04,36.10738754272461
2010-01-05,36.63485336303711
2010-01-06,37.552772521972656
2010-01-07,38.8748664855957
2010-01-08,39.33382034301758
2010-01-11,39.09407424926758
2010-01-12,38.48440170288086
2010-01-13,38.847469329833984
2010-01-14,38.73786544799805
2010-01-15,38.18299102783203
2010-01-19,38.56660842895508
2010-01-20,38.04598617553711
2010-01-21,37.1143684387207
2010-01-22,36.532100677490234
2010-01-25,36.86775588989258
2010-01-26,36.51838302612305
2010-01-27,35.9429817199707
2010-01-28,35.203155517578125
2010-01-29,35.10725402832031
2010-02-01,35.77857971191406
2010-02-02,37.16231155395508
2010-02-03,38.59401321411133
2010-02-04,37.429466247558594
2010-02-05,37.28562927246094
2010-02-08,36.669105529785156
2010-02-09,37.141761779785156
2010-02-10,36.83350372314453
2010-02-11,37.0664176940918
2010-02-12,37.18971633911133
2010-02-16,37.5870246887207
2010-02-17,38.25149154663086
2010-02-18,38.60770797729492
2010-02-19,38.30628967285156
2010-02-22,38.51179504394531
2010-02-23,37.840476989746094
2010-02-24,38.45700454711914
2010-02-25,38.36109924316406
2010-02-26,39.21738052368164
2010-03-01,40.69182586669922
2010-03-02,40.498897552490234
2010-03-03,40.50578689575195
2010-03-04,40.2646484375
2010-03-05,40.71249008178711
2010-03-08,40.698699951171875
2010-03-09,40.836509704589844
2010-03-10,40.912288665771484
2010-03-11,40.533348083496094
2010-03-12,39.865020751953125
2010-03-15,39.699649810791016
2010-03-16,39.79613494873047
2010-03-17,40.2646484375
2010-03-18,40.340431213378906
2010-03-19,40.00971603393555
2010-03-22,40.65046310424805
2010-03-23,41.27058410644531
2010-03-24,40.71936798095703
2010-03-25,39.906368255615234
2010-03-26,40.381771087646484
2010-03-29,40.19573211669922
2010-03-30,40.113067626953125
2010-03-31,39.55497360229492
2010-04-01,39.961490631103516
2010-04-05,40.80895233154297
2010-04-06,41.14655685424805
2010-04-07,40.90540313720703
2010-04-08,40.822731018066406
2010-04-09,41.628849029541016
2010-04-12,41.59438705444336
2010-04-13,42.076690673828125
2010-04-14,42.648555755615234
2010-04-15,42.18004608154297
2010-04-16,41.656394958496094
2010-04-19,41.66329574584961
2010-04-20,42.538326263427734
2010-04-21,42.73810958862305
2010-04-22,43.40643310546875
2010-04-23,43.29621124267578
2010-04-26,43.613136291503906
2010-04-27,44.343467712402344
2010-04-28,44.508819580078125
2010-04-29,44.8326416015625
2010-04-30,42.820796966552734
2010-05-03,43.620033264160156
2010-05-04,42.32473373413086
2010-05-05,41.34635925292969
2010-05-06,40.2508659362793
2010-05-07,38.666168212890625
2010-05-10,42.18692398071289
2010-05-11,42.3385009765625
2010-05-12,43.13772964477539
2010-05-13,42.55208969116211
2010-05-14,41.56684494018555
2010-05-17,41.41526412963867
2010-05-18,40.67804718017578
2010-05-19,39.74100875854492
2010-05-20,37.357093811035156
2010-05-21,38.15631866455078
2010-05-24,37.550025939941406
2010-05-25,37.811824798583984
2010-05-26,37.78427505493164
2010-05-27,39.334503173828125
2010-05-28,38.66230010986328
2010-06-01,38.038597106933594
2010-06-02,39.67407989501953
2010-06-03,39.923561096191406
2010-06-04,38.16333770751953
2010-06-07,36.92979431152344
2010-06-08,37.51884460449219
2010-06-09,36.63873291015625
2010-06-10,37.47727584838867
2010-06-11,38.08711242675781
2010-06-14,38.32966232299805
2010-06-15,39.708717346191406
2010-06-16,39.376075744628906
2010-06-17,38.55141830444336
2010-06-18,38.8008918762207
2010-06-21,38.301944732666016
2010-06-22,36.22294235229492
2010-06-23,36.16057205200195
2010-06-24,36.14672088623047
2010-06-25,36.07741928100586
2010-06-28,35.86259078979492
2010-06-29,34.94090270996094
2010-06-30,35.010196685791016
2010-07-01,34.732994079589844
2010-07-02,34.3587760925293
2010-07-06,34.38650131225586
2010-07-07,35.86952209472656
2010-07-08,35.620033264160156
2010-07-09,36.105133056640625
2010-07-12,36.22294235229492
2010-07-13,37.44261169433594
2010-07-14,37.227787017822266
2010-07-15,36.72882843017578
2010-07-16,35.384422302246094
2010-07-19,35.84872817993164
2010-07-20,36.46549987792969
2010-07-21,37.16542053222656
2010-07-22,38.97414779663086
2010-07-23,39.74336624145508
2010-07-26,40.415584564208984
2010-07-27,39.369144439697266
2010-07-28,38.92562484741211
2010-07-29,39.66020202636719
2010-07-30,40.20766830444336
2010-08-02,40.921478271484375
2010-08-03,40.52646255493164
2010-08-04,40.540321350097656
2010-08-05,40.15222930908203
2010-08-06,40.110652923583984
2010-08-09,40.242332458496094
2010-08-10,40.0067138671875
2010-08-11,38.288082122802734
2010-08-12,37.990081787109375
2010-08-13,38.066314697265625
2010-08-16,38.19799041748047
2010-08-17,39.59090805053711
2010-08-18,39.59090805053711
2010-08-19,38.246498107910156
2010-08-20,38.149471282958984
2010-08-23,37.775264739990234
2010-08-24,36.99910354614258
2010-08-25,37.186214447021484
2010-08-26,36.80506134033203
2010-08-27,37.775264739990234
2010-08-30,37.02682876586914
2010-08-31,37.17233657836914
2010-09-01,39.57844161987305
2010-09-02,39.99689483642578
2010-09-03,40.56180953979492
2010-09-07,40.066627502441406
2010-09-08,40.85472106933594
2010-09-09,41.11973571777344
2010-09-10,41.34987258911133
2010-09-13,42.416927337646484
2010-09-14,42.52153778076172
2010-09-15,42.19373321533203
2010-09-16,41.35686111450195
2010-09-17,41.55910873413086
2010-09-20,42.29837417602539
2010-09-21,42.151912689208984
2010-09-22,41.8659782409668
2010-09-23,40.79893112182617
2010-09-24,42.20071792602539
2010-09-27,41.824127197265625
2010-09-28,42.70286178588867
