Date,TSCO
2010-01-04,2.199124336242676
2010-01-05,2.1760361194610596
2010-01-06,2.1715011596679688
2010-01-07,2.2011847496032715
2010-01-08,2.1999480724334717
2010-01-11,2.182220220565796
2010-01-12,2.183044672012329
2010-01-13,2.197063446044922
2010-01-14,2.1785097122192383
2010-01-15,2.16243052482605
2010-01-19,2.179746627807617
2010-01-20,2.108009099960327
2010-01-21,2.0923421382904053
2010-01-22,2.065957546234131
2010-01-25,2.1129565238952637
2010-01-26,2.0869827270507812
2010-01-27,2.1529488563537598
2010-01-28,2.1232638359069824
2010-01-29,2.080799102783203
2010-02-01,2.1504738330841064
2010-02-02,2.1818089485168457
2010-02-03,2.1496500968933105
2010-02-04,2.0948166847229004
2010-02-05,2.086158275604248
2010-02-08,2.0671932697296143
2010-02-09,2.1174914836883545
2010-02-10,2.1010007858276367
2010-02-11,2.1389310359954834
2010-02-12,2.1339824199676514
2010-02-16,2.1616055965423584
2010-02-17,2.2143783569335938
2010-02-18,2.1945888996124268
2010-02-19,2.2024223804473877
2010-02-22,2.1999480724334717
2010-02-23,2.2036588191986084
2010-02-24,2.2568438053131104
2010-02-25,2.2634403705596924
2010-02-26,2.2560195922851562
2010-03-01,2.3636252880096436
2010-03-02,2.3475468158721924
2010-03-03,2.3405373096466064
2010-03-04,2.332292079925537
2010-03-05,2.36980938911438
2010-03-08,2.3788788318634033
2010-03-09,2.366511583328247
2010-03-10,2.3825910091400146
2010-03-11,2.395815849304199
2010-03-12,2.4094531536102295
2010-03-15,2.3982954025268555
2010-03-16,2.491283893585205
2010-03-17,2.4375572204589844
2010-03-18,2.4627676010131836
2010-03-19,2.450369358062744
2010-03-22,2.492525339126587
2010-03-23,2.475579261779785
2010-03-24,2.4288783073425293
2010-03-25,2.400775194168091
2010-03-26,2.4065611362457275
2010-03-29,2.4082138538360596
2010-03-30,2.4379711151123047
2010-03-31,2.3991222381591797
2010-04-01,2.454916477203369
2010-04-05,2.520214557647705
2010-04-06,2.540879249572754
2010-04-07,2.750415086746216
2010-04-08,2.7475221157073975
2010-04-09,2.746694803237915
2010-04-12,2.740081787109375
2010-04-13,2.7615737915039062
2010-04-14,2.7665326595306396
2010-04-15,2.7669460773468018
2010-04-16,2.7657058238983154
2010-04-19,2.8161275386810303
2010-04-20,2.807447671890259
2010-04-21,2.8591086864471436
2010-04-22,2.8876254558563232
2010-04-23,2.8834924697875977
2010-04-26,2.9012632369995117
2010-04-27,2.7954626083374023
2010-04-28,2.7702524662017822
2010-04-29,2.878120183944702
2010-04-30,2.776038408279419
2010-05-03,2.807447671890259
2010-05-04,2.7479350566864014
2010-05-05,2.723550796508789
2010-05-06,2.6475071907043457
2010-05-07,2.6070048809051514
2010-05-10,2.759507417678833
2010-05-11,2.8037281036376953
2010-05-12,2.8839054107666016
2010-05-13,2.8797643184661865
2010-05-14,2.832970142364502
2010-05-17,2.8797643184661865
2010-05-18,2.764641046524048
2010-05-19,2.777064323425293
2010-05-20,2.7000389099121094
2010-05-21,2.722400426864624
2010-05-24,2.725712537765503
2010-05-25,2.7327537536621094
2010-05-26,2.677262306213379
2010-05-27,2.834625720977783
2010-05-28,2.806051731109619
2010-06-01,2.744762420654297
2010-06-02,2.7973554134368896
2010-06-03,2.7994253635406494
2010-06-04,2.660283088684082
2010-06-07,2.5873990058898926
2010-06-08,2.6416473388671875
2010-06-09,2.6606972217559814
2010-06-10,2.7062501907348633
2010-06-11,2.753872871398926
2010-06-14,2.811021566390991
2010-06-15,2.832970142364502
2010-06-16,2.8168179988861084
2010-06-17,2.75594425201416
2010-06-18,2.782447576522827
2010-06-21,2.729440927505493
2010-06-22,2.621770143508911
2010-06-23,2.666081190109253
2010-06-24,2.588226079940796
2010-06-25,2.5691778659820557
2010-06-28,2.6105892658233643
2010-06-29,2.5393617153167725
2010-06-30,2.5248663425445557
2010-07-01,2.5360488891601562
2010-07-02,2.5455715656280518
2010-07-06,2.537290334701538
2010-07-07,2.6404054164886475
2010-07-08,2.7087340354919434
2010-07-09,2.722400426864624
2010-07-12,2.729854106903076
2010-07-13,2.7899014949798584
2010-07-14,2.813091516494751
2010-07-15,2.849947452545166
2010-07-16,2.764226198196411
2010-07-19,2.8176472187042236
2010-07-20,2.851605176925659
2010-07-21,2.7857606410980225
2010-07-22,2.834625720977783
2010-07-23,2.8868038654327393
2010-07-26,2.9050252437591553
2010-07-27,2.8586442470550537
2010-07-28,2.820960521697998
2010-07-29,2.8735525608062744
2010-07-30,2.8785228729248047
2010-08-02,2.9195196628570557
2010-08-03,2.867755889892578
2010-08-04,2.893016815185547
2010-08-05,2.909580707550049
2010-08-06,2.915377616882324
2010-08-09,2.9824652671813965
2010-08-10,2.9456088542938232
2010-08-11,2.8238584995269775
2010-08-12,2.859546661376953
2010-08-13,2.8446075916290283
2010-08-16,2.8728244304656982
2010-08-17,2.876145124435425
2010-08-18,2.9184718132019043
2010-08-19,2.9072675704956055
2010-08-20,2.937974691390991
2010-08-23,2.9471044540405273
2010-08-24,2.8553972244262695
2010-08-25,2.821784257888794
2010-08-26,2.783191680908203
2010-08-27,2.8483424186706543
2010-08-30,2.8334033489227295
2010-08-31,2.820953607559204
2010-09-01,2.9143223762512207
2010-09-02,2.9632883071899414
2010-09-03,3.0134997367858887
2010-09-07,3.0425467491149902
2010-09-08,3.0906832218170166
2010-09-09,3.048356771469116
2010-09-10,3.0558269023895264
2010-09-13,3.0832138061523438
2010-09-14,3.1321802139282227
2010-09-15,3.1662073135375977
2010-09-16,3.1305201053619385
