Date,EQR
2010-01-04,16.911779403686523
2010-01-05,16.845947265625
2010-01-06,16.94215965270996
2010-01-07,17.104185104370117
2010-01-08,16.886465072631836
2010-01-11,16.835819244384766
2010-01-12,16.59278678894043
2010-01-13,17.119375228881836
2010-01-14,17.0889949798584
2010-01-15,16.896583557128906
2010-01-19,17.42824363708496
2010-01-20,17.0991268157959
2010-01-21,16.673797607421875
2010-01-22,16.167448043823242
2010-01-25,16.16239356994629
2010-01-26,16.13200569152832
2010-01-27,16.425687789916992
2010-01-28,16.34467124938965
2010-01-29,16.228212356567383
2010-02-01,16.59278678894043
2010-02-02,16.886465072631836
2010-02-03,16.39024543762207
2010-02-04,16.567462921142578
2010-02-05,16.694047927856445
2010-02-08,16.425687789916992
2010-02-09,16.405437469482422
2010-02-10,16.334552764892578
2010-02-11,16.587717056274414
2010-02-12,16.810510635375977
2010-02-16,17.413053512573242
2010-02-17,17.519384384155273
2010-02-18,17.757368087768555
2010-02-19,17.954833984375
2010-02-22,18.187753677368164
2010-02-23,18.076353073120117
2010-02-24,18.28395652770996
2010-02-25,18.349777221679688
2010-02-26,18.268768310546875
2010-03-01,18.27889633178711
2010-03-02,18.289020538330078
2010-03-03,18.147247314453125
2010-03-04,18.268768310546875
2010-03-05,18.87131690979004
2010-03-08,19.04852867126465
2010-03-09,19.39284324645996
2010-03-10,19.448543548583984
2010-03-11,19.483278274536133
2010-03-12,19.447521209716797
2010-03-15,19.46795082092285
2010-03-16,20.111608505249023
2010-03-17,20.387449264526367
2010-03-18,20.249534606933594
2010-03-19,20.080957412719727
2010-03-22,20.254638671875
2010-03-23,20.198461532592773
2010-03-24,20.111608505249023
2010-03-25,20.17801856994629
2010-03-26,20.101390838623047
2010-03-29,20.106496810913086
2010-03-30,20.17290496826172
2010-03-31,19.999217987060547
2010-04-01,19.989011764526367
2010-04-05,20.55093002319336
2010-04-06,21.2303409576416
2010-04-07,20.755268096923828
2010-04-08,20.719505310058594
2010-04-09,21.429567337036133
2010-04-12,21.439777374267578
2010-04-13,21.98126983642578
2010-04-14,22.011920928955078
2010-04-15,21.475542068481445
2010-04-16,21.000459671020508
2010-04-19,21.020896911621094
2010-04-20,21.460206985473633
2010-04-21,21.935285568237305
2010-04-22,22.349071502685547
2010-04-23,22.783281326293945
2010-04-26,23.12042808532715
2010-04-27,22.32352638244629
2010-04-28,22.4359130859375
2010-04-29,24.091020584106445
2010-04-30,23.12554359436035
2010-05-03,24.274917602539062
2010-05-04,24.014387130737305
2010-05-05,23.63637924194336
2010-05-06,22.645353317260742
2010-05-07,22.18559455871582
2010-05-10,24.009281158447266
2010-05-11,24.1778621673584
2010-05-12,24.571210861206055
2010-05-13,24.014387130737305
2010-05-14,23.3043212890625
2010-05-17,23.452470779418945
2010-05-18,22.778173446655273
2010-05-19,22.732196807861328
2010-05-20,21.598140716552734
2010-05-21,22.456336975097656
2010-05-24,21.766719818115234
2010-05-25,22.170272827148438
2010-05-26,22.154949188232422
2010-05-27,23.370742797851562
2010-05-28,23.05402183532715
2010-06-01,22.645353317260742
2010-06-02,22.737308502197266
2010-06-03,22.6351375579834
2010-06-04,21.0617618560791
2010-06-07,20.872753143310547
2010-06-08,21.36315155029297
2010-06-09,21.358047485351562
2010-06-10,22.578948974609375
2010-06-11,22.757734298706055
2010-06-14,23.099990844726562
2010-06-15,23.718109130859375
2010-06-16,23.59357261657715
2010-06-17,23.840578079223633
2010-06-18,23.54726791381836
2010-06-21,23.444355010986328
2010-06-22,22.564411163330078
2010-06-23,22.816566467285156
2010-06-24,22.10129165649414
2010-06-25,22.92976951599121
2010-06-28,22.584999084472656
2010-06-29,21.684476852416992
2010-06-30,21.427183151245117
2010-07-01,21.432336807250977
2010-07-02,20.92804527282715
2010-07-06,20.696481704711914
2010-07-07,21.88516616821289
2010-07-08,22.286537170410156
2010-07-09,22.66732406616211
2010-07-12,22.801122665405273
2010-07-13,23.2745361328125
2010-07-14,22.99666404724121
2010-07-15,23.053264617919922
2010-07-16,21.967500686645508
2010-07-19,22.456350326538086
2010-07-20,22.703350067138672
2010-07-21,22.049835205078125
2010-07-22,23.11501693725586
2010-07-23,23.233373641967773
2010-07-26,24.041261672973633
2010-07-27,23.897186279296875
2010-07-28,23.958932876586914
2010-07-29,23.264245986938477
2010-07-30,23.59357261657715
2010-08-02,24.355165481567383
2010-08-03,24.154478073120117
2010-08-04,24.09271812438965
2010-08-05,23.624446868896484
2010-08-06,23.59357261657715
2010-08-09,24.180204391479492
2010-08-10,24.22651481628418
2010-08-11,23.377458572387695
2010-08-12,22.98636817932129
2010-08-13,23.094440460205078
2010-08-16,23.094440460205078
2010-08-17,23.61930274963379
2010-08-18,23.645034790039062
2010-08-19,22.98122215270996
2010-08-20,23.078996658325195
2010-08-23,23.11501693725586
2010-08-24,22.955501556396484
2010-08-25,23.351726531982422
2010-08-26,23.145889282226562
2010-08-27,23.614160537719727
2010-08-30,23.259098052978516
2010-08-31,23.583288192749023
2010-09-01,24.617591857910156
2010-09-02,24.75139045715332
2010-09-03,25.1424617767334
2010-09-07,24.807992935180664
2010-09-08,24.833721160888672
2010-09-09,24.411758422851562
2010-09-10,24.50953483581543
2010-09-13,24.648469924926758
2010-09-14,24.689638137817383
2010-09-15,25.193931579589844
2010-09-16,25.260257720947266
2010-09-17,25.322431564331055
2010-09-20,26.15666389465332
2010-09-21,25.467519760131836
2010-09-22,25.4105281829834
2010-09-23,24.767995834350586
2010-09-24,25.524513244628906
2010-09-27,24.933807373046875
2010-09-28,24.90272331237793
