Date,EIX
2010-01-04,19.74771499633789
2010-01-05,19.57164192199707
2010-01-06,19.81587028503418
2010-01-07,19.696592330932617
2010-01-08,19.594364166259766
2010-01-11,19.97489356994629
2010-01-12,19.952167510986328
2010-01-13,20.1339168548584
2010-01-14,20.122560501098633
2010-01-15,20.0146484375
2010-01-19,20.32134246826172
2010-01-20,20.071449279785156
2010-01-21,19.81587028503418
2010-01-22,19.236557006835938
2010-01-25,19.367189407348633
2010-01-26,19.423973083496094
2010-01-27,19.33878517150879
2010-01-28,19.009376525878906
2010-01-29,18.92418098449707
2010-02-01,19.117290496826172
2010-02-02,19.31039047241211
2010-02-03,19.083202362060547
2010-02-04,18.45845603942871
2010-02-05,18.43573760986328
2010-02-08,18.248315811157227
2010-02-09,18.486848831176758
2010-02-10,18.384618759155273
2010-02-11,18.50389862060547
2010-02-12,18.50957679748535
2010-02-16,18.941211700439453
2010-02-17,18.918506622314453
2010-02-18,19.088882446289062
2010-02-19,19.44670295715332
2010-02-22,19.20248031616211
2010-02-23,18.912818908691406
2010-02-24,18.844663619995117
2010-02-25,18.594768524169922
2010-02-26,18.532289505004883
2010-03-01,18.92418098449707
2010-03-02,18.873064041137695
2010-03-03,18.912818908691406
2010-03-04,18.816265106201172
2010-03-05,19.185440063476562
2010-03-08,19.060487747192383
2010-03-09,19.060487747192383
2010-03-10,19.367189407348633
2010-03-11,19.458057403564453
2010-03-12,19.19112205505371
2010-03-15,19.35582733154297
2010-03-16,19.520530700683594
2010-03-17,19.713638305664062
2010-03-18,19.600038528442383
2010-03-19,19.543251037597656
2010-03-22,19.441015243530273
2010-03-23,19.5830020904541
2010-03-24,19.36150360107422
2010-03-25,19.213836669921875
2010-03-26,19.321748733520508
2010-03-29,19.605514526367188
2010-03-30,19.783218383789062
2010-03-31,19.588315963745117
2010-04-01,19.662839889526367
2010-04-05,19.714435577392578
2010-04-06,19.874940872192383
2010-04-07,19.708696365356445
2010-04-08,19.680036544799805
2010-04-09,19.616987228393555
2010-04-12,19.754560470581055
2010-04-13,19.697227478027344
2010-04-14,19.73735809326172
2010-04-15,19.794681549072266
2010-04-16,19.450727462768555
2010-04-19,19.404865264892578
2010-04-20,19.553916931152344
2010-04-21,19.6571044921875
2010-04-22,19.542457580566406
2010-04-23,19.70296287536621
2010-04-26,19.542457580566406
2010-04-27,19.07811164855957
2010-04-28,19.14117431640625
2010-04-29,19.330358505249023
2010-04-30,19.70296287536621
2010-05-03,19.88640594482422
2010-05-04,19.295955657958984
2010-05-05,19.301687240600586
2010-05-06,18.70549201965332
2010-05-07,18.93478775024414
2010-05-10,19.43353271484375
2010-05-11,19.485130310058594
2010-05-12,19.634174346923828
2010-05-13,19.485130310058594
2010-05-14,19.295955657958984
2010-05-17,19.244356155395508
2010-05-18,19.0666446685791
2010-05-19,18.866004943847656
2010-05-20,18.201026916503906
2010-05-21,18.178096771240234
2010-05-24,18.149425506591797
2010-05-25,17.902923583984375
2010-05-26,18.12649154663086
2010-05-27,18.51058578491211
2010-05-28,18.55070686340332
2010-06-01,18.063438415527344
2010-06-02,18.596576690673828
2010-06-03,18.797216415405273
2010-06-04,18.275550842285156
2010-06-07,18.44752311706543
2010-06-08,18.51058578491211
2010-06-09,18.373001098632812
2010-06-10,18.814407348632812
2010-06-11,18.785749435424805
2010-06-14,18.974925994873047
2010-06-15,19.301687240600586
2010-06-16,19.565385818481445
2010-06-17,19.748830795288086
2010-06-18,19.691497802734375
2010-06-21,19.553916931152344
2010-06-22,19.14690399169922
2010-06-23,18.831613540649414
2010-06-24,18.785749435424805
2010-06-25,18.734159469604492
2010-06-28,18.922277450561523
2010-06-29,18.522884368896484
2010-06-30,18.36079978942871
2010-07-01,18.123476028442383
2010-07-02,18.019285202026367
2010-07-06,18.23924446105957
2010-07-07,18.8759708404541
2010-07-08,19.084348678588867
2010-07-09,19.136449813842773
2010-07-12,19.072776794433594
2010-07-13,19.176971435546875
2010-07-14,19.217487335205078
2010-07-15,19.286951065063477
2010-07-16,18.84123992919922
2010-07-19,19.142236709594727
2010-07-20,19.101720809936523
2010-07-21,18.73704719543457
2010-07-22,19.04962158203125
2010-07-23,19.04962158203125
2010-07-26,19.101720809936523
2010-07-27,19.518489837646484
2010-07-28,19.431655883789062
2010-07-29,19.292739868164062
2010-07-30,19.18853759765625
2010-08-02,19.703716278076172
2010-08-03,19.541629791259766
2010-08-04,19.570587158203125
2010-08-05,19.512691497802734
2010-08-06,19.680559158325195
2010-08-09,19.657405853271484
2010-08-10,19.738445281982422
2010-08-11,19.275373458862305
2010-08-12,19.292739868164062
2010-08-13,19.64583396911621
2010-08-16,19.599523544311523
2010-08-17,19.651620864868164
2010-08-18,19.587947845458984
2010-08-19,19.414289474487305
2010-08-20,19.599523544311523
2010-08-23,19.611101150512695
2010-08-24,19.651620864868164
2010-08-25,19.55320930480957
2010-08-26,19.246431350708008
2010-08-27,19.66897964477539
2010-08-30,19.35639762878418
2010-08-31,19.535856246948242
2010-09-01,20.103107452392578
2010-09-02,20.03365135192871
2010-09-03,20.189937591552734
2010-09-07,20.0799560546875
2010-09-08,19.95840072631836
2010-09-09,20.0799560546875
2010-09-10,19.906309127807617
2010-09-13,19.744230270385742
2010-09-14,19.877368927001953
2010-09-15,19.611101150512695
2010-09-16,19.564794540405273
2010-09-17,19.593727111816406
2010-09-20,19.969980239868164
2010-09-21,20.085744857788086
2010-09-22,20.149417877197266
2010-09-23,20.00470542907715
2010-09-24,20.0799560546875
2010-09-27,20.022075653076172
2010-09-28,20.311237335205078
