Date,CME
2010-01-04,36.77665328979492
2010-01-05,36.746559143066406
2010-01-06,36.49740219116211
2010-01-07,36.542510986328125
2010-01-08,37.518821716308594
2010-01-11,37.51130294799805
2010-01-12,36.7508659362793
2010-01-13,36.86471939086914
2010-01-14,36.70576095581055
2010-01-15,36.22136688232422
2010-01-19,36.32341003417969
2010-01-20,35.44266891479492
2010-01-21,33.405189514160156
2010-01-22,33.52442169189453
2010-01-25,32.97235107421875
2010-01-26,30.739397048950195
2010-01-27,31.612606048583984
2010-01-28,31.20232582092285
2010-01-29,30.80599021911621
2010-02-01,31.27857208251953
2010-02-02,31.49229621887207
2010-02-03,31.374162673950195
2010-02-04,28.923175811767578
2010-02-05,30.159412384033203
2010-02-08,30.103546142578125
2010-02-09,30.4150333404541
2010-02-10,29.681461334228516
2010-02-11,30.618024826049805
2010-02-12,31.262468338012695
2010-02-16,31.915477752685547
2010-02-17,31.47834587097168
2010-02-18,31.32904624938965
2010-02-19,31.34088134765625
2010-02-22,30.82962417602539
2010-02-23,29.705089569091797
2010-02-24,31.208757400512695
2010-02-25,31.731822967529297
2010-02-26,32.403114318847656
2010-03-01,32.33221435546875
2010-03-02,33.23764419555664
2010-03-03,32.85098648071289
2010-03-04,33.0292854309082
2010-03-05,33.30960464477539
2010-03-08,33.756996154785156
2010-03-09,33.21903991699219
2010-03-10,33.19318771362305
2010-03-11,33.773170471191406
2010-03-12,33.89607238769531
2010-03-15,33.86695861816406
2010-03-16,33.886383056640625
2010-03-17,34.06639862060547
2010-03-18,33.5155029296875
2010-03-19,33.596378326416016
2010-03-22,33.59313201904297
2010-03-23,33.48316955566406
2010-03-24,34.3790397644043
2010-03-25,34.4814338684082
2010-03-26,34.034053802490234
2010-03-29,34.027584075927734
2010-03-30,34.08258056640625
2010-03-31,34.078250885009766
2010-04-01,34.46635437011719
2010-04-05,34.1871337890625
2010-04-06,34.163429260253906
2010-04-07,33.884212493896484
2010-04-08,33.61037063598633
2010-04-09,33.645957946777344
2010-04-12,33.472381591796875
2010-04-13,33.441131591796875
2010-04-14,34.440486907958984
2010-04-15,34.618350982666016
2010-04-16,33.65566635131836
2010-04-19,34.61297607421875
2010-04-20,34.53642654418945
2010-04-21,34.76712417602539
2010-04-22,36.43487548828125
2010-04-23,36.099609375
2010-04-26,36.842369079589844
2010-04-27,35.9271125793457
2010-04-28,35.609092712402344
2010-04-29,35.73737716674805
2010-04-30,35.49696731567383
2010-05-03,35.46247100830078
2010-05-04,34.729408264160156
2010-05-05,35.00106430053711
2010-05-06,34.64746856689453
2010-05-07,33.979068756103516
2010-05-10,35.89908981323242
2010-05-11,35.489418029785156
2010-05-12,35.49482345581055
2010-05-13,34.91265869140625
2010-05-14,34.0027961730957
2010-05-17,34.07178497314453
2010-05-18,33.229827880859375
2010-05-19,33.49394989013672
2010-05-20,32.664939880371094
2010-05-21,34.336978912353516
2010-05-24,34.82210159301758
2010-05-25,33.66753005981445
2010-05-26,33.3829231262207
2010-05-27,34.383338928222656
2010-05-28,34.1364631652832
2010-06-01,33.59528350830078
2010-06-02,34.812408447265625
2010-06-03,34.87385177612305
2010-06-04,33.48855972290039
2010-06-07,32.29408645629883
2010-06-08,32.261619567871094
2010-06-09,31.54302406311035
2010-06-10,32.854652404785156
2010-06-11,32.731292724609375
2010-06-14,33.24643325805664
2010-06-15,33.52130126953125
2010-06-16,33.61871337890625
2010-06-17,33.49639892578125
2010-06-18,33.23884201049805
2010-06-21,33.25614929199219
2010-06-22,32.90658950805664
2010-06-23,32.52782440185547
2010-06-24,31.40451431274414
2010-06-25,32.171791076660156
2010-06-28,32.11983871459961
2010-06-29,31.15777015686035
2010-06-30,30.469478607177734
2010-07-01,30.13941192626953
2010-07-02,29.745479583740234
2010-07-06,29.708694458007812
2010-07-07,30.099365234375
2010-07-08,30.478139877319336
2010-07-09,29.997644424438477
2010-07-12,29.979236602783203
2010-07-13,30.117773056030273
2010-07-14,29.813674926757812
2010-07-15,29.906736373901367
2010-07-16,28.811546325683594
2010-07-19,28.945737838745117
2010-07-20,29.786623001098633
2010-07-21,29.56043243408203
2010-07-22,30.487895965576172
2010-07-23,31.01166343688965
2010-07-26,30.69891929626465
2010-07-27,30.719484329223633
2010-07-28,30.68160057067871
2010-07-29,30.93266487121582
2010-07-30,30.171875
2010-08-02,30.965126037597656
2010-08-03,30.255203247070312
2010-08-04,30.102615356445312
2010-08-05,29.744413375854492
2010-08-06,29.377534866333008
2010-08-09,29.432743072509766
2010-08-10,28.560483932495117
2010-08-11,27.284557342529297
2010-08-12,26.989112854003906
2010-08-13,26.494531631469727
2010-08-16,26.675275802612305
2010-08-17,26.820289611816406
2010-08-18,26.602766036987305
2010-08-19,26.055166244506836
2010-08-20,25.72293472290039
2010-08-23,25.740253448486328
2010-08-24,25.839807510375977
2010-08-25,26.6103458404541
2010-08-26,27.15468406677246
2010-08-27,27.784526824951172
2010-08-30,26.94692039489746
2010-08-31,26.855998992919922
2010-09-01,27.734756469726562
2010-09-02,28.4024658203125
2010-09-03,28.690332412719727
2010-09-07,27.968502044677734
2010-09-08,28.339195251464844
2010-09-09,28.518550872802734
2010-09-10,28.79575538635254
2010-09-13,29.462108612060547
2010-09-14,29.276220321655273
2010-09-15,29.512113571166992
2010-09-16,29.13924789428711
2010-09-17,28.683786392211914
2010-09-20,29.558849334716797
2010-09-21,29.234922409057617
2010-09-22,28.952280044555664
2010-09-23,28.373971939086914
2010-09-24,29.309917449951172
2010-09-27,28.932714462280273
2010-09-28,28.754440307617188
