Date,CHRW
2010-01-04,41.25967025756836
2010-01-05,40.40444564819336
2010-01-06,39.86906433105469
2010-01-07,39.48664093017578
2010-01-08,40.01507568359375
2010-01-11,40.13328170776367
2010-01-12,39.62570571899414
2010-01-13,39.85516357421875
2010-01-14,40.06376266479492
2010-01-15,40.13328170776367
2010-01-19,40.418357849121094
2010-01-20,40.175010681152344
2010-01-21,40.07069778442383
2010-01-22,39.87601852416992
2010-01-25,39.9525032043457
2010-01-26,39.702178955078125
2010-01-27,39.9525032043457
2010-01-28,39.31281661987305
2010-01-29,39.37539291381836
2010-02-01,39.910797119140625
2010-02-02,39.92470169067383
2010-02-03,37.226890563964844
2010-02-04,37.02524185180664
2010-02-05,36.46204376220703
2010-02-08,36.21173095703125
2010-02-09,36.62196731567383
2010-02-10,36.04486083984375
2010-02-11,36.920955657958984
2010-02-12,36.23952865600586
2010-02-16,36.677589416503906
2010-02-17,36.85142135620117
2010-02-18,36.781890869140625
2010-02-19,37.19907760620117
2010-02-22,37.657989501953125
2010-02-23,37.24080276489258
2010-02-24,37.324249267578125
2010-02-25,37.19211959838867
2010-02-26,37.08087921142578
2010-03-01,37.24080276489258
2010-03-02,36.9974365234375
2010-03-03,36.655128479003906
2010-03-04,36.794837951660156
2010-03-05,37.200035095214844
2010-03-08,37.24891662597656
2010-03-09,37.29783248901367
2010-03-10,37.49342727661133
2010-03-11,37.34672546386719
2010-03-12,37.633155822753906
2010-03-15,37.64012908935547
2010-03-16,38.61815643310547
2010-03-17,38.897605895996094
2010-03-18,39.526336669921875
2010-03-19,39.540313720703125
2010-03-22,39.2818489074707
2010-03-23,39.421539306640625
2010-03-24,39.20499038696289
2010-03-25,38.87666320800781
2010-03-26,38.81377410888672
2010-03-29,39.18402099609375
2010-03-30,39.274837493896484
2010-03-31,39.016357421875
2010-04-01,38.897605895996094
2010-04-05,38.88364028930664
2010-04-06,38.61815643310547
2010-04-07,38.527347564697266
2010-04-08,38.84172439575195
2010-04-09,39.435516357421875
2010-04-12,39.42851638793945
2010-04-13,39.533302307128906
2010-04-14,40.33670425415039
2010-04-15,41.168025970458984
2010-04-16,40.78379440307617
2010-04-19,40.95844268798828
2010-04-20,41.14707565307617
2010-04-21,41.915523529052734
2010-04-22,42.93547439575195
2010-04-23,43.01930618286133
2010-04-26,42.71889114379883
2010-04-27,42.10416030883789
2010-04-28,42.30673599243164
2010-04-29,42.71889114379883
2010-04-30,42.139068603515625
2010-05-03,43.15202713012695
2010-05-04,42.404541015625
2010-05-05,42.41153335571289
2010-05-06,41.328704833984375
2010-05-07,40.39957809448242
2010-05-10,42.390560150146484
2010-05-11,42.390560150146484
2010-05-12,42.76779556274414
2010-05-13,42.33466720581055
2010-05-14,41.64308166503906
2010-05-17,41.747840881347656
2010-05-18,41.370628356933594
2010-05-19,41.45444869995117
2010-05-20,39.840702056884766
2010-05-21,40.644081115722656
2010-05-24,40.05027389526367
2010-05-25,40.099178314208984
2010-05-26,40.07123565673828
2010-05-27,41.00735092163086
2010-05-28,40.595176696777344
2010-06-01,39.875640869140625
2010-06-02,40.78078842163086
2010-06-03,40.724639892578125
2010-06-04,39.22308349609375
2010-06-07,38.40916442871094
2010-06-08,38.507389068603516
2010-06-09,38.61264419555664
2010-06-10,40.303653717041016
2010-06-11,40.843929290771484
2010-06-14,41.18773651123047
2010-06-15,41.62277603149414
2010-06-16,41.594696044921875
2010-06-17,41.63680648803711
2010-06-18,41.44034194946289
2010-06-21,41.47541427612305
2010-06-22,40.408897399902344
2010-06-23,40.31768798828125
2010-06-24,39.98789596557617
