Date,WTW
2010-01-04,52.10050964355469
2010-01-05,51.983726501464844
2010-01-06,52.82063293457031
2010-01-07,52.664913177490234
2010-01-08,52.606536865234375
2010-01-11,53.13200378417969
2010-01-12,53.268245697021484
2010-01-13,53.385040283203125
2010-01-14,53.268245697021484
2010-01-15,52.645469665527344
2010-01-19,53.2487907409668
2010-01-20,53.852108001708984
2010-01-21,53.4239501953125
2010-01-22,52.489768981933594
2010-01-25,52.58707809448242
2010-01-26,52.08104705810547
2010-01-27,51.808563232421875
2010-01-28,50.952232360839844
2010-01-29,51.04955291748047
2010-02-01,51.380409240722656
2010-02-02,52.470272064208984
2010-02-03,53.36558151245117
2010-02-04,54.94202423095703
2010-02-05,54.70844650268555
2010-02-08,54.06618881225586
2010-02-09,54.24136734008789
2010-02-10,54.12459182739258
2010-02-11,54.16352462768555
2010-02-12,54.00780487060547
2010-02-16,54.26083755493164
2010-02-17,54.98094177246094
2010-02-18,54.84468078613281
2010-02-19,55.8567008972168
2010-02-22,56.36277770996094
2010-02-23,56.946617126464844
2010-02-24,57.19963836669922
2010-02-25,57.25802230834961
2010-02-26,57.958675384521484
2010-03-01,58.71767044067383
2010-03-02,59.009620666503906
2010-03-03,58.75661849975586
2010-03-04,59.282100677490234
2010-03-05,59.632423400878906
2010-03-08,59.86598205566406
2010-03-09,60.83906936645508
2010-03-10,60.74176788330078
2010-03-11,60.91691589355469
2010-03-12,61.169918060302734
2010-03-15,61.22834014892578
2010-03-16,61.77326965332031
2010-03-17,61.96791458129883
2010-03-18,61.94841766357422
2010-03-19,61.033714294433594
2010-03-22,61.5202522277832
2010-03-23,62.123573303222656
2010-03-24,61.36456298828125
2010-03-25,62.04574203491211
2010-03-26,61.96791458129883
2010-03-29,62.7331428527832
2010-03-30,62.47809982299805
2010-03-31,61.398826599121094
2010-04-01,61.47732162475586
2010-04-05,61.92863082885742
2010-04-06,62.04639434814453
2010-04-07,62.47809982299805
2010-04-08,62.635040283203125
2010-04-09,62.792030334472656
2010-04-12,62.83126449584961
2010-04-13,62.87051010131836
2010-04-14,63.67505645751953
2010-04-15,63.537689208984375
2010-04-16,63.47882843017578
2010-04-19,62.87051010131836
2010-04-20,64.75428771972656
2010-04-21,65.5195541381836
2010-04-22,65.20559692382812
2010-04-23,65.6176528930664
2010-04-26,65.40181732177734
2010-04-27,64.79354095458984
2010-04-28,65.14672088623047
2010-04-29,68.36481475830078
2010-04-30,67.59955596923828
2010-05-03,68.38442993164062
2010-05-04,66.46144104003906
2010-05-05,64.98976135253906
2010-05-06,63.93013000488281
2010-05-07,62.41923904418945
2010-05-10,64.65618133544922
2010-05-11,64.55805969238281
2010-05-12,64.95051574707031
2010-05-13,64.5973129272461
2010-05-14,63.06676483154297
2010-05-17,62.85090637207031
2010-05-18,60.79054260253906
2010-05-19,61.45771408081055
2010-05-20,59.358097076416016
2010-05-21,59.98601531982422
2010-05-24,59.08340072631836
2010-05-25,58.2396240234375
2010-05-26,58.45547866821289
2010-05-27,60.33921432495117
2010-05-28,60.08413314819336
2010-06-01,59.75056076049805
2010-06-02,59.55433654785156
2010-06-03,61.496971130371094
2010-06-04,60.08413314819336
2010-06-07,59.69168472290039
2010-06-08,60.47659683227539
2010-06-09,60.69242477416992
2010-06-10,62.36030197143555
2010-06-11,62.2818489074707
2010-06-14,61.5754508972168
2010-06-15,62.399593353271484
2010-06-16,63.282596588134766
2010-06-17,63.02750778198242
2010-06-18,63.14525604248047
2010-06-21,63.5180778503418
2010-06-22,62.988258361816406
2010-06-23,61.90903091430664
2010-06-24,61.41844177246094
2010-06-25,61.00639724731445
2010-06-28,61.38233947753906
2010-06-29,59.97740936279297
2010-06-30,59.462921142578125
2010-07-01,59.680572509765625
2010-07-02,59.819114685058594
2010-07-06,60.41276931762695
2010-07-07,61.144893646240234
2010-07-08,61.48130798339844
2010-07-09,62.33219528198242
2010-07-12,62.33219528198242
2010-07-13,63.519493103027344
2010-07-14,63.22262191772461
2010-07-15,62.925819396972656
2010-07-16,62.074928283691406
2010-07-19,62.58943176269531
2010-07-20,62.925819396972656
2010-07-21,62.82686996459961
2010-07-22,63.519493103027344
2010-07-23,63.499698638916016
2010-07-26,63.42051315307617
2010-07-27,63.42051315307617
2010-07-28,63.2424201965332
2010-07-29,59.79931640625
2010-07-30,60.55128860473633
2010-08-02,61.87705612182617
2010-08-03,61.24385070800781
2010-08-04,60.80851745605469
2010-08-05,60.590843200683594
2010-08-06,61.144893646240234
2010-08-09,61.69896697998047
2010-08-10,60.92723083496094
2010-08-11,59.759735107421875
2010-08-12,59.26504135131836
2010-08-13,59.205665588378906
2010-08-16,59.26504135131836
2010-08-17,59.93783187866211
2010-08-18,60.353397369384766
2010-08-19,59.40355682373047
2010-08-20,59.22545623779297
2010-08-23,59.166133880615234
2010-08-24,58.01838302612305
2010-08-25,57.84032440185547
2010-08-26,57.642425537109375
2010-08-27,58.156925201416016
2010-08-30,57.780941009521484
2010-08-31,57.464324951171875
2010-09-01,59.0078010559082
2010-09-02,59.739952087402344
2010-09-03,60.31381607055664
2010-09-07,60.29402542114258
2010-09-08,60.39297866821289
2010-09-09,60.70957565307617
2010-09-10,61.32301330566406
2010-09-13,61.857261657714844
2010-09-14,61.79792022705078
2010-09-15,61.738521575927734
2010-09-16,61.71874237060547
2010-09-17,61.60002136230469
2010-09-20,61.817691802978516
2010-09-21,61.362571716308594
2010-09-22,61.342803955078125
2010-09-23,60.72937774658203
2010-09-24,61.639610290527344
2010-09-27,61.10532760620117
2010-09-28,61.42463302612305
