Date,MDLZ
2010-01-04,12.709548950195312
2010-01-05,13.33043098449707
2010-01-06,13.423102378845215
2010-01-07,13.390663146972656
2010-01-08,13.404566764831543
2010-01-11,13.344330787658691
2010-01-12,13.57137393951416
2010-01-13,13.543569564819336
2010-01-14,13.492596626281738
2010-01-15,13.70573902130127
2010-01-19,13.626972198486328
2010-01-20,13.335062980651855
2010-01-21,13.084857940673828
2010-01-22,12.913423538208008
2010-01-25,12.830021858215332
2010-01-26,12.862454414367676
2010-01-27,13.13582706451416
2010-01-28,12.992185592651367
2010-01-29,12.816120147705078
2010-02-01,13.001456260681152
2010-02-02,13.205329895019531
2010-02-03,13.19605827331543
2010-02-04,13.1543607711792
2010-02-05,13.17752742767334
2010-02-08,13.140457153320312
2010-02-09,13.390663146972656
2010-02-10,13.404566764831543
2010-02-11,13.432365417480469
2010-02-12,13.478699684143066
2010-02-16,13.423102378845215
2010-02-17,13.265560150146484
2010-02-18,13.348959922790527
2010-02-19,13.399930953979492
2010-02-22,13.413833618164062
2010-02-23,13.497236251831055
2010-02-24,13.46016788482666
2010-02-25,13.348959922790527
2010-02-26,13.172892570495605
2010-03-01,13.307262420654297
2010-03-02,13.39529800415039
2010-03-03,13.423102378845215
2010-03-04,13.474067687988281
2010-03-05,13.594537734985352
2010-03-08,13.515769004821777
2010-03-09,13.543569564819336
2010-03-10,13.613073348999023
2010-03-11,13.631606101989746
2010-03-12,13.645508766174316
2010-03-15,13.696473121643066
2010-03-16,13.756708145141602
2010-03-17,13.761340141296387
2010-03-18,13.821574211120605
2010-03-19,13.728906631469727
2010-03-22,13.77524185180664
2010-03-23,14.261759757995605
2010-03-24,14.233953475952148
2010-03-25,14.271024703979492
2010-03-26,14.192252159118652
2010-03-29,14.285811424255371
2010-03-30,14.267088890075684
2010-03-31,14.145479202270508
2010-04-01,14.192252159118652
2010-04-05,14.13144302368164
2010-04-06,14.070629119873047
2010-04-07,14.06595516204834
2010-04-08,14.094022750854492
2010-04-09,14.145479202270508
2010-04-12,14.192252159118652
2010-04-13,14.337258338928223
2010-04-14,14.444849967956543
2010-04-15,14.533723831176758
2010-04-16,14.341941833496094
2010-04-19,14.402750015258789
2010-04-20,14.243707656860352
2010-04-21,14.150151252746582
2010-04-22,14.122088432312012
2010-04-23,14.075307846069336
2010-04-26,14.075307846069336
2010-04-27,13.799318313598633
2010-04-28,13.916266441345215
2010-04-29,13.991110801696777
2010-04-30,13.846100807189941
2010-05-03,13.986430168151855
2010-05-04,13.832070350646973
2010-05-05,13.916266441345215
2010-05-06,13.663666725158691
2010-05-07,14.06595516204834
2010-05-10,14.276448249816895
2010-05-11,14.206283569335938
2010-05-12,14.220315933227539
2010-05-13,14.178215980529785
2010-05-14,14.047245025634766
2010-05-17,14.290482521057129
2010-05-18,14.047245025634766
2010-05-19,14.168861389160156
2010-05-20,13.62624454498291
2010-05-21,13.888197898864746
2010-05-24,13.532695770263672
2010-05-25,13.270739555358887
2010-05-26,13.284773826599121
2010-05-27,13.593502044677734
2010-05-28,13.378328323364258
2010-06-01,13.518660545349121
2010-06-02,13.813360214233398
2010-06-03,13.69641399383545
2010-06-04,13.336227416992188
2010-06-07,13.247345924377441
2010-06-08,13.397034645080566
2010-06-09,13.50930118560791
2010-06-10,13.74319076538086
2010-06-11,13.705767631530762
2010-06-14,13.747867584228516
2010-06-15,13.897553443908691
2010-06-16,13.906914710998535
2010-06-17,14.0238618850708
2010-06-18,14.03789234161377
2010-06-21,14.00514030456543
2010-06-22,13.733841896057129
2010-06-23,13.818034172058105
2010-06-24,13.785286903381348
2010-06-25,13.719801902770996
2010-06-28,13.672557830810547
2010-06-29,13.436332702636719
2010-06-30,13.228459358215332
2010-07-01,13.228459358215332
2010-07-02,13.143418312072754
2010-07-06,13.346570014953613
2010-07-07,13.601692199707031
2010-07-08,13.715075492858887
2010-07-09,13.696179389953613
2010-07-12,13.70090389251709
2010-07-13,13.889880180358887
2010-07-14,13.852084159851074
2010-07-15,13.852084159851074
2010-07-16,13.611136436462402
2010-07-19,13.620586395263672
2010-07-20,13.800118446350098
2010-07-21,13.625312805175781
2010-07-22,13.83319091796875
2010-07-23,13.993817329406738
2010-07-26,14.041067123413086
2010-07-27,14.116652488708496
2010-07-28,14.041067123413086
2010-07-29,13.75286865234375
2010-07-30,13.800118446350098
2010-08-02,13.932400703430176
2010-08-03,13.83319091796875
2010-08-04,14.055235862731934
2010-08-05,14.012715339660645
2010-08-06,14.343426704406738
2010-08-09,14.357598304748535
2010-08-10,14.300908088684082
2010-08-11,13.974919319152832
2010-08-12,13.937121391296387
2010-08-13,13.937121391296387
2010-08-16,13.913504600524902
2010-08-17,13.823739051818848
2010-08-18,13.861538887023926
2010-08-19,13.762319564819336
2010-08-20,13.748149871826172
2010-08-23,13.771774291992188
2010-08-24,13.837911605834961
2010-08-25,13.979649543762207
2010-08-26,13.899332046508789
2010-08-27,14.17335033416748
2010-08-30,14.031611442565918
2010-08-31,14.130827903747559
2010-09-01,14.352872848510742
2010-09-02,14.338702201843262
2010-09-03,14.447369575500488
2010-09-07,14.338702201843262
2010-09-08,14.447369575500488
2010-09-09,14.522960662841797
2010-09-10,14.541853904724121
2010-09-13,14.622174263000488
2010-09-14,14.669411659240723
2010-09-15,14.924543380737305
2010-09-16,14.834769248962402
2010-09-17,14.81114387512207
2010-09-20,14.915083885192871
2010-09-21,14.93870735168457
2010-09-22,14.792250633239746
2010-09-23,14.773355484008789
2010-09-24,15.094616889953613
2010-09-27,15.02375316619873
2010-09-28,15.009446144104004
