Date,NEM
2010-01-04,34.43508529663086
2010-01-05,34.52748489379883
2010-01-06,35.2595329284668
2010-01-07,35.032108306884766
2010-01-08,35.26665115356445
2010-01-11,35.664669036865234
2010-01-12,34.48483657836914
2010-01-13,34.6483039855957
2010-01-14,34.413753509521484
2010-01-15,33.83806610107422
2010-01-19,34.42798614501953
2010-01-20,32.985172271728516
2010-01-21,31.585039138793945
2010-01-22,31.577943801879883
2010-01-25,31.364709854125977
2010-01-26,31.442888259887695
2010-01-27,31.407365798950195
2010-01-28,31.265220642089844
2010-01-29,30.46208381652832
2010-02-01,32.36685562133789
2010-02-02,32.174957275390625
2010-02-03,32.60139083862305
2010-02-04,30.94538688659668
2010-02-05,32.85725784301758
2010-02-08,31.563709259033203
2010-02-09,32.565860748291016
2010-02-10,32.21760559082031
2010-02-11,33.233951568603516
2010-02-12,33.070472717285156
2010-02-16,33.70302963256836
2010-02-17,33.575111389160156
2010-02-18,34.40665054321289
2010-02-19,34.49905014038086
2010-02-22,33.923362731933594
2010-02-23,33.106014251708984
2010-02-24,33.03492736816406
2010-02-25,34.84021759033203
2010-02-26,35.02499771118164
2010-03-01,35.73573303222656
2010-03-02,36.74497604370117
2010-03-03,36.915550231933594
2010-03-04,36.14796829223633
2010-03-05,36.638370513916016
2010-03-08,36.29010772705078
2010-03-09,36.36827087402344
2010-03-10,35.79859924316406
2010-03-11,35.90541458129883
2010-03-12,35.634803771972656
2010-03-15,35.41403579711914
2010-03-16,36.5605583190918
2010-03-17,36.48223114013672
2010-03-18,36.510719299316406
2010-03-19,36.14753341674805
2010-03-22,36.60329818725586
2010-03-23,36.6389045715332
2010-03-24,35.40691375732422
2010-03-25,34.43128967285156
2010-03-26,35.164798736572266
2010-03-29,35.86979675292969
2010-03-30,36.13328552246094
2010-03-31,36.26859664916992
2010-04-01,37.67860794067383
2010-04-05,38.31952667236328
2010-04-06,37.934974670410156
2010-04-07,38.518898010253906
2010-04-08,38.38359451293945
2010-04-09,38.60435104370117
2010-04-12,38.134361267089844
2010-04-13,38.298152923583984
2010-04-14,38.134361267089844
2010-04-15,37.76404571533203
2010-04-16,37.13737869262695
2010-04-19,37.18723678588867
2010-04-20,36.695865631103516
2010-04-21,36.96648025512695
2010-04-22,37.34390640258789
2010-04-23,37.81390380859375
2010-04-26,37.87800216674805
2010-04-27,37.92782974243164
2010-04-28,39.00315475463867
2010-04-29,39.73663330078125
2010-04-30,39.93602752685547
2010-05-03,39.11709976196289
2010-05-04,38.654212951660156
2010-05-05,38.112998962402344
2010-05-06,38.91059112548828
2010-05-07,38.020416259765625
2010-05-10,39.51588439941406
2010-05-11,41.445743560791016
2010-05-12,41.808937072753906
2010-05-13,40.68376159667969
2010-05-14,41.075443267822266
2010-05-17,40.61968231201172
2010-05-18,39.92179489135742
2010-05-19,38.8179931640625
2010-05-20,37.080413818359375
2010-05-21,37.27268981933594
2010-05-24,37.27268981933594
2010-05-25,38.12724304199219
2010-05-26,37.85663604736328
2010-05-27,39.11709976196289
2010-05-28,38.32665252685547
2010-06-01,38.91059112548828
2010-06-02,39.67254638671875
2010-06-03,38.682701110839844
2010-06-04,38.25541305541992
2010-06-07,39.280879974365234
2010-06-08,40.19953155517578
2010-06-09,39.66542434692383
2010-06-10,39.95741271972656
2010-06-11,40.12862014770508
2010-06-14,39.194061279296875
2010-06-15,40.18570327758789
2010-06-16,41.612483978271484
2010-06-17,42.575565338134766
2010-06-18,43.69560241699219
2010-06-21,42.43289566040039
2010-06-22,42.46144104003906
2010-06-23,42.14753723144531
2010-06-24,42.054805755615234
2010-06-25,43.995243072509766
2010-06-28,43.84541320800781
2010-06-29,43.62425994873047
2010-06-30,44.04517364501953
2010-07-01,42.08333969116211
2010-07-02,41.91925811767578
2010-07-06,41.819366455078125
2010-07-07,42.796714782714844
2010-07-08,43.046417236328125
2010-07-09,44.18071365356445
2010-07-12,43.931026458740234
2010-07-13,44.00236511230469
2010-07-14,44.03089904785156
2010-07-15,43.3032341003418
2010-07-16,42.01912307739258
2010-07-19,41.39133071899414
2010-07-20,42.08333969116211
2010-07-21,41.49835205078125
2010-07-22,42.097591400146484
2010-07-23,42.12612533569336
2010-07-26,41.44840621948242
2010-07-27,39.79331588745117
2010-07-28,39.5222282409668
2010-07-29,39.75053024291992
2010-07-30,39.87892150878906
2010-08-02,39.6649169921875
2010-08-03,39.57217025756836
2010-08-04,40.12862014770508
2010-08-05,40.4567756652832
2010-08-06,40.69220733642578
2010-08-09,40.834877014160156
2010-08-10,40.949031829833984
2010-08-11,39.97880172729492
2010-08-12,41.19870376586914
2010-08-13,40.46391296386719
2010-08-16,41.17017364501953
2010-08-17,41.648155212402344
2010-08-18,42.44001770019531
2010-08-19,41.690948486328125
2010-08-20,41.39133071899414
2010-08-23,41.07743835449219
2010-08-24,40.74925994873047
2010-08-25,41.90498733520508
2010-08-26,42.40434646606445
2010-08-27,42.768192291259766
2010-08-30,42.746795654296875
2010-08-31,43.74553680419922
2010-09-01,43.03215789794922
2010-09-02,43.89535903930664
2010-09-03,43.53063201904297
2010-09-07,44.38880157470703
2010-09-08,44.03122329711914
2010-09-09,43.065799713134766
2010-09-10,43.394771575927734
2010-09-13,43.20883560180664
2010-09-14,44.94660949707031
2010-09-15,44.98236846923828
2010-09-16,45.182613372802734
2010-09-17,45.0610237121582
2010-09-20,45.246978759765625
2010-09-21,45.86198806762695
2010-09-22,46.44125747680664
2010-09-23,45.6617431640625
2010-09-24,45.339942932128906
2010-09-27,44.80358123779297
2010-09-28,45.933509826660156
