Date,PHM
2010-01-04,8.77028751373291
2010-01-05,8.88162612915039
2010-01-06,8.88162612915039
2010-01-07,9.601064682006836
2010-01-08,9.446897506713867
2010-01-11,9.395511627197266
2010-01-12,9.335555076599121
2010-01-13,9.695274353027344
2010-01-14,9.618196487426758
2010-01-15,9.421204566955566
2010-01-19,9.412639617919922
2010-01-20,9.335555076599121
2010-01-21,9.010100364685059
2010-01-22,8.753153800964355
2010-01-25,8.761720657348633
2010-01-26,8.864496231079102
2010-01-27,8.847368240356445
2010-01-28,9.044356346130371
2010-01-29,9.010100364685059
2010-02-01,9.044356346130371
2010-02-02,9.720970153808594
2010-02-03,9.73809814453125
2010-02-04,9.352686882019043
2010-02-05,9.318428039550781
2010-02-08,9.532544136047363
2010-02-09,9.489726066589355
2010-02-10,9.618196487426758
2010-02-11,10.029300689697266
2010-02-12,10.054993629455566
2010-02-16,9.986475944519043
2010-02-17,9.94365119934082
2010-02-18,9.840876579284668
2010-02-19,9.7894868850708
2010-02-22,9.746665000915527
2010-02-23,9.395511627197266
2010-02-24,9.258476257324219
2010-02-25,9.164262771606445
2010-02-26,9.275603294372559
2010-03-01,9.352686882019043
2010-03-02,9.224218368530273
2010-03-03,9.361251831054688
2010-03-04,9.30986213684082
2010-03-05,9.618196487426758
2010-03-08,9.780920028686523
2010-03-09,9.840876579284668
2010-03-10,9.729535102844238
2010-03-11,9.772361755371094
2010-03-12,9.618196487426758
2010-03-15,9.506851196289062
2010-03-16,9.755227088928223
2010-03-17,9.823745727539062
2010-03-18,9.849441528320312
2010-03-19,9.592497825622559
2010-03-22,9.823745727539062
2010-03-23,9.823745727539062
2010-03-24,9.977914810180664
2010-03-25,9.94365119934082
2010-03-26,10.037864685058594
2010-03-29,9.952218055725098
2010-03-30,9.7894868850708
2010-03-31,9.635322570800781
2010-04-01,9.523978233337402
2010-04-05,9.798053741455078
2010-04-06,9.558239936828613
2010-04-07,9.318428039550781
2010-04-08,9.326992988586426
2010-04-09,9.56680679321289
2010-04-12,9.618196487426758
2010-04-13,9.446897506713867
2010-04-14,9.746665000915527
2010-04-15,9.652453422546387
2010-04-16,9.506851196289062
2010-04-19,9.51541519165039
2010-04-20,9.81518268585205
2010-04-21,10.0806884765625
2010-04-22,10.6887845993042
2010-04-23,11.296880722045898
2010-04-26,11.16840934753418
2010-04-27,10.817256927490234
2010-04-28,11.014240264892578
2010-04-29,11.399656295776367
2010-04-30,11.211233139038086
2010-05-03,11.468173027038574
2010-05-04,11.21979808807373
2010-05-05,10.782997131347656
2010-05-06,10.20059585571289
2010-05-07,9.575369834899902
2010-05-10,10.474662780761719
2010-05-11,10.397584915161133
2010-05-12,10.440406799316406
2010-05-13,10.123515129089355
2010-05-14,9.926527976989746
2010-05-17,9.977914810180664
2010-05-18,9.875141143798828
2010-05-19,9.661018371582031
2010-05-20,9.21565055847168
2010-05-21,9.28416919708252
2010-05-24,9.1300048828125
2010-05-25,9.301298141479492
2010-05-26,9.258476257324219
2010-05-27,9.558239936828613
2010-05-28,9.541111946105957
2010-06-01,8.958709716796875
2010-06-02,9.198521614074707
2010-06-03,8.830235481262207
2010-06-04,8.410565376281738
2010-06-07,8.050848007202148
2010-06-08,8.050848007202148
2010-06-09,7.8538594245910645
2010-06-10,8.367744445800781
2010-06-11,8.179317474365234
2010-06-14,8.119361877441406
2010-06-15,8.504779815673828
2010-06-16,8.350613594055176
2010-06-17,8.145060539245605
2010-06-18,8.016586303710938
2010-06-21,7.836730003356934
2010-06-22,7.588353157043457
2010-06-23,7.751080513000488
2010-06-24,7.716825008392334
2010-06-25,7.639739036560059
2010-06-28,7.536963939666748
2010-06-29,7.1686787605285645
2010-06-30,7.091596603393555
2010-07-01,7.18580961227417
2010-07-02,6.988819599151611
2010-07-06,6.971691131591797
2010-07-07,7.280019760131836
2010-07-08,7.091596603393555
2010-07-09,7.365671634674072
2010-07-12,7.254326820373535
2010-07-13,7.536963939666748
2010-07-14,7.314279079437256
2010-07-15,7.305715560913086
2010-07-16,6.894608020782471
2010-07-19,6.791832447052002
2010-07-20,7.10872745513916
2010-07-21,6.894608020782471
2010-07-22,7.142988204956055
2010-07-23,7.417055130004883
2010-07-26,7.768211364746094
2010-07-27,7.656868934631348
2010-07-28,7.3571038246154785
2010-07-29,7.536963939666748
2010-07-30,7.519833087921143
2010-08-02,7.691127777099609
2010-08-03,7.22006893157959
2010-08-04,7.177244663238525
2010-08-05,7.331411838531494
2010-08-06,7.425623893737793
2010-08-09,7.5797882080078125
2010-08-10,7.3571038246154785
2010-08-11,7.048774242401123
2010-08-12,6.8003973960876465
2010-08-13,6.937433242797852
2010-08-16,6.834656715393066
2010-08-17,7.091596603393555
2010-08-18,7.1601176261901855
2010-08-19,6.954562187194824
2010-08-20,6.886043548583984
2010-08-23,6.791832447052002
2010-08-24,6.714749336242676
2010-08-25,6.9203033447265625
2010-08-26,6.731878757476807
2010-08-27,6.9973859786987305
2010-08-30,6.894608020782471
2010-08-31,6.886043548583984
2010-09-01,7.202939987182617
2010-09-02,7.374235153198242
2010-09-03,7.528397083282471
2010-09-07,7.331411838531494
2010-09-08,7.365671634674072
2010-09-09,7.391364097595215
2010-09-10,7.494139194488525
2010-09-13,7.5540947914123535
2010-09-14,7.494139194488525
2010-09-15,7.339974880218506
2010-09-16,7.057339191436768
2010-09-17,7.065903663635254
2010-09-20,7.417055130004883
2010-09-21,7.297150135040283
2010-09-22,7.18580961227417
2010-09-23,7.005948543548584
2010-09-24,7.211503028869629
2010-09-27,7.468445777893066
