Date,IFF
2010-01-04,29.6798152923584
2010-01-05,29.4608097076416
2010-01-06,29.580904006958008
2010-01-07,29.35481834411621
2010-01-08,29.248859405517578
2010-01-11,29.340700149536133
2010-01-12,29.262983322143555
2010-01-13,29.750450134277344
2010-01-14,29.75752830505371
2010-01-15,29.686872482299805
2010-01-19,30.209672927856445
2010-01-20,29.75752830505371
2010-01-21,29.446683883666992
2010-01-22,28.93093490600586
2010-01-25,28.874418258666992
2010-01-26,28.471702575683594
2010-01-27,28.45757293701172
2010-01-28,28.259761810302734
2010-01-29,28.097274780273438
2010-02-01,28.54941749572754
2010-02-02,29.022777557373047
2010-02-03,29.220600128173828
2010-02-04,28.422250747680664
2010-02-05,28.436386108398438
2010-02-08,28.15378189086914
2010-02-09,29.022777557373047
2010-02-10,29.277103424072266
2010-02-11,29.453746795654297
2010-02-12,29.446683883666992
2010-02-16,29.67276382446289
2010-02-17,29.743396759033203
2010-02-18,29.941221237182617
2010-02-19,30.011873245239258
2010-02-22,29.849380493164062
2010-02-23,29.489051818847656
2010-02-24,29.602094650268555
2010-02-25,29.65155601501465
2010-02-26,29.750450134277344
2010-03-01,29.920024871826172
2010-03-02,30.266212463378906
2010-03-03,30.32271385192871
2010-03-04,30.753684997558594
2010-03-05,31.431921005249023
2010-03-08,31.276491165161133
2010-03-09,31.106943130493164
2010-03-10,31.043346405029297
2010-03-11,31.177593231201172
2010-03-12,31.601478576660156
2010-03-15,31.78517723083496
2010-03-16,32.05363464355469
2010-03-17,32.0748176574707
2010-03-18,32.08896255493164
2010-03-19,31.778091430664062
2010-03-22,32.31093215942383
2010-03-23,32.72299575805664
2010-03-24,32.538265228271484
2010-03-25,32.52406692504883
2010-03-26,32.431705474853516
2010-03-29,34.07282638549805
2010-03-30,33.88102340698242
2010-03-31,33.86680221557617
2010-04-01,34.2646484375
2010-04-05,34.68381118774414
2010-04-06,34.71934509277344
2010-04-07,34.71934509277344
2010-04-08,34.75486373901367
2010-04-09,35.42267608642578
2010-04-12,35.515045166015625
2010-04-13,35.80632019042969
2010-04-14,36.16153335571289
2010-04-15,36.609107971191406
2010-04-16,35.87735366821289
2010-04-19,35.998130798339844
2010-04-20,35.955509185791016
2010-04-21,35.692649841308594
2010-04-22,36.00522232055664
2010-04-23,36.74410629272461
2010-04-26,36.516761779785156
2010-04-27,35.74946975708008
2010-04-28,35.763675689697266
2010-04-29,36.452823638916016
2010-04-30,35.58607864379883
2010-05-03,36.24678039550781
2010-05-04,35.1882209777832
2010-05-05,34.456478118896484
2010-05-06,33.14924240112305
2010-05-07,32.04096221923828
2010-05-10,33.419219970703125
2010-05-11,33.09241485595703
2010-05-12,33.76022720336914
2010-05-13,33.42631912231445
2010-05-14,32.7301025390625
2010-05-17,32.808250427246094
2010-05-18,32.25409698486328
2010-05-19,31.934417724609375
2010-05-20,30.73375701904297
2010-05-21,31.401575088500977
2010-05-24,30.92557144165039
2010-05-25,30.996623992919922
2010-05-26,30.740846633911133
2010-05-27,32.09779739379883
2010-05-28,31.61469268798828
2010-06-01,31.067659378051758
2010-06-02,31.913070678710938
2010-06-03,31.813631057739258
2010-06-04,30.620071411132812
2010-06-07,30.54192543029785
2010-06-08,31.209749221801758
2010-06-09,31.316322326660156
2010-06-10,32.026763916015625
2010-06-11,32.48854446411133
2010-06-14,32.225677490234375
2010-06-15,33.08530807495117
2010-06-16,33.035587310791016
2010-06-17,33.04267883300781
2010-06-18,33.01426696777344
2010-06-21,32.89284896850586
2010-06-22,32.52140808105469
2010-06-23,32.42141342163086
2010-06-24,31.807113647460938
2010-06-25,31.664283752441406
2010-06-28,31.428556442260742
2010-06-29,30.785680770874023
2010-06-30,30.299985885620117
2010-07-01,30.214265823364258
2010-07-02,29.992847442626953
2010-07-06,30.028547286987305
2010-07-07,31.257129669189453
2010-07-08,31.714275360107422
2010-07-09,31.878543853759766
2010-07-12,31.528553009033203
2010-07-13,32.314273834228516
2010-07-14,32.14998245239258
2010-07-15,32.14284133911133
2010-07-16,31.264278411865234
2010-07-19,31.46426773071289
2010-07-20,32.14284133911133
2010-07-21,32.19285202026367
2010-07-22,33.014278411865234
2010-07-23,33.185707092285156
2010-07-26,33.442848205566406
2010-07-27,32.699981689453125
2010-07-28,32.87855911254883
2010-07-29,32.535701751708984
2010-07-30,32.41427993774414
2010-08-02,32.799991607666016
2010-08-03,32.614261627197266
2010-08-04,32.7785530090332
2010-08-05,33.45711135864258
2010-08-06,33.478553771972656
2010-08-09,34.01426315307617
2010-08-10,33.81426239013672
2010-08-11,32.85713195800781
2010-08-12,32.72856140136719
2010-08-13,33.10712432861328
2010-08-16,32.7785530090332
2010-08-17,33.59284210205078
2010-08-18,33.49998474121094
2010-08-19,32.614261627197266
2010-08-20,32.73570251464844
2010-08-23,32.47856903076172
2010-08-24,31.90713119506836
2010-08-25,32.0856819152832
2010-08-26,32.249977111816406
2010-08-27,32.964263916015625
2010-08-30,32.592838287353516
2010-08-31,32.63568878173828
2010-09-01,33.849979400634766
2010-09-02,34.049983978271484
2010-09-03,34.085693359375
2010-09-07,33.521419525146484
2010-09-08,33.614288330078125
2010-09-09,33.49998474121094
2010-09-10,33.32855224609375
2010-09-13,33.435691833496094
2010-09-14,33.91427230834961
2010-09-15,34.178550720214844
2010-09-16,34.178550720214844
2010-09-17,34.56427001953125
2010-09-20,35.13890838623047
2010-09-21,34.930606842041016
2010-09-22,34.88751220703125
2010-09-23,34.42060089111328
2010-09-24,35.20354461669922
2010-09-27,35.06707000732422
2010-09-28,35.52677536010742
