Date,FCX
2010-01-04,30.10961151123047
2010-01-05,30.28999137878418
2010-01-06,31.498538970947266
2010-01-07,30.896087646484375
2010-01-08,31.783573150634766
2010-01-11,31.779943466186523
2010-01-12,30.58220863342285
2010-01-13,31.135160446166992
2010-01-14,30.74847412109375
2010-01-15,30.466556549072266
2010-01-19,30.57498550415039
2010-01-20,30.184675216674805
2010-01-21,27.56808090209961
2010-01-22,26.827194213867188
2010-01-25,26.960920333862305
2010-01-26,26.01764678955078
2010-01-27,25.75020980834961
2010-01-28,24.871992111206055
2010-01-29,24.10219383239746
2010-02-01,25.87307357788086
2010-02-02,26.205575942993164
2010-02-03,25.464691162109375
2010-02-04,24.12026596069336
2010-02-05,25.381572723388672
2010-02-08,25.009319305419922
2010-02-09,25.86947250366211
2010-02-10,25.670703887939453
2010-02-11,26.805513381958008
2010-02-12,26.62843132019043
2010-02-16,27.445213317871094
2010-02-17,27.148847579956055
2010-02-18,27.683732986450195
2010-02-19,27.886110305786133
2010-02-22,27.553630828857422
2010-02-23,26.61396598815918
2010-02-24,26.267019271850586
2010-02-25,26.769372940063477
2010-02-26,27.16330337524414
2010-03-01,27.629518508911133
2010-03-02,28.182477951049805
2010-03-03,28.637842178344727
2010-03-04,28.493270874023438
2010-03-05,29.16912078857422
2010-03-08,29.136579513549805
2010-03-09,28.825777053833008
2010-03-10,28.941425323486328
2010-03-11,29.093217849731445
2010-03-12,29.104053497314453
2010-03-15,29.151039123535156
2010-03-16,29.703994750976562
2010-03-17,29.35704803466797
2010-03-18,29.010089874267578
2010-03-19,28.3740291595459
2010-03-22,28.840227127075195
2010-03-23,29.30644989013672
2010-03-24,28.836610794067383
2010-03-25,28.157175064086914
2010-03-26,28.612552642822266
2010-03-29,29.95335578918457
2010-03-30,30.235273361206055
2010-03-31,30.191896438598633
2010-04-01,31.182138442993164
2010-04-05,31.561616897583008
2010-04-06,31.561616897583008
2010-04-07,31.0556583404541
2010-04-08,31.09902000427246
2010-04-09,30.961688995361328
2010-04-12,30.502702713012695
2010-04-13,30.690969467163086
2010-04-14,30.904573440551758
2010-04-15,30.491832733154297
2010-04-16,29.391204833984375
2010-04-19,29.253618240356445
2010-04-20,29.253618240356445
2010-04-21,28.388338088989258
2010-04-22,29.145004272460938
2010-04-23,28.804685592651367
2010-04-26,29.108797073364258
2010-04-27,27.570106506347656
2010-04-28,27.69319725036621
2010-04-29,28.138519287109375
2010-04-30,27.345626831054688
2010-05-03,26.697551727294922
2010-05-04,25.52088737487793
2010-05-05,25.502790451049805
2010-05-06,24.99229621887207
2010-05-07,24.470951080322266
2010-05-10,26.24861717224121
2010-05-11,25.43037986755371
2010-05-12,26.42963981628418
2010-05-13,25.962602615356445
2010-05-14,25.242115020751953
2010-05-17,24.608530044555664
2010-05-18,24.384057998657227
2010-05-19,24.507156372070312
2010-05-20,23.033611297607422
2010-05-21,24.26096534729004
2010-05-24,23.73598861694336
2010-05-25,24.48181915283203
2010-05-26,24.108896255493164
2010-05-27,25.730880737304688
2010-05-28,25.361591339111328
2010-06-01,24.07270050048828
2010-06-02,24.988670349121094
2010-06-03,23.956836700439453
2010-06-04,22.740354537963867
2010-06-07,21.237844467163086
2010-06-08,22.258821487426758
2010-06-09,21.99452781677246
2010-06-10,23.301525115966797
2010-06-11,23.50789451599121
2010-06-14,23.627378463745117
2010-06-15,24.275440216064453
2010-06-16,24.268207550048828
2010-06-17,23.826499938964844
2010-06-18,23.859086990356445
2010-06-21,24.648351669311523
2010-06-22,23.602031707763672
2010-06-23,23.554967880249023
2010-06-24,22.968448638916016
2010-06-25,24.101659774780273
2010-06-28,23.41014289855957
2010-06-29,22.110387802124023
2010-06-30,21.408010482788086
2010-07-01,21.064062118530273
2010-07-02,21.194393157958984
2010-07-06,21.42972755432129
2010-07-07,22.794658660888672
2010-07-08,22.867067337036133
2010-07-09,23.88805389404297
2010-07-12,22.8887996673584
2010-07-13,23.325326919555664
2010-07-14,23.157989501953125
2010-07-15,22.979736328125
2010-07-16,21.855669021606445
2010-07-19,22.139413833618164
2010-07-20,23.398075103759766
2010-07-21,24.031049728393555
2010-07-22,25.02051544189453
2010-07-23,25.85720443725586
2010-07-26,25.915401458740234
2010-07-27,25.402488708496094
2010-07-28,25.602554321289062
2010-07-29,25.73352813720703
2010-07-30,26.02454376220703
2010-08-02,27.210451126098633
2010-08-03,26.930339813232422
2010-08-04,27.283206939697266
2010-08-05,26.944896697998047
2010-08-06,27.141340255737305
2010-08-09,27.18497657775879
2010-08-10,26.632036209106445
2010-08-11,25.478883743286133
2010-08-12,25.6061954498291
2010-08-13,25.48978614807129
2010-08-16,25.693510055541992
2010-08-17,26.49381446838379
2010-08-18,26.63568687438965
2010-08-19,26.22462272644043
2010-08-20,25.962696075439453
2010-08-23,25.59529685974121
2010-08-24,24.39118194580078
2010-08-25,24.249313354492188
2010-08-26,24.413013458251953
2010-08-27,25.90085792541504
2010-08-30,25.59529685974121
2010-08-31,26.188234329223633
2010-09-01,27.716110229492188
2010-09-02,27.996204376220703
2010-09-03,28.57461929321289
2010-09-07,28.323617935180664
2010-09-08,28.789243698120117
2010-09-09,28.432729721069336
2010-09-10,28.85108757019043
2010-09-13,29.749624252319336
2010-09-14,29.62592124938965
2010-09-15,29.611370086669922
2010-09-16,29.731426239013672
2010-09-17,29.727779388427734
2010-09-20,30.320743560791016
2010-09-21,30.189775466918945
2010-09-22,30.742712020874023
2010-09-23,30.640859603881836
2010-09-24,31.506654739379883
2010-09-27,31.488462448120117
2010-09-28,31.659425735473633
