Date,BXP
2010-01-04,37.440704345703125
2010-01-05,38.009849548339844
2010-01-06,38.18839645385742
2010-01-07,38.35578918457031
2010-01-08,37.85918426513672
2010-01-11,38.0377311706543
2010-01-12,37.65830612182617
2010-01-13,38.27768325805664
2010-01-14,38.11585998535156
2010-01-15,37.99312210083008
2010-01-19,38.79659652709961
2010-01-20,38.53993606567383
2010-01-21,36.73764419555664
2010-01-22,35.867183685302734
2010-01-25,36.324737548828125
2010-01-26,36.11270523071289
2010-01-27,36.30800247192383
2010-01-28,36.48654556274414
2010-01-29,36.19639587402344
2010-02-01,37.3123779296875
2010-02-02,37.831295013427734
2010-02-03,37.10592269897461
2010-02-04,35.39847946166992
2010-02-05,36.00667953491211
2010-02-08,35.09718322753906
2010-02-09,35.04695510864258
2010-02-10,34.868385314941406
2010-02-11,34.99674606323242
2010-02-12,35.37616729736328
2010-02-16,36.28569030761719
2010-02-17,36.48654556274414
2010-02-18,37.022220611572266
2010-02-19,37.14496994018555
2010-02-22,37.40163803100586
2010-02-23,36.79903793334961
2010-02-24,37.223087310791016
2010-02-25,37.61925506591797
2010-02-26,37.903839111328125
2010-03-01,38.09912872314453
2010-03-02,38.28883743286133
2010-03-03,38.31674575805664
2010-03-04,38.59572219848633
2010-03-05,39.69496154785156
2010-03-08,40.49845886230469
2010-03-09,40.44822692871094
2010-03-10,40.989479064941406
2010-03-11,41.134559631347656
2010-03-12,41.29079055786133
2010-03-15,41.324275970458984
2010-03-16,42.2337646484375
2010-03-17,43.042850494384766
2010-03-18,42.819664001464844
2010-03-19,42.34539031982422
2010-03-22,42.55182647705078
2010-03-23,42.42349624633789
2010-03-24,42.490455627441406
2010-03-25,42.8140869140625
2010-03-26,42.51277542114258
2010-03-29,42.82729721069336
2010-03-30,42.821685791015625
2010-03-31,42.37235641479492
2010-04-01,42.38920593261719
2010-04-05,43.69228744506836
2010-04-06,44.602195739746094
2010-04-07,43.383365631103516
2010-04-08,43.220481872558594
2010-04-09,44.00682830810547
2010-04-12,43.50130081176758
2010-04-13,44.91672134399414
2010-04-14,45.00658416748047
2010-04-15,43.83269500732422
2010-04-16,42.456626892089844
2010-04-19,42.73743438720703
2010-04-20,43.2485466003418
2010-04-21,43.77654266357422
2010-04-22,44.57972717285156
2010-04-23,44.99534606933594
2010-04-26,45.321109771728516
2010-04-27,43.87763214111328
2010-04-28,44.259559631347656
2010-04-29,46.83763885498047
2010-04-30,44.293270111083984
2010-05-03,45.78169250488281
2010-05-04,45.56824493408203
2010-05-05,45.33797836303711
2010-05-06,43.82707214355469
2010-05-07,42.73743438720703
2010-05-10,45.34358596801758
2010-05-11,45.58510208129883
2010-05-12,45.90526580810547
2010-05-13,45.36045837402344
2010-05-14,43.92255401611328
2010-05-17,44.062992095947266
2010-05-18,43.007057189941406
2010-05-19,42.71499252319336
2010-05-20,40.844608306884766
2010-05-21,42.40605163574219
2010-05-24,41.355716705322266
2010-05-25,42.02975082397461
2010-05-26,41.47368240356445
2010-05-27,43.87763214111328
2010-05-28,43.068817138671875
2010-06-01,42.636348724365234
2010-06-02,42.78800582885742
2010-06-03,42.49592208862305
2010-06-04,40.3334846496582
2010-06-07,40.50761795043945
2010-06-08,41.451210021972656
2010-06-09,41.91178512573242
2010-06-10,43.91695022583008
2010-06-11,44.38312530517578
2010-06-14,44.517921447753906
2010-06-15,45.54018783569336
2010-06-16,45.18633270263672
2010-06-17,44.91672134399414
2010-06-18,44.984100341796875
2010-06-21,44.59095764160156
2010-06-22,42.88908004760742
2010-06-23,42.98458480834961
2010-06-24,41.6983528137207
2010-06-25,43.1025276184082
2010-06-28,42.20362091064453
2010-06-29,40.89765167236328
2010-06-30,40.332298278808594
2010-07-01,40.28140640258789
2010-07-02,39.40510940551758
2010-07-06,39.05459976196289
2010-07-07,41.1407585144043
2010-07-08,41.7513313293457
2010-07-09,42.53153610229492
2010-07-12,42.68981170654297
2010-07-13,43.74702453613281
2010-07-14,43.5378532409668
2010-07-15,43.70744323730469
2010-07-16,42.23754119873047
2010-07-19,43.10816955566406
2010-07-20,44.08059310913086
2010-07-21,43.01206588745117
2010-07-22,44.742042541503906
2010-07-23,45.2112922668457
2010-07-26,46.21763229370117
2010-07-27,46.1497802734375
2010-07-28,46.09889221191406
2010-07-29,45.85014724731445
2010-07-30,46.302425384521484
2010-08-02,48.100242614746094
2010-08-03,47.551856994628906
2010-08-04,48.4224967956543
2010-08-05,47.992828369140625
2010-08-06,47.90237045288086
2010-08-09,48.54689407348633
2010-08-10,47.823219299316406
2010-08-11,46.84517288208008
2010-08-12,45.974525451660156
2010-08-13,45.804908752441406
2010-08-16,45.81624221801758
2010-08-17,47.29178237915039
2010-08-18,47.02041244506836
2010-08-19,45.92929458618164
2010-08-20,45.92363739013672
2010-08-23,46.09324645996094
2010-08-24,45.194332122802734
2010-08-25,46.01409149169922
2010-08-26,45.59574508666992
2010-08-27,46.200687408447266
2010-08-30,45.827545166015625
2010-08-31,46.019744873046875
2010-09-01,47.75539016723633
2010-09-02,48.85780715942383
2010-09-03,49.66628646850586
2010-09-07,48.91436767578125
2010-09-08,49.07266616821289
2010-09-09,48.111549377441406
2010-09-10,48.1681022644043
2010-09-13,48.76736068725586
2010-09-14,48.846527099609375
2010-09-15,49.46840286254883
2010-09-16,49.05571365356445
2010-09-17,49.242252349853516
2010-09-20,50.24858093261719
2010-09-21,49.756736755371094
2010-09-22,48.92567825317383
2010-09-23,47.478363037109375
2010-09-24,48.496002197265625
2010-09-27,48.07199478149414
2010-09-28,48.31654357910156
