Date,ROP
2010-01-04,47.895477294921875
2010-01-05,47.28468322753906
2010-01-06,47.736751556396484
2010-01-07,47.5540885925293
2010-01-08,47.89201736450195
2010-01-11,48.09293746948242
2010-01-12,48.056396484375
2010-01-13,47.882869720458984
2010-01-14,47.946800231933594
2010-01-15,47.22532653808594
2010-01-19,49.17060470581055
2010-01-20,48.67742156982422
2010-01-21,47.72763442993164
2010-01-22,46.6773567199707
2010-01-25,46.814361572265625
2010-01-26,46.57689666748047
2010-01-27,46.27552032470703
2010-01-28,45.9832763671875
2010-01-29,45.73668670654297
2010-02-01,46.111141204833984
2010-02-02,46.933074951171875
2010-02-03,48.9514045715332
2010-02-04,48.47652053833008
2010-02-05,47.96507263183594
2010-02-08,47.307525634765625
2010-02-09,47.709354400634766
2010-02-10,47.26184844970703
2010-02-11,48.366920471191406
2010-02-12,48.31211471557617
2010-02-16,49.17060470581055
2010-02-17,49.23452377319336
2010-02-18,50.08383560180664
2010-02-19,50.70488357543945
2010-02-22,50.41264343261719
2010-02-23,49.75508499145508
2010-02-24,50.28478240966797
2010-02-25,50.065589904785156
2010-02-26,50.6318359375
2010-03-01,50.869293212890625
2010-03-02,50.86014938354492
2010-03-03,50.92407989501953
2010-03-04,50.869293212890625
2010-03-05,51.50857925415039
2010-03-08,51.84647750854492
2010-03-09,51.7642936706543
2010-03-10,52.001739501953125
2010-03-11,52.659297943115234
2010-03-12,53.01546096801758
2010-03-15,52.28485107421875
2010-03-16,52.88761520385742
2010-03-17,53.280330657958984
2010-03-18,52.78715133666992
2010-03-19,52.29399108886719
2010-03-22,52.50404357910156
2010-03-23,52.89674377441406
2010-03-24,52.33051681518555
2010-03-25,51.9195442199707
2010-03-26,51.937801361083984
2010-03-29,52.02000045776367
2010-03-30,52.74148941040039
2010-03-31,52.82368087768555
2010-04-01,53.517765045166016
2010-04-05,53.85567092895508
2010-04-06,54.31230545043945
2010-04-07,54.44496154785156
2010-04-08,54.92975997924805
2010-04-09,55.231632232666016
2010-04-12,55.67984390258789
2010-04-13,55.771324157714844
2010-04-14,56.173789978027344
2010-04-15,56.420780181884766
2010-04-16,55.61581802368164
2010-04-19,55.478599548339844
2010-04-20,56.06402587890625
2010-04-21,56.24699020385742
2010-04-22,57.134273529052734
2010-04-23,58.460655212402344
2010-04-26,55.826202392578125
2010-04-27,55.81705856323242
2010-04-28,55.39626693725586
2010-04-29,57.08854293823242
2010-04-30,55.81705856323242
2010-05-03,57.03365707397461
2010-05-04,55.36882019042969
2010-05-05,54.86571502685547
2010-05-06,53.03626251220703
2010-05-07,52.57891082763672
2010-05-10,55.8719482421875
2010-05-11,55.478599548339844
2010-05-12,56.65861892700195
2010-05-13,56.329315185546875
2010-05-14,55.158451080322266
2010-05-17,55.57007598876953
2010-05-18,55.03038787841797
2010-05-19,54.07905197143555
2010-05-20,52.002620697021484
2010-05-21,53.09113311767578
2010-05-24,52.40510559082031
2010-05-25,51.90198516845703
2010-05-26,52.048343658447266
2010-05-27,53.85039520263672
2010-05-28,53.0728645324707
2010-06-01,51.792232513427734
2010-06-02,53.43875503540039
2010-06-03,54.14309310913086
2010-06-04,51.70075988769531
2010-06-07,50.740272521972656
2010-06-08,51.17934799194336
2010-06-09,51.31656265258789
2010-06-10,53.14603042602539
2010-06-11,53.3106803894043
2010-06-14,53.84123992919922
2010-06-15,55.286502838134766
2010-06-16,55.048683166503906
2010-06-17,55.268211364746094
2010-06-18,55.4511604309082
2010-06-21,55.158451080322266
2010-06-22,54.015037536621094
2010-06-23,54.16138458251953
2010-06-24,52.99968338012695
2010-06-25,53.02713394165039
2010-06-28,52.917335510253906
2010-06-29,51.07875442504883
2010-06-30,51.18849563598633
2010-07-01,50.374385833740234
2010-07-02,50.10911178588867
2010-07-06,50.11827087402344
2010-07-07,51.41486358642578
2010-07-08,52.01046371459961
2010-07-09,52.138755798339844
2010-07-12,51.84552764892578
2010-07-13,53.03675079345703
2010-07-14,53.42160415649414
2010-07-15,53.595706939697266
2010-07-16,52.16625213623047
2010-07-19,52.42280197143555
2010-07-20,53.28417205810547
2010-07-21,53.439937591552734
2010-07-22,55.08931350708008
2010-07-23,56.821170806884766
2010-07-26,58.17732238769531
2010-07-27,57.57254409790039
2010-07-28,56.92195510864258
2010-07-29,56.885318756103516
2010-07-30,57.270172119140625
2010-08-02,57.746646881103516
2010-08-03,58.18648147583008
2010-08-04,58.25978469848633
2010-08-05,58.12234878540039
2010-08-06,57.847450256347656
2010-08-09,58.39723205566406
2010-08-10,57.60002136230469
2010-08-11,55.43752670288086
2010-08-12,55.11680221557617
2010-08-13,54.44788360595703
2010-08-16,54.796077728271484
2010-08-17,55.86819076538086
2010-08-18,55.73992156982422
2010-08-19,54.567012786865234
2010-08-20,54.484535217285156
2010-08-23,54.319610595703125
2010-08-24,53.56822204589844
2010-08-25,52.99094009399414
2010-08-26,53.0275764465332
2010-08-27,54.29212188720703
2010-08-30,53.16504669189453
2010-08-31,53.22001266479492
2010-09-01,54.9793586730957
2010-09-02,55.75821304321289
2010-09-03,56.775360107421875
2010-09-07,55.89569854736328
2010-09-08,57.05940628051758
2010-09-09,57.19686508178711
2010-09-10,57.0777473449707
2010-09-13,58.65380096435547
2010-09-14,58.378910064697266
2010-09-15,58.53470230102539
2010-09-16,58.6171760559082
2010-09-17,58.69961929321289
2010-09-20,59.50598907470703
2010-09-21,59.83587646484375
2010-09-22,58.644649505615234
2010-09-23,58.241458892822266
2010-09-24,59.87252426147461
2010-09-27,59.16695022583008
2010-09-28,60.10158920288086
