Date,MSFT
2010-01-04,23.21143913269043
2010-01-05,23.218942642211914
2010-01-06,23.076448440551758
2010-01-07,22.836462020874023
2010-01-08,22.993953704833984
2010-01-11,22.70146369934082
2010-01-12,22.551471710205078
2010-01-13,22.76146125793457
2010-01-14,23.218942642211914
2010-01-15,23.143938064575195
2010-01-19,23.323936462402344
2010-01-20,22.941455841064453
2010-01-21,22.506471633911133
2010-01-22,21.719005584716797
2010-01-25,21.988996505737305
2010-01-26,22.123987197875977
2010-01-27,22.251489639282227
2010-01-28,21.86900520324707
2010-01-29,21.1340389251709
2010-02-01,21.306522369384766
2010-02-02,21.344024658203125
2010-02-03,21.471519470214844
2010-02-04,20.879047393798828
2010-02-05,21.014028549194336
2010-02-08,20.789051055908203
2010-02-09,21.006546020507812
2010-02-10,20.991544723510742
2010-02-11,21.089038848876953
2010-02-12,20.94654083251953
2010-02-16,21.360952377319336
2010-02-17,21.541780471801758
2010-02-18,21.828105926513672
2010-02-19,21.677404403686523
2010-02-22,21.64727210998535
2010-02-23,21.34588050842285
2010-02-24,21.57192611694336
2010-02-25,21.549318313598633
2010-02-26,21.60206413269043
2010-03-01,21.865779876708984
2010-03-02,21.443832397460938
2010-03-03,21.443832397460938
2010-03-04,21.57192611694336
2010-03-05,21.541780471801758
2010-03-08,21.57192611694336
2010-03-09,21.700008392333984
2010-03-10,21.828105926513672
2010-03-11,21.986339569091797
2010-03-12,22.054153442382812
2010-03-15,22.069215774536133
2010-03-16,22.12949562072754
2010-03-17,22.325403213500977
2010-03-18,22.31032371520996
2010-03-19,22.295257568359375
2010-03-22,22.302791595458984
2010-03-23,22.513769149780273
2010-03-24,22.34046173095703
2010-03-25,22.611719131469727
2010-03-26,22.347999572753906
2010-03-29,22.295257568359375
2010-03-30,22.430885314941406
2010-03-31,22.069215774536133
2010-04-01,21.971261978149414
2010-04-05,22.054153442382812
2010-04-06,22.091821670532227
2010-04-07,22.114425659179688
2010-04-08,22.54390525817871
2010-04-09,22.86035919189453
2010-04-12,22.84529685974121
2010-04-13,22.94325065612793
2010-04-14,23.222021102905273
2010-04-15,23.259708404541016
2010-04-16,23.109004974365234
2010-04-19,23.387798309326172
2010-04-20,23.62891387939453
2010-04-21,23.60630989074707
2010-04-22,23.65150260925293
2010-04-23,23.327524185180664
2010-04-26,23.440540313720703
2010-04-27,23.2446346282959
2010-04-28,23.28984260559082
2010-04-29,23.357650756835938
2010-04-30,23.011062622070312
2010-05-03,23.25217056274414
2010-05-04,22.702136993408203
2010-05-05,22.491167068481445
2010-05-06,21.83563804626465
2010-05-07,21.255456924438477
2010-05-10,21.80550193786621
2010-05-11,21.760286331176758
2010-05-12,22.182239532470703
2010-05-13,22.03154945373535
2010-05-14,21.797964096069336
2010-05-17,21.80550193786621
2010-05-18,21.646560668945312
2010-05-19,21.374080657958984
2010-05-20,20.518821716308594
2010-05-21,20.314464569091797
2010-05-24,19.883039474487305
2010-05-25,19.731666564941406
2010-05-26,18.929386138916016
2010-05-27,19.67868995666504
2010-05-28,19.527311325073242
2010-06-01,19.59542465209961
2010-06-02,20.02684783935547
2010-06-03,20.32960319519043
2010-06-04,19.51974868774414
2010-06-07,19.14130973815918
2010-06-08,19.00507164001465
2010-06-09,18.76287078857422
2010-06-10,18.921817779541016
2010-06-11,19.421348571777344
2010-06-14,19.30025291442871
2010-06-15,20.11767578125
2010-06-16,19.92089080810547
2010-06-17,19.958730697631836
2010-06-18,20.011709213256836
2010-06-21,19.64084243774414
2010-06-22,19.50461196899414
2010-06-23,19.156444549560547
2010-06-24,18.921817779541016
2010-06-25,18.566089630126953
2010-06-28,18.399566650390625
2010-06-29,17.642698287963867
2010-06-30,17.4156436920166
2010-07-01,17.529176712036133
2010-07-02,17.612430572509766
2010-07-06,18.02870750427246
2010-07-07,18.39200210571289
2010-07-08,18.475261688232422
2010-07-09,18.36929702758789
2010-07-12,18.79314613342285
2010-07-13,19.02021026611328
2010-07-14,19.254840850830078
2010-07-15,19.307823181152344
2010-07-16,18.83855438232422
2010-07-19,19.095903396606445
2010-07-20,19.285118103027344
2010-07-21,19.01264190673828
2010-07-22,19.55759620666504
2010-07-23,19.53487777709961
2010-07-26,19.754375457763672
2010-07-27,19.799787521362305
2010-07-28,19.64084243774414
2010-07-29,19.70139503479004
2010-07-30,19.53487777709961
2010-08-02,19.928455352783203
2010-08-03,19.799787521362305
2010-08-04,19.474332809448242
2010-08-05,19.201860427856445
2010-08-06,19.338092803955078
2010-08-09,19.383508682250977
2010-08-10,18.974794387817383
2010-08-11,18.815855026245117
2010-08-12,18.53580665588379
2010-08-13,18.467695236206055
2010-08-16,18.543380737304688
2010-08-17,18.80208969116211
2010-08-18,18.88578987121582
2010-08-19,18.596637725830078
2010-08-20,18.43684959411621
2010-08-23,18.474895477294922
2010-08-24,18.292282104492188
2010-08-25,18.337932586669922
2010-08-26,18.124881744384766
2010-08-27,18.208580017089844
2010-08-30,17.987916946411133
2010-08-31,17.858564376831055
2010-09-01,18.185752868652344
2010-09-02,18.2161922454834
2010-09-03,18.482507705688477
2010-09-07,18.231409072875977
2010-09-08,18.208580017089844
2010-09-09,18.269453048706055
2010-09-10,18.147706985473633
2010-09-13,19.106454849243164
2010-09-14,19.045574188232422
2010-09-15,19.11406135559082
2010-09-16,19.273847579956055
2010-09-17,19.190156936645508
2010-09-20,19.34994888305664
2010-09-21,19.136890411376953
2010-09-22,18.725996017456055
2010-09-23,18.589033126831055
2010-09-24,18.85535430908203
2010-09-27,18.817306518554688
2010-09-28,18.779260635375977
